# MapApp 3D表示標高色別配色
タイトル/標高(m),R,G,B
地図帳配色
0,20,150,20
1000,200,200,0
2000,135,71,0
3000,83,47,6
4000,103,94,0
地図帳色２
0,20,155,64
1000,163,200,64
2000,176,125,18
3000,108,83,36
4000,108,83,36
登山地図
0,86,190,167
50,89,187,119
1000,150,197,80
2000,181,125,74
2500,162,196,180
5000,111,191,159
登山地図２
0,197,216,208
500,197,228,221
1000,183,234,170
1800,240,242,164
2300,243,184,131
2800,203,233,219
5000,255,255,255
世界地図
0,0,128,0
200,144,238,144
500,255,255,255
1000,255,255,128
2000,192,144,144
3000,160,120,120
4000,128,96,96
5000,64,48,48
6000,0,0,0
7000,128,128,128
8000,255,255,255
春山
0,66,205,22
700,176,188,92
1400,180,188,190
2100,240,240,240
2500,208,155,0
2800,240,240,240
5000,240,240,240
夏山
0,0,150,60
700,110,192,0
1400,170,212,0
2100,208,155,0
2500,208,155,0
2800,240,240,240
5000,240,240,240
秋山
0,101,185,0
700,185,188,0
1400,201,120,47
2100,240,240,240
5000,240,240,240
冬山
0,63,63,126
1000,73,138,208
2000,77,175,153
3000,255,255,255
5000,255,255,255
はっきり
0,48,126,108
150,20,155,64
1000,116,221,0
2000,175,150,7
3000,167,72,16
5000,255,255,255
緑色のグラデーション
0,40,205,100
1000,28,150,0
2000,172,210,10
3000,104,102,18
4000,122,121,90
都市強調
0,0,0,0
1,52,50,44
5,28,27,23
10,54,53,48
15,75,74,65
25,109,105,92
40,146,142,129
60,167,163,150
80,209,208,199
100,255,255,255
東京スペシャル
0,27,27,27
1,24,31,31
2,33,41,41
4,84,107,107
5,126,154,154
7,68,60,28
10,75,66,31
15,98,86,40
20,125,107,51
30,177,152,73
40,216,203,158
1000,253,249,236
微地形強調
-5,37,64,90
-4,115,164,200
-3,73,45,102
-2,190,179,204
-1,49,102,134
0,205,220,217
1,40,98,84
2,158,207,192
3,40,98,44
4,149,221,140
5,75,100,26
6,188,207,139
7,108,114,37
8,221,216,153
10,138,117,45
20,222,206,152
30,148,88,35
40,218,154,97
50,73,61,86
60,190,179,204
70,49,102,134
80,205,220,217
90,40,98,84
100,158,207,192
200,40,98,44
300,149,221,140
400,75,100,26
500,188,207,139
600,108,114,37
700,221,216,153
800,138,117,45
900,222,206,152
1000,148,88,35
2000,218,154,97
2100,128,202,123
2200,218,221,111
2300,218,154,97
2500,255,255,255
8000,255,255,255
蒔絵
-5,5,5,5
-4,0,0,0
-3,5,5,5
-2,10,10,10
-1,0,0,0
0,31,31,31
1,0,0,0
2,100,74,6
3,175,131,12
4,104,78,6
5,175,131,12
6,104,78,6
7,175,131,12
8,237,175,14
10,247,202,83
20,251,234,189
30,247,202,83
40,255,255,255
50,0,0,0
60,31,31,31
70,104,78,6
80,175,131,12
90,237,175,14
100,247,202,83
150,5,5,5
200,100,74,6
300,175,131,12
400,237,175,14
500,175,131,12
600,237,175,14
700,247,202,83
800,252,232,180
900,0,0,0
1000,175,131,12
2000,237,175,14
2100,250,220,141
2200,251,228,170
2300,253,240,208
2500,255,255,255
8000,255,255,255
淡色系
0,66,155,111
50,140,203,131
1000,188,208,125
2000,196,147,111
2500,120,101,69
4000,255,255,255
衛星写真の色分け
0,84,134,57
100,37,101,37
200,27,82,39
800,63,99,33
1500,106,139,52
2000,129,122,63
4000,172,166,106
パステル
0,166,221,199
50,125,234,125
1000,217,230,104
2000,230,203,77
2500,220,143,39
4000,255,255,255
エアリー調
0,223,255,243
1000,225,255,223
1800,254,255,225
2300,255,235,210
2800,230,255,249
5000,255,255,255
