"タイトル","データＩＤ","ファイル拡張子","タイル名","有効ズームレベル","整備範囲","概要","地図データURL","地図データ提供先名","地図データ提供先URL","標高データID","BaseMapID","透過色","BaseMap上位"
"標準地図","std","png","1.標準地図(std)","0-18","日本全国および全世界","道路、建物などの電子地図上の位置の基準である項目と植生、崖、岩、構造物などの土地の状況を表す項目を一つにまとめたデータをもとに作られた。国土地理院の提供している一般的な地図","https://cyberjapandata.gsi.go.jp/xyz/std/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","",""
"淡色地図","pale","png","2.淡色地図(pale)","5-18","日本全国","標準地図を淡い色調で表したもの","https://cyberjapandata.gsi.go.jp/xyz/pale/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","",""
"数値地図25000","lcm25k_2012","png","3.数値地図2500(土地条件)(lcm25k)","4-9, 10-16","一部地域","防災対策や土地利用/土地保全/地域開発などの計画の策定に必要な土地の自然条件などに関する基礎資料提供する目的で、昭和30年代から実施している土地条件調査の成果を基に地形分類(山地、台地・段丘、低地、水部、人口地形など)について可視化したもの","https://cyberjapandata.gsi.go.jp/xyz/lcm25k_2012/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","",""
"沿岸海域土地条件図","ccm1","png","4.沿岸海域土地条件図(ccm1)","14-16","一部地域(瀬戸内海)","陸部、解部の地形条件、標高、水深、底質、堆積層、沿岸関連施設、機関、区域などを可視化したもの","https://cyberjapandata.gsi.go.jp/xyz/ccm1/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","",""
"火山基本図","vbm","png","5.火山基本図(vbm)","16-18","一部地域(雄阿寒/雌阿寒岳、十勝岳、有珠山、樽前山、北海道駒ヶ岳、八幡平、秋田駒ヶ岳、岩手山、鳥海山、栗駒山、磐梯山、安達太良山、妙高、草津白根山、御嶽山、富士山、大島、三宅島、久住山、阿蘇山、普賢岳、韓国岳、桜島、鬼界ヶ島、竹島)","噴火の防災計画、緊急対策用のほか、火山の研究や火山噴火予知などの基礎資料として整備した火山の地形を精密に表す等高線や火山防災施設などを示した縮尺 1/2500-1/10000の地形図","https://cyberjapandata.gsi.go.jp/xyz/vbm/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","",""
"火山土地条件図","vlcd","png","6.火山土地条件図(vlcd)","13-16","一部地域(雄阿寒/雌阿寒岳、十勝岳、有珠山、樽前山、北海道駒ヶ岳、八幡平、秋田駒ヶ岳、岩手山、鳥海山、栗駒山、磐梯山、安達太良山、妙高、草津白根山、御嶽山、富士山、大島、三宅島、久住山、阿蘇山、普賢岳、韓国岳、桜島、鬼界ヶ島、竹島)","火山災害の予測や防災対策立案に利用されている他、地震災害対策、土地保全/利用計画立案や各種の調査/研究、教育のための基礎資料としてあるいは地域や強度の理解を深めるための資料としても活用することを目的として整備した。火山の地形分類を示した縮尺 1/10000-1/50000の地図。過去の火山活動によって形成された地形や噴出物の分布(溶岩流、火砕流、スコリア丘、岩屑なだれなど)防災関連施設・機関、救護保安施設、河川工作物、観光施設などをわかりやすく表示したもの","https://cyberjapandata.gsi.go.jp/xyz/vlcd/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","",""
"白地図","blank","png","9.白地図(blank)","5-14","日本全国","全国の白地図で都道府県や市町村の輪郭のみを描いた地図","https://cyberjapandata.gsi.go.jp/xyz/blank/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","",""
"湖沼図","lake1","png","10.湖沼図(lake1)","11-17","主要な湖および沼(不明)","以前の調査で湖及び沼とその周辺における、道路、主要施設、底質、推進、地形などを示したもの","https://cyberjapandata.gsi.go.jp/xyz/lake1/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","pale","","False"
"湖沼図データ","lakedata","png","10.湖沼図データ(lakedata)","11-18","主要な湖および沼(不明)","最近の調査で湖及び沼とその周辺における、道路、主要施設、底質、推進、地形などを示したもの","https://cyberjapandata.gsi.go.jp/xyz/lakedata/{z}/{x}/{y}.png","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","",""
"航空写真(全国最新撮影)","seamlessphoto","jpg","11.航空写真全国最新写真(シームレス)(seamlessphoto)","2-18","日本全国","電子国土基本図(オルソ画像)、東日本大震災後正射画像、森林(国有林)の空中写真、簡易空中写真、国土画像情報を組み合わせ、全国をシームレスに閲覧でるようにしたもの","https://cyberjapandata.gsi.go.jp/xyz/seamlessphoto/{z}/{x}/{y}.jpg","国土地理院","https://maps.gsi.go.jp/development/ichiran.html","dem","","",""
