"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","分類","面積","開園","運営者","公式サイト","駐車場","設備・遊具","事務所所在地","アクセス","事務所","設計者","前身","告示","年来園者数","バリアフリー","Hidden","Hidden","Hidden"
"大蔵三丁目公園","[大蔵三丁目公園] 大蔵三丁目公園 （おおくらさんちょうめこうえん）は、 東京都 世田谷区 内の外縁、東京都世田谷区大蔵3丁目にある世田谷区立の公園（大蔵緑地公園）。","https://ja.wikipedia.org/wiki/大蔵三丁目公園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"岡本公園 (世田谷区)","[岡本公園 (世田谷区)] 岡本公園 （おかもと こうえん）は、東京都 世田谷区 岡本 にある区立の 都市公園 である。","https://ja.wikipedia.org/wiki/岡本公園_(世田谷区)","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","","日本東京都世田谷区岡本2丁目","都市公園（風致公園）","12,431.06m2","1977年（昭和52年）3月31日","世田谷区","世田谷区のサイト","収容台数12　無料","","東京都世田谷区岡本二丁目19番1号","","","","","","","","","",""
"きたみふれあい広場","[きたみふれあい広場] きたみふれあい広場 （きたみふれあいひろば）は、 東京都 世田谷区 喜多見 にある区立 公園 である。","https://ja.wikipedia.org/wiki/きたみふれあい広場","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","北緯35度38分31.7秒東経139度35分15.2秒","日本東京都世田谷区","区立公園","38,824.83m2。","1997年3月31日、","","","なし","","東京都世田谷区喜多見9丁目25番5号","","","","","","","","","",""
"砧公園","[砧公園] 砧公園 （きぬたこうえん）は、 東京都 世田谷区 に所在する 東京都立公園 である。本記事では住所表記上の町丁名としての「砧公園」についても述べる。","https://ja.wikipedia.org/wiki/砧公園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","北緯35度37分44.5秒東経139度37分16.5秒","日本東京都世田谷区","都市公園","39.1ha","1957年4月1日","東京都公園協会2016～2025年度指定管理者","","177台","サッカー場・野球場兼競技場","東京都世田谷区砧公園1-1","","砧公園サービスセンター","","","","","","","",""
"駒沢オリンピック公園","[駒沢オリンピック公園] 駒沢オリンピック公園 （こまざわオリンピックこうえん、 英語 : Komazawa Olympic Park）は、 東京都 世田谷区 および 目黒区 にある 運動公園 。","https://ja.wikipedia.org/wiki/駒沢オリンピック公園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","北緯35度37分32.9秒東経139度39分41.8秒","日本東京都世田谷区駒沢公園、東京都目黒区東が丘2丁目・八雲5丁目","運動公園","41.3ha","","東京都公園協会2011～2015年度指定管理者","http://www.tef.or.jp/kopgp/","","陸上競技場球技場体育館他","","#アクセスを参照。","","本文参照","","","","","","",""
"桜丘すみれば自然庭園","[桜丘すみれば自然庭園] 桜丘すみれば自然庭園 （さくらがおかすみればしぜんていえん）は、 東京都 世田谷区 桜丘 に所在する区立公園。 都市緑地 に分類されている。","https://ja.wikipedia.org/wiki/桜丘すみれば自然庭園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","","日本東京都世田谷区桜丘四丁目23-12","都市緑地","6,643.81 m2","2003年1月31日","一般財団法人世田谷トラストまちづくり世田谷すみればネット","","なし","","","小田急小田原線千歳船橋駅下車 徒歩10分東急バス砧東町バス停下車 徒歩5分","","","植村傳助邸","平成15年1月31日第44号","21,995人（2014年度）","車椅子用トイレ","","",""
"次大夫堀公園","[次大夫堀公園] 次大夫堀公園 （じだゆうぼり こうえん）は、 東京都 世田谷区 喜多見 にある区立公園である。","https://ja.wikipedia.org/wiki/次大夫堀公園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","","日本東京都世田谷区","区立公園","36,567.24m2。","1983年3月31日、","","","収容台数33台　有料（30分100円）","","東京都世田谷区喜多見五丁目27番14号","","","","","","","","","",""
"成城三丁目緑地","[成城三丁目緑地] 成城三丁目緑地 （せいじょうさんちょうめりょくち）は、 東京都 世田谷区 成城 にある 緑地 。","https://ja.wikipedia.org/wiki/成城三丁目緑地","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","北緯35度38分3.5秒東経139度35分55.8秒","日本東京都世田谷区成城3丁目16番38号","緑地","19,836.69平方メートル","2001年（平成13年）","世田谷区","世田谷区のサイト","","散策路・ベンチ","","#アクセスを参照","","","","","","","","",""
"世田谷区立大蔵運動公園","[世田谷区立大蔵運動公園] 世田谷区立大蔵運動公園 （せたがやくりつおおくらうんどうこうえん）は、 東京都 世田谷区 大蔵 にある 公園 。","https://ja.wikipedia.org/wiki/世田谷区立大蔵運動公園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","","日本東京都世田谷区大蔵4丁目6-1","都市公園（運動公園）","112,816.44m2","1967年（昭和42年）7月1日","世田谷区","世田谷区のサイト","","","","","","","","","","","","",""
"世田谷区立富士見公園","[世田谷区立富士見公園] 世田谷区立富士見公園（せたがやくりつふじみこうえん） は、 東京都 世田谷区 に存在する 公園 である。","https://ja.wikipedia.org/wiki/世田谷区立富士見公園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"世田谷公園","[世田谷公園] 世田谷公園 （せたがやこうえん）は、 東京都 世田谷区 池尻一丁目にある 都市公園 である。","https://ja.wikipedia.org/wiki/世田谷公園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","","日本東京都世田谷区池尻1丁目","都市公園（地区公園）","78,957.182","1959年（昭和34年）8月22日","世田谷区","世田谷区のサイト","32台（有料）","ミニSL・野球場・サッカー場","","","","伊藤邦衛（改修）","","","","","","",""
"世田谷区立西山野公園","[世田谷区立西山野公園] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/世田谷区立西山野公園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"祖師谷公園","[祖師谷公園] 祖師谷公園 （そしがやこうえん）は、 東京都 世田谷区 上祖師谷 にある 都立公園 。","https://ja.wikipedia.org/wiki/祖師谷公園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"代沢せせらぎ公園","[代沢せせらぎ公園] 代沢せせらぎ公園 （だいざわせせらぎこうえん）とは 東京都 世田谷区 代沢 4丁目にある都市 公園 （街区公園）である。代沢せせらぎ公園と 北沢川緑道 として、世田谷区より「地域風景資産」に指定されている  。「せたがや百景」にも選定され、世田谷区と協定を結んだ住民団体が管理を行っている  。","https://ja.wikipedia.org/wiki/代沢せせらぎ公園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","","日本東京都世田谷区代沢4丁目","都市公園（街区公園）","1,812.62 m2","1997年（平成9年）3月20日","世田谷区","世田谷区のサイト","","","","池ノ上駅から徒歩","","","","","","","","",""
"馬事公苑","[馬事公苑] 馬事公苑 （ばじこうえん）は、 東京都 世田谷区 上用賀 にある公園。 日本中央競馬会 (JRA) が運営する馬事普及の拠点である。 1940年東京オリンピック に向けて日本の馬術選手を育成する目的で開設された。同大会は 日中戦争 の影響で中止となったが、 第二次世界大戦 後の 1964年東京オリンピック では 馬場馬術 競技の会場となった。","https://ja.wikipedia.org/wiki/馬事公苑","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","","日本東京都世田谷区上用賀2-1-1","","","1940年（昭和15年）9月29日","JRA日本中央競馬会","http://jra.jp/facilities/bajikouen/","","馬場・馬術","","","","","騎手養成・1964年東京オリンピック馬場馬術競技会場","","","","","",""
"羽根木公園","[羽根木公園] 羽根木公園 （はねぎこうえん）は、 東京都 世田谷区 代田 にある世田谷区立の 都市公園 である。","https://ja.wikipedia.org/wiki/羽根木公園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","","日本東京都世田谷区代田四丁目38","都市公園（地区公園）","79,650.71m2","1956年（昭和31年）10月1日","世田谷区","世田谷区のサイト","32台（有料）","","","","","","","","","","","",""
"兵庫島公園","[兵庫島公園] 兵庫島公園 （ひょうごじまこうえん）は、 東京都 世田谷区 玉川三丁目にある 公園 。 多摩川 と多摩川に合流する 野川 の 河川敷 を利用した公園である。","https://ja.wikipedia.org/wiki/兵庫島公園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","","日本東京都世田谷区玉川三丁目","都市公園（風致公園）","65,729.80m2","1986年（昭和61年）3月31日","世田谷区","世田谷区のサイト","","","","","","","","","","","","",""
"二子玉川公園","[二子玉川公園] 二子玉川公園 （ふたこたまがわこうえん）は、 東京都 世田谷区 玉川 （ 二子玉川 ）にある世田谷区立の 都市公園 （地区公園）である  。再開発事業である 二子玉川ライズ に隣接して整備され、 国分寺崖線 のみどりと 多摩川 の水辺に接する。","https://ja.wikipedia.org/wiki/二子玉川公園","Category:世田谷区の公園","https://ja.wikipedia.org/wiki/Category:世田谷区の公園","参照,制限あり","北緯35度36分29.7秒東経139度37分56.2秒","日本東京都世田谷区玉川一丁目16、上野毛二丁目27、28北緯35度36分29.7秒東経139度37分56.2秒﻿ / ﻿北緯35.608250度 東経139.632278度﻿ /35.608250; 139.632278座標:北緯35度36分29.7秒東経139度37分56.2秒﻿ / ﻿北緯35.608250度 東経139.632278度﻿ /35.608250; 139.632278","都市公園（地区公園）","約6.3ha","2013年4月14日","世田谷区","二子玉川公園","23台（有料60分300円）","","","","二子玉川公園ビジターセンター","","","","","","","",""
