"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","分類","所在地","面積","開園","運営者","公式サイト","駐車場","事務所所在地","アクセス","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"青海北ふ頭公園","[青海北ふ頭公園] 青海北ふ頭公園 （あおみきたふとうこうえん）は、 東京都 江東区 青海 二丁目・ 品川区 東八潮 にある都立の海上 公園 （ふ頭公園）である。所管は 東京都港湾局 。5333 m 2 。 1996年 4月1日 開園。","https://ja.wikipedia.org/wiki/青海北ふ頭公園","Category:品川区の公園","https://ja.wikipedia.org/wiki/Category:品川区の公園","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"池田山公園","[池田山公園] 池田山公園 （いけだやまこうえん）は、 東京都 品川区 東五反田 にある品川区立の 都市公園 である。周辺住民の憩いの場として知られる。","https://ja.wikipedia.org/wiki/池田山公園","Category:品川区の公園","https://ja.wikipedia.org/wiki/Category:品川区の公園","参照,制限あり","北緯35度37分56.5秒東経139度43分24.6秒","都市公園（歴史公園）","東京都品川区東五反田5－4－35","7,022m2","1984年（昭和59年）4月1日","品川区","品川区のサイト","なし","","JR五反田駅徒歩15分、JR目黒駅徒歩15分","","","","","","","","","",""
"大井ふ頭中央海浜公園","[大井ふ頭中央海浜公園] 大井ふ頭中央海浜公園 （おおいふとうちゅうおうかいひんこうえん）は 東京都 品川区 および 大田区 に所在する 東京都港湾局 が管理する 海上公園 である。","https://ja.wikipedia.org/wiki/大井ふ頭中央海浜公園","Category:品川区の公園","https://ja.wikipedia.org/wiki/Category:品川区の公園","参照,制限あり","北緯35度35分31.8秒東経139度45分10.1秒","海上公園","日本東京都品川区八潮4丁目1番19号","454,271m2","1978年4月1日","日比谷アメニス南部地区（18公園）グループ","","","","大井競馬場前駅より徒歩8分","","","","","","","","","",""
"潮風公園","[潮風公園] 潮風公園 （しおかぜこうえん）は、 東京都 品川区 東八潮 にある 都立公園 である。 1974年 6月1日 開園、面積は約15.5ha。開園当時の名称は「 13号地公園 」であった。","https://ja.wikipedia.org/wiki/潮風公園","Category:品川区の公園","https://ja.wikipedia.org/wiki/Category:品川区の公園","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"しながわ区民公園","[しながわ区民公園] しながわ区民公園 （しながわくみんこうえん）は、「花とひろばと水と緑の公園」をテーマとした区立公園としては最大規模の総合公園である。園内には しながわ水族館 や しながわ区民公園屋外プール が併設されており、桜の広場、スポーツの広場、遊びの広場、潮の広場等に分かれ、遊戯施設、運動施設（少年野球場、テニスコート、プール）、デイキャンプ場、流れ、および海水を利用した1万平方メートルの人工湖「勝島の海」がある。","https://ja.wikipedia.org/wiki/しながわ区民公園","Category:品川区の公園","https://ja.wikipedia.org/wiki/Category:品川区の公園","参照,制限あり","北緯35度35分34.9秒東経139度44分20.4秒","都市公園（総合公園）","日本東京都品川区南大井2丁目、勝島3丁目","約127,419m2","1983年（昭和58年）4月1日","品川区","公式サイト","あり（有料）","東京都品川区","","","","","","","","","","",""
"しながわ中央公園","[しながわ中央公園] しながわ中央公園 （しながわちゅうおうこうえん）は、 東京都 品川区 西品川 にある品川区立の 都市公園 である。","https://ja.wikipedia.org/wiki/しながわ中央公園","Category:品川区の公園","https://ja.wikipedia.org/wiki/Category:品川区の公園","参照,制限あり","北緯35度36分35.1秒東経139度43分39.8秒","都市公園（近隣公園）","日本東京都品川区","21,082m2","2003年4月1日","品川区","公式サイト","なし","東京都品川区西品川一丁目","","","","","","","","","","",""
"神明児童遊園","[神明児童遊園] 神明児童遊園 （しんめいじどうゆうえん）は 東京都 品川区 二葉にある品川区立の 公園 である。二葉図書館隣接部と 補助26号線 を挟んだ北側部に2分している。北側部にあるタコの形をしたコンクリート製滑り台がシンボルになっており、通称「タコ公園（しながわタコ公園）」。","https://ja.wikipedia.org/wiki/神明児童遊園","Category:品川区の公園","https://ja.wikipedia.org/wiki/Category:品川区の公園","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"戸越公園","[戸越公園] 戸越公園 （とごしこうえん）は、 東京都 品川区 豊町 にある品川区立の 公園 である。","https://ja.wikipedia.org/wiki/戸越公園","Category:品川区の公園","https://ja.wikipedia.org/wiki/Category:品川区の公園","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"ねむの木の庭","[ねむの木の庭] ねむの木の庭 （ねむのきのにわ）は、 東京都 品川区 東五反田五丁目にある品川区立の 公園 である。","https://ja.wikipedia.org/wiki/ねむの木の庭","Category:品川区の公園","https://ja.wikipedia.org/wiki/Category:品川区の公園","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"東品川海上公園","[東品川海上公園] 東品川海上公園 （ひがししながわかいじょうこうえん）は、 東京都 品川区 東品川 二丁目・三丁目にある区立 公園 である。 1995年 から整備を始め、 2007年 3月31日 全面開園。","https://ja.wikipedia.org/wiki/東品川海上公園","Category:品川区の公園","https://ja.wikipedia.org/wiki/Category:品川区の公園","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
