"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","交差物件","形式","全長","用途","路線名","竣工","幅","管理者","材料","開通","最大支間長","建設","高さ","設計者","施工者","位置","現況"
"石田大橋"," 石田大橋 （いしだおおはし）は、 多摩川 と 根川  を跨ぐ 日野バイパス の 橋 である。","https://ja.wikipedia.org/wiki/石田大橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度40分26.2秒東経139度25分38.1秒","日本","国立市-日野市間","多摩川根川","4径間連続鋼床版箱桁","385m","道路橋","国道20号（日野バイパス）","2007年5月","22 m","","","2003年3月","","","","","","",""
"稲城大橋"," 稲城大橋 （いなぎおおはし）は、 東京都 の 多摩川 にかかる、 東京都道9号川崎府中線 の 道路橋 である。かつて、この道路橋を含む東京都 府中市 の 中央自動車道 稲城IC 付近から、 稲城市 の 東京都道19号町田調布線 （ 鶴川街道 ）までの区間は 稲城大橋有料道路 と呼ばれる一般有料道路であったが、 2010年 （平成22年） 4月1日 に無料開放された。","https://ja.wikipedia.org/wiki/稲城大橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度39分8秒東経139度30分42秒","日本","東京都府中市-稲城市間","多摩川","3径間連続鋼床版箱桁","351m","","神奈川県道・東京都道9号川崎府中線","","","","鋼","","","","","","","",""
"ガス橋"," ガス橋 （ガスばし）は、 多摩川 下流にかかる 橋 。","https://ja.wikipedia.org/wiki/ガス橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度33分47.7秒東経139度40分42.6秒","日本","東京都大田区-神奈川県川崎市中原区間","多摩川","","","道路橋","東京都道・神奈川県道111号大田神奈川線","1960年","","","","","","","","","","",""
"高速大師橋"," 高速大師橋 （こうそくだいしばし）は、 東京都 大田区 と 神奈川県 川崎市 の間の 多摩川 に架かる、 首都高速横羽線 の 橋 である。","https://ja.wikipedia.org/wiki/高速大師橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度32分35秒東経139度44分32.8秒","日本","東京都大田区、神奈川県川崎市","多摩川","3径間連続鋼床版桁橋","桁橋部292m、ラーメン橋部含め524m","高速道路","首都高速神奈川1号横羽線","","16.5m","首都高速道路株式会社","鋼材","1968年11月28日","132m","","13m（東京湾の平均的な海面から道路面までの高さ）","","","",""
"是政橋"," 是政橋 （これまさばし）は、 多摩川 に架かる橋である。","https://ja.wikipedia.org/wiki/是政橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度39分9秒東経139度29分16.7秒","日本","府中市-稲城市間","多摩川","3径間連続合成桁斜張橋","401m","道路橋","神奈川県道・東京都道9号川崎府中線","2011年3月","","","","","","","","","","",""
"新多摩川大橋"," 新多摩川大橋 （しんたまがわおおはし）は、 多摩川 下流の、 東京都 世田谷区 野毛 地先から 神奈川県 川崎市 高津区 北見方地先の間にかかる道路橋である。","https://ja.wikipedia.org/wiki/新多摩川大橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度36分11.4秒東経139度38分11.9秒","日本","東京都世田谷区-神奈川県川崎市高津区間","多摩川","ボックス型プレートガーター橋","382.9m","道路橋","第三京浜道路","1965年11月","30.8 m","東日本高速道路","","","","","","","","",""
"関戸橋"," 関戸橋 （せきどばし）は、 東京都 の 多摩川 に架かる 東京都道18号府中町田線 （ 鎌倉街道 ）の 橋 である。","https://ja.wikipedia.org/wiki/関戸橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大師橋"," 大師橋 （だいしばし  ）は、 多摩川 にかかる 橋 で、 東京都道・神奈川県道6号東京大師横浜線 （ 産業道路 ）を通す。名称の由来である 川崎大師 は大師橋の南西約1キロメートルのところにある。同橋は 川崎市 が管理している。","https://ja.wikipedia.org/wiki/大師橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度32分40.91秒東経139度44分28.55秒","日本","東京都大田区、神奈川県川崎市","多摩川","上り線:2径間鋼斜張橋および2径間連続鋼箱桁下り線:2径間鋼斜張橋および4径間連続鋼箱桁","550.0m","","","","31.5m（有効幅員29.5m）、6車線","","鋼材","","203m","1991年（平成3年）着工 - 2006年（平成18年）11月11日竣工","約50m（主塔部分）","","","",""
"立日橋"," 立日橋 （たっぴばし）は、 多摩川 に架かる 東京都道149号立川日野線 の橋である。","https://ja.wikipedia.org/wiki/立日橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度41分7.3秒東経139度24分26.9秒","日本","立川市-日野市間","多摩川","","","鉄道道路併用橋","東京都道149号立川日野線多摩都市モノレール線","1989年3月","","","","","","","","","","",""
"多摩大橋"," 多摩大橋 （たまおおはし）は、 多摩川 に架かる 東京都道59号八王子武蔵村山線 の 橋 である。左岸が 東京都 昭島市 、右岸は東京都 八王子市 となる。 1966年 （ 昭和 41年）開通の右岸方面行きの橋と、その上流側に 2007年 （ 平成 19年）開通の左岸方面行きの橋が並列する。以下、本項では1966年開通の橋を既設橋、2007年開通の橋を新設橋と呼ぶ。","https://ja.wikipedia.org/wiki/多摩大橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度41分37.4秒東経139度22分24.9秒","日本","東京都昭島市- 東京都八王子市間","多摩川","バスケットハンドル型ローゼ橋","461.080m","道路橋","東京都道59号八王子武蔵村山線","","","東京都建設局","","1966年、2007年","150.9 m","","","パシフィックコンサルタンツ","松尾橋梁、ピーエス三菱、飯田土建（新設橋上部工）戸田建設、熊谷組（新設橋下部工）","",""
"多摩川大橋"," 多摩川大橋 （たまがわおおはし）は、 多摩川 にかかる 国道1号 第二京浜 の 橋 である。 ガス橋 と 六郷橋 の間に位置し、 東京都 大田区 多摩川 と 神奈川県 川崎市 幸区 小向仲野町の間に架けられている。","https://ja.wikipedia.org/wiki/多摩川大橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度33分22.8秒東経139度41分46.4秒","日本","東京都大田区-神奈川県川崎市幸区間","多摩川","ゲルバープレートガーダー橋","435.76m","道路橋","国道1号（第二京浜国道）","1949年3月","22.8 m","","","","","","","","","",""
"多摩川橋梁 (中央本線)"," 多摩川橋梁 （たまがわきょうりょう）は、 東京都 立川市 と 日野市 の境界にある 多摩川 に架かる 東日本旅客鉄道 （JR東日本） 中央本線 の 鉄道橋 である。","https://ja.wikipedia.org/wiki/多摩川橋梁_(中央本線)","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度41分8秒東経139度23分50秒","日本","東京都立川市-日野市間","多摩川","上路式桁橋","444m","","","","","","鋼、錬鉄","","","1889年","","","","",""
"多摩川橋梁 (京王線)"," 多摩川橋梁 （たまがわきょうりょう）は、 東京都 府中市 と 多摩市 の境界にある 多摩川 に架かる、 京王電鉄 京王線 の 鉄道橋 である。","https://ja.wikipedia.org/wiki/多摩川橋梁_(京王線)","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度39分17.7秒東経139度27分2.2秒","日本","府中市-多摩市間","多摩川","プレートガーダー橋","476m","鉄道橋","京王線","1973年","","京王電鉄","","","","","","","","",""
"多摩川橋梁 (小田急小田原線)"," 多摩川橋梁 （たまがわきょうりょう）は、 小田急 小田原線 和泉多摩川駅 - 登戸駅 間に架かる 鉄道橋 。","https://ja.wikipedia.org/wiki/多摩川橋梁_(小田急小田原線)","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度37分26.1秒東経139度34分16.7秒","日本","東京都狛江市-神奈川県川崎市多摩区間","多摩川","鋼床版連続箱桁","429.6m","鉄道橋","小田急小田原線","2008年","","小田急電鉄","鋼","","","","","","","",""
"多摩川橋梁 (東海道新幹線)"," 多摩川橋梁 （たまがわきょうりょう）は、 多摩川 下流にかかる 東日本旅客鉄道 （JR東日本） 品鶴線 の 鉄道橋 である。 河口 から12.6kmのところにあり、左岸（ 東京都 側）は 大田区 田園調布南、右岸（ 神奈川県 側）は 川崎市 中原区 上丸子山王町である。本橋梁は、主に 横須賀線 ・ 湘南新宿ライン 及び 相鉄・JR直通線 の列車が通過する。 多摩川で唯一、新幹線が走っている。","https://ja.wikipedia.org/wiki/多摩川橋梁_(東海道新幹線)","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"多摩川橋梁 (東急東横線)"," 多摩川橋梁 （たまがわきょうりょう）は、 多摩川 の下流に架かる 東急電鉄 の鉄道橋である。","https://ja.wikipedia.org/wiki/多摩川橋梁_(東急東横線)","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度35分13.5秒東経139度40分3秒","日本","東京都大田区-神奈川県川崎市中原区間","多摩川","","","鉄道橋","東急東横線東急目黒線","1999年","","東急電鉄","","","","","","","","",""
"多摩川橋梁 (八高線)"," 多摩川橋梁 （たまがわきょうりょう）は、 東日本旅客鉄道 （JR東日本） 八高線 小宮駅 - 拝島駅 間にあり、 多摩川 に架かる 鉄道橋 である。","https://ja.wikipedia.org/wiki/多摩川橋梁_(八高線)","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度41分38.4秒東経139度21分47.3秒","日本","八王子市-昭島市間","多摩川","上路式プレートガーダー橋","571.640m","鉄道橋","八高線","1931年","","東日本旅客鉄道","鋼","","","","","","","",""
"多摩川橋梁 (品鶴線)"," 多摩川橋梁 （たまがわきょうりょう）は、 多摩川 下流にかかる 東日本旅客鉄道 （JR東日本） 品鶴線 の 鉄道橋 である。 河口 から12.6kmのところにあり、左岸（ 東京都 側）は 大田区 田園調布南、右岸（ 神奈川県 側）は 川崎市 中原区 上丸子山王町である。本橋梁は、主に 横須賀線 ・ 湘南新宿ライン 及び 相鉄・JR直通線 の列車が通過する。 多摩川で唯一、新幹線が走っている。","https://ja.wikipedia.org/wiki/多摩川橋梁_(品鶴線)","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"多摩川トンネル"," 多摩川トンネル （たまがわトンネル）は、 東京都 大田区 羽田空港 と 神奈川県 川崎市 川崎区 浮島町 を結ぶ道路 トンネル 。専用部（ 首都高速湾岸線 ）が 1994年 に開通しており、一般部（ 国道357号 ）は2016年2月24日に事業着手が発表された    。","https://ja.wikipedia.org/wiki/多摩川トンネル","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度31分30.9秒東経139度47分37.2秒","","","","","2170m","","","","","","","1994年（平成6年）12月","","","","","","神奈川県・東京都","供用中"
"多摩川橋 (中央自動車道)"," 多摩川橋 （たまがわばし）は、 多摩川 に架かる 中央自動車道 の橋である。","https://ja.wikipedia.org/wiki/多摩川橋_(中央自動車道)","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度40分42秒東経139度25分24秒","日本","東京都国立市・日野市","多摩川","3径間連続鋼鈑桁","428m","","","","11m","","鋼","","","","","","","",""
"多摩川原橋"," 多摩川原橋 （たまがわらばし）は、 東京都 の 多摩川 に架かる 橋 である。","https://ja.wikipedia.org/wiki/多摩川原橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度38分37.1秒東経139度31分29.8秒","日本","東京都稲城市-調布市間","多摩川","3径間連続鋼床版箱桁","401.95m","","","","11〜13.5m（車道 7.5〜10m、歩道 3.5m）","","","","","","","","","",""
"多摩水道橋"," 多摩水道橋 （たますいどうばし）は 多摩川 に架かる 東京都道・神奈川県道3号世田谷町田線 （ 世田谷通り ・津久井道）の橋。","https://ja.wikipedia.org/wiki/多摩水道橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度37分32秒東経139度34分9.8秒","日本","東京都狛江市-神奈川県川崎市多摩区間","多摩川","3径間連続鋼ローゼ桁","358.8m","道路橋","東京都道・神奈川県道3号世田谷町田線","2001年5月","","","","","161.50m","","","","","",""
"道所橋"," 道所橋 （どうしょばし／どうどころばし）は、 多摩川 にかかる 吊橋 である。多摩川に架かる最上流の 橋 で、 人道橋 。 東京都 西多摩郡 奥多摩町 に架けられている。 1976年 （昭和51年）完成。周辺には 小河内ダム がある。","https://ja.wikipedia.org/wiki/道所橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度47分33秒東経139度3分39秒","日本","奥多摩町","多摩川","吊橋","","道路橋","","1976年","","","","","","","","","","",""
"東名高速道路多摩川橋"," 東名高速道路多摩川橋 （とうめいこうそくどうろたまがわばし）は 多摩川 を渡る 東名高速道路 の 橋 である。 東京都 世田谷区 から 神奈川県 川崎市 多摩区 へと架かる。","https://ja.wikipedia.org/wiki/東名高速道路多摩川橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度37分6.1秒東経139度35分45.4秒","日本","東京都世田谷区-神奈川県川崎市多摩区間","多摩川","","","道路橋","E1東名高速道路","","","中日本高速道路","","1968年4月25日","","","","","","",""
"羽田連絡道路"," 羽田連絡道路 （はねだれんらくどうろ）は、 羽田空港 跡地地区と 川崎市 殿町 地区を結ぶ橋及びその連絡道路のこと  。","https://ja.wikipedia.org/wiki/羽田連絡道路","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日野橋"," 日野橋 （ひのばし）は、 多摩川 に架かる 道路橋 の一つ。 1926年 （大正15年）に開通  。 日野の渡し （ひののわたし）についても本稿で記述。 #日野の渡し を参照。","https://ja.wikipedia.org/wiki/日野橋","Category_多摩川の橋","https://ja.wikipedia.org/wiki/Category:多摩川の橋","箇条書き,制限あり","北緯35度41分0.6秒東経139度24分45.9秒","日本","立川市-日野市間","多摩川","単純RC桁","367.26m","道路橋","東京都道256号八王子国立線","1926年8月","10.5 m","","","","","","","","","",""
