"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","面積","分類","駐車場","運営者","事務所所在地","設備・遊具","アクセス","公式サイト","前身","事務所","設計者","専門分野","事業主体","管理運営","年運営費","開館","位置"
"池上梅園","[池上梅園] 池上梅園 （いけがみばいえん）は、 東京都 大田区 池上 にある区立 公園 である。","https://ja.wikipedia.org/wiki/池上梅園","Category:大田区の公園","https://ja.wikipedia.org/wiki/Category:大田区の公園","参照,制限あり","北緯35度34分52.6秒東経139度42分10.1秒","日本東京都大田区","1978年8月26日、","9,880.82m2。","区立公園","あり（有料）","","東京都大田区池上二丁目2番13号","","","","","","","","","","","",""
"入新井西児童交通公園","[入新井西児童交通公園] 入新井西児童交通公園 （いりあらいにしじどうこうつうこうえん）は、 東京都 大田区 大森北 4丁目27番地にある 公園 。","https://ja.wikipedia.org/wiki/入新井西児童交通公園","Category:大田区の公園","https://ja.wikipedia.org/wiki/Category:大田区の公園","参照,制限あり","北緯35度35分5.9秒東経139度43分33秒","日本東京都大田区大森北4丁目27番地","","","交通公園","","大田区","","SL、幼児用遊具","","","","","","","","","","",""
"大井ふ頭中央海浜公園","[大井ふ頭中央海浜公園] 大井ふ頭中央海浜公園 （おおいふとうちゅうおうかいひんこうえん）は 東京都 品川区 および 大田区 に所在する 東京都港湾局 が管理する 海上公園 である。","https://ja.wikipedia.org/wiki/大井ふ頭中央海浜公園","Category:大田区の公園","https://ja.wikipedia.org/wiki/Category:大田区の公園","参照,制限あり","北緯35度35分31.8秒東経139度45分10.1秒","日本東京都品川区八潮4丁目1番19号","1978年4月1日","454,271m2","海上公園","","日比谷アメニス南部地区（18公園）グループ","","","大井競馬場前駅より徒歩8分","","","","","","","","","",""
"大田文化の森","[大田文化の森] 大田文化の森 （おおたぶんかのもり）は、 東京都 大田区 中央 二丁目にある 公園 ・ 文化施設 である。詳細については、大田文化の森 条例 （平成13年3月16日大田区条例第19号。以下条例という。）および大田文化の森条例施行規則（平成13年7月1日大田区規則第116号。以下規則という。）に定められている。","https://ja.wikipedia.org/wiki/大田文化の森","Category:大田区の公園","https://ja.wikipedia.org/wiki/Category:大田区の公園","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"大森海苔のふるさと館","[大森海苔のふるさと館] 大森 海苔のふるさと館 （おおもりのりのふるさとかん）は、 東京都 大田区 平和の森公園にある博物館で、管理運営は特定非営利活動法人海苔のふるさと会が行っている。","https://ja.wikipedia.org/wiki/大森海苔のふるさと館","Category:大田区の公園","https://ja.wikipedia.org/wiki/Category:大田区の公園","参照,制限あり","北緯35度34分37.62秒東経139度44分33.89秒","〒143-0005東京都大田区平和の森公園2番2号","","","","","","","","","","","","","海苔","大田区","特定非営利活動法人海苔のふるさと会理事長中村博","　","2008年（平成20年）4月","北緯35度34分37.62秒東経139度44分33.89秒﻿ / ﻿北緯35.5771167度 東経139.7427472度﻿ /35.5771167; 139.7427472"
"大森ふるさとの浜辺公園","[大森ふるさとの浜辺公園] 大森ふるさとの浜辺公園 （おおもりふるさとのはまべこうえん）は、 東京都 大田区 ふるさとの浜辺公園にある大田区立の海浜 公園 である。東京都内では初の区立の 海浜公園 である。大田区内を流れている 内川 の河口部分を埋め立てて作られた公園で、人工海浜や人工干潟などが備えられ、磯遊びや水遊びができるスポットとなっている。","https://ja.wikipedia.org/wiki/大森ふるさとの浜辺公園","Category:大田区の公園","https://ja.wikipedia.org/wiki/Category:大田区の公園","参照,制限あり","北緯35度34分23秒東経139度44分30秒","日本東京都大田区ふるさとの浜辺公園1番1号、平和の森公園2番2号、大森東一丁目34番2号","2007年4月1日","12.8 ヘクタール（水面含む）","","147台","大田区","大田区大森西一丁目12番1号","人工砂浜、人工干潟、釣磯場、ふるさとの広場、海辺の自然広場、ローラースライダー、売店、大森 海苔のふるさと館","平和島駅徒歩約15分 、大森町駅徒歩約12分 、大森駅から京急バス平和島循環で平和島五丁目バス停下車徒歩約3分、大森駅・蒲田駅から京急バス大森東五丁目行きで終点下車徒歩約4分、流通センター駅徒歩約15分","大森ふるさとの浜辺公園","公有水面","大田区地域基盤整備第一課","","","","","","",""
"京浜島つばさ公園","[京浜島つばさ公園] 京浜島つばさ公園 （けいひんじまつばさこうえん）は、 東京都 大田区 京浜島 にある 東京都港湾局 が管理する 海上公園 である。","https://ja.wikipedia.org/wiki/京浜島つばさ公園","Category:大田区の公園","https://ja.wikipedia.org/wiki/Category:大田区の公園","参照,制限あり","北緯35度34分15秒東経139度46分13秒","日本東京都大田区京浜島","1979年4月1日","","海上公園","あり","","","","","","","","","","","","","",""
"城南島海浜公園","[城南島海浜公園] 城南島海浜公園 （じょうなんじまかいひんこうえん）は 東京都 大田区 城南島 に所在する 東京湾 に面した 東京都港湾局 が管理する 海上公園 である。","https://ja.wikipedia.org/wiki/城南島海浜公園","Category:大田区の公園","https://ja.wikipedia.org/wiki/Category:大田区の公園","参照,制限あり","北緯35度34分41秒東経139度47分0秒","日本東京都大田区城南島","1991年7月6日","","海上公園","あり","","","","","","","","アーバンデザインコンサルタント","","","","","",""
"聖跡蒲田梅屋敷公園","[聖跡蒲田梅屋敷公園] 聖跡蒲田梅屋敷公園 （せいせきかまたうめやしきこうえん）とは、 東京都 大田区 蒲田 にある和風 庭園 である。その名の通り多くの 梅 が植えられている。","https://ja.wikipedia.org/wiki/聖跡蒲田梅屋敷公園","Category:大田区の公園","https://ja.wikipedia.org/wiki/Category:大田区の公園","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"多摩川台公園","[多摩川台公園] 多摩川台公園 （たまがわだいこうえん）は、 東京都 大田区 田園調布 一丁目に位置する大田区立 公園 である。","https://ja.wikipedia.org/wiki/多摩川台公園","Category:大田区の公園","https://ja.wikipedia.org/wiki/Category:大田区の公園","参照,制限あり","北緯35度35分24.5秒東経139度40分0.9秒","日本東京都大田区田園調布一丁目","1953年","面積66,661 m2","","","","","","","","","","高村弘平","","","","","",""
