"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"日本動物園水族館協会","[日本動物園水族館協会]","https://ja.wikipedia.org/wiki/日本動物園水族館協会","Category_日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"IPCわんわん動物園","[IPCわんわん動物園]","https://ja.wikipedia.org/wiki/IPCわんわん動物園","Category_日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"赤塚山公園","[赤塚山公園]","https://ja.wikipedia.org/wiki/赤塚山公園","Category_日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"秋田市大森山動物園","[秋田市大森山動物園]","https://ja.wikipedia.org/wiki/秋田市大森山動物園","Category_日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"秋吉台サファリランド","[秋吉台サファリランド]","https://ja.wikipedia.org/wiki/秋吉台サファリランド","Category_日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿蘇カドリー・ドミニオン","[阿蘇カドリー・ドミニオン]","https://ja.wikipedia.org/wiki/阿蘇カドリー・ドミニオン","Category_日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"熱川バナナワニ園","[熱川バナナワニ園]","https://ja.wikipedia.org/wiki/熱川バナナワニ園","Category_日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"足立区生物園","[足立区生物園]","https://ja.wikipedia.org/wiki/足立区生物園","Category_日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"アドベンチャーワールド","[アドベンチャーワールド]","https://ja.wikipedia.org/wiki/アドベンチャーワールド","Category_日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿仁熊牧場","[阿仁熊牧場]","https://ja.wikipedia.org/wiki/阿仁熊牧場","Category_日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奄美アイランド植物園","[奄美アイランド植物園]","https://ja.wikipedia.org/wiki/奄美アイランド植物園","Category_日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
