"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","正式名称","略称","種類","設立","法人番号","代表者","外部リンク","英語名称","設立年月日","本社所在地","ウェブサイト","業種","事業内容","上位組織","組織形態","前身","資本金","従業員数"
"IBM東京基礎研究所","[IBM東京基礎研究所] IBM東京基礎研究所 （アイビーエムとうきょうきそけんきゅうじょ、 英語 : IBM Research - Tokyo ）は、 IBM の世界で12か所ある主な基礎研究所の一つ。2009年までは IBM Tokyo Research Laboratory （ TRL ）と呼ばれていた。    IBM研究部門 （ IBM Research ）の支部で約200名の研究者が在籍している。 ","https://ja.wikipedia.org/wiki/IBM東京基礎研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯35度40分45.199秒 東経139度47分12.048秒","","","","","","","","","","","","","","","","","","",""
"高知医療再生機構","[高知医療再生機構] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/高知医療再生機構","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"英語教授研究所","[英語教授研究所] 英語教授研究所 （えいごきょうじゅけんきゅうじょ、 The Institute for Research in English Teaching ） は 1923年 （大正12年）5月23日に文部省英語教授顧問 ハロルド・パーマー を初代所長として 文部省 内に設立された。英語教育を専門として設立された世界初の研究機関である。 岡田良平 文部大臣が名誉総裁、 澤柳政太郎 と 松方幸次郎 が副総裁だった。 1942年 （昭和17年）3月に 語学教育研究所 と改称して、現在も精力的に活動している。","https://ja.wikipedia.org/wiki/英語教授研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"オートバックス・スポーツカー研究所","[オートバックス・スポーツカー研究所] オートバックス・スポーツカー研究所 （オートバックススポーツカーけんきゅうじょ、 ASL ）は、 オートバックスセブン が運営する スポーツカー 開発機関。ASLは「AUTOBACS SPORTSCAR LABORATORY」の略称である。","https://ja.wikipedia.org/wiki/オートバックス・スポーツカー研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"千葉大学真菌医学研究センター","[千葉大学真菌医学研究センター] 共同利用・共同研究拠点  に指定されている。","https://ja.wikipedia.org/wiki/千葉大学真菌医学研究センター","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","日本〒260-8673千葉県千葉市中央区亥鼻1-8-1","千葉大学真菌医学研究センター","MMRC","","","","","","Chiba University Medical Mycology Research Center","1997年4月1日","","","","","千葉大学","大学附置研究所（共同利用・共同研究拠点）","腐敗研究所","",""
"現代コリア研究所","[現代コリア研究所] 現代コリア研究所 （げんだいこりあけんきゅうじょ、 1961年 設立 - ）は任意機関。","https://ja.wikipedia.org/wiki/現代コリア研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"工業試験場","[工業試験場] 工業試験場 （こうぎょうしけんじょう）は、 工業 に関する 研究 を行う日本の 機関 。 独立行政法人 や 都道府県 、 大学 の 工学部 、大規模な 製造業 関連の 会社 などが設置する。","https://ja.wikipedia.org/wiki/工業試験場","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"G&amp;U技術研究センター","[G&U技術研究センター] ","https://ja.wikipedia.org/wiki/G&U技術研究センター","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯35度59分18.0秒東経139度28分4.0秒","日本埼玉県比企郡川島町吹塚北緯35度59分18.0秒東経139度28分4.0秒﻿ / ﻿北緯35.988333度 東経139.467778度﻿ /35.988333; 139.467778﻿ (G&U技術研究センター)座標:北緯35度59分18.0秒東経139度28分4.0秒﻿ / ﻿北緯35.988333度 東経139.467778度﻿ /35.988333; 139.467778﻿ (G&U技術研究センター)","G&U技術研究センター","","","","","","","","","","http://www.gucenter.co.jp","","","","株式会社","","",""
"自衛隊病院","[自衛隊病院] 自衛隊病院 （じえいたいびょういん）とは、 防衛省 が設置・運営する陸・海・空自衛隊の 共同機関 であり、 自衛隊中央病院 や陸海空幕僚長を通じて指揮監督を受ける自衛隊地区病院の総称。共同機関以外に防衛省が設置する 病院 として 防衛医科大学校病院 がある。","https://ja.wikipedia.org/wiki/自衛隊病院","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ジオパワーシステム","[ジオパワーシステム] ","https://ja.wikipedia.org/wiki/ジオパワーシステム","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","株式会社","2001年4月","3250001004682","代表取締役　橋本真成","www.geo-power.co.jp/","","","日本〒754-0603山口県美祢市秋芳町別府2604-1","","建設業","住宅向け地熱エネルギー活用技術の研究・開発・製造・販売","","","","9500万円",""
