"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","設備・遊具","駐車場","告示","運営者","公式サイト","アクセス","事務所","バリアフリー","事務所所在地","開園","備考","前身","設計者","現況","年来園者数","正式名称"
"旭山記念公園","[旭山記念公園] 旭山記念公園 （あさひやまきねんこうえん）は、 札幌市 中央区 にある 公園 。","https://ja.wikipedia.org/wiki/旭山記念公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度02分22秒東経141度18分50秒","日本札幌市中央区界川・双子山","20.3ヘクタール","特殊公園","森林、展望台、噴水、広場、吊り橋、四阿、遊具","第1駐車場58台第2駐車場61台（冬季閉鎖）","都市計画決定：昭和42年3月15日建設省告示第600号","札幌市公園緑化協会","旭山記念公園","ジェイ・アール北海道バス（琴似営業所）「旭山公園前」バス停下車","旭山記念公園管理事務所（森の家）","身障者用トイレ3ヶ所、車いす用水飲台、貸出用車いす5台、貸出用ベビーカー1台","札幌市中央区界川4丁目","1970年9月26日","広域避難場所","","","","",""
"明日風公園","[明日風公園] 明日風公園 （あすかぜこうえん）は、 札幌市 手稲区 にある 公園 。","https://ja.wikipedia.org/wiki/明日風公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度08分21秒東経141度13分43秒","日本札幌市手稲区明日風","4.8ヘクタール","地区公園","広場、築山、遊具、テニスコート、パークゴルフ場、園路","20台","都市計画決定：平成14年11月12日札幌市告示第1306号","札幌市公園緑化協会（指定管理者）","明日風公園","ジェイ・アール北海道バス札樽線「明日風5丁目」「明日風3丁目」「明日風3丁目東」バス停下車","","身障者対応トイレ、車椅子用水飲台","","2010年","","","","","",""
"厚別公園","[厚別公園] 厚別公園 （あつべつこうえん）は、 札幌市 厚別区 にある 公園 。","https://ja.wikipedia.org/wiki/厚別公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度01分03秒東経141度27分51秒","日本札幌市厚別区上野幌","12.6ヘクタール","運動公園","陸上競技場、広場、パーゴラ、壁泉","第一駐車場169台、第二駐車場119台","都市計画決定：昭和58年3月31日北海道告示第600号","札幌市公園緑化協会（指定管理者）","厚別公園","札幌市営地下鉄東西線大谷地駅下車 徒歩10分北海道中央バス「平岡9条3丁目」「厚別公園」バス停下車 徒歩5分、「雇用促進住宅入口」バス停下車 徒歩10分北海道中央バス・ジェイ・アール北海道バス「上野幌2条1丁目」バス停下車 徒歩5分","厚別公園管理事務所","身障者対応トイレ、車椅子用水飲台","札幌市厚別区上野幌3条1丁目2番1号","1987年","広域避難場所","","","","",""
"石山緑地","[石山緑地] 石山緑地 （いしやまりょくち）は、 札幌市 南区 にある 公園 （ 緑地 ）。","https://ja.wikipedia.org/wiki/石山緑地","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯42度58分11秒東経141度20分31秒","日本札幌市南区石山","11.8ヘクタール","都市緑地","広場、野外ステージ、噴水、遊水路、壁泉、四阿、パーゴラ、遊具、テニスコート、ゲートボール場、老人福祉施設","3ヶ所計48台","平成5年3月31日","藻南・石山・常盤・さくらの森グループ（指定管理者）","石山緑地〜施設案内","北海道中央バス（西岡営業所）「石山東3丁目」バス停下車 徒歩4分","藻南公園管理事務所","","札幌市南区川沿10条1丁目2-58","","","","キタバ・ランドスケープ","","",""
"大通公園","[大通公園] 大通公園 （おおどおりこうえん）は、 札幌市 中央区 にある 公園 。「 日本の道100選 」「 日本の都市公園100選 」「 都市景観100選 」「 日本の歴史公園100選 」選定    。","https://ja.wikipedia.org/wiki/大通公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度03分35秒東経141度20分47秒","日本札幌市中央区大通西","7.89ヘクタール","特殊公園","壁泉、噴水、広場、遊具、水路、園路","札幌大通地下駐車場（366台）","昭和55年6月6日","札幌市公園緑化協会（指定管理者）","大通公園","札幌市営地下鉄大通駅または東西線西11丁目駅下車","大通公園管理事務所","ユニバーサルトイレ","札幌市中央区大通西7","","","","","","",""
"偕楽園 (札幌市)","[偕楽園 (札幌市)] 偕楽園 （かいらくえん）は、かつて 北海道 札幌市 に存在した公園。札幌最古の都市公園である。日本にはさらに古い由来を持つ公園も多くあるが、それは旧来の名勝名跡を「公園」と改めたものであり、意図して無から造成した都市公園としては、この偕楽園が日本最古となる  。","https://ja.wikipedia.org/wiki/偕楽園_(札幌市)","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度4分5.2秒東経141度20分40秒","日本札幌市北区北6 - 7条 西7丁目","2797m2","都市緑地","","","2002年（平成14年）3月29日","","","","","車椅子用水飲台","","","","偕楽園","","年中開放","",""
"川下公園","[川下公園] 川下公園 （かわしもこうえん）は、 札幌市 白石区 にある 公園 。","https://ja.wikipedia.org/wiki/川下公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度03分48秒東経141度26分40秒","日本札幌市白石区川下","19.5ヘクタール","総合公園","プール、浴室、レストラン、野球場、テニスコート、パークゴルフ場、グラウンド・ゴルフ、クロスカントリースキー、広場、壁泉、水路、噴水、展望台、園路","計263台（リラックスプラザ前駐車場、野球場前駐車場、ピクニック広場前駐車場）","都市計画決定：昭和62年8月17日北海道告示第1375号","札幌市公園緑化協会（指定管理者）","川下公園","北海道中央バス（白石営業所）「川下公園前」バス停下車 徒歩1分、「白石高校前」バス停下車 徒歩5分","川下公園管理事務所","身障者対応トイレ、車椅子貸出、スロープ（リラックスプラザ）","札幌市白石区川下2651番地3外","1999年（全面供用）","広域避難場所","","","","",""
"五天山公園","[五天山公園] 五天山公園 （ごてんざんこうえん）は、 札幌市 西区 福井 にある 公園 。","https://ja.wikipedia.org/wiki/五天山公園","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度02分47秒東経141度15分35秒","日本札幌市西区福井","24.7ヘクタール","総合公園","学習館、売店、食堂、水車、テニスコート、パークゴルフ場、遊具、広場、花壇、園路","544台（夜間閉鎖）","都市計画決定：平成11年11月16日北海道告示第1893号","五天山・宮丘パークマネージメントグループ（指定管理者）","五天山・宮丘公園","ジェイ・アール北海道バス（琴似営業所）「福井10丁目」バス停下車 徒歩5分、「五天山公園」バス停下車（停車しないバスあり）","五天山公園管理事務所","身障者対応トイレ","札幌市西区福井423番地","2006年（パークゴルフ場）2009年4月25日（全面開園）","","採石場","","","",""
"札幌芸術の森","[札幌芸術の森] 札幌芸術の森 （さっぽろげいじゅつのもり）は、 札幌市 南区 芸術の森 にある複合文化施設  。札幌市の都市公園として整備している。「 公共建築百選 」選定。","https://ja.wikipedia.org/wiki/札幌芸術の森","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯42度56分02秒東経141度20分14秒","日本札幌市南区芸術の森","39ヘクタール","特殊公園","美術館、アトリエ、窯、喫茶店、レストラン、音楽ホール、野外ステージ、ロッジ","約650台","都市計画決定：昭和59年4月9日北海道告示第611号","公益財団法人札幌市芸術文化財団","札幌芸術の森","北海道中央バス（西岡営業所）「芸術の森入口」または「芸術の森センター」バス停下車道央自動車道北広島ICから約21km札樽自動車道札幌北ICから約23km","","","札幌市南区芸術の森2丁目75番地","1986年7月27日","札幌芸術の森美術館：小学生以上有料（展示会ごとに変動）野外美術館：1,000円（11月上旬から4月下旬）佐藤忠良記念子どもアトリエ：野外美術館入館料で入場可（冬季休館中は無料）その他施設：各料金参照","","板谷邦夫","","",""
"篠路五ノ戸の森緑地","[篠路五ノ戸の森緑地] 篠路五ノ戸の森緑地 （しのろごのへのもりりょくち）は、 北海道 札幌市 北区 篠路 3条10丁目に所在する緑地。「五ノ戸」とは 上篠路 地区北部を指す旧称で、由来は「最初の入植者が5戸だったから」あるいは「青森県 五戸町 から入植してきたから」と言われる  。","https://ja.wikipedia.org/wiki/篠路五ノ戸の森緑地","Category:札幌市の公園","https://ja.wikipedia.org/wiki/Category:札幌市の公園","箇条書き,制限あり","北緯43度08分34.4秒東経141度22分28.9秒","日本北海道札幌市北区篠路3条10丁目","22566m2","都市緑地","コンビネーション遊具、エアホーン","8台","","","","","","","","","","","","","",""
