"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","交差物件","全長","形式","幅","用途","建設","路線名","最大支間長","材料","管理者","竣工","開通","高さ","施工者","設計者,施工者","総延長","実延長"
"曙橋"," 曙橋 （あけぼのばし）は 東京都 新宿区 にある 都道319号 （ 外苑東通り ）の 陸橋 である。同区 片町 と 荒木町 との境界に位置し、都道302号（ 靖国通り ）の上を跨いでいる。","https://ja.wikipedia.org/wiki/曙橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"曙橋 (神田川)"," 曙橋 （あけぼのばし）は、 東京都 の 神田川 に架かる 橋 で、 面影橋 の 上流 100メートルほどに存在する。","https://ja.wikipedia.org/wiki/曙橋_(神田川)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"飛鳥山下跨線人道橋"," 飛鳥山下跨線人道橋 （あすかやましたこせんじんどうきょう）は 東京都 北区 王子 1丁目で JR東日本 東北本線 および 京浜東北線 を跨ぐ人道橋である。 王子駅 南口と隣接する 飛鳥山公園 を結ぶ。橋上の通路はJR東日本の管理下となっていてあくまで王子駅の施設の一部であり、道路としては認定されていない。","https://ja.wikipedia.org/wiki/飛鳥山下跨線人道橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"荒川橋梁 (埼京線)"," 荒川橋梁 （あらかわきょうりょう）は、 東京都 板橋区 舟渡 と 埼玉県 戸田市 堤外の間で 荒川 に架かり、 東北新幹線 上野駅 ・ 大宮駅 間および 東北本線 の支線（通称 埼京線 ） 浮間舟渡駅 ・ 戸田公園駅 間にある 複々線 の 鉄道橋 である。 約70 m上流側に 国道17号 の 戸田橋 が架かる  。","https://ja.wikipedia.org/wiki/荒川橋梁_(埼京線)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","日本","東京都板橋区-埼玉県戸田市間","荒川","639m","合成桁橋","20.7 m","","1979年-1985年","","86.7 m","","","","","","","","",""
"荒川橋梁 (東北新幹線)"," 荒川橋梁 （あらかわきょうりょう）は、 東京都 板橋区 舟渡 と 埼玉県 戸田市 堤外の間で 荒川 に架かり、 東北新幹線 上野駅 ・ 大宮駅 間および 東北本線 の支線（通称 埼京線 ） 浮間舟渡駅 ・ 戸田公園駅 間にある 複々線 の 鉄道橋 である。 約70 m上流側に 国道17号 の 戸田橋 が架かる  。","https://ja.wikipedia.org/wiki/荒川橋梁_(東北新幹線)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","日本","東京都板橋区-埼玉県戸田市間","荒川","639m","合成桁橋","20.7 m","","1979年-1985年","","86.7 m","","","","","","","","",""
"荒川橋梁 (東北本線)"," 荒川橋梁 （あらかわきょうりょう）は、東京都北区 赤羽 と埼玉県川口市舟戸町の間で 荒川 に架かる 東日本旅客鉄道 （JR東日本） 東北本線 の密接する3本の複線 鉄道橋 である。下流側の複線が 電車線 （旅客案内上は 京浜東北線 ）、中央の複線が 列車線 （旅客案内上は 宇都宮線 （東北線）・ 高崎線 ・ 上野東京ライン ）、上流側の複線が 貨物線 （「 東北貨物線 」、旅客案内上は 湘南新宿ライン ）で、当橋梁は電車線では 赤羽駅 ・ 川口駅 間、列車線・貨物線では赤羽駅・ 浦和駅 間にある。右岸堤防を挟み、すぐ南側に隣接して 新河岸川 に架かる橋長87メートルの 新河岸川橋梁 （しんかしがわきょうりょう）がある  。この記事では新河岸川橋梁についても合わせて触れる。","https://ja.wikipedia.org/wiki/荒川橋梁_(東北本線)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度47分31.9秒東経139度43分3秒","日本","東京都北区-埼玉県川口市間","荒川","692m","38.6m複線下路PC桁4連+59.1m複線下路鋼製ワーレントラス桁3連+62.8m複線下路鋼製ワーレントラス桁3連+38.6m複線下路PC桁4連（電車線・列車線・貨物線とも）","","鉄道橋","1964年1月-1968年10月","東北本線","62.8m","鋼鉄製トラス桁・プレストレスト・コンクリート製下路桁","東日本旅客鉄道","","","","","","",""
"池袋大橋"," 池袋大橋 （いけぶくろおおはし）は 東京都 豊島区 池袋 と 上池袋 、 東池袋 を結ぶ 東京都道441号池袋谷原線 の 跨線橋 。","https://ja.wikipedia.org/wiki/池袋大橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度44分2.8秒東経139度42分49.2秒","日本","東京都豊島区","","209.26m","","15.51m","","","","","鋼","","","","","","","",""
"板橋 (石神井川)"," 板橋 （いたばし）は、 東京都 板橋区 本町 にある 東京都板橋区仲宿 へ架かる 橋 。 同区名の由来とされている。","https://ja.wikipedia.org/wiki/板橋_(石神井川)","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"恵比寿南橋"," 恵比寿南橋 （えびすみなみばし）は、 東京都 渋谷区 にある道路橋（ 跨線橋 ）である。 アメリカ橋 の 通称 で認知されている。 山手線 の 目黒駅 と 恵比寿駅 の間にあり、鉄製で青色。","https://ja.wikipedia.org/wiki/恵比寿南橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大井水管橋"," 大井水管橋 （おおいすいかんきょう）は、 東京都 品川区 の 京浜運河 を渡る 水管橋 である。","https://ja.wikipedia.org/wiki/大井水管橋","Category_東京都区部の橋","https://ja.wikipedia.org/wiki/Category:東京都区部の橋","箇条書き,制限あり","北緯35度36分48秒東経139度45分6.2秒","日本","東京都品川区","京浜運河首都高速1号羽田線東京モノレール羽田空港線","165m","2径間鋼ランガー補剛形式","1200A×2条（管径）","水管橋","","","79.8m","鋼材","東京都水道局","","1967年","","IHIインフラシステム栗本鐵工所","","",""
