"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","運営者","公式サイト","分類","面積","事務所所在地","事務所","設備・遊具","アクセス","駐車場","前身","現況","バリアフリー","国","種別","総面積","ウェブサイト","Find a Grave"
"青山公園","[青山公園] 青山公園 （あおやまこうえん）は、 東京都 港区 にある 都立公園 （総合公園）である。","https://ja.wikipedia.org/wiki/青山公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度39分49秒東経139度43分29秒","日本東京都港区","1970年（昭和45年）6月1日","東京都公園協会2011～2015年度指定管理者","公式サイト","総合公園","38,465.49m2","東京都港区南青山二丁目32番2号（青山霊園内）","青山公園サービスセンター","","","なし","","","","","","","",""
"青山霊園","[青山霊園] 青山霊園 （あおやまれいえん）は、 東京都 港区 南青山 二丁目にある東京 都立 の 霊園 である  。","https://ja.wikipedia.org/wiki/青山霊園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度40分0秒東経139度43分20秒","東京都港区南青山二丁目32番2号","1874年（明治7年）9月1日","公益財団法人東京都公園協会","","","","","","","","","","","","日本","公営","26.3ha墓所面積 12.8ha","http://www.tokyo-park.or.jp/park/format/index072.html","青山霊園"
"有栖川宮記念公園","[有栖川宮記念公園] 有栖川宮記念公園 （ありすがわのみやきねんこうえん）は、 東京都 港区 南麻布 にある 都市公園 （風致公園）である  。","https://ja.wikipedia.org/wiki/有栖川宮記念公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度39分07秒東経139度43分33秒","日本東京都港区南麻布5-7-29北緯35度39分07秒東経139度43分33秒﻿ / ﻿北緯35.65204度 東経139.72584度﻿ /35.65204; 139.72584座標:北緯35度39分07秒東経139度43分33秒﻿ / ﻿北緯35.65204度 東経139.72584度﻿ /35.65204; 139.72584","1934年（昭和9年）11月","港区","http://www.arisugawa-park.jp/","都市公園（風致公園）","67,131.11m2","園内東側","","木製複合遊具、スプリング遊具、ほか","東京メトロ日比谷線広尾駅より徒歩3分","","","","","","","","",""
"イタリア公園","[イタリア公園] イタリア公園 （イタリアこうえん）は、 東京都 港区 東新橋 一丁目10番20号にある港区立の 公園 。「日本におけるイタリア2001年」を記念し同国から寄贈されたもの。面積3,660.02平方メートルの街区公園。トスカーナ・ルネッサンス様式の本格的なイタリア式庭園の外観でイタリア製の彫刻、噴水がある。 汐留イタリア街 に隣接している。","https://ja.wikipedia.org/wiki/イタリア公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度39分34.2秒東経139度45分33.1秒","日本東京都港区","2003年","港区","公式ウェブサイト","都市公園","3,660 m2","","","","汐留駅から徒歩5分","","","","","","","","",""
"一の橋公園","[一の橋公園] 一の橋公園 （いちのはしこうえん）は、 東京都 港区 にある港区立の 都市公園 （街区公園）  である。一の橋親水公園とも呼ばれる  。","https://ja.wikipedia.org/wiki/一の橋公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度39分21.1秒 東経139度44分15.2秒","日本東京都港区東麻布3丁目","","港区","一の橋公園（港区HP）","都市公園（街区公園）","4,828 m2","","","","","","","","","","","","",""
"お台場海浜公園","[お台場海浜公園] お台場海浜公園 （おだいばかいひんこうえん）は、 東京都 港区 台場 にある旧 防波堤 と 台場公園 に囲まれている 入り江 を利用した 海浜公園 である。 潮風公園 、 台場公園 と隣接する。","https://ja.wikipedia.org/wiki/お台場海浜公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度37分50.9秒 東経139度46分35.8秒","日本東京都港区台場一丁目4番地","1975年12月1日","","https://www.tptc.co.jp/park/01_02","","510,809,79 m2（うち水域435,395.00 m2）","","","","","","","","","","","","",""
"お台場レインボー公園","[お台場レインボー公園] お台場レインボー公園 （おだいばれいんぼーこうえん）は、 東京都 港区 台場 一丁目にある 公園 である。 1996年 開園、面積は約11000 m 2 。","https://ja.wikipedia.org/wiki/お台場レインボー公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"亀塚公園","[亀塚公園] 亀塚公園 （かめづかこうえん）は、 東京都 港区 三田四丁目16番20号にある 児童公園 。隣に 済海寺 が、また敷地内に亀塚公園前交番（ 三田警察署 管内）がある。　","https://ja.wikipedia.org/wiki/亀塚公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"旧芝離宮恩賜庭園","[旧芝離宮恩賜庭園] 旧芝離宮恩賜庭園 （きゅうしばりきゅうおんしていえん）は、 東京都 港区 海岸 にある 都立庭園 。 大久保忠朝 上屋敷の庭園楽寿園が始まりで、宮内庁管理の 離宮 を経て、 大正 13年（ 1924年 ）東京市に下賜され、旧芝離宮恩賜庭園として公開された。","https://ja.wikipedia.org/wiki/旧芝離宮恩賜庭園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度39分18秒東経139度45分32.4秒","東京都港区海岸一丁目","","東京都公園協会2011～2015年度指定管理者","公式ホームページ","都立庭園・名勝","42,035.40m2","","","弓道場","","","","","","","","","",""
"港南緑水公園","[港南緑水公園] 港南緑水公園 （こうなんりょくすいこうえん）は、 東京都 港区 港南 四丁目にある港区立公園。面積20,206  m 2 。公園敷地東側は京浜運河、南側は ワールドシティタワーズ 公開空地 と接続しており、西側は 首都高速1号線 、 東京モノレール 、 東京都道316号日本橋芝浦大森線 と接する  。","https://ja.wikipedia.org/wiki/港南緑水公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度37分43.0秒東経139度45分4.9秒","日本東京都港区港南四丁目","2006年(全面開園2012年4月)","東京都港区","港南緑水公園","都市公園","20,206 m2","〒108-0075東京都港区港南四丁目7番47号","港南緑水公園管理事務所","ブランコ、滑り台、自然観察池、運河デッキ","JR・京急品川駅徒歩13分都営バス港南小学校前下車徒歩1分","なし","陸上自衛隊芝浦分屯地","年中24時間開放","バリアフリー公衆トイレ","","","","",""
"国立科学博物館附属自然教育園","[国立科学博物館附属自然教育園] 国立科学博物館附属 自然教育園 （こくりつかがくはくぶつかんふぞく しぜんきょういくえん）は、 東京都 港区 白金台 五丁目に存在する 国立科学博物館 附属の自然緑地である。","https://ja.wikipedia.org/wiki/国立科学博物館附属自然教育園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度38分17秒東経139度43分10秒","〒108-0071東京都港区白金台五丁目21番5号","1949年","","国立科学博物館附属自然教育園","","","","","","","","旧白金御料地","","","","","","",""
"芝浦中央公園","[芝浦中央公園] 芝浦中央公園 （しばうらちゅうおうこうえん）は、 東京都 港区 港南 一丁目にある港区立公園。面積45,781.97  m 2 。港区内の芝浦港南地区における、最も面積の広い公園である  。東京都下水道局芝浦水再生センター内の曝気槽（ばっきそう）の上部を鉄筋コンクリートで蓋をして造られた 人工地盤 の公園。A～Dの4つの面に分かれており、敷地南側で 品川シーズンテラス の敷地と接続している  。港区が管理する港区立公園であるが、 NTT都市開発 が管理する品川シーズンテラスの敷地と連続して一体化しているため、一般には品川シーズンテラスとして認識されている。","https://ja.wikipedia.org/wiki/芝浦中央公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度38分1.0秒東経139度44分39.0秒","日本東京都港区港南一丁目","A面・B面（昭和55年）、C面（昭和63年開園）、D面（平成27年開園）","東京都港区","芝浦中央公園","都市公園","45,781.97 m2","〒108-0075港区港南一丁目2番28号","芝浦中央公園管理事務所","バラ園、ドックラン、バスケットゴール、芝生広場、木製アスレチック遊具、ビオトープ","JR・京急品川駅徒歩6分","なし","芝浦水再生センター","1月から4月・10月から12月：午前7時から午後5時、5月から9月：午前6時から午後7時","バリアフリー公衆トイレ","","","","",""
"芝浦南ふ頭公園","[芝浦南ふ頭公園] 東京都立公園 （とうきょうとりつこうえん）は、 東京都 が所管する 公園 。狭義の 都立公園 は 東京都建設局 が所管する 都市公園 を指す。その他の東京都所管公園には、 都立海上公園 （ 港湾局 ）、 都立自然公園 ・ 都民の森 （ 環境局 ）などがある。設置場所・地域は国有地か都有地である（国有地は国が管理権を委託）。 指定管理者制度 の導入により、大部分が 指定管理者 に管理が委任されている。","https://ja.wikipedia.org/wiki/芝浦南ふ頭公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"芝公園","[芝公園] 芝公園 （しばこうえん）は、 東京都 港区 にある都市公園（総合公園）  である。 都立芝公園 、港区立芝公園、 都市計画法 に基づく特許事業により認可された  プリンス芝公園の総称。また、「芝公園」は港区の町名でもあり、芝公園一丁目から芝公園四丁目まで存在する。この記事では、公園と町名の双方について述べる。","https://ja.wikipedia.org/wiki/芝公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度39分23秒 東経139度44分54秒","日本東京都港区芝公園一・二・三・四丁目","1873年10月19日","東京都（指定管理者：東京都公園協会）港区（指定管理者：アメニス・ケイミックス・日比谷花壇グループ）西武鉄道株式会社","","都市公園（総合公園）","","〒105-0011東京都港区芝公園4-10-17","芝公園サービスセンター","","","","","","","","","","",""
"白金台どんぐり児童遊園","[白金台どんぐり児童遊園] 白金台どんぐり児童遊園 （しろかねだいどんぐりじどうゆうえん）は、 東京都 港区 の 児童遊園 。面積は6,103.48 m 2 で、港区最大の児童遊園である。","https://ja.wikipedia.org/wiki/白金台どんぐり児童遊園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"シンボルプロムナード公園","[シンボルプロムナード公園] シンボルプロムナード公園 （シンボルプロムナードこうえん）は、 東京都 港区 台場 、 江東区 青海 、 江東区 有明 にかけての長細い 都立公園 である  。 1996年 4月1日 開園  。","https://ja.wikipedia.org/wiki/シンボルプロムナード公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"台場公園","[台場公園] 台場公園 （だいばこうえん）は、 東京都 港区 台場 一丁目にある 都立 の都市公園（歴史公園）である  。","https://ja.wikipedia.org/wiki/台場公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度38分0.58秒東経139度46分18.78秒","日本東京都港区台場一丁目","1928年（昭和3年）7月7日","東京都","台場公園","都市公園（歴史公園）","29,963.4m2","東京都港区台場一丁目4","お台場海浜公園管理事務所","","","","","","","","","","",""
"高輪公園","[高輪公園] 高輪公園 （たかなわこうえん）は、 東京都 港区 高輪 に位置する 都市公園 （街区公園）  。","https://ja.wikipedia.org/wiki/高輪公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","","日本港区高輪3丁目","1973年（昭和48年）4月1日","港区","高輪公園（港区HP）","都市公園（街区公園）","5,958.11 m2","","","","","","","","","","","","",""
"高橋是清翁記念公園","[高橋是清翁記念公園] 高橋是清翁記念公園 （たかはしこれきよおうきねんこうえん)は、 東京都 港区 赤坂七丁目3番39号にある公園。","https://ja.wikipedia.org/wiki/高橋是清翁記念公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度40分23秒 東経139度43分46秒","","","","","","","","","","","","","","","","","","",""
"東八ツ山公園","[東八ツ山公園] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/東八ツ山公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度37分28.9秒 東経139度44分36.9秒","","","","","","","","","","","","","","","","","","",""
"檜町公園","[檜町公園] 檜町公園 （ひのきちょうこうえん）は、 東京都 港区 赤坂 にある港区立 公園 である。 東京ミッドタウン に隣接する公園として知られる。面積は約14,011 m 2 である。","https://ja.wikipedia.org/wiki/檜町公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度40分0.4秒 東経139度43分57.3秒","","","","","","","","","","","","","","","","","","",""
"三田台公園","[三田台公園] 三田台公園 （みただいこうえん）とは 東京都 港区 三田 4-17-28に位置する都市公園（近隣公園）  である。近隣には 港区立御田小学校 がある。","https://ja.wikipedia.org/wiki/三田台公園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","","日本東京都港区三田3丁目、4丁目","1978年（昭和53年）5月1日","港区","三田台公園（港区HP）","都市公園（近隣公園）","5427.45 m2","","","","","","","","","","","","",""
"三田松坂児童遊園","[三田松坂児童遊園] 三田松坂児童遊園 （みたまつさかじどうゆうえん）は、 東京都 港区 三田五丁目に存在する児童 遊園地 である。","https://ja.wikipedia.org/wiki/三田松坂児童遊園","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"明治神宮外苑","[明治神宮外苑] 明治神宮外苑 （めいじじんぐうがいえん）は、 東京都 新宿区 霞ヶ丘町 ・ 港区 北青山 （一部）にある洋風庭園である。 明治神宮 の敷地内。通常は略して 神宮外苑 と呼ばれることが多い。異称として 神宮の杜 とも呼ばれる  。","https://ja.wikipedia.org/wiki/明治神宮外苑","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"毛利甲斐守邸跡","[毛利甲斐守邸跡] 毛利甲斐守邸跡 （もうりかいのかみていあと）は、 東京都 港区 六本木 六丁目にある史跡。長門 長府藩主 （ 長州藩 毛利家 の分家）だった 毛利綱元 の麻布 上屋敷 の跡地である。","https://ja.wikipedia.org/wiki/毛利甲斐守邸跡","Category_東京都港区の公園","https://ja.wikipedia.org/wiki/Category:東京都港区の公園","箇条書き,制限あり","北緯35度39分38秒 東経139度43分49.8秒","","","","","","","","","","","","","","","","","","",""
