"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","城郭構造","築城主","築城年","遺構","指定文化財","廃城年","天守構造","主な城主","別名","主な改修者","文化財","築造時期","史跡","創建年","再建造物","規模"
"安土城","[安土城] 安土城 （あづちじょう）は、 琵琶湖 東岸の、 近江国 蒲生郡 安土山（現在の 滋賀県 近江八幡市 安土町 下豊浦）  にあった 日本の城 （ 山城 ）。城址は国の 特別史跡 で、 琵琶湖国定公園 第1種特別地域になっている。","https://ja.wikipedia.org/wiki/安土城","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯35度9分21.29秒東経136度8分21.87秒","北緯35度9分21.29秒東経136度8分21.87秒﻿ / ﻿北緯35.1559139度 東経136.1394083度﻿ /35.1559139; 136.1394083座標:北緯35度9分21.29秒東経136度8分21.87秒﻿ / ﻿北緯35.1559139度 東経136.1394083度﻿ /35.1559139; 136.1394083","","安土城","山城","織田信長","1576年（天正4年）","天守台、曲輪、石垣、堀","国特別史跡","1585年（天正13年）","望楼型地上6階地下1階（1579年・非現存）","織田氏、明智氏","","羽柴秀吉","","","","","一部の石垣・大手道石階段・門跡",""
"新居関所","[新居関所] 新居関所 （あらいせきしょ）は、 江戸時代 の 東海道 の 関所 のひとつ。現在、 静岡県 湖西市 新居町 新居に相当する。正式名称が 今切関所 （いまぎれせきしょ）である。","https://ja.wikipedia.org/wiki/新居関所","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度41分41秒 東経137度33分41秒","","","","","","","","","","","","","","","","","","",""
"石舞台古墳","[石舞台古墳] 石舞台古墳 （いしぶたいこふん）は、 奈良県 明日香村 にある 古墳時代 後期の 古墳 。国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/石舞台古墳","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度28分0.44秒東経135度49分34.14秒","北緯34度28分0.44秒東経135度49分34.14秒﻿ / ﻿北緯34.4667889度 東経135.8261500度﻿ /34.4667889; 135.8261500﻿ (石舞台古墳)座標:北緯34度28分0.44秒東経135度49分34.14秒﻿ / ﻿北緯34.4667889度 東経135.8261500度﻿ /34.4667889; 135.8261500﻿ (石舞台古墳)","奈良県高市郡明日香村島庄","石舞台古墳","","","","","","","","","","","","7世紀初頭","国の特別史跡「石舞台古墳」","","",""
"一乗谷朝倉氏遺跡","[一乗谷朝倉氏遺跡] 一乗谷朝倉氏遺跡 （いちじょうだに あさくらし いせき）は、 福井県 福井市 城戸ノ内町にある 戦国時代 の 遺跡 （ 日本の城 ）である。戦国時代に 一乗谷城 を中心に 越前国 を支配した戦国大名 朝倉氏 の遺跡。一乗谷城（ 山城 ）と山麓の 城下町 （朝倉氏および家臣の居館）からなる。","https://ja.wikipedia.org/wiki/一乗谷朝倉氏遺跡","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯35度59分58.17秒東経136度17分44.03秒","北緯35度59分58.17秒東経136度17分44.03秒﻿ / ﻿北緯35.9994917度 東経136.2955639度﻿ /35.9994917; 136.2955639座標:北緯35度59分58.17秒東経136度17分44.03秒﻿ / ﻿北緯35.9994917度 東経136.2955639度﻿ /35.9994917; 136.2955639","","朝倉館跡","山城","朝倉氏","南北朝時代","土塁、堀、虎口、石垣、礎石、","遺跡（特別史跡）、庭園（特別名勝）、遺跡出土品（重要文化財）","1575年（天正3年）","なし","朝倉氏、桂田長俊","一乗谷城","桂田長俊","","","","","",""
"厳島","[厳島] 厳島 （いつくしま）は、日本の 広島県 廿日市市 宮島町にある島。 瀬戸内海 西部、 広島湾 の北西部に位置する。通称は 宮島 （みやじま）。また 安芸の宮島 ともいう。","https://ja.wikipedia.org/wiki/厳島","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度16分0秒東経132度18分0秒","","日本（広島県廿日市市）","","","","","","","","","","","","","","","","",""
"厳島神社","[厳島神社] 厳島神社 （いつくしまじんじゃ、公式表記： 嚴島神社  ）は、 広島県 廿日市市 の 厳島（宮島） にある 神社 。 式内社 （ 名神大社 ）、 安芸国 一宮 。 旧社格 は 官幣中社 で、現在は 神社本庁 の 別表神社 。 神紋 は「三つ盛り二重亀甲に剣花菱」。","https://ja.wikipedia.org/wiki/厳島神社","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度17分45.68秒東経132度19分11.62秒","北緯34度17分45.68秒東経132度19分11.62秒﻿ / ﻿北緯34.2960222度 東経132.3198944度﻿ /34.2960222; 132.3198944﻿ (厳島神社)座標:北緯34度17分45.68秒東経132度19分11.62秒﻿ / ﻿北緯34.2960222度 東経132.3198944度﻿ /34.2960222; 132.3198944﻿ (厳島神社)","広島県廿日市市宮島町1-1","厳島神社（嚴島神社）","","","","","","","","","伊都岐島神社","","","","","","",""
"岩橋千塚古墳群","[岩橋千塚古墳群] 岩橋千塚古墳群 （いわせせんづかこふんぐん）は、 和歌山県 和歌山市 岩橋に所在する 古墳時代 後期後半の 古墳群 である。国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/岩橋千塚古墳群","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度13分29.8秒 東経135度13分40.6秒","","","","","","","","","","","","","","","","","","",""
"臼杵磨崖仏","[臼杵磨崖仏] 臼杵磨崖仏 （うすきまがいぶつ）は、 大分県 臼杵市 にある 磨崖仏 である。一般には 臼杵石仏 （うすきせきぶつ）の名で知られている。 1952年 （昭和27年）に国の 特別史跡 に指定され、 1995年 （平成7年）には、磨崖仏として日本初、彫刻として九州初の 国宝 に指定された  。","https://ja.wikipedia.org/wiki/臼杵磨崖仏","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯33度5分25.8秒 東経131度45分45.5秒","","","","","","","","","","","","","","","","","","",""
"江戸城","[江戸城] 江戸城 （えどじょう）は、 武蔵国 豊嶋郡 江戸 （現在の 東京都 千代田区 千代田 ）にあった 日本の城 である。現在は 皇居 となっている  。","https://ja.wikipedia.org/wiki/江戸城","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯35度41分17.97秒東経139度45分15.72秒","北緯35度41分17.97秒東経139度45分15.72秒﻿ / ﻿北緯35.6883250度 東経139.7543667度﻿ /35.6883250; 139.7543667","","江戸城","輪郭式平城または平山城","太田道灌","1457年（長禄元年）","現存櫓・門、石垣・土塁・堀","国の重要文化財（桜田門、田安門、清水門）特別史跡","","•1606年新築天守（解体、非現存）　連立式層塔型5重5階地下1階•1621年再築天守（解体、非現存）　独立式層塔型5重5階地下1階•1635年再築天守（焼失、非現存）　独立式層塔型5重5階地下1階","太田氏（1457年-1486年、1561年-1577年）扇谷上杉氏（1486年-1524年）後北条氏（1524年-1561年、1577年-1590年）徳川氏（1590年-1868年）（以下、皇居としての所有者）皇室（1868年-1947年）国（1947年-）","千代田城","徳川家康、秀忠、家光（江戸期）宮内省・宮内庁（明治以降）","","","","","富士見櫓、伏見櫓・多聞櫓桜田巽櫓、大手門",""
"王塚古墳","[王塚古墳] 王塚古墳 （おうづかこふん）は、 福岡県 嘉穂郡 桂川町 寿命（じゅめい）に存在する 古墳 で、5つの色彩で彩られた壁画が石室内ほぼ全面に施されていることで知られている。 日本 の 特別史跡 。","https://ja.wikipedia.org/wiki/王塚古墳","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯33度35分19.55秒東経130度39分50.2秒","北緯33度35分19.55秒東経130度39分50.2秒﻿ / ﻿北緯33.5887639度 東経130.663944度﻿ /33.5887639; 130.663944","福岡県嘉穂郡桂川町大字寿命","","","","","","","","","","","","","6世紀中頃","1952年（昭和27年）特別史跡","","","全長約86m、高さ約9.5m"
"大坂城","[大坂城] 大坂城 ／ 大阪城 （おおさかじょう  ）は、 安土桃山時代 に 上町台地 の先端、 摂津国 東成郡 生玉荘 大坂 に築かれ、 江戸時代 に再築された 日本の城 。別称は 錦城 （きんじょう／ 金城 とも表記）。「大阪城跡」として国の 特別史跡 に指定されている。なお、城址を含む一帯は 大阪城公園 （おおさかじょうこうえん）として整備されている。 天守 は博物館「 大阪城天守閣 」となっている。","https://ja.wikipedia.org/wiki/大坂城","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯34度41分14.56秒東経135度31分33.04秒","北緯34度41分14.56秒東経135度31分33.04秒﻿ / ﻿北緯34.6873778度 東経135.5258444度﻿ /34.6873778; 135.5258444﻿ (大坂城)座標:北緯34度41分14.56秒東経135度31分33.04秒﻿ / ﻿北緯34.6873778度 東経135.5258444度﻿ /34.6873778; 135.5258444﻿ (大坂城)","","大阪城大阪市の地図を表示大阪城大阪府の地図を表示","輪郭式平城または平山城","豊臣秀吉","1583年（天正11年）","櫓、門、石垣、堀","国の重要文化財（櫓・門など）特別史跡","1868年（明治元年）","複合式もしくは連結式望楼型5重6階地下2階（1585年築）独立式層塔型5重5階地下1階（1626年築）いずれも非現存独立式望楼型5重8階（1931年復興・SRC造）","豊臣氏、奥平氏、徳川氏","錦城、金城大坂城/大阪城","徳川秀忠","","","","","天守",""
"大野城 (筑前国)","[大野城 (筑前国)] 大野城 （おおのじょう/おおののき）は、 福岡県 の 太宰府市 ・ 大野城市 ・ 糟屋郡 宇美町 にまたがる大城山（おおきやま）  に築かれた、 日本 の 古代山城 である。城跡は、 1953年 （昭和28年）3月31日、国の 特別史跡 「大野城跡」に指定されている  。","https://ja.wikipedia.org/wiki/大野城_(筑前国)","Category_特別史跡","https://ja.wikipedia.org/wiki/Category:特別史跡","箇条書き,制限あり","北緯33度32分23.7秒東経130度31分17.6秒","北緯33度32分23.7秒東経130度31分17.6秒﻿ / ﻿北緯33.539917度 東経130.521556度﻿ /33.539917; 130.521556﻿ (大野城 (筑前国))座標:北緯33度32分23.7秒東経130度31分17.6秒﻿ / ﻿北緯33.539917度 東経130.521556度﻿ /33.539917; 130.521556﻿ (大野城 (筑前国))","","大野城","古代山城","大和朝廷","天智天皇4年（665年）","土塁・石塁・水門・城門・建物跡・水溜め","国の特別史跡「大野城跡」","不明","","","","","","","","","",""
