"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","分類","面積","公式サイト","開園","運営者","駐車場","事務所所在地","設備・遊具","アクセス","設計者","前身","告示","事務所","Hidden","Hidden","Hidden","Hidden","Hidden"
"駒沢オリンピック公園","[駒沢オリンピック公園] 駒沢オリンピック公園 （こまざわオリンピックこうえん、 英語 : Komazawa Olympic Park）は、 東京都 世田谷区 および 目黒区 にある 運動公園 。","https://ja.wikipedia.org/wiki/駒沢オリンピック公園","Category_目黒区の公園","https://ja.wikipedia.org/wiki/Category:目黒区の公園","箇条書き","北緯35度37分32.9秒東経139度39分41.8秒","日本東京都世田谷区駒沢公園、東京都目黒区東が丘2丁目・八雲5丁目","運動公園","41.3ha","http://www.tef.or.jp/kopgp/","","東京都公園協会2011～2015年度指定管理者","","","陸上競技場球技場体育館他","#アクセスを参照。","本文参照","","","","","","","",""
"駒場公園 (目黒区)","[駒場公園 (目黒区)] 駒場公園 （こまばこうえん）は、 東京都 目黒区 駒場 にある目黒区立の 公園 である。旧 侯爵 前田利為 の邸宅が残されているため、俗称で 旧前田邸 と呼ばれることもある。昭和初期に建てられた 洋館 ・ 和館 は共に良好に保存され、 2013年 には国の 重要文化財 に指定されている。指定名称は「 旧前田家本邸 」。","https://ja.wikipedia.org/wiki/駒場公園_(目黒区)","Category_目黒区の公園","https://ja.wikipedia.org/wiki/Category:目黒区の公園","箇条書き","北緯35度39分44秒東経139度40分48秒","日本東京都目黒区駒場4-3-55","区民公園","40,396.47m2","駒場公園","1975年4月1日","目黒区","なし","","洋館、和館（茶室・和室）","井の頭線駒場東大前駅徒歩8分","","都立駒場公園東京都近代文学博物館","","","","","","",""
"駒場野公園","[駒場野公園] 駒場野公園 （こまばのこうえん）は、 東京都 目黒区 駒場 にある目黒区立の 公園 である。","https://ja.wikipedia.org/wiki/駒場野公園","Category_目黒区の公園","https://ja.wikipedia.org/wiki/Category:目黒区の公園","箇条書き","北緯35度39分30秒東経139度40分50秒","日本東京都目黒区駒場2-19-70","区民公園","39,025.29m2","駒場野公園","1986年3月31日","目黒区","","","","井の頭線駒場東大前駅徒歩1分","","","","","","","","",""
"西郷山公園","[西郷山公園] 西郷山公園 （さいごうやまこうえん）は、 東京都 目黒区 青葉台 にある目黒区立の 公園 。","https://ja.wikipedia.org/wiki/西郷山公園","Category_目黒区の公園","https://ja.wikipedia.org/wiki/Category:目黒区の公園","箇条書き","北緯35度39分1.7秒東経139度41分45.4秒","日本東京都目黒区","区立公園","10,549m²","","1981年5月28日","","なし","東京都目黒区青葉台2丁目10番28号","","","","","","","","","","",""
"清水池公園","[清水池公園] 清水池公園 （しみずいけこうえん）は、 東京都 目黒区 目黒本町 にある目黒区立の 公園 である。清水池を中心とした公園で周辺住民の憩いの場になっているほか、 池 で 釣り ができる公園としても知られる。","https://ja.wikipedia.org/wiki/清水池公園","Category_目黒区の公園","https://ja.wikipedia.org/wiki/Category:目黒区の公園","箇条書き","北緯35度37分27.8秒東経139度41分32.5秒","日本東京都目黒区","区立公園","5,795m²","","1935年12月1日","","なし","東京都目黒区目黒本町2丁目12番10号","","","","","","","","","","",""
"菅刈公園","[菅刈公園] 菅刈公園 （すげかりこうえん）は、 東京都 目黒区 青葉台 にある目黒区立の 公園 である。周辺住民の憩いの場として知られる。","https://ja.wikipedia.org/wiki/菅刈公園","Category_目黒区の公園","https://ja.wikipedia.org/wiki/Category:目黒区の公園","箇条書き","北緯35度39分1.1秒 東経139度41分35.1秒","","","","","","","","","","","","","","","","","","",""
"すずめのお宿緑地公園","[すずめのお宿緑地公園] すずめのお宿緑地公園 （すずめのおやどりょくちこうえん）は、 東京都 目黒区 碑文谷 にある目黒区立の 公園 である。","https://ja.wikipedia.org/wiki/すずめのお宿緑地公園","Category_目黒区の公園","https://ja.wikipedia.org/wiki/Category:目黒区の公園","箇条書き","北緯35度37分4.4秒 東経139度41分4.8秒","","","","","","","","","","","","","","","","","","",""
"碑文谷公園","[碑文谷公園] 碑文谷公園 （ひもんやこうえん）は、 東京都 目黒区 碑文谷 にある目黒区立の 公園 である。碑文谷池を中心とした公園で周辺住民の憩いの場として知られる。","https://ja.wikipedia.org/wiki/碑文谷公園","Category_目黒区の公園","https://ja.wikipedia.org/wiki/Category:目黒区の公園","箇条書き","北緯35度37分33秒東経139度40分57秒","日本東京都目黒区碑文谷6-9-11","都市公園","43,533 m2","碑文谷公園","","","なし","東京都目黒区上目黒2-19-15","体育館、野球場、テニスコート、こども動物広場、ボート場","","高村弘平","","1933年11月15日","目黒区都市整備部みどりと公園課","","","","",""
"衾町公園","[衾町公園] 衾町公園 （ふすまちょうこうえん）は、 東京都 目黒区 八雲にある公園。園内には、 遊具 の他、交通公園もある。","https://ja.wikipedia.org/wiki/衾町公園","Category_目黒区の公園","https://ja.wikipedia.org/wiki/Category:目黒区の公園","箇条書き","","日本東京都目黒区","","","公式サイト","1962年12月16日","目黒区","","","","","","","","","","","","",""
"目黒天空庭園","[目黒天空庭園] 目黒天空庭園 （めぐろてんくうていえん）は、 東京都 目黒区 大橋 にある 屋上庭園 。 首都高速道路 大橋ジャンクション の屋上に造成され、 2013年 3月30日 にオープンした   。","https://ja.wikipedia.org/wiki/目黒天空庭園","Category_目黒区の公園","https://ja.wikipedia.org/wiki/Category:目黒区の公園","箇条書き","北緯35度39分1.7秒 東経139度41分16.8秒","","","","","","","","","","","","","","","","","","",""
"林試の森公園","[林試の森公園] 林試の森公園 （りんしのもりこうえん）は、 東京都 目黒区 下目黒 と 品川区 小山台 にまたがり所在する 都立公園 。","https://ja.wikipedia.org/wiki/林試の森公園","Category_目黒区の公園","https://ja.wikipedia.org/wiki/Category:目黒区の公園","箇条書き","北緯35度37分29.8秒東経139度42分12.6秒","日本東京都目黒区・品川区","都立公園","12ha","公式サイト","1989年6月1日","東京都公園協会2011〜2015年度指定管理者","","東京都品川区小山台2-6-11","","","","","","","","","","",""
