"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","上位山系","最高峰","最新噴火","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"吾妻連峰","[西吾妻連峰（百）（東北）（新）] 吾妻山 （あづまやま）もしくは 吾妻連峰 （あづまれんぽう）は、 福島県 と一部は 山形県 の県境に沿って東西に伸びる 火山 群・ 山塊 の総称である。最高峰は 西吾妻山 （2,035メートル）。 日本百名山 や うつくしま百名山 にもあげられている。","https://ja.wikipedia.org/wiki/吾妻連峰","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度44分17秒東経140度08分26秒","日本山形県・福島県","北緯37度44分17秒東経140度08分26秒﻿ / ﻿北緯37.73806度 東経140.14056度﻿ /37.73806; 140.14056座標:北緯37度44分17秒東経140度08分26秒﻿ / ﻿北緯37.73806度 東経140.14056度﻿ /37.73806; 140.14056","","","成層火山や単成火山などからなる火山群","奥羽山脈","西吾妻山（2,035m）","","","","","","","","","","","",""
"川桁山","[川桁山] 川桁山 （かわげたやま）は 福島県 耶麻郡 猪苗代町 川桁にある山である。","https://ja.wikipedia.org/wiki/川桁山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"磐梯山","[磐梯山（百）（東北）（新）] 磐梯山 （ばんだいさん）は 福島県 耶麻郡 猪苗代町 、 磐梯町 、 北塩原村 にまたがる 山 である。会津盆地側からは、綺麗な三角の頂が見えることから 会津富士 （あいづふじ）、あるいは民謡にあるように 会津磐梯山 （あいづばんだいさん）とも呼ばれている。 日本百名山 に選定されており、福島県のシンボルの一つとされている  。","https://ja.wikipedia.org/wiki/磐梯山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度36分04秒東経140度04分20秒","日本福島県猪苗代町・磐梯町・北塩原村","北緯37度36分04秒東経140度04分20秒﻿ / ﻿北緯37.60111度 東経140.07222度﻿ /37.60111; 140.07222座標:北緯37度36分04秒東経140度04分20秒﻿ / ﻿北緯37.60111度 東経140.07222度﻿ /37.60111; 140.07222","1,816.29m","独立峰","成層火山（活火山ランクB）","","","","","","","","","","","","","",""
"雄国山 (存在しないページ)","[雄国山]","https://ja.wikipedia.org/w/index.php?title=雄国山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"猫魔ヶ岳","[猫魔ヶ岳・厩岳山] 猫魔ヶ岳 （ねこまがだけ）は 福島県 耶麻郡 磐梯町 、 北塩原村 にある山。標高1,403.6m。","https://ja.wikipedia.org/wiki/猫魔ヶ岳","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度36分41.9秒東経140度01分42.1秒","日本福島県耶麻郡磐梯町・北塩原村","北緯37度36分41.9秒東経140度01分42.1秒﻿ / ﻿北緯37.611639度 東経140.028361度﻿ /37.611639; 140.028361座標:北緯37度36分41.9秒東経140度01分42.1秒﻿ / ﻿北緯37.611639度 東経140.028361度﻿ /37.611639; 140.028361","1,403.6m","猫魔火山","カルデラ外輪山","","","","","","","","","","","","","",""
"大仏山","[大仏山[要曖昧さ回避] 大仏山 （だいぶつやま）は、世界各地にある山。","https://ja.wikipedia.org/wiki/大仏山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鉢伏山","[飯森山・鉢伏山] 鉢伏山 （はちぶせやま）は、 日本 の 山岳 の 名称 。","https://ja.wikipedia.org/wiki/鉢伏山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"飯豊山","[飯豊連峰（百）（東北）] 飯豊山 （いいでさん）は、 飯豊山地  の 標高 2,105.1 m の 山 である。主峰は、通称 飯豊本山 とも呼ばれることもあるが、国土地理院地図における表示は飯豊山のみである。","https://ja.wikipedia.org/wiki/飯豊山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","北緯37度51分17秒東経139度42分26秒","日本山形県西置賜郡小国町新潟県東蒲原郡阿賀町福島県喜多方市","北緯37度51分17秒東経139度42分26秒﻿ / ﻿北緯37.85472度 東経139.70722度﻿ /37.85472; 139.70722座標:北緯37度51分17秒東経139度42分26秒﻿ / ﻿北緯37.85472度 東経139.70722度﻿ /37.85472; 139.70722","2,105.1m","飯豊山地","","","","","","","","","","","","","","",""
"鏡山","[鏡山[要曖昧さ回避] 鏡山 （かがみやま）","https://ja.wikipedia.org/wiki/鏡山","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高陽山 (存在しないページ)","[高陽山]","https://ja.wikipedia.org/w/index.php?title=高陽山&amp;action=edit&amp;redlink=1","うつくしま百名山","https://ja.wikipedia.org/wiki/うつくしま百名山","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
