"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","初登頂","法人番号","最新噴火","国","地方","都道府県","市町村コード","面積","総人口","人口密度","隣接自治体","市の木","市の花","市長"
"伊吹山","[1伊吹山いぶきやま1,377.31　一等伊吹山揖斐川町・滋賀県日本百名山] 伊吹山 （いぶきやま〈いぶきさん〉  ）は、 滋賀県 米原市 、 岐阜県 揖斐郡 揖斐川町 、 不破郡 関ケ原町 にまたがる 伊吹山地 の主峰（ 最高峰 ） 標高 1,377 m の 山 である  。 一等三角点 が置かれている山頂部は滋賀県米原市に属し  、 滋賀県最高峰 の山であり、山域は 琵琶湖国定公園 に指定されている  。","https://ja.wikipedia.org/wiki/伊吹山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度25分04秒東経136度24分23秒","日本滋賀県米原市岐阜県揖斐郡揖斐川町、不破郡関ケ原町","1,377.31m","北緯35度25分04秒東経136度24分23秒﻿ / ﻿北緯35.41778度 東経136.40639度﻿ /35.41778; 136.40639座標:北緯35度25分04秒東経136度24分23秒﻿ / ﻿北緯35.41778度 東経136.40639度﻿ /35.41778; 136.40639","伊吹山地","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"三国岳","[2三国岳みくにだけ911大垣市・三重県・滋賀県鈴鹿山脈] 三国岳 （みくにだけ/さんごくだけ）は、 日本 各地に見られる 山 の名称である  。例外も存在するが、 三国山 (曖昧さ回避) と同様に多くが三国の国境の交点に鎮座する。山頂部が三国の国境の交点からずれる場合も少なくない。","https://ja.wikipedia.org/wiki/三国岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"養老山 (岐阜県)","[3養老山ようろうさん859.31　一等養老山養老町・大垣市養老山地] 養老山 （ようろうさん）は、 岐阜県 養老郡 養老町 と 大垣市 上石津町地域自治区（旧 養老郡 上石津町 ）にまたがる 標高 859 m の 山 である。旧名を多芸山ともいう。 養老山地 を代表する山で、山頂には 一等三角点 が設置されている  。","https://ja.wikipedia.org/wiki/養老山_(岐阜県)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度15分47秒東経136度31分24秒","日本岐阜県養老郡養老町大垣市","859.31m","北緯35度15分47秒東経136度31分24秒﻿ / ﻿北緯35.26306度 東経136.52333度﻿ /35.26306; 136.52333","養老山地","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"池田山 (岐阜県)","[4池田山いけだやま923.85　二等池田山池田町・揖斐川町・垂井町] 池田山 （いけだやま）は、 岐阜県 揖斐郡 池田町 と 揖斐川町 （旧 春日村 ）、 不破郡 垂井町 に跨る 標高 923.9 m の 山 。","https://ja.wikipedia.org/wiki/池田山_(岐阜県)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度26分28秒東経136度31分01秒","岐阜県揖斐郡池田町、揖斐川町、不破郡垂井町","923.85m","北緯35度26分28秒東経136度31分01秒﻿ / ﻿北緯35.44111度 東経136.51694度﻿ /35.44111; 136.51694","伊吹山地","","","","","","","","","","","","","","",""
"小島山 (存在しないページ)","[5小島山おじまやま863.60　三等市場揖斐川町]","https://ja.wikipedia.org/w/index.php?title=小島山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"鎗ヶ先山 (存在しないページ)","[6鎗ヶ先山やりがさきやま965.56　三等鎗ケ先揖斐川町]","https://ja.wikipedia.org/w/index.php?title=鎗ヶ先山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"虎子山 (存在しないページ)","[7虎子山とらすやま1,183.21　三等古田揖斐川町]","https://ja.wikipedia.org/w/index.php?title=虎子山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"貝月山","[8貝月山かいづきやま1,234.25　二等品又揖斐川町] 貝月山 （かいづきやま）は、 岐阜県 揖斐郡 揖斐川町   にある 伊吹山地 の 標高 1,234 m の 山  。","https://ja.wikipedia.org/wiki/貝月山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度31分04秒東経136度25分19秒","日本岐阜県揖斐郡揖斐川町","1,234.20m","北緯35度31分04秒東経136度25分19秒﻿ / ﻿北緯35.51778度 東経136.42194度﻿ /35.51778; 136.42194座標:北緯35度31分04秒東経136度25分19秒﻿ / ﻿北緯35.51778度 東経136.42194度﻿ /35.51778; 136.42194","伊吹山地","","","","","","","","","","","","","","",""
"金糞岳","[9金糞岳かなくそだけ1,317揖斐川町・滋賀県] 金糞岳 （かなくそだけ、きんぷんだけ）は、 近畿地方 最北東部、 中部地方 西部に位置し、 滋賀県 長浜市 上草野地区と 岐阜県 揖斐郡 揖斐川町 の境界に所在する、 標高 1,317 m の 山 。 伊吹山地 に属する。","https://ja.wikipedia.org/wiki/金糞岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度33分00秒東経136度20分14秒","滋賀県長浜市岐阜県揖斐郡揖斐川町","1,317m","北緯35度33分00秒東経136度20分14秒﻿ / ﻿北緯35.55000度 東経136.33722度﻿ /35.55000; 136.33722座標:北緯35度33分00秒東経136度20分14秒﻿ / ﻿北緯35.55000度 東経136.33722度﻿ /35.55000; 136.33722","伊吹山地","","","","","","","","","","","","","","",""
"土蔵岳 (存在しないページ)","[10土蔵岳つちくらだけ1,008揖斐川町・滋賀県]","https://ja.wikipedia.org/w/index.php?title=土蔵岳&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
