"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","所在海域","海岸線長","最高峰","所属諸島","標高","位置","山系","種類","人口","最大都市","最新噴火","人口密度","Hidden","Hidden","Hidden","Hidden"
"礼文岳","[1礼文岳れぶんだけ490礼文島北海道礼文町] 礼文岳 （れぶんだけ）は 北海道 礼文郡 礼文町 にある標高490mの山である。 花の百名山 、 新花の百名山 、 北海道百名山 、 新日本百名山 。","https://ja.wikipedia.org/wiki/礼文岳","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯45度22分21秒東経141度00分57秒","北海道礼文郡礼文町","","","","","","","490m","北緯45度22分21秒東経141度00分57秒﻿ / ﻿北緯45.37250度 東経141.01583度﻿ /45.37250; 141.01583","島","","","","","","","","",""
"利尻山","[2利尻山りしりざん1,721利尻島北海道利尻町、利尻富士町] 利尻山 （りしりざん）は、 北海道 の 利尻島 に位置する 独立峰 で 標高 1,721m。 利尻町 、 利尻富士町 の2町にまたがる 成層火山 で、 利尻礼文サロベツ国立公園 内の山域は特別区域に指定され、 日本百名山  、 新日本百名山  、 花の百名山  及び 新・花の百名山  に選定されている。","https://ja.wikipedia.org/wiki/利尻山","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯45度10分43秒東経141度14分31秒","日本北海道宗谷総合振興局利尻郡利尻町・利尻富士町","","","","","","","1,721m","北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ /45.17861; 141.24194座標:北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ /45.17861; 141.24194","独立峰","成層火山","","","","","","","",""
"奥尻島","[3球島山きゅうじまやま369奥尻島北海道奥尻町] 奥尻島 （おくしりとう）は、 北海道 南西部の日本海上に浮かぶ 島 。面積は142.97 km 2 であり北海道では5番めに面積の広い島である（北方領土を除くと2位）。島全体で北海道 奥尻郡 奥尻町 をなす。人口2,578人（ 2020年 （ 令和 2年）2月末現在）。","https://ja.wikipedia.org/wiki/奥尻島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯42度08分57秒東経139度28分02秒","日本北海道","142.97km²","584m","日本海","","神威山","","","","","","","","","","","","",""
"大島 (宮城県気仙沼市)","[4亀山かめやま234大島宮城県気仙沼市] 大島 （おおしま）は、 日本 の 東北地方 の 三陸海岸 に位置する、 面積 8.50平方キロメートルの 島 。 行政 上は 宮城県 気仙沼市 に属する有人島の一つ。この島は通常「 大島 」と呼ばれるが、全国各地にある他の「 大島 」と区別するために「 気仙沼大島 」（けせんぬま おおしま）と呼ばれることもある  。","https://ja.wikipedia.org/wiki/大島_(宮城県気仙沼市)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯38度51分42秒東経141度37分44秒","日本（宮城県）","8.50km²","235m","太平洋","22km","","","","","","","","","","","","","",""
"金華山 (宮城県)","[5金華山きんかさん444金華山宮城県石巻市] 金華山 （きんかさん   ）は、 宮城県 石巻市 の 太平洋 上に浮かぶ 島 である。 人口 は5人。これは全員が後述の神社の 神職 であり、他に一般の居住者はいない。対岸の 牡鹿半島 との間に 内海 「金華山瀬戸」がある。","https://ja.wikipedia.org/wiki/金華山_(宮城県)","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯38度17分20秒東経141度34分12.2秒","日本･宮城県石巻市","10.28km²","444m","太平洋","17.3km","金華山","牡鹿諸島","","","","","","","","","","","",""
"大高森","[6大高森おおたかもり105宮戸島宮城県東松島市] 大高森 （おおたかもり）は、 宮城県 東松島市 の 宮戸島 にある 山 。 標高 106m  （二等三角点「大高森」：標高105.22m、 地図  ）。","https://ja.wikipedia.org/wiki/大高森","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯38度20分26秒東経141度9分9秒","宮城県東松島市大字宮戸字大高森1　","","","","","","","106m","北緯38度20分26秒東経141度9分9秒﻿ / ﻿北緯38.34056度 東経141.15250度﻿ /38.34056; 141.15250﻿ (大高森)","","","","","","","","","",""
"三原山","[7三原山みはらやま758大島東京都大島町] 三原山 （みはらやま）は、 東京都 大島町 の 伊豆大島 にある 火山 である。最も高い峰は 中央火口丘 にある 標高 758mの三原新山で、伊豆大島の最高峰となっている。観光地として火口を周遊する 遊歩道 なども整備されている。","https://ja.wikipedia.org/wiki/三原山","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度43分28秒東経139度23分40秒","日本東京都大島町","","","","","","","758m","北緯34度43分28秒東経139度23分40秒﻿ / ﻿北緯34.72444度 東経139.39444度﻿ /34.72444; 139.39444座標:北緯34度43分28秒東経139度23分40秒﻿ / ﻿北緯34.72444度 東経139.39444度﻿ /34.72444; 139.39444","独立峰","中央火口丘","","","1986年","","","","",""
"利島","[8宮塚山みやつかやま508利島東京都利島村] 利島 （としま）は、 伊豆諸島 に属する日本の 島 。 伊豆七島 のひとつ。 行政区画 は 東京都 利島村 。","https://ja.wikipedia.org/wiki/利島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度31分13秒東経139度16分45秒","日本（東京都）","4.12km²","507.5m","","7.7km","宮塚山","伊豆諸島","","","","","","","","","","","",""
"新島","[9宮塚山みやつかやま432新島東京都新島村] 新島 （にいじま）は、 伊豆諸島 を構成する 島 の一つであり、東京から南に約160km、 静岡県 下田市 から南東に36kmの位置にある。行政上の所属は 東京都 新島村 。 サーファー や 海水浴 客などに主眼を置いた 観光業 、 漁業 などが盛んである。","https://ja.wikipedia.org/wiki/新島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度22分東経139度16分","日本（東京都）","23.17km²","432m","太平洋","","宮塚山","","","","","","","","","","","","",""
"式根島","[10丸山まるやま99式根島東京都新島村] 式根島 （しきねじま）は、 伊豆諸島 を構成する 島 の一つであり、 新島 の南西に位置する。行政上の所属は 東京都 新島村 。","https://ja.wikipedia.org/wiki/式根島","しま山100選","https://ja.wikipedia.org/wiki/しま山100選","表形式","北緯34度19分34秒東経139度12分36秒","日本東京都新島村","3.67km²","109m","太平洋","","","","","","","","","","","","","","",""
