"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","河川","ダム型式","堤高","堤頂長","堤体積","湛水面積","総貯水容量","有効貯水容量","利用目的","事業主体","着手年/竣工年","ダム湖","流域面積","施工業者","発電所名,（認可出力）","電気事業者","所在地","出典"
"富里ダム","[1富里湖北海道北見市常呂川仁頃川富里ダム北見市北見市富里湖森林公園] 富里ダム （とみさとダム）は 北海道 北見市 字富里、 一級河川 ・ 常呂川 水系 仁頃川に建設された ダム である。","https://ja.wikipedia.org/wiki/富里ダム#富里湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯43度51分19秒東経143度45分12秒","北緯43度51分19秒東経143度45分12秒﻿ / ﻿北緯43.85528度 東経143.75333度﻿ /43.85528; 143.75333","常呂川水系仁頃川","ロックフィルダム","44.3m","280 m","444,000m³","21ha","2,800,000 m³","26,300,000 m³","灌漑","国土交通省北海道開発局","1969年/1987年","富里湖（ダム湖百選）","8.7km²","日本国土開発","","","北海道北見市字富里","「ダム便覧」富里ダム"
"聖台ダム","[2聖台ダム公園北海道上川郡美瑛町石狩川宇英別川聖台ダム北海道土木学会選奨土木遺産かおり風景100選] 聖台ダム （せいだいダム）は 北海道 上川郡 美瑛町 字中宇莫別、 一級河川 ・ 石狩川 水系 宇莫別川 に建設された 灌漑 用の アースダム である。","https://ja.wikipedia.org/wiki/聖台ダム#聖台ダム公園","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯43度36分43秒東経142度31分27秒","北緯43度36分43秒東経142度31分27秒﻿ / ﻿北緯43.61194度 東経142.52417度﻿ /43.61194; 142.52417","石狩川水系宇莫別川","アースダム","29.7m","485.4 m","318,000m³","51ha","3,767,000 m³","3,215,000 m³","灌漑","北海道","1932年/1937年","聖台貯水池（ダム湖百選）","","","","","北海道上川郡美瑛町字中宇莫別",""
"金山ダム","[3かなやま湖北海道空知郡南富良野町石狩川空知川金山ダム国土交通省北海道開発局富良野芦別道立自然公園かおり風景100選] 金山ダム （かなやまダム）は 北海道 空知郡 南富良野町 、 一級河川 ・ 石狩川 水系 空知川 最上流部に建設された ダム である。","https://ja.wikipedia.org/wiki/金山ダム#かなやま湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯43度07分47.0秒東経142度26分35.1秒","北緯43度07分47.0秒東経142度26分35.1秒﻿ / ﻿北緯43.129722度 東経142.443083度﻿ /43.129722; 142.443083","石狩川水系空知川","中空重力式コンクリートダム","57.3m","288.5 m","220,000m³","920.0ha","150,450,000 m³","130,420,000 m³","洪水調節・不特定利水・灌漑・上水道・発電","国土交通省北海道開発局","1959年/1967年","かなやま湖（ダム湖百選）","470.0km²","鹿島建設","金山発電所(25,000kW)","北海道電力","北海道空知郡南富良野町金山(かなやま)","「ダム便覧」 金山ダム"
"豊平峡ダム","[4定山湖北海道札幌市南区石狩川豊平川豊平峡ダム国土交通省北海道開発局支笏洞爺国立公園水源の森百選] 豊平峡ダム （ほうへいきょうダム）は 札幌市 南区 定山渓 、 一級河川 ・ 石狩川 水系 豊平川 の上流部に建設された ダム である。","https://ja.wikipedia.org/wiki/豊平峡ダム#温泉と紅葉の名所","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯42度54分57秒東経141度09分13秒","北緯42度54分57秒東経141度09分13秒﻿ / ﻿北緯42.91583度 東経141.15361度﻿ /42.91583; 141.15361","石狩川水系豊平川","アーチ式コンクリートダム","102.5m","305.0 m","285,000m³","150.0ha","47,100,000 m³","37,100,000 m³","洪水調節・上水道・発電","国土交通省北海道開発局（石狩川開発建設部）","1965年/1972年","定山湖（ダム湖百選）","184.0km²","大成建設・地崎工業","豊平峡発電所（51,900kW）","北海道電力","左岸:北海道札幌市南区定山渓国有林84林班（石狩振興局）右岸:北海道札幌市南区定山渓国有林84林班",""
"笹流ダム","[5笹流貯水池北海道函館市亀田川笹流川笹流ダム函館市企業局上下水道部土木学会選奨土木遺産日本初のバットレスダム] 笹流ダム （ささながれダム）は、 北海道 函館市 を流れる 二級河川 ・ 亀田川 水系 笹流川に建設された ダム である。","https://ja.wikipedia.org/wiki/笹流ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯41度50分05.8秒東経140度46分23.3秒","北緯41度50分05.8秒東経140度46分23.3秒﻿ / ﻿北緯41.834944度 東経140.773139度﻿ /41.834944; 140.773139","亀田川水系笹流川","バットレスダム","25.3m","199.4 m","16,000m³","7.6ha","607,000 m³","506,000 m³","上水道","函館市企業局上下水道部","1920年/1923年","笹流貯水池（ダム湖百選）","5.4km²","函館市直営","","","","「北海道のダム 1986」・『ダム便覧』笹流ダム"
"川内ダム","[6かわうち湖青森県むつ市川内川川内川川内ダム青森県本州最北のダム湖] 川内ダム （かわうちダム）は 青森県 むつ市 川内町福浦山、 二級河川 ・ 川内川 水系 川内川上流部に建設された ダム である。","https://ja.wikipedia.org/wiki/川内ダム#かわうち湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯41度16分30秒東経140度53分41秒","北緯41度16分30秒東経140度53分41秒﻿ / ﻿北緯41.27500度 東経140.89472度﻿ /41.27500; 140.89472","川内川水系川内川","重力式コンクリートダム河川維持用水","55m","137 m","94,000m³","147ha","16,500,000 m³","14,500,000 m³","洪水調節・不特定利水・防災・河川維持","青森県","1973年/1994年","かわうち湖（ダム湖百選）","48km²","","","","青森県むつ市川内町福浦山","「ダム便覧」川内ダム"
"岩洞ダム","[7岩洞湖岩手県盛岡市北上川丹藤川岩洞ダム岩手県外山早坂高原県立自然公園] 岩洞ダム （がんどうダム）は、 岩手県 盛岡市 藪川、 一級河川 ・ 北上川 水系 丹藤川に建設された ダム である。","https://ja.wikipedia.org/wiki/岩洞ダム#岩洞湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯39度49分37秒東経141度22分24秒","北緯39度49分37秒東経141度22分24秒﻿ / ﻿北緯39.82694度 東経141.37333度﻿ /39.82694; 141.37333","北上川水系丹藤川","傾斜土質遮水壁型ロックフィルダム","40.0m","351.0 m","850,000m³","577.0ha","65,600,000 m³","46,300,000 m³","灌漑・発電","岩手県","－/1960年","岩洞湖（ダム湖百選）","212.1km²","大成建設","岩洞第1発電所(41,000kW)岩洞第2発電所(8,300kW)","岩手県企業局","左岸:岩手県盛岡市藪川右岸:岩手県盛岡市藪川",""
"御所ダム","[8御所湖岩手県盛岡市北上川雫石川御所ダム国土交通省東北地方整備局岩手県立御所湖広域公園] 御所ダム （ごしょダム）は 岩手県 盛岡市 繋地先、 一級河川 ・ 北上川 水系 雫石川 に建設された ダム である。","https://ja.wikipedia.org/wiki/御所ダム#御所湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯39度41分36.7秒東経141度01分47.8秒","北緯39度41分36.7秒東経141度01分47.8秒﻿ / ﻿北緯39.693528度 東経141.029944度﻿ /39.693528; 141.029944","北上川水系雫石川","コンバインダム","52.5m","327.0 m","1,200,000m³","640.0ha","65,000,000 m³","45,000,000 m³","洪水調節・不特定利水上水道・発電","国土交通省東北地方整備局","1967年/1981年","御所湖（ダム湖百選）","635.0km²","鹿島建設・西松建設","御所発電所(13,000kW)","岩手県企業局","左岸:岩手県盛岡市繋字山根右岸:岩手県盛岡市繋字下猿田",""
"田瀬ダム","[9田瀬湖岩手県花巻市岩手県遠野市北上川猿ヶ石川田瀬ダム国土交通省東北地方整備局] 田瀬ダム （たせダム）は 岩手県 花巻市 、 一級河川 ・ 北上川 水系 猿ヶ石（さるがいし）川 に建設された ダム である。","https://ja.wikipedia.org/wiki/田瀬ダム#田瀬湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯39度20分35秒東経141度19分07秒","北緯39度20分35秒東経141度19分07秒﻿ / ﻿北緯39.34306度 東経141.31861度﻿ /39.34306; 141.31861","北上川水系猿ヶ石川","重力式コンクリートダム","81.5m","320.0 m","420,000m³","600.0ha","146,500,000 m³","101,800,000 m³","洪水調節・灌漑・発電","国土交通省東北地方整備局","1941年/1954年","田瀬湖【ダム湖百選】","740.0km²","西松建設","東和発電所 (27,000kW)","電源開発","岩手県花巻市東和町田瀬",""
"湯田ダム","[10錦秋湖岩手県和賀郡西和賀町北上川和賀川湯田ダム国土交通省東北地方整備局湯田温泉峡県立自然公園] 湯田ダム （ゆだダム）は 岩手県 和賀郡 西和賀町 杉名畑、 一級河川 ・ 北上川 水系 和賀川 に建設された ダム である。","https://ja.wikipedia.org/wiki/湯田ダム#錦秋湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯39度18分06.0秒東経140度53分06.5秒","北緯39度18分06.0秒東経140度53分06.5秒﻿ / ﻿北緯39.301667度 東経140.885139度﻿ /39.301667; 140.885139","北上川水系和賀川","重力式アーチダム","89.5m","265.0 m","379,000m³","630.0ha","114,160,000 m³","93,710,000 m³","洪水調節・不特定利水・発電","国土交通省東北地方整備局","1953年/1964年","錦秋湖（ダム湖百選）","583.0km²","西松建設","仙人発電所(37,600kW)和賀川発電所(15,500kW)","岩手県企業局（仙人発電所）日本重化学株式会社（和賀川発電所）","左岸:岩手県和賀郡西和賀町杉名畑右岸:岩手県和賀郡西和賀町杉名畑",""
"南川ダム","[11七ッ森湖宮城県黒川郡大和町鳴瀬川南川南川ダム宮城県七ツ森湖畔公園] 南川ダム （みなみかわダム）は 宮城県 黒川郡 大和町 、 一級河川 ・ 鳴瀬川 水系南川に建設された 都道府県営ダム である。 南川ダム本体とは別に、右岸に 鞍部ダム（貯水位を稼ぐ目的で周辺地形の低標高部分をふさいで水が逃げ出ないようにするダム） が設けられている。","https://ja.wikipedia.org/wiki/南川ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯38度26分05秒東経140度49分16秒","北緯38度26分05秒東経140度49分16秒﻿ / ﻿北緯38.43472度 東経140.82111度﻿ /38.43472; 140.82111","鳴瀬川水系南川","重力式コンクリートダム","46.0m","335.0 m","244,000m³","90.0ha","10,000,000 m³","9,200,000 m³","洪水調節・不特定利水・上水道","宮城県","1975年/1987年","七ツ森湖【ダム湖百選】","22.5km²","熊谷組","南川ダム発電所 (220kW)","宮城県","",""
