"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","初登頂","山系","位置","プロミネンス","所属山脈","最容易,ルート","総称","種類","アイソレーション","全長","翻訳","親山頂","Hidden","Hidden","Hidden","Hidden","Hidden"
"エベレスト","[1ヒマラヤ-01エベレストチョモランマサガルマータヒマラヤ ネパール 中国8,84829,0291953北緯27度59分17秒東経86度55分31秒﻿ / ﻿北緯27.98806度 東経86.92528度﻿ /27.98806; 86.92528﻿ (Everest)] 山頂は、 ネパール と 中国 との国境上にある。","https://ja.wikipedia.org/wiki/エベレスト","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯27度59分17秒東経86度55分31秒","8848.86m","ネパールサガルマタ県ソルクンブ郡中国チベット自治区ティンリ県","エドモンド・ヒラリー、テンジン・ノルゲイ（1953年）","ヒマラヤ山脈","北緯27度59分17秒東経86度55分31秒﻿ / ﻿北緯27.98806度 東経86.92528度﻿ /27.98806; 86.92528座標:北緯27度59分17秒東経86度55分31秒﻿ / ﻿北緯27.98806度 東経86.92528度﻿ /27.98806; 86.92528","","","","","褶曲・隆起","","","","","","","","",""
"K2","[2カラコルム-01K2チョゴリゴッドウィンオースチンカラコルム パキスタン インド 中国8,61128,2511954北緯35度52分53秒東経76度30分48秒﻿ / ﻿北緯35.88139度 東経76.51333度﻿ /35.88139; 76.51333] K2 という頭文字は Karakoram No.2 、つまり カラコルム山脈測量番号2号 を意味する。","https://ja.wikipedia.org/wiki/K2","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度52分57秒東経76度30分48秒","8611m","パキスタンギルギット・バルティスタン州中国ウイグル自治区タシュクルガン・タジク自治県","1954年7月31日アキレ・コンパニョーニ（英語版）リーノ・ラチェデッリ（英語版）（イタリア隊　アルディト・デジオ（英語版）隊長）","カラコルム山脈","北緯35度52分57秒東経76度30分48秒﻿ / ﻿北緯35.88250度 東経76.51333度﻿ /35.88250; 76.51333座標:北緯35度52分57秒東経76度30分48秒﻿ / ﻿北緯35.88250度 東経76.51333度﻿ /35.88250; 76.51333","","","","","","","","","","","","","",""
"カンチェンジュンガ","[3ヒマラヤ-02カンチェンジュンガヒマラヤ ネパール インド8,58628,1691955北緯27度42分12秒東経88度08分51秒﻿ / ﻿北緯27.70333度 東経88.14750度﻿ /27.70333; 88.14750] カンチェンジュンガとは チベット語 で「偉大な雪の5つの宝庫」の意味。主峰の他に西峰=ヤルン・カン（8505 m）、中央峰（8478 m）、南峰=カンチェンジュンガII（8476 m）、カンバチェン（7903 m）が並ぶ。衛星峰に囲まれていて、最高点を中心に半径20 kmの円を描くとその中に7000 m以上の高峰10座、8000 m級のカンチェンジュンガ主峰と第II峰の2座が入り、壮大さは比類がない。さらにこの山が ダージリン の丘陵上から手に取るような近さで眺められることも、この山を古くから人に親しませる理由となった。","https://ja.wikipedia.org/wiki/カンチェンジュンガ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯27度42分00秒東経88度08分00秒","8586m","ネパールインド","1955年イギリス隊","ヒマラヤ山脈","北緯27度42分00秒東経88度08分00秒﻿ / ﻿北緯27.70000度 東経88.13333度﻿ /27.70000; 88.13333座標:北緯27度42分00秒東経88度08分00秒﻿ / ﻿北緯27.70000度 東経88.13333度﻿ /27.70000; 88.13333","","","","","","","","","","","","","",""
"ローツェ","[4ヒマラヤ-03ローツェヒマラヤ ネパール 中国8,51627,9401956北緯27度57分42秒東経86度55分59秒﻿ / ﻿北緯27.96167度 東経86.93306度﻿ /27.96167; 86.93306] ローツェの頂上に至る標準的なルートは、約7800 mまではエベレストの ノーマルルート と同じ道を辿る  。 このルートでは、まず ベースキャンプ を出発してから難所のクーンブ・アイスフォールを越え、西壁を登る途中でエベレストに向かうルートと分岐し、最後に狭いクーロワールを通って頂上に至る。","https://ja.wikipedia.org/wiki/ローツェ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯27度58分00秒東経86度56分00秒","8516m","ネパールサガルマタ県ソルクンブ郡中国チベット自治区ティンリ県","1956年5月18日スイス（エルンスト・ライス、フリッツ・ルフジンガー）","ヒマラヤ山脈（クーンブ・ヒマール）","北緯27度58分00秒東経86度56分00秒﻿ / ﻿北緯27.96667度 東経86.93333度﻿ /27.96667; 86.93333座標:北緯27度58分00秒東経86度56分00秒﻿ / ﻿北緯27.96667度 東経86.93333度﻿ /27.96667; 86.93333","","","","","","","","","","","","","",""
"マカルー","[5ヒマラヤ-04マカルーヒマラヤ ネパール 中国8,48527,8381955北緯27度53分23秒東経87度5分20秒﻿ / ﻿北緯27.88972度 東経87.08889度﻿ /27.88972; 87.08889] マカルーは、急な斜面や切り立った峰などから、世界でも屈指の登りづらい山として知られている。特に西壁は、 デスゾーン 手前から山頂付近まで部分的に オーバーハング した垂直の岩壁が続くという難しいルートのため、 イェジ・ククチカ 、 山野井泰史 、 ヴォイテク・クルティカ 、 マルコ・プレゼリ 、 スティーブ・ハウス といった一流クライマーの挑戦を退け続け、核心部は未踏となっている  ことから「ヒマラヤ最大の課題」とまでいわれている。","https://ja.wikipedia.org/wiki/マカルー","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯27度53分00秒東経87度05分00秒","8463m","ネパールコシ県サンクワサバ郡中国チベット自治区ティンリ県","1955年5月15日フランス隊","ヒマラヤ山脈","北緯27度53分00秒東経87度05分00秒﻿ / ﻿北緯27.88333度 東経87.08333度﻿ /27.88333; 87.08333座標:北緯27度53分00秒東経87度05分00秒﻿ / ﻿北緯27.88333度 東経87.08333度﻿ /27.88333; 87.08333","","","","","","","","","","","","","",""
"チョオユー","[6ヒマラヤ-05チョオユーヒマラヤ ネパール 中国8,20126,8641954北緯28度05分39秒東経86度39分39秒﻿ / ﻿北緯28.09417度 東経86.66083度﻿ /28.09417; 86.66083﻿ (Cho Oyu)] 全部で14座ある 8000 m峰 の中では最も登りやすい山とされ、多くの 公募隊 が組まれている  。 エベレスト の前哨戦として選ばれることの多い山でもある。ただし登りやすいといっても、それは ノーマルルート （北西稜）のことであって、南西壁は標高差2000 mの大岩壁となっており、技術の卓越した登山家のみが選択するルートとなっている。他の8000m峰に比べると山頂が広く、最高地点が不明瞭なため、背景に エベレスト と ローツェ が写りこむように撮影することが登頂の証明として好まれている。","https://ja.wikipedia.org/wiki/チョオユー","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度06分00秒東経86度39分00秒","8188m","ネパールサガルマタ県ソルクンブ郡中国チベット自治区ティンリ県","J.ヨヒラー、パサン・ダワ・ラマ、H.ティッヒー（1954年10月19日）","ヒマラヤ山脈","北緯28度06分00秒東経86度39分00秒﻿ / ﻿北緯28.10000度 東経86.65000度﻿ /28.10000; 86.65000座標:北緯28度06分00秒東経86度39分00秒﻿ / ﻿北緯28.10000度 東経86.65000度﻿ /28.10000; 86.65000","","","","","","","","","","","","","",""
"ダウラギリ","[7ヒマラヤ-06ダウラギリヒマラヤ ネパール8,16726,7951960北緯28度41分45秒東経83度29分36秒﻿ / ﻿北緯28.69583度 東経83.49333度﻿ /28.69583; 83.49333﻿ (Dhaulagiri)] ダウラギリは、1808年に初めてヨーロッパの人々に知られるようになり、 カンチェンジュンガ の存在が知られるまでの約30年間、世界一高い山と考えられていた。","https://ja.wikipedia.org/wiki/ダウラギリ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度41分47秒東経83度29分43秒","8167m","ネパールダウラギリ県","スイス・オーストリア隊（1960年5月13日）","ヒマラヤ山脈","北緯28度41分47秒東経83度29分43秒﻿ / ﻿北緯28.69639度 東経83.49528度﻿ /28.69639; 83.49528座標:北緯28度41分47秒東経83度29分43秒﻿ / ﻿北緯28.69639度 東経83.49528度﻿ /28.69639; 83.49528","","","","","","","","","","","","","",""
"マナスル","[8ヒマラヤ-07マナスルヒマラヤ ネパール8,16326,7811956北緯28度32分58秒東経84度33分39秒﻿ / ﻿北緯28.54944度 東経84.56083度﻿ /28.54944; 84.56083﻿ (Manaslu)] 初登頂は 1956年  5月9日 に、 今西壽雄 ・ ギャルツェン・ノルブ ら日本隊によって達成されている。この成功は戦後の日本登山界に画期的な影響があり  、空前絶後の登山ブームを巻き起こすなど社会現象になった  。また登山隊が使用した ビブラム ソール  、ナイロン製 クライミングロープ  などの新鋭機材は急速に普及した  。","https://ja.wikipedia.org/wiki/マナスル","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度33分00秒東経84度34分00秒","8163m","ネパールガンダキ県","今西壽雄・ギャルツェン・ノルブ1956年5月9日","ヒマラヤ山脈","北緯28度33分00秒東経84度34分00秒﻿ / ﻿北緯28.55000度 東経84.56667度﻿ /28.55000; 84.56667座標:北緯28度33分00秒東経84度34分00秒﻿ / ﻿北緯28.55000度 東経84.56667度﻿ /28.55000; 84.56667","","","","","","","","","","","","","",""
"ナンガパルバット","[9ヒマラヤ-08ナンガパルバットヒマラヤ パキスタン8,12526,6601953北緯35度14分18秒東経74度35分22秒﻿ / ﻿北緯35.23833度 東経74.58944度﻿ /35.23833; 74.58944﻿ (Nanga Parbat)] 「ナンガ・パルバット」は ウルドゥー語 で「裸の山」の意味で、その周囲に高い山がないことに由来する。nangaナンガとは、 サンスクリット語 でnaked、bareの意である。","https://ja.wikipedia.org/wiki/ナンガパルバット","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度14分15秒東経74度35分21秒","8126m","パキスタンギルギット・バルティスタン州","ヘルマン・ブール（1953年）","ヒマラヤ山脈","北緯35度14分15秒東経74度35分21秒﻿ / ﻿北緯35.23750度 東経74.58917度﻿ /35.23750; 74.58917座標:北緯35度14分15秒東経74度35分21秒﻿ / ﻿北緯35.23750度 東経74.58917度﻿ /35.23750; 74.58917","","","","","","","","","","","","","",""
"アンナプルナ I","[10ヒマラヤ-09アンナプルナ Iヒマラヤ ネパール8,09126,5451950北緯28度35分43秒東経83度49分11秒﻿ / ﻿北緯28.59528度 東経83.81972度﻿ /28.59528; 83.81972﻿ (Annapurna I)] しかし、14座ある8000メートル峰の中では10番目の標高であるが、けっして容易な山ではない。北面は常に雪崩の危険がつきまとい、南面は岩と氷の困難な大岩壁が立ちはだかっている。最も登られる北斜面では、初登頂ルートを含む北氷河を通過するルートで雪崩が頻発し、雪崩を避けるために稜線沿いにルートをとった場合でさえ雪崩の死者が多数出ている   。そのため8000メートル峰の中では最も登頂者が少なく、2012年3月の時点で、登頂者数191人に対して死亡者数は61人  に達する。死亡率が高い理由は、エベレストのような商業登山の対象とならず、難度の高いルート、単独ないし アルパイン・スタイル 、無酸素による挑戦の比率が高いことにも起因している。","https://ja.wikipedia.org/wiki/アンナプルナ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度35分00秒東経83度49分00秒","8091m","ネパール中部","モーリス・エルゾーグ、ルイ・ラシュナル（フランス語版）（1950年6月3日）","ヒマラヤ山脈","北緯28度35分00秒東経83度49分00秒﻿ / ﻿北緯28.58333度 東経83.81667度﻿ /28.58333; 83.81667座標:北緯28度35分00秒東経83度49分00秒﻿ / ﻿北緯28.58333度 東経83.81667度﻿ /28.58333; 83.81667","","","","","","","","","","","","","",""
