"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","  市域","国","標高","等時帯","人口","市長","  都市圏","市外局番"," 市","ナンバープレート","    ,人口密度","郵便番号"," ,州","簡体字","繁体字","拼音","カタカナ,転写","国家","行政級別"
"上海","[1上海  中華人民共和国54,700,00025,0004,574] 同国の 商業 ・ 金融 ・ 工業 ・ 交通 などの中心地。強力な 世界都市 であり、英国のシンクタンクZ/Yenグループが 2021年 3月に発表した世界 金融センター ランキングによると、 ニューヨーク 、 ロンドン に次ぐ世界3位  。アメリカの シンクタンク が2021年に発表した総合的な世界都市ランキングにおいて、世界10位の都市と評価された  。","https://ja.wikipedia.org/wiki/上海","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯31度10分00秒 東経121度29分00秒","","","","","","龔正（市委副書記）","","","","滬A, B, D, E, F, G, H, J, K, L, M, N滬C（郊外）","","200000 –202100","","上海","上海","Shànghǎi","北京官話：シャンハイ、呉語・上海語：ザォンヘー","中華人民共和国","直轄市"
"北京","[2北京  中華人民共和国47,520,0003,4975,000] 行政区画 上は 直轄市 であり、中国の 華北 の中央に位置する。人口は2171万（2015年）。中国の政治の中枢であり、 上海 と並ぶ経済・学術・文化の中心地である。アジア屈指の 世界都市 。古くは 大都 ・ 燕京 ・ 北平 とも呼ばれた。","https://ja.wikipedia.org/wiki/北京","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯39度54分20秒 東経116度23分29秒","","","","","","陳吉寧（前環境保護相、元清華大学校長）","","","","京A, C, E, F,G, H, J, K, L, M, P, N, Q, Y(小型自動車)（藍地に白字）京A,G(大型自動車)（黄地に黒字）京E(中型バス)（黄地に黒字）京B(タクシー)（藍地に白字）京A, D(警察)（白地に黒字）京O(当局により廃止)（藍地に白字）","","100000 -102600","","北京","北京","Běijīng","ベイジン","中華人民共和国","直轄市"
"広州","[3広州-仏山  中華人民共和国45,897,3133,1735,300] 北京市 、 上海市 、 深圳市 と共に「一線都市」に分類されており、「北上広深」として四大都市に数えられることもある  。アメリカの シンクタンク が 2020年 に発表した総合的な 世界都市ランキング において、世界63位の都市と評価された  。中国本土では 北京市 、 上海市 に次ぐ3位である。","https://ja.wikipedia.org/wiki/広州市","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯23度07分43.67秒 東経113度15分32.31秒","","","","","","温国輝","","","","粤A","","510000","","广州","廣州"," Guăngzhōu","クワンチョウ（普通話）クアンツァウ（広東語）","中華人民共和国","副省級市"
"東京","[4東京  日本国42,159,6208,5474,300] ","https://ja.wikipedia.org/wiki/東京","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","","","","","","","","","","","","","","","","","","","",""
"サンパウロ","[5サンパウロ[2] 人口約1,200万人。ブラジルのみならず、 南半球 最大の メガシティ である。 2016年 の 都市圏人口 （近郊を含む）は2,060万人で、世界第10位、南半球では第1位である  。アメリカの シンクタンク が2016年に発表した 世界都市 ランキングでは、世界34位と評価された。ブラジルの都市としては、 リオデジャネイロ を凌ぎ首位であった  。","https://ja.wikipedia.org/wiki/サンパウロ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","南緯23度32分35.88秒 西経46度37分58.8秒","1521.11km2","ブラジル","760m","UTC-3","（2016年現在）","ヒカールドゥ・ヌーニス（ブラジル民主運動党）","","","サンパウロ市","","  7,914人/km2","","サンパウロ州","","","","","",""
"京阪神","[6京阪神  日本国26,987,0003,2125,300] 一般的に 京阪神 と言えば、 京阪神大都市圏 を指すことが比較的多い。しかし、場合によっては下記のような例も見られる。","https://ja.wikipedia.org/wiki/京阪神","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","","","日本","","","","","","","","","","","","","","","","",""
"ソウル","[7ソウル-仁川  大韓民国25,369,2852,16310,400] アジア最大級の都市で、世界5位の 人口 に加え、 東京都 の都内総生産を凌駕する世界4位の都市圏経済力を有する     。政治、経済、交通、文化、教育・学術面において 大韓民国 の中枢をなす。","https://ja.wikipedia.org/wiki/ソウル特別市","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯37度34分 東経126度58分","","","","","","","","","","","","","","","","","","",""
"デリー","[8デリー  インド共和国24,897,4611,94311,500] デリー首都圏 を構成し、 ニューデリー と オールドデリー に分けられる。ニューデリーの中にはニューデリー行政区があり、ここに連邦の 首都 機能がある。古くは現在のオールドデリーだけの町であったが、 イギリス 統治 下の新しい 首府 としてニューデリーが建設された。イギリスの設計と建設による新都市部分をニューデリーと呼び、古くからある町をオールドデリーと呼んでいる。 2019年 の近郊を含む 都市圏人口 はおよそ2850万人であり、世界第3位の巨大な 大都市圏 を形成している。デリー首都圏の2014年の 都市GDP は2936億ドルであり、世界第36位である  。","https://ja.wikipedia.org/wiki/デリー","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯28度36分36秒 東経77度13分48秒","1,483km2(573mi2)","インド","239m(784ft)","UTC+5:30  (UTC+5:30)","（2011年現在）","","21,753,486人","011","デリー連邦直轄地","DL","  12,591.71人/km2（32,612.39人/mi2）","","","","","","","",""
"ラゴス","[9ラゴス  ナイジェリア連邦共和国23,957,4187,51112,700] 独立 後の人口調査は2回だけだが（ 1972年 と 1991年 ）、その人口の推計は1,000万前後と思われ、 アフリカ 最大級の メガシティ である。 2016年 の 都市圏人口 では1,283万人であり、世界第24位、アフリカでは カイロ に次ぐ第2位と推計されている  。","https://ja.wikipedia.org/wiki/ラゴス","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯6度27分11秒 東経3度23分45秒","","ナイジェリア","34m","西アフリカ時間(UTC+1)","（2006年国勢調査（暫定データ）現在）","","2,706.7 km2","","","","  7,941人/km2","","ラゴス州","","","","","",""
"パリ","[10パリ  フランス共和国23,155,1012,8443,800] 市域は ティエールの城壁 跡に造られた 環状高速道路 の内側の市街地（面積は86.99 km 2 。参考： 東京都 ・ 山手線 の内側は63km 2 、 ニューヨーク市 ・ マンハッタン は59km 2 ）、および、その外側西部の ブローニュの森 と外側東部の ヴァンセンヌの森 を併せた形となっており、面積は105.40km 2 。 ケスタ 地形を呈する パリ盆地 のほぼ中央に位置し、市内を セーヌ川 が貫く。この川の 中州 である シテ島 を中心に発達した。市内の地形は比較的平坦であるが、標高は最低でセーヌ川沿いの35メートル、最高でモンマルトルの丘の130メートルである  。北緯49度とやや高緯度に位置するが、温かい 北大西洋海流 と 偏西風 によって1年を通して比較的温暖となっており、 西岸海洋性気候 の代表的な都市である。","https://ja.wikipedia.org/wiki/パリ","世界の都市的地域の人口順位","https://ja.wikipedia.org/wiki/世界の都市的地域の人口順位","表形式","北緯48度51分44秒東経2度21分04秒","","フランス","平均:33m最低:28m最高:131m","","市：2,148,271人都市圏：12,532,901人（2020年1月）","","","","","","","75001 - 75020、75116","","","","","","",""
