"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","城郭構造","築城年","廃城年","指定文化財","形状","規模","別名","築城主","遺構","史跡","主な城主","法人番号","天守構造","埋葬施設","出土品"
"斎尾廃寺跡","[斎尾廃寺跡（さいのおはいじあと）〔東伯郡琴浦町〕1952年3月29日] 斎尾廃寺跡 （さいのおはいじあと）は、 鳥取県 東伯郡 琴浦町 槻下にある 飛鳥時代 後期から 奈良時代 の寺院跡。国の 特別史跡 に指定  されている。","https://ja.wikipedia.org/wiki/斎尾廃寺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度28分53.4秒 東経133度42分41.4秒","","","","","","","","","","","","","","","","","","",""
"志戸坂峠越 (存在しないページ)","[志戸坂峠越（しとさかとうげごえ）2008年5月21日]","https://ja.wikipedia.org/w/index.php?title=志戸坂峠越&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"土師百井廃寺跡 (存在しないページ)","[土師百井廃寺跡（はじももいはいじあと）〔八頭郡八頭町〕]","https://ja.wikipedia.org/w/index.php?title=土師百井廃寺跡&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"若桜鬼ヶ城","[若桜鬼ヶ城跡（わかさおにがじょうあと）〔八頭郡若桜町〕] 若桜鬼ヶ城 （わかさおにがじょう）は 鳥取県 八頭郡 若桜町 若桜に存在した 日本の城 。城跡は国の 史跡 に指定  されている。","https://ja.wikipedia.org/wiki/若桜鬼ヶ城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度20分11.7秒東経134度23分53.6秒","北緯35度20分11.7秒東経134度23分53.6秒﻿ / ﻿北緯35.336583度 東経134.398222度﻿ /35.336583; 134.398222座標:北緯35度20分11.7秒東経134度23分53.6秒﻿ / ﻿北緯35.336583度 東経134.398222度﻿ /35.336583; 134.398222","","若桜鬼ヶ城","","連郭式山城","正治2年（1200年）以後","元和3年（1617年）","国の史跡","","","鬼ヶ城、若桜城","矢部暉種","郭、石垣、虎口、竪堀、櫓台","","矢部氏代々、山中幸盛、八木豊信、木下重堅、山崎家盛、山崎家治","","複合式天守（非現存）","",""
"岩井廃寺塔跡 (存在しないページ)","[岩井廃寺塔跡（いわいはいじとうあと）〔岩美郡岩美町〕]","https://ja.wikipedia.org/w/index.php?title=岩井廃寺塔跡&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蒲生峠","[蒲生峠越（がもうとうげごえ）] 蒲生峠 （がもうとうげ）は、 兵庫県 と 鳥取県 とを結ぶ 峠 。旧 山陰道 の途上にあり、「山陰道 蒲生峠越」として国の 史跡 に指定されている。いまは 国道9号 が峠下のトンネルで通過している  。","https://ja.wikipedia.org/wiki/蒲生峠","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度31分07秒東経134度24分50秒","","日本兵庫県美方郡新温泉町鳥取県岩美郡岩美町","","","","","","","","","","","","","","","","",""
"野坂峠","[野坂峠越（のさかとうげごえ）] 野坂峠 （のさかとうげ）とは、 島根県 津和野町 から 山口県 山口市 へ至る 峠 である。","https://ja.wikipedia.org/wiki/野坂峠","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度26分7.7秒東経131度45分58.6秒","","島根県津和野町・山口県山口市野坂峠-地理院地図野坂峠-Google マップ","","","","","","","","","","","","","","","","",""
"因幡国庁跡","[因幡国庁跡（いなばこくちょうあと）〔鳥取市国府町〕] 因幡国庁跡 （いなばこくちょうあと）は、 鳥取県 鳥取市 国府町中郷にある 律令制 下の地方行政機関の中心施設跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/因幡国庁跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度28分30.4秒 東経134度15分58.0秒","","","","","","","","","","","","","","","","","","",""
"伊福吉部徳足比売墓跡 (存在しないページ)","[伊福吉部徳足比売墓跡（いふきべのとこたりひめのはかあと）〔鳥取市〕]","https://ja.wikipedia.org/w/index.php?title=伊福吉部徳足比売墓跡&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"梶山古墳","[梶山古墳（かじやまこふん）〔鳥取市〕] 梶山古墳 （かじやまこふん）は、 鳥取県 鳥取市 国府町 岡益にある 古墳 。形状は変形 八角形墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/梶山古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度27分5.39秒東経134度17分41秒","北緯35度27分5.39秒東経134度17分41秒﻿ / ﻿北緯35.4514972度 東経134.29472度﻿ /35.4514972; 134.29472","鳥取県鳥取市国府町岡益","梶山古墳","6世紀末-7世紀初頭","","","","","変形八角形墳（方形壇あり）","対角長17m一辺2.5-8.5m","","","","国の史跡「梶山古墳」","","","","",""
"栃本廃寺跡 (存在しないページ)","[栃本廃寺跡（とちもとはいじあと）〔鳥取市〕]","https://ja.wikipedia.org/w/index.php?title=栃本廃寺跡&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳥取城","[鳥取城跡 附太閤ヶ平（とっとりじょうせき つけたり たいこうがなる）〔鳥取市〕] 鳥取城 （とっとりじょう）は、 鳥取県 鳥取市 （旧・ 因幡国 邑美郡 ）に築かれた 戦国時代 から 江戸時代 の 日本の城 である。国の 史跡 に指定  され、別名は久松山城という。戦国時代から江戸末期にかけての城郭形態の変化を窺うことができることから「城郭の博物館」の異名を持つ  。 織田信長 の 中国攻め では、家臣の 羽柴秀吉 が 兵糧攻め を用いて攻略した。開城後、入城した 宮部継潤 によって山上ノ丸の改修が行われ、 江戸時代 には 鳥取藩 池田氏 の治下に入り、麓の二の丸以下の曲輪が拡張された  。現在は天守台、石垣、堀、井戸などが残っている。","https://ja.wikipedia.org/wiki/鳥取城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度30分36秒東経134度14分28秒","北緯35度30分36秒東経134度14分28秒﻿ / ﻿北緯35.51000度 東経134.24111度﻿ /35.51000; 134.24111座標:北緯35度30分36秒東経134度14分28秒﻿ / ﻿北緯35.51000度 東経134.24111度﻿ /35.51000; 134.24111","","鳥取城","","梯郭式平山城および山城","天文年間（1532年-1555年）","1871年（明治4年）","国の史跡","","","久松城、久松山城","但馬山名氏？","石垣、堀、井戸","","山名氏、吉川氏、宮部氏、池田氏","","独立式望楼型3重（1573年頃、非現存）複合式層塔型2層2階地下1階（1605年改、非現存）","",""
"鳥取藩主池田家墓所","[鳥取藩主池田家墓所（とっとりはんしゅいけだけぼしょ）〔鳥取市〕] 鳥取藩主池田家墓所 （とっとりはんしゅいけだけぼしょ）は、 鳥取県 鳥取市 国府町 奥谷にある 鳥取藩 主 池田家 一族の墓所。国の 史跡 に指定  されている。","https://ja.wikipedia.org/wiki/鳥取藩主池田家墓所","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度29分5.9秒 東経134度16分9.0秒","","","","","","","","","","","","","","","","","","",""
"布勢古墳","[布勢古墳（ふせこふん）〔鳥取市〕] 布勢古墳 （ふせこふん）は、 鳥取県 鳥取市 布勢にある 古墳 。 1974年 12月23日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/布勢古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度30分19秒 東経134度10分38秒","","","","","","","","","","","","","","","","","","",""
"青谷上寺地遺跡","[青谷上寺地遺跡（あおやかみじちいせき）〔鳥取市青谷町〕] 青谷上寺地遺跡 （あおやかみじちいせき）は、 鳥取県 鳥取市 青谷町青谷にある、 弥生時代 の集落 遺跡 。 国道 青谷羽合道路 及び 鳥取県道274号青谷停車場井手線 の建設にともない、 1998年 （ 平成 10年）度から3年3か月の期間をかけて、 遺構 面の面積で延べ約55,000平方メートルが 発掘調査 された。典型的な 低湿地遺跡 で、 弥生人の脳 をはじめとする多彩な 遺物 が出土したことから「 弥生の地下博物館 」とも呼ばれている  。","https://ja.wikipedia.org/wiki/青谷上寺地遺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度30分48.0秒 東経133度59分30.0秒","","","","","","","","","","","","","","","","","","",""
"北山古墳 (湯梨浜町)","[北山古墳（きたやまこふん）〔東伯郡湯梨浜町〕] 北山古墳 （きたやまこふん、北山1号墳）は、 鳥取県 東伯郡 湯梨浜町 野花・長和田にある 古墳 。形状は 前方後円墳 。北山古墳群を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/北山古墳_(湯梨浜町)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度27分50.72秒東経133度53分6.56秒","北緯35度27分50.72秒東経133度53分6.56秒﻿ / ﻿北緯35.4640889度 東経133.8851556度﻿ /35.4640889; 133.8851556座標:北緯35度27分50.72秒東経133度53分6.56秒﻿ / ﻿北緯35.4640889度 東経133.8851556度﻿ /35.4640889; 133.8851556","鳥取県東伯郡湯梨浜町野花・長和田","北山古墳","5世紀前半","","","","","前方後円墳","墳丘長110m高さ12m（後円部）","北山1号墳","","","国の史跡「北山古墳」","","","","第1主体：（推定）竪穴式石室第2主体：箱式石棺","管玉・短甲片・銅鏡・刀など"
