"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","最新噴火","山号","宗旨","宗派","本尊","創建年","開山","中興","正式名","札所等","法人番号","Hidden","Hidden","Hidden"
"氷ノ山","[1ひょうのせん氷ノ山兵庫県鳥取県1,509.6地理院地図Googleマップ.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度21分14秒東経134度30分50秒﻿ / ﻿北緯35.353959度 東経134.513842度﻿ /35.353959; 134.513842﻿ (氷ノ山)日本二百名山新・花の百名山] 氷ノ山 （ひょうのせん）は、 兵庫県 養父市 と 鳥取県 八頭郡 若桜町 との県境にある 標高 1,510 m の 山 である。 須賀ノ山 とも呼ばれる。 日本二百名山 や ふるさと兵庫50山 のひとつに選定されている。","https://ja.wikipedia.org/wiki/氷ノ山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度21分14秒東経134度30分49秒","日本兵庫県養父市鳥取県八頭郡若桜町","1,509.6m","北緯35度21分14秒東経134度30分49秒﻿ / ﻿北緯35.35389度 東経134.51361度﻿ /35.35389; 134.51361座標:北緯35度21分14秒東経134度30分49秒﻿ / ﻿北緯35.35389度 東経134.51361度﻿ /35.35389; 134.51361","中国山地氷ノ山山系","","","","","","","","","","","","","","",""
"扇ノ山","[2おうぎのせん扇ノ山兵庫県鳥取県1,309.9地理院地図Googleマップ北緯35度26分23秒東経134度26分27秒﻿ / ﻿北緯35.439806度 東経134.440891度﻿ /35.439806; 134.440891﻿ (扇ノ山)日本三百名山] 扇ノ山 （おうぎのせん）は、 兵庫県 と 鳥取県 にまたがる山で、 標高 1,309.9m  。 関西百名山 や 日本三百名山 に選ばれている  。","https://ja.wikipedia.org/wiki/扇ノ山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度26分23秒東経134度26分27秒","日本兵庫県美方郡新温泉町（旧温泉町）・鳥取県鳥取市（旧国府町）・八頭郡八頭町（旧郡家町・旧八東町）・若桜町","1,309.9m","北緯35度26分23秒東経134度26分27秒﻿ / ﻿北緯35.43972度 東経134.44083度﻿ /35.43972; 134.44083座標:北緯35度26分23秒東経134度26分27秒﻿ / ﻿北緯35.43972度 東経134.44083度﻿ /35.43972; 134.44083","","","","","","","","","","","","","","","",""
"後山","[3うしろやま後山兵庫県岡山県1,344.6地理院地図Googleマップ北緯35度11分13秒東経134度24分40秒﻿ / ﻿北緯35.186821度 東経134.411243度﻿ /35.186821; 134.411243﻿ (後山)岡山県最高峰] 後山 （うしろやま）は、 兵庫県 宍粟市 と 岡山県 美作市 にまたがる 標高 1344mの 山 である   。兵庫県側からは 板場見山 （いたばみやま）とも呼ばれる。 中国山地 東部にあたり、 氷ノ山後山那岐山国定公園 の主要な一部をなす。 兵庫50山 、 近畿百名山 、 中国百名山 の一つ。三等 三角点 がある山頂部分は岡山県美作市側に位置する。","https://ja.wikipedia.org/wiki/後山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度11分13秒東経134度24分40秒","兵庫県宍粟市・岡山県美作市","1344.56m","北緯35度11分13秒東経134度24分40秒﻿ / ﻿北緯35.18694度 東経134.41111度﻿ /35.18694; 134.41111座標:北緯35度11分13秒東経134度24分40秒﻿ / ﻿北緯35.18694度 東経134.41111度﻿ /35.18694; 134.41111","中国山地","隆起準平原","","","","","","","","","","","","","",""
"滝山 (奈義町・津山市) (存在しないページ)","[4画 像 募 集 中たきやま滝山岡山県1,196.5地理院地図Googleマップ北緯35度10分03秒東経134度09分03秒﻿ / ﻿北緯35.167482度 東経134.150829度﻿ /35.167482; 134.150829﻿ (滝山)]","https://ja.wikipedia.org/w/index.php?title=滝山_(奈義町・津山市)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"那岐山","[5なぎさん那岐山鳥取県岡山県1,255地理院地図Googleマップ北緯35度10分10秒東経134度10分40秒﻿ / ﻿北緯35.169377度 東経134.177889度﻿ /35.169377; 134.177889﻿ (那岐山)日本三百名山] 那岐山 （なぎさん）は 鳥取県 八頭郡 智頭町 と 岡山県 勝田郡 奈義町 の境界にある 山 。「 なぎせん 」とも呼ばれる。 氷ノ山 、 後山 などと並んで、 氷ノ山後山那岐山国定公園 の区域に指定されている。","https://ja.wikipedia.org/wiki/那岐山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度10分11秒東経134度10分40秒","日本岡山県勝田郡奈義町鳥取県八頭郡智頭町","1,255.0m","北緯35度10分11秒東経134度10分40秒﻿ / ﻿北緯35.16972度 東経134.17778度﻿ /35.16972; 134.17778座標:北緯35度10分11秒東経134度10分40秒﻿ / ﻿北緯35.16972度 東経134.17778度﻿ /35.16972; 134.17778","那岐山系（中国山地）","残丘","","","","","","","","","","","","","",""
"爪ヶ城 (存在しないページ)","[6画 像 募 集 中つめがじょう爪ヶ城岡山県1,115地理院地図Googleマップ北緯35度09分34秒東経134度07分31秒﻿ / ﻿北緯35.159316度 東経134.125239度﻿ /35.159316; 134.125239﻿ (爪ヶ城)]","https://ja.wikipedia.org/w/index.php?title=爪ヶ城&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"二上山 (鳥取県)","[7ふたかみやま二上山鳥取県333地理院地図Googleマップ北緯35度32分25秒東経134度19分09秒﻿ / ﻿北緯35.540389度 東経134.319094度﻿ /35.540389; 134.319094﻿ (二上山)] 二上山 （ふたがみやま  、ふたかみやま  ）は、 鳥取県 岩美郡 岩美町 にある山。標高330m  。 中国百名山 の一つ。","https://ja.wikipedia.org/wiki/二上山_(鳥取県)","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度32分25.3秒東経134度19分8.2秒","日本鳥取県岩美郡岩美町","330m","北緯35度32分25.3秒東経134度19分8.2秒﻿ / ﻿北緯35.540361度 東経134.318944度﻿ /35.540361; 134.318944座標:北緯35度32分25.3秒東経134度19分8.2秒﻿ / ﻿北緯35.540361度 東経134.318944度﻿ /35.540361; 134.318944","","","","","","","","","","","","","","","",""
"久松山","[8きゅうしょうざん久松山鳥取県263.1地理院地図Googleマップ北緯35度30分37秒東経134度14分27秒﻿ / ﻿北緯35.510289度 東経134.240750度﻿ /35.510289; 134.240750﻿ (久松山)鳥取城址] 久松山 （きゅうしょうざん）は、 鳥取県 鳥取市 にある 山 である。 標高 263 m 。","https://ja.wikipedia.org/wiki/久松山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度30分37.0秒東経134度14分26.6秒","日本鳥取県鳥取市","263m","北緯35度30分37.0秒東経134度14分26.6秒﻿ / ﻿北緯35.510278度 東経134.240722度﻿ /35.510278; 134.240722座標:北緯35度30分37.0秒東経134度14分26.6秒﻿ / ﻿北緯35.510278度 東経134.240722度﻿ /35.510278; 134.240722","","","","","","","","","","","","","","","",""
"三角山 (鳥取県)","[9みすみやま三角山鳥取県508地理院地図Googleマップ北緯35度20分17秒東経134度13分09秒﻿ / ﻿北緯35.338108度 東経134.219078度﻿ /35.338108; 134.219078﻿ (三角山)] 三角山 （三隅山  、みすみやま  ）（別名「頭巾山  ・襟巾山  （ときんやま  、とっきんざん  ）」）は、鳥取県鳥取市（旧 用瀬町 ）にある山で、 中国百名山 の一つ。標高516メートルの山頂には 三角山神社 があり、その本殿は鳥取市の 指定文化財 になっている  。","https://ja.wikipedia.org/wiki/三角山_(鳥取県)","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯35度20分17.2秒東経134度13分8.5秒","日本鳥取県鳥取市（旧用瀬町）","516m","北緯35度20分17.2秒東経134度13分8.5秒﻿ / ﻿北緯35.338111度 東経134.219028度﻿ /35.338111; 134.219028座標:北緯35度20分17.2秒東経134度13分8.5秒﻿ / ﻿北緯35.338111度 東経134.219028度﻿ /35.338111; 134.219028","中国山地","","","","","","","","","","","","","","",""
"三原山 (鳥取県) (存在しないページ)","[10画 像 募 集 中みはらやま三原山鳥取県1,115.2地理院地図Googleマップ北緯35度18分06秒東経134度03分53秒﻿ / ﻿北緯35.301566度 東経134.064716度﻿ /35.301566; 134.064716﻿ (三原山)]","https://ja.wikipedia.org/w/index.php?title=三原山_(鳥取県)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
