"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","地図","指定文化財","城郭構造","築城主","遺構","別名","築城年","主な城主","史跡","廃城年","形状","規模","築造時期","天守構造","出土品","時代","主な改修者"
"村上城","[村上城跡（むらかみじょうあと）〔村上市〕] 村上城 （むらかみじょう）は、かつて 新潟県 村上市 に存在した 日本の城 （ 平山城 ）。別名・ 舞鶴城 （まいづるじょう）、 本庄城 （ほんじょうじょう）。村上市街地東端にそびえる臥牛山（標高135メートル）の頂に築城され、歴代の 村上藩 主の居城であった。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/村上城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯38度13分11.46秒東経139度29分6.00秒","","北緯38度13分11.46秒東経139度29分6.00秒﻿ / ﻿北緯38.2198500度 東経139.4850000度﻿ /38.2198500; 139.4850000座標:北緯38度13分11.46秒東経139度29分6.00秒﻿ / ﻿北緯38.2198500度 東経139.4850000度﻿ /38.2198500; 139.4850000","村上城","国の史跡","平山城","本庄氏","石垣、堀","舞鶴城、本庄城","不明（1500年代）","本庄氏、堀氏、内藤氏","","1871年（明治4年）","","","","望楼型3重（非現存・1598年築）望楼型3重（非現存・1649年改）","","","村上頼勝・松平直矩"
"平林城","[平林城跡（ひらばやしじょうあと）〔村上市〕] 平林城 （ひらばやしじょう）は、現在の 新潟県 村上市 平林 にあった 日本の城 。 阿賀北地方 の有力な 領主 であった 色部氏 の居城として知られる山城で、国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/平林城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯38度08分18.8秒東経139度28分10.6秒","","北緯38度08分18.8秒東経139度28分10.6秒﻿ / ﻿北緯38.138556度 東経139.469611度﻿ /38.138556; 139.469611座標:北緯38度08分18.8秒東経139度28分10.6秒﻿ / ﻿北緯38.138556度 東経139.469611度﻿ /38.138556; 139.469611","平林城","国の史跡","山城","平林氏","曲輪、堀切、土塁、空堀虎口、馬洗い、首切り清水","加護山城","南北朝時代?","平林氏、色部氏","","1598年","","","","","","",""
"山元遺跡","[山元遺跡（やまもといせき）〔村上市〕2016年10月3日] 山元遺跡 （やまもといせき）は、 新潟県 村上市 下助渕にある 弥生時代 の遺跡。2016年10月3日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/山元遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯38度12分15秒東経139度28分18秒","新潟県村上市下助渕","","","","","","","","","","","","","","","","","弥生時代",""
"奥山荘城館遺跡","[奥山荘城館遺跡（おくやまのしょうじょうかんいせき）〔胎内市・新発田市〕] 奥山荘城館遺跡 （おくやまのしょうじょうかんいせき）は、 新潟県 胎内市 あかね町・本郷町、 新発田市 加治川にある中世の荘園跡である。1984年10月3日に 国史跡 に指定され、2006年1月26日に追加指定がなされた。","https://ja.wikipedia.org/wiki/奥山荘城館遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯38度03分18秒東経139度25分18秒","新潟県胎内市・新発田市","","","","","","","","","","","","","","","","","中世",""
"菖蒲塚古墳","[菖蒲塚古墳（あやめづかこふん）〔新潟市〕] 菖蒲塚古墳 （あやめづかこふん）は、 新潟県 新潟市 西蒲区 竹野町 にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定され、鼉龍鏡は新潟県指定有形文化財に指定されている。","https://ja.wikipedia.org/wiki/菖蒲塚古墳","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度46分1.15秒東経138度51分56.56秒","新潟県新潟市西蒲区竹野町","北緯37度46分1.15秒東経138度51分56.56秒﻿ / ﻿北緯37.7669861度 東経138.8657111度﻿ /37.7669861; 138.8657111座標:北緯37度46分1.15秒東経138度51分56.56秒﻿ / ﻿北緯37.7669861度 東経138.8657111度﻿ /37.7669861; 138.8657111","菖蒲塚古墳新潟市の地図を表示菖蒲塚古墳新潟県の地図を表示","","","","","","","","国の史跡「菖蒲塚古墳」","","前方後円墳","墳丘長53m","","","","",""
"新潟市歴史博物館","[旧新潟税関（きゅうにいがたぜいかん）〔新潟市〕] 新潟市歴史博物館 （にいがたし れきしはくぶつかん）は、 新潟県 新潟市 中央区 柳島町に所在する 博物館 。愛称 みなとぴあ 。施設は新潟市が所有し、財団法人新潟市芸術文化振興財団が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/新潟市歴史博物館","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度55分47.4秒東経139度3分27.8秒","〒950-3324新潟県新潟市中央区柳島町2丁目10番地","北緯37度55分47.4秒東経139度3分27.8秒﻿ / ﻿北緯37.929833度 東経139.057722度﻿ /37.929833; 139.057722座標:北緯37度55分47.4秒東経139度3分27.8秒﻿ / ﻿北緯37.929833度 東経139.057722度﻿ /37.929833; 139.057722","","","","","","","","","","","","","","","","",""
"古津八幡山遺跡","[古津八幡山遺跡（ふるつはちまんやまいせき）〔新潟市〕] 古津八幡山遺跡 （ふるつはちまんやまいせき）は、 新潟県 新潟市 秋葉区 古津、金津および蒲ヶ沢にまたがる 遺跡 。遺跡の中には、古津八幡山古墳もある。","https://ja.wikipedia.org/wiki/古津八幡山遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度45分50.3秒東経139度6分52.4秒","新潟県新潟市秋葉区","","","","","","","","","","","","","","","","","弥生時代-古墳時代",""
"小瀬ヶ沢洞窟","[小瀬ヶ沢洞窟（こせがさわどうくつ）〔東蒲原郡阿賀町〕] 阿賀町 （あがまち）は、 新潟県 下越地方 の 東蒲原郡 にある 町 。 2005年 に 津川町 ・ 鹿瀬町 ・ 三川村 ・ 上川村 の4町村が新設合併し発足した。","https://ja.wikipedia.org/wiki/小瀬ヶ沢洞窟","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度40分32秒東経139度27分31.6秒","〒959-4495新潟県東蒲原郡阿賀町津川580番地北緯37度40分32秒東経139度27分31.6秒﻿ / ﻿北緯37.67556度 東経139.458778度﻿ /37.67556; 139.458778座標:北緯37度40分32秒東経139度27分31.6秒﻿ / ﻿北緯37.67556度 東経139.458778度﻿ /37.67556; 139.458778","","","","","","","","","","","","","","","","","",""
"室谷洞窟","[室谷洞窟（むろやどうくつ）〔東蒲原郡阿賀町〕] 室谷洞窟 （むろやどうくつ）は、 新潟県 東蒲原郡 阿賀町 にある 洞窟 遺跡 。 1980年 （昭和55年）2月4日に国の 史跡 に指定された。また、室谷洞窟出土品も 2000年 （平成12年）12月4日に国の 重要文化財 に指定されている  。","https://ja.wikipedia.org/wiki/室谷洞窟","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度32分35.0秒東経139度21分46.0秒","日本新潟県東蒲原郡阿賀町","","","","","","","","","","","","","","","","","縄文時代",""
"馬高遺跡","[馬高・三十稲場遺跡（うまたか・さんじゅういなばいせき）〔長岡市〕] 馬高遺跡 （うまたかいせき）は、 新潟県 長岡市 関原町一丁目字中原にある 縄文時代 中期の 遺跡 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/馬高遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯37度26分49.8秒東経138度46分4.7秒","新潟県長岡市関原町1丁目","","","","","","","","","","","","","","","","","縄文時代中期",""
