"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","指定文化財","遺構","築城年","築城主","廃城年","城郭構造","築造時期","史跡","規模","主な城主","形状","別名","出土品","天守構造","埋葬施設","特記事項"
"王塚古墳","[王塚古墳（おうづかこふん）〔嘉穂郡桂川町〕1952年3月29日] 王塚古墳 （おうづかこふん）は、 福岡県 嘉穂郡 桂川町 寿命（じゅめい）に存在する 古墳 で、5つの色彩で彩られた壁画が石室内ほぼ全面に施されていることで知られている。 日本 の 特別史跡 。","https://ja.wikipedia.org/wiki/王塚古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度35分19.55秒東経130度39分50.2秒","北緯33度35分19.55秒東経130度39分50.2秒﻿ / ﻿北緯33.5887639度 東経130.663944度﻿ /33.5887639; 130.663944","福岡県嘉穂郡桂川町大字寿命","","","","","","","","6世紀中頃","1952年（昭和27年）特別史跡","全長約86m、高さ約9.5m","","前方後円墳","","装飾古墳、馬具・武器・銅鏡・装飾品・土器類","","",""
"大野城 (筑前国)","[大野城跡（おおのじょうあと）〔太宰府市・糟屋郡宇美町・大野城市〕1952年3月31日] 大野城 （おおのじょう/おおののき）は、 福岡県 の 太宰府市 ・ 大野城市 ・ 糟屋郡 宇美町 にまたがる大城山（おおきやま）  に築かれた、 日本 の 古代山城 である。城跡は、 1953年 （昭和28年）3月31日、国の 特別史跡 「大野城跡」に指定されている  。","https://ja.wikipedia.org/wiki/大野城_(筑前国)","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度32分23.7秒東経130度31分17.6秒","北緯33度32分23.7秒東経130度31分17.6秒﻿ / ﻿北緯33.539917度 東経130.521556度﻿ /33.539917; 130.521556﻿ (大野城 (筑前国))座標:北緯33度32分23.7秒東経130度31分17.6秒﻿ / ﻿北緯33.539917度 東経130.521556度﻿ /33.539917; 130.521556﻿ (大野城 (筑前国))","","大野城","国の特別史跡「大野城跡」","土塁・石塁・水門・城門・建物跡・水溜め","天智天皇4年（665年）","大和朝廷","不明","古代山城","","","","","","","","","",""
"大宰府","[大宰府跡（だざいふあと）〔太宰府市〕1953年3月31日] 大宰府 （だざいふ）は、 7世紀 後半に、 九州 の 筑前国 に設置された地方行政機関。軍事・外交を主任務とし、九州地方の内政も担当した。和名は「おほ みこともち の つかさ」とされる。多くの史書では 太宰府 とも記され  、おもに8世紀の大和朝廷内部で作られた史書で「大宰府」と記されている。","https://ja.wikipedia.org/wiki/大宰府","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度30分52.35秒 東経130度30分54.52秒","","","","","","","","","","","","","","","","","","",""
"水城","[水城跡（みずきあと）〔太宰府市・大野城市・春日市〕1953年3月31日] 水城 （みずき）は、 福岡県 の 太宰府市 ・ 大野城市 ・ 春日市 にまたがり築かれた、 日本 の 古代 の 城 である。城跡は、1953年（昭和28年）3月31日、国の 特別史跡 「水城跡」に指定されている  。","https://ja.wikipedia.org/wiki/水城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度31分4.97秒東経130度29分33.56秒","北緯33度31分4.97秒東経130度29分33.56秒﻿ / ﻿北緯33.5180472度 東経130.4926556度﻿ /33.5180472; 130.4926556座標:北緯33度31分4.97秒東経130度29分33.56秒﻿ / ﻿北緯33.5180472度 東経130.4926556度﻿ /33.5180472; 130.4926556","","水城","国の特別史跡「水城跡」","土塁・城門跡・外濠跡","天智天皇3年（664年）","大和朝廷","不明","古代の城","","","","","","","","","",""
"基肄城","[基肄（椽）城跡（きいじょうあと）〔佐賀県三養基郡基山町・福岡県筑紫野市〕] 基肄城 （きいじょう / きいのき、 椽城 ）は、 福岡県 筑紫野市 と 佐賀県 三養基郡 基山町 にまたがる 基山 （きざん）に築かれた  、 日本 の 古代山城 である。城跡は、1954年（昭和29年）3月20日、国の 特別史跡 「基肄（椽）城跡」に指定されている  。","https://ja.wikipedia.org/wiki/基肄城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度26分42秒東経130度30分47秒","北緯33度26分42秒東経130度30分47秒﻿ / ﻿北緯33.44500度 東経130.51306度﻿ /33.44500; 130.51306﻿ (基肄城)座標:北緯33度26分42秒東経130度30分47秒﻿ / ﻿北緯33.44500度 東経130.51306度﻿ /33.44500; 130.51306﻿ (基肄城)","","基肄城","国の特別史跡「基肄（椽）城跡」","土塁・石塁・城門・水門・礎石","天智天皇4年（665年）","大和朝廷","不明","古代山城","","","","","","","","","",""
"穴ヶ葉山古墳 (存在しないページ)","[穴ヶ葉山古墳（あながはやまこふん）〔築上郡上毛町〕1939年9月7日]","https://ja.wikipedia.org/w/index.php?title=穴ヶ葉山古墳&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大ノ瀬官衙遺跡","[大ノ瀬官衙遺跡（だいのせかんがいせき）〔築上郡上毛町〕1998年12月8日] 大ノ瀬官衙遺跡 （だいのせかんがいせき）は、 福岡県 築上郡 上毛町 （旧築城郡 新吉富村 ）大ノ瀬にある 奈良時代 から 平安時代 初頭の 官衙 遺跡 。古代 豊前国 上毛郡 の 郡衙 跡と考えられている。 1998年 （平成10年）12月8日に国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/大ノ瀬官衙遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度35分17.0秒 東経131度09分13.3秒","","","","","","","","","","","","","","","","","","",""
"唐原山城跡 (存在しないページ)","[唐原山城跡（とうばるさんじょうあと）〔築上郡上毛町〕]","https://ja.wikipedia.org/w/index.php?title=唐原山城跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"友枝瓦窯跡 (存在しないページ)","[友枝瓦窯跡（ともえだかわらがまあと）〔築上郡上毛町〕1922年10月12日]","https://ja.wikipedia.org/w/index.php?title=友枝瓦窯跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"求菩提山","[求菩提山（くぼてさん）〔豊前市・築上郡築上町〕2001年8月13日] 求菩提山 （くぼてさん）は、 福岡県 豊前市 求菩提と 築上郡 築上町 寒田の境界に位置する 筑紫山地 に属する 標高 782メートルの 山 である。麓の豊前市のシンボル的な山であり、かつては 英彦山 、 犬ヶ岳 と共に 修験道 の山だった。","https://ja.wikipedia.org/wiki/求菩提山","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度32分24秒東経131度00分42秒","北緯33度32分24秒東経131度00分42秒﻿ / ﻿北緯33.54000度 東経131.01167度﻿ /33.54000; 131.01167座標:北緯33度32分24秒東経131度00分42秒﻿ / ﻿北緯33.54000度 東経131.01167度﻿ /33.54000; 131.01167","福岡県豊前市・築上郡築上町","","","","","","","","","","","","","","","","",""
"船迫窯跡","[船迫窯跡（ふなさこかまあと）〔築上郡築上町〕1999年1月28日] 船迫窯跡 （ふなさこかまあと）は、 福岡県 築上郡 築上町 船迫にある 窯跡 。1999年（平成11年）1月28日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/船迫窯跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度39分35秒 東経130度59分57秒","","","","","","","","","","","","","","","","","","",""
