"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","種類","初登頂","最新噴火","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"足立山","[1あだちやま足立山福岡県北九州市(1)597.8地理院地図Googleマップ.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯33度51分34秒東経130度55分02秒﻿ / ﻿北緯33.859516度 東経130.917220度﻿ /33.859516; 130.917220﻿ (足立山)霧ヶ岳] 足立山 （あだちやま、あだちさん）は、 福岡県 北九州市 小倉北区 にある標高597.8mの 山 である。別名「霧が岳（きりがたけ）」。","https://ja.wikipedia.org/wiki/足立山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度51分33.93秒東経130度55分1.46秒","597.8m","日本福岡県北九州市小倉北区","北緯33度51分33.93秒東経130度55分1.46秒﻿ / ﻿北緯33.8594250度 東経130.9170722度﻿ /33.8594250; 130.9170722﻿ (足立山)座標:北緯33度51分33.93秒東経130度55分1.46秒﻿ / ﻿北緯33.8594250度 東経130.9170722度﻿ /33.8594250; 130.9170722﻿ (足立山)","企救山系","","","","","","","","","","","","","","",""
"貫山","[2ぬきさん貫山福岡県北九州市(2)711.6地理院地図Googleマップ北緯33度46分50秒東経130度54分34秒﻿ / ﻿北緯33.780687度 東経130.909361度﻿ /33.780687; 130.909361﻿ (貫山)] 貫山 は、国内有数のカルスト台地である 北九州国定公園 の 平尾台 の北端にある、貫山地の主峰。","https://ja.wikipedia.org/wiki/貫山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"福智山","[3ふくちやま福智山福岡県北九州市・直方市・福智町(1)900.6地理院地図Googleマップ北緯33度44分32秒東経130度48分14秒﻿ / ﻿北緯33.742247度 東経130.803889度﻿ /33.742247; 130.803889﻿ (福智山)] 福智山 （ふくちやま、ふくちさん）は 福岡県 北九州市 小倉南区 、 直方市 、 田川郡 福智町 に跨る 標高 900.6m  の 山 である。","https://ja.wikipedia.org/wiki/福智山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度44分31.9秒東経130度48分14.0秒","900.6m","日本福岡県北九州市小倉南区・直方市・田川郡福智町","北緯33度44分31.9秒東経130度48分14.0秒﻿ / ﻿北緯33.742194度 東経130.803889度﻿ /33.742194; 130.803889座標:北緯33度44分31.9秒東経130度48分14.0秒﻿ / ﻿北緯33.742194度 東経130.803889度﻿ /33.742194; 130.803889","福智山地","","","","","","","","","","","","","","",""
"宝満山","[4ほうまんざん宝満山福岡県筑紫野市・太宰府市(3)829.6地理院地図Googleマップ北緯33度32分32秒東経130度34分20秒﻿ / ﻿北緯33.542346度 東経130.572355度﻿ /33.542346; 130.572355﻿ (宝満山)] 宝満山 （ほうまんざん）（標高829.6m）は 福岡県 筑紫野市 と 太宰府市 にまたがる 山 であり、別名を 御笠山 （みかさやま）、 竈門山 （かまどやま）とも言う。","https://ja.wikipedia.org/wiki/宝満山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度32分22.9秒東経130度34分8.4秒","829m","福岡県筑紫野市・太宰府市","座標:北緯33度32分22.9秒東経130度34分8.4秒﻿ / ﻿北緯33.539694度 東経130.569000度﻿ /33.539694; 130.569000","筑紫山地","","","","","","","","","","","","","","",""
"立花山","[5たちばなやま立花山福岡県福岡市・新宮町・（久山町）(2)367.1地理院地図Googleマップ北緯33度40分47秒東経130度28分06秒﻿ / ﻿北緯33.679723度 東経130.468314度﻿ /33.679723; 130.468314﻿ (立花山)] 立花山 （たちばなやま）は、 福岡市 東区 、 糟屋郡 新宮町 および 久山町 にまたがる 標高 367.1mの山である。 都市部に近く、 クスノキ の巨木など自然に恵まれた山として南の 三日月山 （みかづきやま）とともに親しまれている。 また立花山は中世の 立花山城 （立花城）の跡としても知られている。","https://ja.wikipedia.org/wiki/立花山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度40分47秒東経130度28分06秒","367.1m","日本福岡県福岡市東区・糟屋郡新宮町・同郡久山町","北緯33度40分47秒東経130度28分06秒﻿ / ﻿北緯33.67972度 東経130.46833度﻿ /33.67972; 130.46833座標:北緯33度40分47秒東経130度28分06秒﻿ / ﻿北緯33.67972度 東経130.46833度﻿ /33.67972; 130.46833","","","","","","","","","","","","","","","",""
"求菩提山","[6くぼてざん求菩提山福岡県豊前市・築上町782地理院地図Googleマップ北緯33度32分24秒東経131度00分42秒﻿ / ﻿北緯33.540111度 東経131.011531度﻿ /33.540111; 131.011531﻿ (求菩提山)] 求菩提山 （くぼてさん）は、 福岡県 豊前市 求菩提と 築上郡 築上町 寒田の境界に位置する 筑紫山地 に属する 標高 782メートルの 山 である。麓の豊前市のシンボル的な山であり、かつては 英彦山 、 犬ヶ岳 と共に 修験道 の山だった。","https://ja.wikipedia.org/wiki/求菩提山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度32分24秒東経131度00分42秒","782m","福岡県豊前市・築上郡築上町","北緯33度32分24秒東経131度00分42秒﻿ / ﻿北緯33.54000度 東経131.01167度﻿ /33.54000; 131.01167座標:北緯33度32分24秒東経131度00分42秒﻿ / ﻿北緯33.54000度 東経131.01167度﻿ /33.54000; 131.01167","筑紫山地","","","","","","","","","","","","","","",""
"犬ヶ岳 (福岡県・大分県)","[7いぬがたけ犬ガ岳福岡県豊前市大分県中津市(3)1,130.8地理院地図Googleマップ北緯33度30分44秒東経131度00分06秒﻿ / ﻿北緯33.512212度 東経131.001717度﻿ /33.512212; 131.001717﻿ (犬ガ岳)日本三百名山] 犬ヶ岳 （いぬがたけ）は、 福岡県 豊前市 求菩提と 大分県 中津市 耶馬溪町 川原口に位置する 標高 1130.8mの山である。","https://ja.wikipedia.org/wiki/犬ヶ岳_(福岡県・大分県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度30分43.9秒東経131度00分6.3秒","1130.8m","日本福岡県豊前市・大分県中津市","北緯33度30分43.9秒東経131度00分6.3秒﻿ / ﻿北緯33.512194度 東経131.001750度﻿ /33.512194; 131.001750座標:北緯33度30分43.9秒東経131度00分6.3秒﻿ / ﻿北緯33.512194度 東経131.001750度﻿ /33.512194; 131.001750","","","","","","","","","","","","","","","",""
"英彦山","[8ひこさん英彦山福岡県添田町大分県中津市(1)1,199.6地理院地図Googleマップ北緯33度28分34秒東経130度55分34秒﻿ / ﻿北緯33.476247度 東経130.925973度﻿ /33.476247; 130.925973﻿ (英彦山)日本二百名山新日本百名山] 英彦山 （ひこさん）は、 福岡県 田川郡 添田町 と 大分県 中津市 山国町 にまたがる 標高 1,199mの 山 である   。 耶馬日田英彦山国定公園 の一部をなす。 日本百景 ・ 日本二百名山 の一つ。また、 弥彦山 （ 新潟県 ）・ 雪彦山 （ 兵庫県 ）とともに 日本三彦山 に数えられる。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/英彦山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度28分34秒東経130度55分34秒","1,199m","日本大分県中津市福岡県田川郡添田町","北緯33度28分34秒東経130度55分34秒﻿ / ﻿北緯33.47611度 東経130.92611度﻿ /33.47611; 130.92611座標:北緯33度28分34秒東経130度55分34秒﻿ / ﻿北緯33.47611度 東経130.92611度﻿ /33.47611; 130.92611","筑紫山地","","","","","","","","","","","","","","",""
"釈迦岳 (大分県・福岡県)","[9しゃかがだけ釈迦ガ岳福岡県八女市大分県日田市(1)1,230.8地理院地図Googleマップ北緯33度11分13秒東経130度53分13秒﻿ / ﻿北緯33.186866度 東経130.886975度﻿ /33.186866; 130.886975﻿ (釈迦ガ岳)福岡県最高峰（福岡・大分県境の本釈迦 1,229.5m）最高点は大分県側にある普賢岳] 釈迦岳 （しゃかだけ）は、 大分県 日田市 と 福岡県 八女市 との境界にある 標高 1,230mの 山 である。 九州百名山 のひとつに数えられている。 釈迦ヶ岳 、 釈迦ガ岳 とも表記される。","https://ja.wikipedia.org/wiki/釈迦岳_(大分県・福岡県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度11分15.2秒東経130度53分20.4秒","1,230m","日本福岡県八女市大分県日田市","北緯33度11分15.2秒東経130度53分20.4秒﻿ / ﻿北緯33.187556度 東経130.889000度﻿ /33.187556; 130.889000座標:北緯33度11分15.2秒東経130度53分20.4秒﻿ / ﻿北緯33.187556度 東経130.889000度﻿ /33.187556; 130.889000","","","","","","","","","","","","","","","",""
"古処山","[10こしょさん古処山福岡県朝倉市・嘉麻市(4)859.5地理院地図Googleマップ北緯33度29分02秒東経130度43分32秒﻿ / ﻿北緯33.483789度 東経130.725674度﻿ /33.483789; 130.725674﻿ (古処山)新・花の百名山] 古処山 （こしょさん）は、 福岡県 朝倉市 と 嘉麻市 にまたがる 標高 859.5メートルの 山 。国の 特別天然記念物 および福岡県の 天然記念物 に指定されている ツゲ の 原始林 があることで知られる   。","https://ja.wikipedia.org/wiki/古処山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯33度29分1秒東経130度43分32秒","859.5m","福岡県朝倉市・嘉麻市","北緯33度29分1秒東経130度43分32秒﻿ / ﻿北緯33.48361度 東経130.72556度﻿ /33.48361; 130.72556座標:北緯33度29分1秒東経130度43分32秒﻿ / ﻿北緯33.48361度 東経130.72556度﻿ /33.48361; 130.72556","筑紫山地","","","","","","","","","","","","","","",""
