"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","外部リンク","事業主体","専門分野","管理運営","正式名称","延床面積","アクセス","前身","館長","ウェブサイト","愛称","建物設計","来館者数","開設","英語名称","略称"
"しょさんべつ天文台","[ しょさんべつ天文台 - 苫前郡初山別村 - 口径65cm反射式望遠鏡] しょさんべつ天文台 （しょさんべつてんもんだい）は 日本 の 北海道 苫前郡 初山別村 にある 天文台 。","https://ja.wikipedia.org/wiki/しょさんべつ天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯44度33分45.3秒 東経141度46分27.5秒","","","","","","","","","","","","","","","","","","",""
"なよろ市立天文台きたすばる","[ なよろ市立天文台きたすばる - 名寄市 - 口径160cm反射式望遠鏡] なよろ市立天文台 （なよろしりつてんもんだい）は 日本 の 北海道 名寄市 にある 天文台 （愛称：きたすばる）。","https://ja.wikipedia.org/wiki/なよろ市立天文台きたすばる","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯44度22分27秒東経142度28分58.1秒","北海道名寄市日進157-1","","","","","","","","","","","","www.nayoro-star.jp/kitasubaru/","","","","2010年4月","",""
"北網圏北見文化センター","[ 北網圏北見文化センター - 北見市 - 口径20cm屈折式望遠鏡] 北網圏北見文化センター （ほくもうけんきたみぶんかセンター）は、 北海道 北見市 にある複合施設。 科学館 ・ 博物館 ・ 美術館 ・ プラネタリウム の機能を有している。","https://ja.wikipedia.org/wiki/北網圏北見文化センター","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯43度49分06秒東経143度54分13秒","〒090-0015日本北海道北見市公園町1","北緯43度49分06秒東経143度54分13秒﻿ / ﻿北緯43.81833度 東経143.90361度﻿ /43.81833; 143.90361","1984年11月1日","北網圏北見文化センター","北見市","","オホーツク美装興業","","","北海道北見バス「文化センター前」バス停下車徒歩2分、「児童相談所前」バス停下車徒歩3分","","","","","","","","",""
"旭川市科学館 サイパル","[ 旭川市科学館 サイパル - 旭川市 - 口径65cm反射式望遠鏡、口径20cm屈折式望遠鏡] 旭川市科学館 サイパル （あさひかわしかがくかん さいぱる）は、 北海道 上川支庁 管内、 旭川市 の中心部にある北海道最大級の 科学館 。 プラネタリウム などの施設を備える。","https://ja.wikipedia.org/wiki/旭川市科学館_サイパル","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯43度45分22.7秒東経142度22分13.8秒","〒078-8391北海道旭川市宮前1条3丁目3番32号","北緯43度45分22.7秒東経142度22分13.8秒﻿ / ﻿北緯43.756306度 東経142.370500度﻿ /43.756306; 142.370500","2005年（平成17年）7月23日","旭川市科学館 サイパル","旭川市","科学館","","","","","","","","サイパル","","","","",""
"美瑛町郷土学館「美宙」・美宙天文台 (存在しないページ)","[ 美瑛町郷土学館「美宙」・美宙天文台 - 上川郡美瑛町 - 口径40cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=美瑛町郷土学館「美宙」・美宙天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"銀河の森天文台 (存在しないページ)","[ 銀河の森天文台 - 足寄郡陸別町 - 口径115cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=銀河の森天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"札幌市天文台","[ 札幌市天文台 - 札幌市中央区 - 口径20cm屈折式望遠鏡] 札幌市天文台 （さっぽろしてんもんだい）は、 北海道 札幌市 中央区 にある 公開天文台 。 札幌市青少年科学館 が管理し、 中島公園 内に位置する。所在地は北海道札幌市中央区中島公園1-17。","https://ja.wikipedia.org/wiki/札幌市天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯43度2分43秒 東経141度21分8.8秒","","","","","","","","","","","","","","","","","","",""
"札幌市青少年科学館","[ 札幌市青少年科学館 - 札幌市厚別区 - 口径60cm反射式望遠鏡、25cm屈折式望遠鏡、口径10cm屈折式望遠鏡] 札幌市青少年科学館 （さっぽろしせいしょうねんかがくかん）は、 札幌市 厚別区 にある 科学館 。","https://ja.wikipedia.org/wiki/札幌市青少年科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯43度02分10秒東経141度28分20秒","〒004-0051日本札幌市厚別区厚別中央1条5丁目2-20","北緯43度02分10秒東経141度28分20秒﻿ / ﻿北緯43.03611度 東経141.47222度﻿ /43.03611; 141.47222座標:北緯43度02分10秒東経141度28分20秒﻿ / ﻿北緯43.03611度 東経141.47222度﻿ /43.03611; 141.47222","1981年10月4日","札幌市青少年科学館","札幌市教育委員会","理工系","札幌市生涯学習振興財団（指定管理者）","","10,017 m²","札幌市営地下鉄東西線新さっぽろ駅1番出口正面北海道旅客鉄道（JR北海道）新札幌駅から徒歩約5分","","京谷篤","","","","","","",""
"帯広市児童会館","[ 帯広市児童会館 - 帯広市 - 口径20cm屈折式望遠鏡] 帯広市児童会館 （おびひろしじどうかいかん）は、 北海道 帯広市 にある 社会教育施設 。児童文化センターと青少年科学館の機能を併せ持つ施設になっている。","https://ja.wikipedia.org/wiki/帯広市児童会館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯42度54分19秒東経143度11分10秒","〒080-0846日本北海道帯広市字緑ヶ丘2","北緯42度54分19秒東経143度11分10秒﻿ / ﻿北緯42.90528度 東経143.18611度﻿ /42.90528; 143.18611座標:北緯42度54分19秒東経143度11分10秒﻿ / ﻿北緯42.90528度 東経143.18611度﻿ /42.90528; 143.18611","1964年9月27日","児童会館 | 帯広市ホームページ","帯広市","","帯広市こども未来部","","","北海道旅客鉄道（JR北海道）帯広駅から車で約10分帯広駅バスターミナルから「緑ヶ丘6丁目・美術館入口」バス停下車徒歩4分","","","","","","","","",""
"国立天文台","[ 国立天文台水沢VLBI観測所 - 岩手県奥州市 - 20m電波望遠鏡、口径35cm反射式望遠鏡] 日本国外の ハワイ観測所 などいくつかの観測所や、 三鷹キャンパス などで研究活動をしており、総称として国立天文台と呼ばれる。本部は 東京都 三鷹市 の 三鷹キャンパス 内にある。","https://ja.wikipedia.org/wiki/国立天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度40分30.7秒東経139度32分16.2秒","日本〒181-8588東京都三鷹市大沢2-21-1北緯35度40分30.7秒東経139度32分16.2秒﻿ / ﻿北緯35.675194度 東経139.537833度﻿ /35.675194; 139.537833","","","","","","","国立天文台","","","東京天文台（1888年）","","https://www.nao.ac.jp/","","","","","National Astronomical Observatory of Japan","NAOJ"
