"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","蔵書数","公式サイト","貸出数","事業主体","条例","来館者数","開館","ISIL","専門分野","延床面積","管理運営","年運営費","前身","職員数","位置","建物設計","貸出者数","館長"
"北海道立図書館","[北海道立図書館[外 1] 北海道立図書館 （ほっかいどうりつとしょかん）は、 北海道 江別市 文京台東町41番地にある 公立図書館 。","https://ja.wikipedia.org/wiki/北海道立図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度4分10.6秒東経141度30分2.1秒","〒069-0834北海道江別市文京台東町41番地","1,124,755冊（2016年度末時点）","北海道立図書館","","北海道","","","1926年（大正15年）11月25日（札幌市中央区北1条西5丁目）↓1967年（昭和42年）4月1日（現在地）","JP-1000031","総合","","","","北海道庁立図書館","","北緯43度4分10.6秒東経141度30分2.1秒﻿ / ﻿北緯43.069611度 東経141.500583度﻿ /43.069611; 141.500583座標:北緯43度4分10.6秒東経141度30分2.1秒﻿ / ﻿北緯43.069611度 東経141.500583度﻿ /43.069611; 141.500583","","",""
"北海道立文書館","[北海道立文書館[外 2] 北海道立文書館 （ほっかいどうりつもんじょかん、英訳名：The Archives of Hokkaido）は、 1985年 （昭和60年）  に開館した 北海道 が設置する 公文書館 である。","https://ja.wikipedia.org/wiki/北海道立文書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度30分2.2秒東経141度4分10.7秒","〒060-8588北海道江別市文京台東町41番地1","268,548点（2012年3月31日時点）","","","北海道","北海道立文書館条例","","1985年7月15日","","公文書、私文書、行政刊行物","3062.47 m2","","","北海道総務部行政資料課北海道総務部文書館設立準備室","","北緯43度30分2.2秒東経141度4分10.7秒﻿ / ﻿北緯43.500611度 東経141.069639度﻿ /43.500611; 141.069639座標:北緯43度30分2.2秒東経141度4分10.7秒﻿ / ﻿北緯43.500611度 東経141.069639度﻿ /43.500611; 141.069639","ドーコン","",""
"札幌市図書館","[札幌市図書館[外 3] 札幌市図書館 （さっぽろしとしょかん）は、 北海道 札幌市 が図書館法第10条、札幌市図書館条例に基づき設置、運営する公立図書館である。札幌市内に10の常設図書館を有し、のべ約257万点の資料を収蔵している。中心となる中央図書館は 中央区 にある。","https://ja.wikipedia.org/wiki/札幌市図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度1分48.3秒 東経141度20分25秒","札幌市（12館、29室、4コーナー、3カウンター）","2,567,257冊（2012年時点）","http://www.city.sapporo.jp/toshokan/index.html札幌市の図書館","7,243,740冊（2012年）","北海道札幌市","札幌市図書館条例(PDF)","2,011,666人（中央および地区10館の合計）（2012年）","","JP-1000032","総合","","","705,127千円（2012年）","","153人","","","",""
"札幌市図書館","[札幌市中央図書館] 札幌市図書館 （さっぽろしとしょかん）は、 北海道 札幌市 が図書館法第10条、札幌市図書館条例に基づき設置、運営する公立図書館である。札幌市内に10の常設図書館を有し、のべ約257万点の資料を収蔵している。中心となる中央図書館は 中央区 にある。","https://ja.wikipedia.org/wiki/札幌市図書館#中央図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度1分48.3秒 東経141度20分25秒","札幌市（12館、29室、4コーナー、3カウンター）","2,567,257冊（2012年時点）","http://www.city.sapporo.jp/toshokan/index.html札幌市の図書館","7,243,740冊（2012年）","北海道札幌市","札幌市図書館条例(PDF)","2,011,666人（中央および地区10館の合計）（2012年）","","JP-1000032","総合","","","705,127千円（2012年）","","153人","","","",""
"札幌市図書館","[札幌市新琴似図書館] 札幌市図書館 （さっぽろしとしょかん）は、 北海道 札幌市 が図書館法第10条、札幌市図書館条例に基づき設置、運営する公立図書館である。札幌市内に10の常設図書館を有し、のべ約257万点の資料を収蔵している。中心となる中央図書館は 中央区 にある。","https://ja.wikipedia.org/wiki/札幌市図書館#新琴似図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度1分48.3秒 東経141度20分25秒","札幌市（12館、29室、4コーナー、3カウンター）","2,567,257冊（2012年時点）","http://www.city.sapporo.jp/toshokan/index.html札幌市の図書館","7,243,740冊（2012年）","北海道札幌市","札幌市図書館条例(PDF)","2,011,666人（中央および地区10館の合計）（2012年）","","JP-1000032","総合","","","705,127千円（2012年）","","153人","","","",""
"札幌市図書館","[札幌市元町図書館] 札幌市図書館 （さっぽろしとしょかん）は、 北海道 札幌市 が図書館法第10条、札幌市図書館条例に基づき設置、運営する公立図書館である。札幌市内に10の常設図書館を有し、のべ約257万点の資料を収蔵している。中心となる中央図書館は 中央区 にある。","https://ja.wikipedia.org/wiki/札幌市図書館#元町図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度1分48.3秒 東経141度20分25秒","札幌市（12館、29室、4コーナー、3カウンター）","2,567,257冊（2012年時点）","http://www.city.sapporo.jp/toshokan/index.html札幌市の図書館","7,243,740冊（2012年）","北海道札幌市","札幌市図書館条例(PDF)","2,011,666人（中央および地区10館の合計）（2012年）","","JP-1000032","総合","","","705,127千円（2012年）","","153人","","","",""
"札幌市図書館","[札幌市東札幌図書館] 札幌市図書館 （さっぽろしとしょかん）は、 北海道 札幌市 が図書館法第10条、札幌市図書館条例に基づき設置、運営する公立図書館である。札幌市内に10の常設図書館を有し、のべ約257万点の資料を収蔵している。中心となる中央図書館は 中央区 にある。","https://ja.wikipedia.org/wiki/札幌市図書館#東札幌図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度1分48.3秒 東経141度20分25秒","札幌市（12館、29室、4コーナー、3カウンター）","2,567,257冊（2012年時点）","http://www.city.sapporo.jp/toshokan/index.html札幌市の図書館","7,243,740冊（2012年）","北海道札幌市","札幌市図書館条例(PDF)","2,011,666人（中央および地区10館の合計）（2012年）","","JP-1000032","総合","","","705,127千円（2012年）","","153人","","","",""
"札幌市図書館","[札幌市厚別図書館] 札幌市図書館 （さっぽろしとしょかん）は、 北海道 札幌市 が図書館法第10条、札幌市図書館条例に基づき設置、運営する公立図書館である。札幌市内に10の常設図書館を有し、のべ約257万点の資料を収蔵している。中心となる中央図書館は 中央区 にある。","https://ja.wikipedia.org/wiki/札幌市図書館#厚別図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度1分48.3秒 東経141度20分25秒","札幌市（12館、29室、4コーナー、3カウンター）","2,567,257冊（2012年時点）","http://www.city.sapporo.jp/toshokan/index.html札幌市の図書館","7,243,740冊（2012年）","北海道札幌市","札幌市図書館条例(PDF)","2,011,666人（中央および地区10館の合計）（2012年）","","JP-1000032","総合","","","705,127千円（2012年）","","153人","","","",""
"札幌市図書館","[札幌市西岡図書館] 札幌市図書館 （さっぽろしとしょかん）は、 北海道 札幌市 が図書館法第10条、札幌市図書館条例に基づき設置、運営する公立図書館である。札幌市内に10の常設図書館を有し、のべ約257万点の資料を収蔵している。中心となる中央図書館は 中央区 にある。","https://ja.wikipedia.org/wiki/札幌市図書館#西岡図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度1分48.3秒 東経141度20分25秒","札幌市（12館、29室、4コーナー、3カウンター）","2,567,257冊（2012年時点）","http://www.city.sapporo.jp/toshokan/index.html札幌市の図書館","7,243,740冊（2012年）","北海道札幌市","札幌市図書館条例(PDF)","2,011,666人（中央および地区10館の合計）（2012年）","","JP-1000032","総合","","","705,127千円（2012年）","","153人","","","",""
"札幌市図書館","[札幌市清田図書館] 札幌市図書館 （さっぽろしとしょかん）は、 北海道 札幌市 が図書館法第10条、札幌市図書館条例に基づき設置、運営する公立図書館である。札幌市内に10の常設図書館を有し、のべ約257万点の資料を収蔵している。中心となる中央図書館は 中央区 にある。","https://ja.wikipedia.org/wiki/札幌市図書館#清田図書館","北海道の図書館一覧","https://ja.wikipedia.org/wiki/北海道の図書館一覧","箇条書き,制限あり","北緯43度1分48.3秒 東経141度20分25秒","札幌市（12館、29室、4コーナー、3カウンター）","2,567,257冊（2012年時点）","http://www.city.sapporo.jp/toshokan/index.html札幌市の図書館","7,243,740冊（2012年）","北海道札幌市","札幌市図書館条例(PDF)","2,011,666人（中央および地区10館の合計）（2012年）","","JP-1000032","総合","","","705,127千円（2012年）","","153人","","","",""
