"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","指定文化財","城郭構造","遺構","築城年","廃城年","築城主","主な城主","別名","天守構造","再建造物","時代","主な改修者","文化財","標高","種類","形状"
"五稜郭","[五稜郭跡（ごりょうかくあと）〔函館市〕1922年10月12日] 五稜郭 （ごりょうかく）は、 江戸時代 末期に 江戸幕府 が 蝦夷地 の 箱館 （現在の 北海道 函館市 ）郊外に築造した 稜堡式 の 城郭 である  。","https://ja.wikipedia.org/wiki/五稜郭","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度47分48.84秒東経140度45分25.06秒","北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ /41.7969000; 140.7569611﻿ (五稜郭)座標:北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ /41.7969000; 140.7569611﻿ (五稜郭)","","五稜郭","特別史跡","稜堡式","土塁、石垣、堀、兵糧庫","1866年","1869年","江戸幕府","なし","亀田（御）役所土塁、柳野城","なし","奉行所、板庫、土蔵","","なし","","","",""
"大館跡","[大館跡（おおだてあと）〔松前郡松前町〕] 大館跡 （おおだてあと）は、 北海道 松前郡 松前町 神明にある館跡であり、 道南十二館 の一つ。1977年4月5日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/大館跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度26分10秒 東経140度06分32秒","","","","","","","","","","","","","","","","","","",""
"松前城","[福山城跡（ふくやまじょうあと）] 松前城 （まつまえじょう）は、 西蝦夷地 （ 渡島国 津軽郡 、のち福島郡の一部を編入で 松前郡  ）福山（現・ 北海道 松前町 松城）にあった 日本の城 （ 平山城 ）。 江戸時代 、公式には 福山城 （ふくやまじょう）と記されたが、当時から 備後福山城 との混同を避けるため松前城とも呼ばれていた  。","https://ja.wikipedia.org/wiki/松前城","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度25分49.17秒東経140度6分30.96秒","北緯41度25分49.17秒東経140度6分30.96秒﻿ / ﻿北緯41.4303250度 東経140.1086000度﻿ /41.4303250; 140.1086000","","松前城","国の重要文化財（本丸御門）国の史跡北海道有形文化財（御殿玄関）","平山城","本丸御門、御殿玄関、石垣、土塁堀","安政元年（1855年）","1874年","松前崇広","松前氏","福山城","独立式層塔型3重3階（1855年（安政元年）築 非現存）（1960年RC造外観復元）","天守","","","","","",""
"館城","[館城跡（たてじょうあと）] 館城 （たて じょう）は、 明治元年 （ 1868年 ）、 箱館戦争 の直前に 松前藩 により 渡島国 檜山郡 の館（現在の 厚沢部町 ）に建造された 日本の城 である。従来の本拠である 松前城 に対し、 新城 とも言う。完成直後に旧幕府軍の攻撃を受け、落城した。国の 史跡 に指定されている  。　","https://ja.wikipedia.org/wiki/館城","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度52分46.3秒 東経140度20分35.7秒","","","","","","","","","","","","","","","","","","",""
"松前藩主松前家墓所","[松前藩主松前家墓所（まつまえはんしゅまつまえけぼしょ）〔松前郡松前町〕] 松前藩主松前家墓所 （まつまえはんしゅまつまえけぼしょ）は、 北海道 松前郡 松前町 松城にある 松前藩 の 墓所 である。1981年11月21日、 国史跡 に指定された。また、 日本遺産 「荒波を越えた男たちの夢が紡いだ異空間 〜北前船寄港地・船主集落〜」の構成文化財にも選定されている。","https://ja.wikipedia.org/wiki/松前藩主松前家墓所","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度25分53秒 東経140度06分21秒","","","","","","","","","","","","","","","","","","",""
"戸切地陣屋","[松前藩戸切地陣屋跡（まつまえはんへきりちじんやあと）〔北斗市〕] 戸切地陣屋跡史跡公園 （へきりちじんやあとしせきこうえん）は、北海道北斗市にある 公園 。1977年（昭和52年）に町有地となり  、1979年（昭和54年）から国、道の補助を受けて環境整備を行い、2001年（平成13年）に完成した  。「 日本の歴史公園100選 」選定  。","https://ja.wikipedia.org/wiki/戸切地陣屋","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度51分15.2秒 東経140度37分9.8秒","","日本北海道北斗市野崎","","","","","","","","","","","","","","","","",""
"茂別館跡","[茂別館跡（もべつたてあと）〔北斗市〕] 茂別館跡 （もべつたてあと）は、 北海道 北斗市 矢不来にある 安東氏 の館跡。茂別館は、 道南十二館 の1つである。1982年7月3日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/茂別館跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度46分13秒 東経140度36分15秒","","","","","","","","","","","","","","","","","","",""
"大船遺跡","[大船遺跡（おおふねいせき）〔函館市〕] 大船遺跡 （おおふねいせき）は、 北海道 函館市 に所在する 縄文時代 の 遺跡 である  。","https://ja.wikipedia.org/wiki/大船遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度57分27.7秒 東経140度55分31.6秒","","","","","","","","","","","","","","","","","","",""
"垣ノ島遺跡","[垣ノ島遺跡（かきのしまいせき）〔函館市〕] 垣ノ島遺跡 （かきのしまいせき）は、 北海道 函館市 に所在する 縄文時代 の 遺跡 。道内での同時代の遺跡として最大規模であり、縄文時代早期前半（約9000年前）の墓制、 駒ヶ岳 噴火による集落断絶、後期初頭の盛土遺構から後期後半（約3500年前）に至るまでの縄文集落の変遷と生活痕跡が確認できる。 2011年 （ 平成 23年）2月7日に国の 史跡 に指定された  。 北海道・北東北を中心とした縄文遺跡群 を構成する遺跡の一つ  。","https://ja.wikipedia.org/wiki/垣ノ島遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度55分43.9秒 東経140度56分51.0秒","","","","","","","","","","","","","","","","","","",""
"志苔館","[志苔館跡（しのりたてあと）〔函館市〕] 志苔館 （しのりたて）は、 北海道 函館市 に所在する中世城館跡（ 日本の城 ）。 小林氏 によって築かれたとされる 道南十二館 のひとつ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/志苔館","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度45分56.6秒東経140度49分20.6秒","北緯41度45分56.6秒東経140度49分20.6秒﻿ / ﻿北緯41.765722度 東経140.822389度﻿ /41.765722; 140.822389","","志苔館","国の史跡","山城","曲輪、土塁、堀","不明","1457年（長禄元年）か","小林氏","小林氏","","なし","なし","","不明","","","",""
"四稜郭","[四稜郭（しりょうかく）〔函館市〕　1934年1月22日] 四稜郭 （しりょうかく）は、 箱館戦争 の際に 蝦夷共和国 （箱館政権）が、 1869年 （ 明治 2年）に現在の 北海道 函館市 陣川町に築城した 堡塁 。 新台場 、 神山台場 、 新五稜郭 などとも呼ばれる。国の 史跡  。","https://ja.wikipedia.org/wiki/四稜郭","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度49分32.09秒東経140度46分14.86秒","北緯41度49分32.09秒東経140度46分14.86秒﻿ / ﻿北緯41.8255806度 東経140.7707944度﻿ /41.8255806; 140.7707944","","四稜郭","国の史跡","稜堡式","土塁","明治2年（1869年）","1869年","蝦夷共和国","蝦夷共和国","新台場、神山台場、新五稜郭","なし","","","なし","","","",""
"鷲ノ木遺跡","[鷲ノ木遺跡（わしのきいせき）〔茅部郡森町〕] 鷲ノ木遺跡 （わしのきいせき）は、 北海道 茅部郡 森町 鷲ノ木町に所在する 縄文時代 の 遺跡 である  。","https://ja.wikipedia.org/wiki/鷲ノ木遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯42度6分57.0秒 東経140度31分33.0秒","","","","","","","","","","","","","","","","","","",""
"勝山館","[勝山館跡（かつやまだてあと）] 勝山館 （かつやまだて）は、 北海道 檜山郡 上ノ国町 にあった 中世 の 日本の城 （ 山城 ）。 昭和 52年（ 1977年 ）4月12日、「上之国館跡」のうちの一つ「勝山館跡」として国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/勝山館","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯41度48分3秒東経140度5分58秒","北緯41度48分3秒東経140度5分58秒﻿ / ﻿北緯41.80083度 東経140.09944度﻿ /41.80083; 140.09944","","勝山館","国の史跡","山城","曲輪","1473年（文明5年）？","不明","蠣崎氏？","蠣崎信広、蠣崎光広","上之国館、和喜の館","なし","なし","","不明","","","",""
"ピリカ遺跡","[ピリカ遺跡（ぴりかいせき）〔瀬棚郡今金町〕] ピリカ遺跡 （ピリカいせき）は、 北海道 今金町 にある 旧石器時代 の 遺跡 。 美利河遺跡 とも表記される。 1994年 （平成6年）に国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/ピリカ遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯42度28分35.6秒 東経140度12分17.3秒","","","","","","","","","","","","","","","","","","",""
"旧歌棄佐藤家漁場","[旧歌棄佐藤家漁場（きゅううたすつさとうけぎょば）〔寿都郡寿都町〕2016年3月1日] 旧歌棄佐藤家漁場 （きゅううたすつさとうけぎょば）は、 北海道 の 日本海 側南部に位置する 寿都湾 に面する 寿都町 字歌棄町に所在する、 明治時代 を全盛期とした佐藤家の漁業経営の拠点、 漁場 の遺跡である  。2016年3月1日に国史跡に指定された。","https://ja.wikipedia.org/wiki/旧歌棄佐藤家漁場","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯42度47分24秒 東経140度18分36秒","","","","","","","","","","","","","","","","","","",""
"大谷地貝塚 (存在しないページ)","[大谷地貝塚（おおやちかいづか）〔余市郡余市町〕　1999年5月21日]","https://ja.wikipedia.org/w/index.php?title=大谷地貝塚&amp;action=edit&amp;redlink=1","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"旧下ヨイチ運上家","[旧下ヨイチ運上家（きゅうしもよいちうんじょうや）〔余市郡余市町〕] 旧下ヨイチ運上家 （きゅうしもよいちうんじょうや）は、現在の 北海道 余市町 にある民家  で、 松前藩 が設置した運上屋の 遺構 である。","https://ja.wikipedia.org/wiki/旧下ヨイチ運上家","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯43度11分52.3秒 東経140度47分17.2秒","","","","","","","","","","","","","","","","","","",""
"旧余市福原漁場","[旧余市福原漁場（きゅうよいちふくはらぎょば）〔余市郡余市町〕] 旧余市福原漁場 （きゅうよいちふくはらぎょば）は、 北海道 余市郡 余市町 浜中町にある ニシン 漁場の 遺跡 である。1982年（昭和57年）2月12日、国の 史跡 に指定され、1987年（昭和62年）12月25日に追加指定が行われた。","https://ja.wikipedia.org/wiki/旧余市福原漁場","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯43度11分59秒 東経140度46分42秒","","","","","","","","","","","","","","","","","","",""
"フゴッペ洞窟","[フゴッペ洞窟（ふごっぺどうくつ）〔余市郡余市町〕] フゴッペ洞窟 （フゴッペどうくつ）とは、 北海道 余市町 栄町の通称「丸山」中腹にある  続縄文時代 の 遺跡 。フゴッペ（畚部）は栄町の旧 村 名。 日本 に700以上ある 洞窟 遺跡のうち、近隣の 手宮洞窟 （ 小樽市 ）と2カ所のみで現存確認されている 岩面刻画 で知られる  。","https://ja.wikipedia.org/wiki/フゴッペ洞窟","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯43度11分42.3秒 東経140度50分18.0秒","","","","","","","","","","","","","","","","","","",""
"忍路環状列石","[忍路環状列石（おしょろかんじょうれっせき）〔小樽市〕] 北海道小樽市から 余市町 にかけては80基以上のストーンサークルが確認されているが、その中でも忍路環状列石は最大のものである。遺跡は三笠山という小高い山の山麓の、標高20メートルの河岸段丘上に位置する。遺跡の広さは南北約33メートル、東西約22メートルで、楕円形をしている。外側に2メートルから3メートルの幅で大きさ10センチから20センチの石が環状に置かれ、その内側に高さ1メートルから2メートルの大石が配置されている。約3,500年前の 縄文時代 後期のものと推定されている。","https://ja.wikipedia.org/wiki/忍路環状列石","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯43度11分58.6秒 東経140度52分29.5秒","","","","","","","","","","","","","","","","","","",""
"手宮洞窟","[手宮洞窟（てみやどうくつ）〔小樽市〕　1921年3月3日] 手宮洞窟 （てみやどうくつ）は、 北海道 小樽市 の 手宮公園 にある 洞窟 遺跡。1921年3月3日、国の 史跡 に指定された  。 フゴッペ洞窟 と並び洞窟彫刻で有名。","https://ja.wikipedia.org/wiki/手宮洞窟","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯43度12分45秒 東経141度00分13秒","","","","","","","","","","","","","","","","","","",""
"北海道庁旧本庁舎","[開拓使札幌本庁本庁舎跡および旧北海道庁本庁舎（かいたくしさっぽろほんちょうほんちょうしゃあとおよびきゅうほっかいどうちょうほんちょうしゃ）〔札幌市〕] 北海道庁旧本庁舎 （ほっかいどうちょうきゅうほんちょうしゃ）は、かつて 北海道庁 の本庁舎として建築された 煉瓦 造りの 西洋館 である。「 旧道庁 」や「 道庁赤レンガ庁舎 」、「 赤レンガ 」などと呼ばれ、親しまれている。 重要文化財 （ 1969年 3月12日 指定）。","https://ja.wikipedia.org/wiki/北海道庁旧本庁舎","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯43度3分50.2秒 東経141度20分52.8秒","","札幌市中央区北3条西6丁目","","","","","","","","","","","","","","国の史跡重要文化財","","",""
"琴似屯田兵村兵屋跡","[琴似屯田兵村兵屋跡（ことにとんでんへいそんへいおくあと）〔札幌市〕　1982年5月7日] 琴似屯田兵村兵屋跡 （ことにとんでんへいそんへいおくあと）は、 北海道 札幌市 にある 史跡 。 明治時代 初期、 本州 からの 屯田兵 が北海道へ入植する際に居住できるよう建設された、木造の建築物を復元したものである。道路など周辺の土地と共に残されたものであり、 琴似 に入植した屯田兵の兵村と住んでいた兵屋を理解する上で、重要な 遺跡 である。 1982年 に国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/琴似屯田兵村兵屋跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯43度4分34.6秒 東経141度18分7.0秒","","","","","","","","","","","","","","","","","","",""
"荘内藩ハママシケ陣屋跡","[荘内藩ハママシケ陣屋跡（しょうないはんはまましけじんやあと）〔石狩市〕] 荘内藩ハママシケ陣屋跡 （しょうないはんはまましけじんやあと）は、 北海道 石狩市 浜益区 川下にある、 蝦夷地 警備を行った 庄内藩 （荘内藩）の本陣屋跡である。1988年5月17日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/荘内藩ハママシケ陣屋跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯43度35分24秒 東経141度23分36秒","","","","","","","","","","","","","","","","","","",""
"旧島松駅逓所","[旧島松駅逓所（きゅうしままつえきていしょ）〔北広島市〕　1984年7月25日] 旧島松駅逓所 （きゅう しままつ えきていしょ）は、 北海道 北広島市 島松地区  （ 恵庭市 島松沢、北広島市三島  と共に「島松沢  」と通称されている） にある 駅逓所 。国の 史跡 に指定。寒地稲作発祥の 中山久蔵 宅。 札幌農学校 （ 北海道大学 の前身）の初代教頭 ウイリアム・スミス・クラーク が、帰国の際に「青年よ、大志を抱け（Boys, be ambitious.）」という言葉を残した場所としても知られる  。","https://ja.wikipedia.org/wiki/旧島松駅逓所","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯42度55分26.5秒 東経141度32分16秒","","","","","","","","","","","","","","","","","","",""
"カリンバ遺跡","[カリンバ遺跡（かりんばいせき）〔恵庭市〕] カリンバ遺跡 （カリンバいせき）は、 北海道 恵庭市 黄金中央5丁目216-7ほかにある 遺跡 。 2005年 （平成17年）3月2日に、国の 史跡 に指定され、出土品は 2006年 （平成18年）6月9日に 重要文化財 に指定された  。北海道を代表する、 縄文時代 後期後半から晩期初頭にかけての、多数の墓によって構成される遺跡である  。豊富な副葬品を持つ土坑墓群や数多くの合葬墓は縄文時代の埋葬習俗や装身文化、漆工技術などを考える上で貴重なものである  。","https://ja.wikipedia.org/wiki/カリンバ遺跡","北海道・東北地方の史跡一覧","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","箇条書き,制限あり","北緯42度53分18秒 東経141度35分36.2秒","","","","","","","","","","","","","","","","","","",""
