"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","城郭構造","築城年","廃城年","遺構","指定文化財","別名","天守構造","築城主","主な城主","主な改修者","法人番号","形状","築造時期","史跡","再建造物","規模"
"渋野丸山古墳","[渋野丸山古墳（しぶのまるやまこふん）〔徳島市〕] 渋野丸山古墳 （しぶのまるやまこふん）は、 徳島県 徳島市 渋野町 三ツ岩（みついわ）・学頭（がくとう）にある 古墳 。形状は 前方後円墳 。渋野古墳群を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/渋野丸山古墳","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度0分33.66秒東経134度31分44.02秒","北緯34度0分33.66秒東経134度31分44.02秒﻿ / ﻿北緯34.0093500度 東経134.5288944度﻿ /34.0093500; 134.5288944座標:北緯34度0分33.66秒東経134度31分44.02秒﻿ / ﻿北緯34.0093500度 東経134.5288944度﻿ /34.0093500; 134.5288944","徳島県徳島市渋野町三ツ岩・学頭","富田茶臼山快天山渋野丸山渋野丸山古墳愛宕山古墳山ノ神古墳","","","","","","","","","","","","前方後円墳","5世紀前半","国の史跡「渋野丸山古墳」","","墳丘長105m高さ18m（後円部）"
"徳島城","[徳島城跡（とくしまじょうあと）〔徳島市〕2006年1月26日] 徳島城 （とくしまじょう）は、 徳島県 徳島市 徳島町 にあった 日本の城 。城跡は国指定の 史跡 、 名勝 （ 表御殿庭園 ）になっている。","https://ja.wikipedia.org/wiki/徳島城","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度4分30.69秒東経134度33分18.99秒","北緯34度4分30.69秒東経134度33分18.99秒﻿ / ﻿北緯34.0751917度 東経134.5552750度﻿ /34.0751917; 134.5552750座標:北緯34度4分30.69秒東経134度33分18.99秒﻿ / ﻿北緯34.0751917度 東経134.5552750度﻿ /34.0751917; 134.5552750","","徳島城徳島市の地図を表示徳島城徳島県の地図を表示徳島城日本の地図を表示","梯郭式平山城","天正13年（1585年）","明治2年（1869年）","石垣、堀、庭園","国の史跡、国の名勝（表御殿庭園）","渭山城、渭津城","不明（1588年・非現存）東二の丸御三階櫓(1615年以降)","蜂須賀家政","蜂須賀氏","","","","","","鷲の門",""
"徳島藩主蜂須賀家墓所","[徳島藩主蜂須賀家墓所（とくしまはんしゅはちすかけぼしょ）〔徳島市〕] 徳島藩主蜂須賀家墓所 （とくしまはんしゅはちすかけぼしょ）は、 徳島県 徳島市 にある 徳島藩 主 蜂須賀氏 とその一族および 重臣 の 墓所 である。 2002年 （平成14年） 9月20日 、国の 史跡 に指定された。 とくしま市民遺産 選定。","https://ja.wikipedia.org/wiki/徳島藩主蜂須賀家墓所","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳴門板野古墳群","[鳴門板野古墳群（なるといたのこふんぐん）〔鳴門市〕2016年10月3日] 鳴門板野古墳群 （なるといたのこふんぐん）は、 徳島県 鳴門市 にある 古墳群 。2016年（平成28年）10月3日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/鳴門板野古墳群","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度10分22秒 東経134度34分11秒","","","","","","","","","","","","","","","","","","",""
"阿波国分尼寺跡","[阿波国分尼寺跡（あわこくぶんにじあと）〔名西郡石井町〕] 阿波国分尼寺跡 （あわこくぶんにじあと）は、 徳島県 名西郡 石井町 石井尼寺12-1にある古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/阿波国分尼寺跡","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"勝瑞城","[勝瑞城館跡（しょうずいじょうかんあと）〔板野郡藍住町〕2001年1月29日] 勝瑞城 （しょうずいじょう）は、 徳島県 板野郡 藍住町 勝瑞（ 阿波国 板野郡勝瑞）にあった 日本の城 （ 平城 ）。平城跡と居館跡が 2001年 （ 平成 13年）に国の 史跡 に指定され、その後の発掘で新たに確認された部分が 2007年 （平成19年）に追加指定された    。阿波国の 守護所 であり、近年の 発掘調査 でその繁栄の一端をうかがうことができた。現在も断続的に発掘調査が行われている  。","https://ja.wikipedia.org/wiki/勝瑞城","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度7分57.37秒東経134度31分22.56秒","北緯34度7分57.37秒東経134度31分22.56秒﻿ / ﻿北緯34.1326028度 東経134.5229333度﻿ /34.1326028; 134.5229333","","勝瑞城","平城、複郭式館城","鎌倉時代初期（他説あり）","天正10年（1582年）","土塁、水堀、土橋","国の史跡","阿波屋形、下屋形、勝瑞屋形、勝瑞城館","建造されず","小笠原長清","細川氏、三好氏","三好実休","","","","","勝瑞城址公園（建設中）復元土塁、復元堀",""
"郡里廃寺跡","[郡里廃寺跡（こおざとはいじあと）〔美馬市〕] 郡里廃寺跡 （こおさとはいじあと）は、 徳島県 美馬市 美馬町 銀杏木・ 願勝寺 にある 古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/郡里廃寺跡","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"段の塚穴","[段の塚穴（だんのつかあな）〔美馬市〕] 太鼓塚古墳 （たいこづかこふん）は、美馬市美馬町坊僧にある古墳。","https://ja.wikipedia.org/wiki/段の塚穴","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度3分35.03秒 東経134度4分31.05秒","","","","","","","","","","","","","","","","","","",""
"丹田古墳","[丹田古墳（たんだこふん）〔三好郡東みよし町〕] 丹田古墳 （たんだこふん）は、 徳島県 三好郡 東みよし町 西庄にある 古墳 （ 積石塚 ）。形状は 前方後円墳 または 前方後方墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/丹田古墳","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯34度1分26.25秒東経133度56分9.98秒","北緯34度1分26.25秒東経133度56分9.98秒﻿ / ﻿北緯34.0239583度 東経133.9361056度﻿ /34.0239583; 133.9361056座標:北緯34度1分26.25秒東経133度56分9.98秒﻿ / ﻿北緯34.0239583度 東経133.9361056度﻿ /34.0239583; 133.9361056","徳島県三好郡東みよし町西庄加茂山","丹田古墳","","","","","","","","","","","","前方後円墳または前方後方墳（柄鏡式）","4世紀代","国の史跡「丹田古墳」","","墳丘長37m高さ3m（後円部または後方部）"
"鶴林寺 (徳島県勝浦町)","[鶴林寺境内（かくりんじけいだい）] 鶴林寺 （かくりんじ）は、 徳島県 勝浦郡 勝浦町 にある 高野山真言宗 の寺院である。 四国八十八箇所 霊場 第20番 札所 。 山号 は霊鷲山（りょうじゅさん）、 院号 は宝珠院（ほうじゅいん）と号する。 本尊 は 地蔵菩薩 。","https://ja.wikipedia.org/wiki/鶴林寺_(徳島県勝浦町)","四国地方の史跡一覧","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","箇条書き,制限あり","北緯33度54分49.9秒東経134度30分20.2秒","北緯33度54分49.9秒東経134度30分20.2秒﻿ / ﻿北緯33.913861度 東経134.505611度﻿ /33.913861; 134.505611﻿ (鶴林寺)座標:北緯33度54分49.9秒東経134度30分20.2秒﻿ / ﻿北緯33.913861度 東経134.505611度﻿ /33.913861; 134.505611﻿ (鶴林寺)","徳島県勝浦郡勝浦町生名鷲ヶ尾14","","","","","","","","","","","","2480005002413","","","","",""
