"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","種類","初登頂","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"石鎚山","[1いしづちやま石鎚山愛媛県西条市久万高原町1,982地理院地図Googleマップ.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯33度46分04秒東経133度06分54秒﻿ / ﻿北緯33.767731度 東経133.1150944度﻿ /33.767731; 133.1150944﻿ (石鎚山)日本百名山新日本百名山花の百名山新・花の百名山天狗岳が最高地点愛媛県最高峰西日本最高峰仁淀川源流] 石鎚山 （いしづちさん、いしづちやま）は、 四国山地 西部に位置する標高1,982 mの 山 で、 近畿 以西を「西日本」とした場合の 西日本 最高峰である。 愛媛県 西条市 と 久万高原町 の境界に位置する。","https://ja.wikipedia.org/wiki/石鎚山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度46分03秒東経133度06分54秒","1,982m","日本愛媛県西条市・久万高原町","北緯33度46分03秒東経133度06分54秒﻿ / ﻿北緯33.76750度 東経133.11500度﻿ /33.76750; 133.11500座標:北緯33度46分03秒東経133度06分54秒﻿ / ﻿北緯33.76750度 東経133.11500度﻿ /33.76750; 133.11500","四国山地","","850年（嘉祥3年）（灼然、寂仙）","","","","","","","","","","","","",""
"堂ヶ森","[2 *どうがもり堂ヶ森愛媛県西条市久万高原町1,689.0地理院地図Googleマップ北緯33度45分21秒東経133度04分01秒﻿ / ﻿北緯33.755966度 東経133.066839度﻿ /33.755966; 133.066839﻿ (堂ヶ森)] 堂ヶ森 （どうがもり）は、 愛媛県 西条市 と 久万高原町 にまたがる、標高1689mの 石鎚山 系の西端の山である。","https://ja.wikipedia.org/wiki/堂ヶ森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度45分22.4秒東経133度4分0.9秒","1,689m","愛媛県西条市・久万高原町","北緯33度45分22.4秒東経133度4分0.9秒﻿ / ﻿北緯33.756222度 東経133.066917度﻿ /33.756222; 133.066917座標:北緯33度45分22.4秒東経133度4分0.9秒﻿ / ﻿北緯33.756222度 東経133.066917度﻿ /33.756222; 133.066917","四国山地","","","","","","","","","","","","","","",""
"二ノ森","[3にのもり二ノ森愛媛県西条市久万高原町1,929.2地理院地図Googleマップ北緯33度45分31秒東経133度05分38秒﻿ / ﻿北緯33.758541度 東経133.093777度﻿ /33.758541; 133.093777﻿ (二ノ森)一等三角点百名山亜高山帯、シラビソ南限] 二ノ森 （にのもり）は、 石鎚山 の南西側に位置し 四国山地 西部の 石鎚山脈 に属する 山 である。 愛媛県 第二の高峰で山名もこれに由来し、 四国 でも 剣山地 の 次郎笈 (1,930.0m)に次いで4位、 西日本 でも同じく次郎笈に次いで5位となる。","https://ja.wikipedia.org/wiki/二ノ森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度45分31秒東経133度5分38秒","1,929.6m","愛媛県西条市・久万高原町","北緯33度45分31秒東経133度5分38秒﻿ / ﻿北緯33.75861度 東経133.09389度﻿ /33.75861; 133.09389","四国山地","","","","","","","","","","","","","","",""
"岩黒山","[4いわぐろやま岩黒山愛媛県西条市久万高原町1,745.6地理院地図Googleマップ北緯33度45分03秒東経133度09分25秒﻿ / ﻿北緯33.750764度 東経133.156992度﻿ /33.750764; 133.156992﻿ (岩黒山)] 岩黒山 （いわぐろやま）は、 四国山地 西部の石鎚山脈に属する 山 である。標高1,746m。 四国百名山 に選定されている。","https://ja.wikipedia.org/wiki/岩黒山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度45分3秒東経133度9分22秒","1,746m","愛媛県久万高原町・西条市・高知県いの町","北緯33度45分3秒東経133度9分22秒﻿ / ﻿北緯33.75083度 東経133.15611度﻿ /33.75083; 133.15611座標:北緯33度45分3秒東経133度9分22秒﻿ / ﻿北緯33.75083度 東経133.15611度﻿ /33.75083; 133.15611","四国山地","","","","","","","","","","","","","","",""
"筒上山","[5つつじょうざん筒上山愛媛県久万高原町高知県いの町1,859.3地理院地図Googleマップ北緯33度43分55秒東経133度09分40秒﻿ / ﻿北緯33.731951度 東経133.161135度﻿ /33.731951; 133.161135﻿ (筒上山)山岳修験道場] 筒上山 （つつじょうざん/つつじょうやま）は、 四国山地 西部の石鎚山脈に属する 山 である。標高1,860m   。 四国百名山 に選定されている。","https://ja.wikipedia.org/wiki/筒上山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度43分55秒東経133度09分40秒","1,859.3m","愛媛県久万高原町・高知県いの町","北緯33度43分55秒東経133度09分40秒﻿ / ﻿北緯33.73194度 東経133.16111度﻿ /33.73194; 133.16111","四国山地","","","","","","","","","","","","","","",""
"瓶ヶ森","[6かめがもり瓶ヶ森愛媛県西条市1,896.2地理院地図Googleマップ北緯33度47分41秒東経133度11分36秒﻿ / ﻿北緯33.794607度 東経133.193258度﻿ /33.794607; 133.193258﻿ (瓶ヶ森)日本三百名山吉野川源流] 瓶ヶ森 （かめがもり）は、 四国山地 西部の 石鎚山脈 に属する 山 である。標高1,897m   。 日本三百名山 および 四国百名山 の一つに数えられる   。 愛媛県 第三の高峰で、 四国 でも 二ノ森 (1,929m) に次いで5位、 西日本 でも 八経ヶ岳 に次いで7位となる。瓶ヶ森の名称は山頂西側の 湧水 のたまる瓶壺（かめつぼ）に由来する  。","https://ja.wikipedia.org/wiki/瓶ヶ森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度47分41秒東経133度11分36秒","1,897m","愛媛県西条市","北緯33度47分41秒東経133度11分36秒﻿ / ﻿北緯33.79472度 東経133.19333度﻿ /33.79472; 133.19333座標:北緯33度47分41秒東経133度11分36秒﻿ / ﻿北緯33.79472度 東経133.19333度﻿ /33.79472; 133.19333","石鎚山脈（四国山地）","","","","","","","","","","","","","","",""
"伊予富士","[7いよふじ伊予富士高知県いの町愛媛県西条市1,756.0地理院地図Googleマップ北緯33度47分17秒東経133度14分53秒﻿ / ﻿北緯33.7879861度 東経133.248047度﻿ /33.7879861; 133.248047﻿ (伊予富士)日本三百名山] 伊予富士 （いよふじ）は、 四国山地 西部の 石鎚山地 に属する 山 である。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/伊予富士","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度47分17秒東経133度14分53秒","1,756m","日本愛媛県西条市・高知県いの町","北緯33度47分17秒東経133度14分53秒﻿ / ﻿北緯33.78806度 東経133.24806度﻿ /33.78806; 133.24806座標:北緯33度47分17秒東経133度14分53秒﻿ / ﻿北緯33.78806度 東経133.24806度﻿ /33.78806; 133.24806","四国山地","","","","","","","","","","","","","","",""
"寒風山 (高知県・愛媛県)","[8かんぷうざん寒風山高知県いの町愛媛県西条市1,763地理院地図Googleマップ北緯33度48分42秒東経133度15分42秒﻿ / ﻿北緯33.8116278度 東経133.261739度﻿ /33.8116278; 133.261739﻿ (寒風山)寒風山トンネル] 寒風山 （かんぷうざん）は、 四国山地 西部の 石鎚山脈 に属する 山 である。 四国百名山 に選定されている。かつては「さむかぜやま」と呼ばれた  。","https://ja.wikipedia.org/wiki/寒風山_(高知県・愛媛県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度48分42秒東経133度15分42秒","1,763m","愛媛県西条市・高知県いの町","北緯33度48分42秒東経133度15分42秒﻿ / ﻿北緯33.81167度 東経133.26167度﻿ /33.81167; 133.26167","四国山地","","","","","","","","","","","","","","",""
"笹ヶ峰","[9ささがみね笹ヶ峰愛媛県西条市高知県いの町1,859.5地理院地図Googleマップ北緯33度49分41秒東経133度16分29秒﻿ / ﻿北緯33.828111度 東経133.274591度﻿ /33.828111; 133.274591﻿ (笹ヶ峰)日本二百名山一等三角点百名山自然環境保全地域] 笹ヶ峰 （ささがみね）は、 四国山地 西部の 石鎚山脈 に属する 山 である。 日本二百名山 および 四国百名山 の一つに数えられる   。山名はなだらかな山頂部が一面の イブキザサ に覆われていることに由来する。","https://ja.wikipedia.org/wiki/笹ヶ峰","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度49分41秒東経133度16分28秒","1,859.47m","愛媛県西条市・高知県いの町","北緯33度49分41秒東経133度16分28秒﻿ / ﻿北緯33.82806度 東経133.27444度﻿ /33.82806; 133.27444","四国山地","","","","","","","","","","","","","","",""
"平家平 (高知県・愛媛県)","[10へいけだいら平家平高知県いの町大川村愛媛県新居浜市1,692.6地理院地図Googleマップ北緯33度48分53秒東経133度19分35秒﻿ / ﻿北緯33.814712度 東経133.326390度﻿ /33.814712; 133.326390﻿ (平家平)] 平家平 （へいけだいら）は、 愛媛県 新居浜市 と 高知県 吾川郡 いの町 と 土佐郡 大川村 にまたがる山。 標高 1,692.6m。 石鎚山脈 の核心から東へ離れた静寂峰である。","https://ja.wikipedia.org/wiki/平家平_(高知県・愛媛県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度48分52秒東経133度19分35秒","1,692.6m","愛媛県新居浜市・高知県吾川郡いの町・土佐郡大川村","北緯33度48分52秒東経133度19分35秒﻿ / ﻿北緯33.81444度 東経133.32639度﻿ /33.81444; 133.32639","四国山地","","","","","","","","","","","","","","",""
