"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","初登頂","プロミネンス","総称","所属山脈","種類","アイソレーション","山の種類","最容易,ルート","最新噴火","最新の噴火","公式サイト","翻訳","公用語","住民の呼称","海外領土"
"エベレスト","[1  中華人民共和国エベレスト8,848 m[1] 山頂は、 ネパール と 中国 との国境上にある。","https://ja.wikipedia.org/wiki/エベレスト","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯27度59分17秒東経86度55分31秒","8848.86m","ネパールサガルマタ県ソルクンブ郡中国チベット自治区ティンリ県","北緯27度59分17秒東経86度55分31秒﻿ / ﻿北緯27.98806度 東経86.92528度﻿ /27.98806; 86.92528座標:北緯27度59分17秒東経86度55分31秒﻿ / ﻿北緯27.98806度 東経86.92528度﻿ /27.98806; 86.92528","ヒマラヤ山脈","エドモンド・ヒラリー、テンジン・ノルゲイ（1953年）","","","","褶曲・隆起","","","","","","","","","",""
"エベレスト","[1  ネパールエベレスト8,848 m] 山頂は、 ネパール と 中国 との国境上にある。","https://ja.wikipedia.org/wiki/エベレスト","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯27度59分17秒東経86度55分31秒","8848.86m","ネパールサガルマタ県ソルクンブ郡中国チベット自治区ティンリ県","北緯27度59分17秒東経86度55分31秒﻿ / ﻿北緯27.98806度 東経86.92528度﻿ /27.98806; 86.92528座標:北緯27度59分17秒東経86度55分31秒﻿ / ﻿北緯27.98806度 東経86.92528度﻿ /27.98806; 86.92528","ヒマラヤ山脈","エドモンド・ヒラリー、テンジン・ノルゲイ（1953年）","","","","褶曲・隆起","","","","","","","","","",""
"K2","[3  パキスタンK28,611 mK2西部のカシミールはパキスタンが、北部と東部は中華人民共和国が実効支配しているが、インドはK2の領有権を主張している。] K2 という頭文字は Karakoram No.2 、つまり カラコルム山脈測量番号2号 を意味する。","https://ja.wikipedia.org/wiki/K2","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯35度52分57秒東経76度30分48秒","8611m","パキスタンギルギット・バルティスタン州中国ウイグル自治区タシュクルガン・タジク自治県","北緯35度52分57秒東経76度30分48秒﻿ / ﻿北緯35.88250度 東経76.51333度﻿ /35.88250; 76.51333座標:北緯35度52分57秒東経76度30分48秒﻿ / ﻿北緯35.88250度 東経76.51333度﻿ /35.88250; 76.51333","カラコルム山脈","1954年7月31日アキレ・コンパニョーニ（英語版）リーノ・ラチェデッリ（英語版）（イタリア隊　アルディト・デジオ（英語版）隊長）","","","","","","","","","","","","","",""
"カンチェンジュンガ","[4  インドカンチェンジュンガ8,586 mインドはK2の領有権を主張しており、それを含めればK2が最高地点である。] カンチェンジュンガとは チベット語 で「偉大な雪の5つの宝庫」の意味。主峰の他に西峰=ヤルン・カン（8505 m）、中央峰（8478 m）、南峰=カンチェンジュンガII（8476 m）、カンバチェン（7903 m）が並ぶ。衛星峰に囲まれていて、最高点を中心に半径20 kmの円を描くとその中に7000 m以上の高峰10座、8000 m級のカンチェンジュンガ主峰と第II峰の2座が入り、壮大さは比類がない。さらにこの山が ダージリン の丘陵上から手に取るような近さで眺められることも、この山を古くから人に親しませる理由となった。","https://ja.wikipedia.org/wiki/カンチェンジュンガ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯27度42分00秒東経88度08分00秒","8586m","ネパールインド","北緯27度42分00秒東経88度08分00秒﻿ / ﻿北緯27.70000度 東経88.13333度﻿ /27.70000; 88.13333座標:北緯27度42分00秒東経88度08分00秒﻿ / ﻿北緯27.70000度 東経88.13333度﻿ /27.70000; 88.13333","ヒマラヤ山脈","1955年イギリス隊","","","","","","","","","","","","","",""
"ガンカー・プンスム","[5  ブータンガンカー・プンスム7,570 mクーラカンリが最高地点と主張する人もいる。] ガンカー・プンスム（Gangkhar Puensum）の代替音訳には \"Gangkar Punsum\" や \"Gankar Punzum\" があるが、「三人の精神的な兄弟の白い峰（ White peak of the three spiritual brothers ）」という同じ意味である。 ガンカー・プンスムは 1922年 に初めて標高が計測されたが、地図は正確ではなく、山は別の場所に全く異なる高さで表示されていた。実際に、不正確な地図のため、最初の登山隊は山を発見することが全く出来なかった。","https://ja.wikipedia.org/wiki/ガンカー・プンスム","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯28度06分00秒東経90度26分00秒","7,570m","ブータン、チベット","北緯28度06分00秒東経90度26分00秒﻿ / ﻿北緯28.10000度 東経90.43333度﻿ /28.10000; 90.43333座標:北緯28度06分00秒東経90度26分00秒﻿ / ﻿北緯28.10000度 東経90.43333度﻿ /28.10000; 90.43333","ヒマラヤ山脈","未登頂","","","","","","","","","","","","","",""
"イスモイル・ソモニ峰","[6  タジキスタンイスモイル・ソモニ峰7,495 m] タジキスタンの 最高峰 。 ソビエト連邦 が形成されていた時代は連邦の最高峰でもあった。","https://ja.wikipedia.org/wiki/イスモイル・ソモニ峰","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯38度55分東経72度01分","7,495m","タジキスタン","北緯38度55分東経72度01分﻿ / ﻿北緯38.917度 東経72.017度﻿ /38.917; 72.017座標:北緯38度55分東経72度01分﻿ / ﻿北緯38.917度 東経72.017度﻿ /38.917; 72.017","パミール高原","1933年","","","","","","","","","","","","","",""
"ノシャック","[7  アフガニスタンノシャック7,492 m] 初登頂は 1960年 に日本の酒井敏明と岩坪五郎によって成し遂げられた。この時は南東側の斜面からの登頂であった。冬季における初登頂は 1973年 に ポーランド の Tadeusz Piotrowski と Andrzej Zawada によって北面から成し遂げられ、世界初の冬季における7,000m級峰の登頂であった。","https://ja.wikipedia.org/wiki/ノシャック","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯36度25分54秒東経71度49分42秒","7,492m","アフガニスタンバダフシャーン州パキスタンカイバル・パクトゥンクワ州","北緯36度25分54秒東経71度49分42秒﻿ / ﻿北緯36.43167度 東経71.82833度﻿ /36.43167; 71.82833座標:北緯36度25分54秒東経71度49分42秒﻿ / ﻿北緯36.43167度 東経71.82833度﻿ /36.43167; 71.82833","ヒンドゥークシュ山脈","酒井敏明、岩坪五郎（1960年）","","","","","","","","","","","","","",""
"ポベーダ山","[8  キルギスポベーダ山7,439 m] ポベーダ山はいくつかのピークを持つ山塊であり、主峰のみが7,000mを超える。 ハン・テングリ （7,010m）の16kmほど南西に位置し、南イヌイリチェク（South Engilchek）氷河によって分け隔てられている。双方の山に登るためのベースキャンプはこの氷河に設けられることが多い。","https://ja.wikipedia.org/wiki/ポベーダ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯42度02分06秒東経80度07分32秒","7,439m","キルギス中国","北緯42度02分06秒東経80度07分32秒﻿ / ﻿北緯42.03500度 東経80.12556度﻿ /42.03500; 80.12556座標:北緯42度02分06秒東経80度07分32秒﻿ / ﻿北緯42.03500度 東経80.12556度﻿ /42.03500; 80.12556","天山山脈","ヴィタリー・アバラコフ（1956年）","","","","","","","","","","","","","",""
"ハン・テングリ","[9  カザフスタンハン・テングリ7,010 m[1] カクシャール嶺 と ハザク山 の結合部、ポペーダ山の西隣にあり、その西には キルギス の 内陸湖 イシク・クル 、北は イリ河谷 、南は タリム盆地 の アクス オアシス。山頂は カザフスタン での最高地点である。","https://ja.wikipedia.org/wiki/ハン・テングリ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯42度12分39秒 東経80度10分30秒","","","","","","","","","","","","","","","","","","",""
"アコンカグア","[10  アルゼンチンアコンカグア6,960 m] 初登頂は、 1897年 1月14日 、 スイス 人ガイドの マティアス・ツールブリッゲン によるものである。","https://ja.wikipedia.org/wiki/アコンカグア","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯32度39分20秒西経70度00分57秒","6960.8m","アルゼンチンメンドーサ","南緯32度39分20秒西経70度00分57秒﻿ / ﻿南緯32.65556度 西経70.01583度﻿ /-32.65556; -70.01583座標:南緯32度39分20秒西経70度00分57秒﻿ / ﻿南緯32.65556度 西経70.01583度﻿ /-32.65556; -70.01583","アンデス山脈","マティアス・ツールブリッゲン（スイス）","","","","","","","","","","","","","",""
