"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","事務所所在地","開園","事務所","運営者","公式サイト","年来園者数","駐車場","設備・遊具","アクセス","現況","バリアフリー","告示","前身","備考","設計者","種類"
"国営滝野すずらん丘陵公園","[イ北海道国営滝野すずらん丘陵公園1983年07月395.7ha] 滝野すずらん丘陵公園 （たきのすずらんきゅうりょうこうえん）は、 北海道 札幌市 南区 にある 公園 。 北海道 唯一の 国営公園 。","https://ja.wikipedia.org/wiki/滝野すずらん丘陵公園","国営公園","https://ja.wikipedia.org/wiki/国営公園","表形式2","北緯42度54分49秒東経141度23分13秒","日本札幌市南区滝野","395.7ヘクタール","国営公園","札幌市南区滝野247番地","1983年7月30日（一部開園）2010年5月22日（全面開園）","札幌市公園緑化協会共同体滝野管理センター","国土交通省","国営滝野すずらん丘陵公園オフィシャルウェブサイト","57万6231人（2014年度）","渓流口駐車場150台中央口駐車場960台東口駐車場610台鱒見口駐車場160台（冬季閉鎖）滝野の森駐車場150台南駐車場180台","園路、散策路、庭園、森林、遊具、展望台、天文台、オートキャンプ場、パークゴルフ場、スキー場、野外教育施設、ビジターセンター","札幌市営地下鉄南北線真駒内駅から北海道中央バス（西岡営業所）で約32分札幌市営地下鉄東豊線福住駅（福住バスターミナル）から北海道中央バス（大曲営業所）で約50分（4月～11月の土日祝と夏季のみ）","","AED（自動体外式除細動器）電動車椅子多目的トイレ","計画決定：昭和53年1月17日北海道告示第99号","","","",""
"国営みちのく杜の湖畔公園","[イ宮城県国営みちのく杜の湖畔公園1989年08月287.5ha] 国営みちのく杜の湖畔公園 （こくえいみちのくもりのこはんこうえん）は、 宮城県 柴田郡 川崎町 の 釜房ダム 湖畔にある、 東北地方 唯一の 国営公園 。正式 略称 は「 みちのく公園 」であるが、地元では「湖畔公園」等と略される場合もある。","https://ja.wikipedia.org/wiki/国営みちのく杜の湖畔公園","国営公園","https://ja.wikipedia.org/wiki/国営公園","表形式2","北緯38度10分48秒東経140度40分2.9秒","日本宮城県柴田郡川崎町大字川内の一部および大字小野の一部","287.5ha","都市公園>国営公園","宮城県柴田郡川崎町大字小野字二本松53-9","1989年（平成元年）8月4日","みちのく公園管理センター","H28-31国営みちのく杜の湖畔公園運営維持管理業務みちのく公園マネジメント共同体。","http://www.michinoku-park.info","76万7585人（2015年度）","","","","","","","釜房湖畔公園","","高野ランドスケープ・プランニング（高野文彰)他",""
"国営ひたち海浜公園","[イ茨城県国営ひたち海浜公園1991年10月350ha] 国営ひたち海浜公園 （こくえいひたちかいひんこうえん）  は、 茨城県 ひたちなか市 にある 日本 の 国営公園 である。","https://ja.wikipedia.org/wiki/国営ひたち海浜公園","国営公園","https://ja.wikipedia.org/wiki/国営公園","表形式2","北緯36度24分2秒東経140度35分29秒","日本茨城県ひたちなか市","350ha","国営公園・都市公園","茨城県ひたちなか市馬渡字大沼605-4","1991年（平成3年）10月5日","国営常陸海浜公園事務所","日本国（国土交通省関東地方整備局）","公式サイト","213.6万人","4,350台（3か所の合計、有料）","本文参照","勝田駅から茨城交通バス、約20分","公園面積のうち、約55%が開園済み","","水戸勝田都市計画公園の変更（昭和58年茨城県告示第645号）","アメリカ軍水戸射爆撃場","","",""
"国営武蔵丘陵森林公園","[ロ埼玉県国営武蔵丘陵森林公園1974年07月304ha] 国営武蔵丘陵森林公園 （こくえい むさしきゅうりょうしんりんこうえん）は、 埼玉県 比企郡 滑川町 と 熊谷市 （北口周辺のみ）にまたがる 比企北丘陵 にある 国営公園 。国の 明治百年 記念事業の一環として開設された。","https://ja.wikipedia.org/wiki/国営武蔵丘陵森林公園","国営公園","https://ja.wikipedia.org/wiki/国営公園","表形式2","北緯36度5分10.68秒東経139度22分12秒","日本埼玉県比企郡滑川町、熊谷市","304ha","国営公園","〒355-0802埼玉県比企郡滑川町山田1920","1974年7月22日","","","国営武蔵丘陵森林公園","870,000人（2009年度）","計1643台 （南、中央、西、北口）","","","","車椅子を無料で貸出","","","","",""
"国営昭和記念公園","[ロ東京都国営昭和記念公園1983年10月165.3ha] 「 昭和天皇 御在位五十年記念事業」の一環として、「現在及び将来を担う国民が自然的環境の中で健全な心身を育み、英知を養う場とする」ために、戦後 米軍 が 旧立川飛行場 を接収した立川市と昭島市の両市にまたがる 立川基地 跡地のうち、180haを記念公園として建設することが閣議決定され、「 緑の回復と人間性の向上 」をテーマに 1978年 （ 昭和 53年）度より国土交通省の手で施設整備が進められてきた。 1983年 （昭和58年） 10月26日 、昭和天皇臨席のもとに約70haで開園した後、レインボープールや子供の森、日本庭園、砂川口、盆栽苑等次々と施設が整備され、 2005年 （ 平成 17年） 11月 にはみどりの文化ゾーンが共用され、同時に 昭和天皇記念館 が開館した。","https://ja.wikipedia.org/wiki/国営昭和記念公園","国営公園","https://ja.wikipedia.org/wiki/国営公園","表形式2","北緯35度42分26.68秒東経139度23分39.48秒","日本東京都立川市、昭島市","165.3 ha","国営公園","〒190-8558東京都立川市緑町3173","1983年10月26日","国営昭和記念公園事務所","H27-30国営昭和記念公園運営維持管理業務　昭和記念公園　パークス共同体","公式ホームページ","404万人(2016年度)","大型車93台、普通車2531台","","","","","","","","東京ランドスケープ研究所（全体案）",""
"国営東京臨海広域防災公園","[イ東京都国営東京臨海広域防災公園2010年07月13.2ha] 東京臨海広域防災公園 （とうきょうりんかいこういきぼうさいこうえん）は、 東京都 江東区 有明 にある 広域防災拠点 および 公園 である。園内に防災学習施設「 そなエリア東京 」がある。","https://ja.wikipedia.org/wiki/東京臨海広域防災公園","国営公園","https://ja.wikipedia.org/wiki/国営公園","表形式2","北緯35度38分8.55秒東経139度47分48.24秒","日本東京都江東区有明二丁目・三丁目","13.2 ha","国営公園・都立広域公園","東京都江東区有明三丁目8番35号","2010年7月1日","管理センター","国土交通省・東京都建設局","東京臨海広域防災公園","","一般駐車場なし、団体駐車場8台","基幹的広域防災拠点施設防災体験学習施設ヘリポート","ゆりかもめ有明駅前りんかい線国際展示場駅徒歩4分","1月2日から12月30日までの6時から20時まで公開","","国営公園:平成16年3月1日国土交通省告示第174号、平成22年6月17日関東地方整備局告示第273号都立公園:平成16年2月24日国土交通省告示第157号、平成19年3月20日関東地方整備局告示第82号、（変更）平成20年3月31日国土交通省告示第398号","","","",""
"国営越後丘陵公園","[イ新潟県国営越後丘陵公園1998年07月400ha] 国営越後丘陵公園 （こくえいえちごきゅうりょうこうえん）は、 新潟県 長岡市 にある 国営公園 。","https://ja.wikipedia.org/wiki/国営越後丘陵公園","国営公園","https://ja.wikipedia.org/wiki/国営公園","表形式2","北緯37度25分15.3秒東経138度44分37.9秒","日本新潟県長岡市宮本東方町字三ツ又1950番1北緯37度25分15.3秒東経138度44分37.9秒﻿ / ﻿北緯37.420917度 東経138.743861度﻿ /37.420917; 138.743861","約400ha","国営公園","新潟県長岡市宮本東方町字三ツ又1950番1","1998年7月30日","国営越後丘陵公園事務所","H28-31 国営越後丘陵公園運営維持管理業務公園財団・グリーン産業・ＪＲ東日本コンサルタンツ共同体","公式ウェブサイト","550,179人(2015年度)","合計1751台","木製遊具・水遊具など","バスで「越後丘陵公園」または「陽光台4丁目」下車","開園面積298.4ha","車椅子貸し出し・スロープ・エレベーター","","","現在整備中","",""
"国営アルプスあづみの公園","[イ長野県国営アルプスあづみの公園2004年07月353ha] 国営アルプスあづみの公園 （こくえいあるぷすあづみのこうえん）は、 長野県 安曇野市 、 大町市 、 北安曇郡 松川村 にある総面積353 ヘクタール の 国営公園 。","https://ja.wikipedia.org/wiki/国営アルプスあづみの公園","国営公園","https://ja.wikipedia.org/wiki/国営公園","表形式2","北緯36度19分15.1秒東経137度50分42.4秒","日本長野県安曇野市・長野県大町市・北安曇郡松川村","約353ha","国営公園","長野県安曇野市穂高牧149-12","2004年7月24日","国営アルプスあづみの公園事務所","H28-31国営アルプスあづみの公園運営維持管理業務　アルプスあづみの公園マネジメント共同体","国営アルプスあづみの公園","37万人(2014年度)","1050台(堀金・穂高地区) 600台(大町・松川地区)","木製遊具など","","開園面積100ha(堀金・穂高地区)、開園面積253ha(大町・松川地区)","車椅子・シルバーカー貸し出し","","","","",""
"国営木曽三川公園","[イ岐阜県愛知県三重県国営木曽三川公園1987年10月473.5ha] 国営木曽三川公園 （こくえいきそさんせんこうえん、Kiso Sansen National Government Park）は、 1987年 10月に開設された、 木曽三川 （ 木曽川 、 長良川 、 揖斐川 。濃尾三川ともいう）下流域一帯、 愛知県 ・ 岐阜県 ・ 三重県 にわたる、日本最大の 国営公園 。","https://ja.wikipedia.org/wiki/国営木曽三川公園","国営公園","https://ja.wikipedia.org/wiki/国営公園","表形式2","北緯35度08分48.29秒東経136度40分04.70秒","日本","258.0ha（供用済）473.5ha（計画）","国営公園","岐阜県海津市海津町油島255-3","1987年10月","木曽三川公園管理センター","一般財団法人公園財団","国営木曽三川公園","","","","","","","","","","",""
"淀川河川公園","[イ京都府大阪府淀川河川公園1977年03月（238.8ha）] 淀川河川公園 （よどがわかせんこうえん）は、 淀川 の河川敷にある 国営公園 である。 運営は淀川河川公園管理グループ共同体（阪神造園建設業共同組合と一般財団法人公園財団のJV）が受託している(平成27年度まで)。","https://ja.wikipedia.org/wiki/淀川河川公園","国営公園","https://ja.wikipedia.org/wiki/国営公園","表形式2","","","","","","","","","","","","","","","","","","","",""
