"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","面積","分類","運営者","指定区域","指定日","公式サイト","事務所","事務所所在地","年来園者数","前身","地域","創立日","運営組織","告示","所在地","最寄り","開園","場所","主要な島"
"厚岸霧多布昆布森国定公園","[厚岸霧多布昆布森国定公園2021年3月30日霧多布湿原、厚岸湾、厚岸湖、原生花園あやめヶ原など] 厚岸霧多布昆布森国定公園 （あっけしきりたっぷこんぶもりこくていこうえん）は、 北海道 釧路郡 釧路町 、 厚岸郡 厚岸町 ・ 浜中町 、 川上郡 標茶町 にまたがる 国定公園 である。元は「厚岸道立自然公園」として 1955年 （昭和30年）に指定された 都道府県立自然公園 で、 2021年 （ 令和 3年）3月30日に国定公園に指定された  。","https://ja.wikipedia.org/wiki/厚岸霧多布昆布森国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯42度59分43秒東経144度55分10秒","41,487ヘクタール","国定公園","北海道","","","","釧路総合振興局保健環境部環境生活課","北海道釧路市浦見2丁目2-54","","厚岸道立自然公園","","","","環境省告示第24号","日本北海道釧路郡釧路町、厚岸郡厚岸町、厚岸郡浜中町、川上郡標茶町","","2021年","",""
"暑寒別天売焼尻国定公園","[暑寒別天売焼尻国定公園1990年8月1日暑寒別山地、雨竜沼湿原、天売島、焼尻島、ルーラン奇勝など] 暑寒別天売焼尻国定公園 （しょかんべつてうりやぎしりこくていこうえん）は、 北海道 にある 国定公園 。 1990年 （ 平成 2年） 8月1日 に暑寒別道立自然公園と天売焼尻道立自然公園を統合して日本国内で55番目、北海道内で5番目に指定された国定公園。公園区域は暑寒別山系と雄冬（おふゆ）地区の海岸部、送毛（おくりげ）・濃昼（ごきびる）地区の海岸部、 日本海 に浮かぶ 天売島 ・ 焼尻島 の3つの地域で構成している。","https://ja.wikipedia.org/wiki/暑寒別天売焼尻国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯43度43分45秒東経141度32分30秒","43,559ヘクタール","国定公園","北海道","日本石狩振興局：石狩市空知総合振興局：樺戸郡新十津川町、雨竜郡雨竜町、雨竜郡北竜町留萌振興局：増毛郡増毛町、苫前郡羽幌町北緯43度43分45秒東経141度32分30秒﻿ / ﻿北緯43.72917度 東経141.54167度﻿ /43.72917; 141.54167座標:北緯43度43分45秒東経141度32分30秒﻿ / ﻿北緯43.72917度 東経141.54167度﻿ /43.72917; 141.54167","1990年8月1日","暑寒別天売焼尻国定公園","北海道石狩振興局保健環境部環境生活課北海道空知総合振興局保健環境部環境生活課北海道留萌振興局保健環境部環境生活課","札幌市中央区北3条西7 道庁別館北海道岩見沢市8条西5北海道留萌市住之江町2-1-2","220,000人","","","","","","","","","",""
"網走国定公園","[網走国定公園1958年7月1日網走五湖、小清水原生花園、天都山など] 網走国定公園 （あばしりこくていこうえん）は、 北海道 にある 国定公園 。 1950年 （ 昭和 25年）に道立公園に指定され、 自然公園法 制定に伴って 1958年 （昭和33年）に国定公園に指定された  。大小7つの 湖沼 と 砂丘 、 草原 （ 原生花園 ）、 丘陵 からなる地域になっている。","https://ja.wikipedia.org/wiki/網走国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯44度07分52秒東経143度48分09秒","37,261ヘクタール","国定公園","北海道","日本オホーツク総合振興局：網走市、網走郡大空町、斜里郡斜里町、斜里郡小清水町、常呂郡佐呂間町、北見市、紋別郡湧別町北緯44度07分52秒東経143度48分09秒﻿ / ﻿北緯44.13111度 東経143.80250度﻿ /44.13111; 143.80250座標:北緯44度07分52秒東経143度48分09秒﻿ / ﻿北緯44.13111度 東経143.80250度﻿ /44.13111; 143.80250","1958年7月1日","網走国定公園","北海道オホーツク総合振興局保健環境部環境生活課","北海道網走市北7条西3","1,667,000人","網走道立自然公園","","","","昭和33年厚生省告示第182号平成4年環境庁告示第16号（変更）","","","","",""
"ニセコ積丹小樽海岸国定公園","[ニセコ積丹小樽海岸国定公園1963年7月24日ニセコ連峰の一部、積丹、小樽海岸など] ニセコ積丹小樽海岸国定公園 （ニセコしゃこたんおたるかいがんこくていこうえん）は、 北海道 にある 国定公園 。北海道内唯一となる 海域公園 に指定されている地区（積丹半島、小樽海岸）がある  。","https://ja.wikipedia.org/wiki/ニセコ積丹小樽海岸国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","19,009ヘクタール","国定公園","北海道","日本後志総合振興局：小樽市、磯谷郡蘭越町、虻田郡ニセコ町、虻田郡倶知安町、岩内郡共和町、岩内郡岩内町、積丹郡積丹町、古平郡古平町、余市郡余市町、古宇郡泊村、古宇郡神恵内村","1963年7月24日","ニセコ積丹小樽海岸国定公園","北海道後志総合振興局保健環境部環境生活課","北海道虻田郡倶知安町北1条東2","4,354,000人","ニセコ道立自然公園","","","","","","","","",""
"日高山脈襟裳国定公園","[日高山脈襟裳国定公園1981年10月1日日高山脈、襟裳岬、アポイ岳など] 日高山脈襟裳国定公園 （ひだかさんみゃくえりもこくていこうえん）は、 北海道 にある 国定公園 。総面積（103,447 ha）は日本の国定公園の中で最も広い  。 2021年 度にも、国立公園への昇格が予定されている。","https://ja.wikipedia.org/wiki/日高山脈襟裳国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯42度43分10秒東経142度40分58秒","103,447ヘクタール","国定公園","北海道","日本日高振興局：沙流郡日高町、沙流郡平取町、新冠郡新冠町、日高郡新ひだか町、浦河郡浦河町、様似郡様似町、幌泉郡えりも町十勝総合振興局：帯広市、上川郡清水町、河西郡芽室町、河西郡中札内村、広尾郡大樹町、広尾郡広尾町北緯42度43分10秒東経142度40分58秒﻿ / ﻿北緯42.71944度 東経142.68278度﻿ /42.71944; 142.68278座標:北緯42度43分10秒東経142度40分58秒﻿ / ﻿北緯42.71944度 東経142.68278度﻿ /42.71944; 142.68278","1981年10月1日","日高山脈襟裳国定公園","北海道日高振興局保健環境部環境生活課北海道十勝総合振興局保健環境部環境生活課","北海道浦河郡浦河町栄丘東通56北海道帯広市東3南3","393,000人","襟裳道立自然公園","","","","","","","","",""
"大沼国定公園","[大沼国定公園1958年7月1日渡島駒ヶ岳（駒ヶ岳）及び大沼] 大沼国定公園 （おおぬまこくていこうえん）は、 北海道 にある 国定公園 。","https://ja.wikipedia.org/wiki/大沼国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯42度00分44秒東経140度40分16秒","9,083ヘクタール","国定公園","北海道","日本渡島総合振興局：亀田郡七飯町、茅部郡鹿部町、茅部郡森町北緯42度00分44秒東経140度40分16秒﻿ / ﻿北緯42.01222度 東経140.67111度﻿ /42.01222; 140.67111座標:北緯42度00分44秒東経140度40分16秒﻿ / ﻿北緯42.01222度 東経140.67111度﻿ /42.01222; 140.67111","1958年7月1日","大沼国定公園","北海道渡島総合振興局保健環境部環境生活課","北海道函館市美原4丁目6-16","1,403,000人","道立大沼公園","","","","","","","","",""
"下北半島国定公園","[下北半島国定公園1968年7月22日仏ヶ浦、恐山、大間崎、尻屋崎など下北半島の著名景勝地] 下北半島国定公園 （しもきたはんとうこくていこうえん）は、 青森県 東部に位置する 下北半島 の主要な景勝地を包含する 国定公園 。 恐山 と周辺の カルデラ 地帯、 薬研渓流 を中心に、半島西岸の 鯛島 から弁天島に至る、 仏ヶ浦 を含めた約15 km の 海岸線 、そして 大間崎 及び 尻屋崎 の先端部分が指定区域となっている。 1968年 7月22日 指定。","https://ja.wikipedia.org/wiki/下北半島国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","18,641ha","","","","","","","","","","青森県","1968年7月22日","","","","","","",""
"津軽国定公園","[津軽国定公園1975年3月31日岩木山、十二湖、深浦海岸、十三湖など] 津軽国定公園 （つがるこくていこうえん）は、 1975年 3月31日に指定された 青森県 西部に位置する 国定公園 である  。","https://ja.wikipedia.org/wiki/津軽国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"早池峰国定公園","[早池峰国定公園1982年6月10日早池峰山] 早池峰国定公園 （はやちねこくていこうえん）は、 岩手県 中央部にそびえる 早池峰山 の自然を保護するために設けられた 国定公園 。早池峰山とその周辺の薬師岳、 鶏頭山 が含まれる。 1982年 （昭和57年） 6月10日 指定。","https://ja.wikipedia.org/wiki/早池峰国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯39度33分31秒東経141度29分19秒","5,463ha","国定公園","岩手県","日本岩手県北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ /39.55861; 141.48861座標:北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ /39.55861; 141.48861","1982年6月10日","","岩手県庁環境生活部自然保護課自然公園担当","〒020-8570岩手県盛岡市内丸10-1","","","","","","","","","","",""
"栗駒国定公園","[栗駒国定公園1968年7月22日栗駒山地、夏油温泉、鬼首温泉郷、鳴子峡、小安峡など] 栗駒国定公園 （くりこまこくていこうえん）は 岩手県 、 宮城県 、 秋田県 、 山形県 にまたがる大規模な山岳 国定公園 で、総面積は771.4平方kmに及ぶ。 1968年 7月22日指定。","https://ja.wikipedia.org/wiki/栗駒国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"蔵王国定公園","[蔵王国定公園1963年8月8日蔵王山、山寺] 蔵王国定公園 （ざおうこくていこうえん）は、 宮城県 と 山形県 にまたがってある 国定公園  。 奥羽山脈 上の 面白山 およびその南に続く 蔵王連峰 からなる山岳 公園 で、 1963年 （ 昭和 38年） 8月8日 に指定された。面積は39,635 ha  。","https://ja.wikipedia.org/wiki/蔵王国定公園","国定公園","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯38度08分37秒東経140度26分24秒","39,635ha","","","","","","","","","","宮城県,山形県","1963年8月8日","宮城県、山形県","","","仙台市,川崎町,蔵王町,白石市,山形市,上山市","","",""
