"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","分類","所在地","面積","前身","開園","運営者","告示","事務所","事務所所在地","指定区域","指定日","年来園者数","公式サイト","地域","創立日","最寄り","運営組織","場所","主要な島"
"厚岸霧多布昆布森国定公園","厚岸霧多布昆布森国定公園2021年3月30日霧多布湿原、厚岸湾、厚岸湖、原生花園あやめヶ原など","https://ja.wikipedia.org/wiki/厚岸霧多布昆布森国定公園","国定公園一覧","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯42度59分43秒東経144度55分10秒","国定公園","日本北海道釧路郡釧路町、厚岸郡厚岸町、厚岸郡浜中町、川上郡標茶町","41,487ヘクタール[1]","厚岸道立自然公園","2021年","北海道","環境省告示第24号","釧路総合振興局保健環境部環境生活課","北海道釧路市浦見2丁目2-54","","","","","","","","","",""
"暑寒別天売焼尻国定公園","暑寒別天売焼尻国定公園1990年8月1日暑寒別山地、雨竜沼湿原、天売島、焼尻島、ルーラン奇勝など","https://ja.wikipedia.org/wiki/暑寒別天売焼尻国定公園","国定公園一覧","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯43度43分45秒東経141度32分30秒","国定公園","","43,559ヘクタール[1]","","","北海道","","北海道石狩振興局保健環境部環境生活課北海道空知総合振興局保健環境部環境生活課北海道留萌振興局保健環境部環境生活課","札幌市中央区北3条西7 道庁別館北海道岩見沢市8条西5北海道留萌市住之江町2-1-2","日本石狩振興局：石狩市空知総合振興局：樺戸郡新十津川町、雨竜郡雨竜町、雨竜郡北竜町留萌振興局：増毛郡増毛町、苫前郡羽幌町北緯43度43分45秒東経141度32分30秒﻿ / ﻿北緯43.72917度 東経141.54167度﻿ /43.72917; 141.54167座標:北緯43度43分45秒東経141度32分30秒﻿ / ﻿北緯43.72917度 東経141.54167度﻿ /43.72917; 141.54167","1990年8月1日","220,000人[2]","暑寒別天売焼尻国定公園","","","","","",""
"網走国定公園","網走国定公園1958年7月1日網走五湖、小清水原生花園、天都山など","https://ja.wikipedia.org/wiki/網走国定公園","国定公園一覧","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯44度07分52秒東経143度48分09秒","国定公園","","37,261ヘクタール[1]","網走道立自然公園","","北海道","昭和33年厚生省告示第182号平成4年環境庁告示第16号（変更）","北海道オホーツク総合振興局保健環境部環境生活課","北海道網走市北7条西3","日本オホーツク総合振興局：網走市、網走郡大空町、斜里郡斜里町、斜里郡小清水町、常呂郡佐呂間町、北見市、紋別郡湧別町北緯44度07分52秒東経143度48分09秒﻿ / ﻿北緯44.13111度 東経143.80250度﻿ /44.13111; 143.80250座標:北緯44度07分52秒東経143度48分09秒﻿ / ﻿北緯44.13111度 東経143.80250度﻿ /44.13111; 143.80250","1958年7月1日","1,667,000人[2]","網走国定公園","","","","","",""
"ニセコ積丹小樽海岸国定公園","ニセコ積丹小樽海岸国定公園1963年7月24日ニセコ連峰の一部、積丹、小樽海岸など","https://ja.wikipedia.org/wiki/ニセコ積丹小樽海岸国定公園","国定公園一覧","https://ja.wikipedia.org/wiki/国定公園","表形式","","国定公園","","19,009ヘクタール[1]","ニセコ道立自然公園","","北海道","","北海道後志総合振興局保健環境部環境生活課","北海道虻田郡倶知安町北1条東2","日本後志総合振興局：小樽市、磯谷郡蘭越町、虻田郡ニセコ町、虻田郡倶知安町、岩内郡共和町、岩内郡岩内町、積丹郡積丹町、古平郡古平町、余市郡余市町、古宇郡泊村、古宇郡神恵内村","1963年7月24日","4,354,000人[2]","ニセコ積丹小樽海岸国定公園","","","","","",""
"日高山脈襟裳国定公園","日高山脈襟裳国定公園1981年10月1日日高山脈、襟裳岬、アポイ岳など","https://ja.wikipedia.org/wiki/日高山脈襟裳国定公園","国定公園一覧","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯42度43分10秒東経142度40分58秒","国定公園","","103,447ヘクタール[1]","襟裳道立自然公園","","北海道","","北海道日高振興局保健環境部環境生活課北海道十勝総合振興局保健環境部環境生活課","北海道浦河郡浦河町栄丘東通56北海道帯広市東3南3","日本日高振興局：沙流郡日高町、沙流郡平取町、新冠郡新冠町、日高郡新ひだか町、浦河郡浦河町、様似郡様似町、幌泉郡えりも町十勝総合振興局：帯広市、上川郡清水町、河西郡芽室町、河西郡中札内村、広尾郡大樹町、広尾郡広尾町北緯42度43分10秒東経142度40分58秒﻿ / ﻿北緯42.71944度 東経142.68278度﻿ /42.71944; 142.68278座標:北緯42度43分10秒東経142度40分58秒﻿ / ﻿北緯42.71944度 東経142.68278度﻿ /42.71944; 142.68278","1981年10月1日","393,000人[2]","日高山脈襟裳国定公園","","","","","",""
"大沼国定公園","大沼国定公園1958年7月1日渡島駒ヶ岳（駒ヶ岳）及び大沼","https://ja.wikipedia.org/wiki/大沼国定公園","国定公園一覧","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯42度00分44秒東経140度40分16秒","国定公園","","9,083ヘクタール[1]","道立大沼公園","","北海道","","北海道渡島総合振興局保健環境部環境生活課","北海道函館市美原4丁目6-16","日本渡島総合振興局：亀田郡七飯町、茅部郡鹿部町、茅部郡森町北緯42度00分44秒東経140度40分16秒﻿ / ﻿北緯42.01222度 東経140.67111度﻿ /42.01222; 140.67111座標:北緯42度00分44秒東経140度40分16秒﻿ / ﻿北緯42.01222度 東経140.67111度﻿ /42.01222; 140.67111","1958年7月1日[2]","1,403,000人[3]","大沼国定公園","","","","","",""
"下北半島国定公園","下北半島国定公園1968年7月22日仏ヶ浦、恐山、大間崎、尻屋崎など下北半島の著名景勝地","https://ja.wikipedia.org/wiki/下北半島国定公園","国定公園一覧","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","18,641ha","","","","","","","","","","","青森県","1968年7月22日","","","",""
"津軽国定公園","津軽国定公園1975年3月31日岩木山、十二湖、深浦海岸、十三湖など","https://ja.wikipedia.org/wiki/津軽国定公園","国定公園一覧","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
"早池峰国定公園","早池峰国定公園1982年6月10日早池峰山","https://ja.wikipedia.org/wiki/早池峰国定公園","国定公園一覧","https://ja.wikipedia.org/wiki/国定公園","表形式","北緯39度33分31秒東経141度29分19秒","国定公園","","5,463ha","","","岩手県","","岩手県庁環境生活部自然保護課自然公園担当","〒020-8570岩手県盛岡市内丸10-1","日本岩手県北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ /39.55861; 141.48861座標:北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ /39.55861; 141.48861","1982年6月10日","","","","","","","",""
"栗駒国定公園","栗駒国定公園1968年7月22日栗駒山地、夏油温泉、鬼首温泉郷、鳴子峡、小安峡など","https://ja.wikipedia.org/wiki/栗駒国定公園","国定公園一覧","https://ja.wikipedia.org/wiki/国定公園","表形式","","","","","","","","","","","","","","","","","","","",""
