"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","面積","法人番号","国","外部リンク","都道府県","地方","市町村コード","総人口","隣接自治体","地図","人口密度","別名","札所等","市の木","市の花","市長","城郭構造"
"富士山","[富士山（山梨・静岡）] 富士山 （ふじさん、 英語 : Mount Fuji ）は、 山梨県 （ 富士吉田市 、 南都留郡 鳴沢村 ）と、 静岡県 （ 富士宮市 、 裾野市 、 富士市 、 御殿場市 、 駿東郡 小山町 ）に跨る 活火山 である  。 標高 3776.12 m 、 日本最高峰 （ 剣ヶ峰 ）  の 独立峰 で、その優美な風貌は日本国外でも 日本 の 象徴 として広く知られている。数多くの芸術作品の題材とされ芸術面のみならず、気候や地層など地質学的にも社会的に大きな影響を与えている。懸垂曲線の山容を有した玄武岩質成層火山で構成され、その山体は 駿河湾 の海岸まで及ぶ。","https://ja.wikipedia.org/wiki/富士山","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度21分45秒東経138度43分50秒","日本静岡県富士宮市裾野市富士市御殿場市駿東郡小山町山梨県富士吉田市南都留郡鳴沢村","北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306座標:北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306","","","","","","","","","","","","","","","","",""
"昇仙峡","[昇仙峡（山梨）] 昇仙峡 （しょうせんきょう）は、 山梨県 甲府市 、 甲府盆地 北側、 荒川  上流に位置する 渓谷 である。 特別名勝 に指定されており、国内有数の景勝地である。「日本五大名峡」の一つに数えられる  。","https://ja.wikipedia.org/wiki/昇仙峡","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"知床 (世界遺産)","[知床（北海道）] 知床 （しれとこ）は、 日本 にある 世界遺産 登録地域。 2005年 （ 平成 17年） 7月17日 、 南アフリカ共和国 ダーバン で行われた『第29回 ユネスコ 世界遺産委員会 』で「 自然遺産 」登録が決まった   。","https://ja.wikipedia.org/wiki/知床_(世界遺産)","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","71,100ha","","","","","","","","","","","","","","","",""
"十和田湖","[十和田湖・奥入瀬川（青森・秋田）] 十和田湖 （とわだこ）は、 青森県 十和田市 と 秋田県 鹿角郡 小坂町 にまたがる 湖 。日本の湖沼としては、最大水深は326.8mで第3位  、面積では12番目  。東岸には、十和田湖の水が唯一流れ出る 奥入瀬川 があり、北東に約14kmにわたり 奥入瀬渓流 が延びる。約20km北には 八甲田山 が位置する。","https://ja.wikipedia.org/wiki/十和田湖","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯40度27分53秒東経140度52分38秒","日本青森県十和田市秋田県鹿角郡小坂町","北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722座標:北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722","61.11km2","","","","","","","","","","","","","","","",""
"合掌造り","[合掌造り（岐阜・富山）] 合掌造り （がっしょうづくり）は、 日本 の 住宅 建築様式の一つである。急勾配の屋根を持つことがしばしばであるが、現存する合掌造りの屋根は45度から60度まで、傾きにかなりの幅がある  。","https://ja.wikipedia.org/wiki/合掌造り","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"京都市","[京都の寺社（京都）] ","https://ja.wikipedia.org/wiki/京都市","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度0分41.8秒東経135度46分5.2秒","〒604-8571京都府京都市中京区寺町通御池上る上本能寺前町488番地北緯35度0分41.8秒東経135度46分5.2秒﻿ / ﻿北緯35.011611度 東経135.768111度﻿ /35.011611; 135.768111﻿ (京都市)座標:北緯35度0分41.8秒東経135度46分5.2秒﻿ / ﻿北緯35.011611度 東経135.768111度﻿ /35.011611; 135.768111﻿ (京都市)","","827.83km2","2000020261009","日本","京都市情報館","京都府","近畿地方","26100-9","1,459,583人（推計人口、2021年6月1日）","宇治市長岡京市南丹市亀岡市向日市八幡市乙訓郡大山崎町久世郡久御山町滋賀県大津市高島市大阪府高槻市三島郡島本町","","1,763人/km2","","","シダレヤナギタカオカエデカツラ","ツバキツツジサトザクラ","門川大作",""
"姫路城","[姫路城（兵庫）] 姫路城 （ひめじじょう）は 兵庫県 姫路市 にある 日本の城 。 江戸時代 初期に建てられた 天守 や 櫓 等の主要 建築物 が現存し、 国宝 や 重要文化財 に指定されている。また、主郭部を含む中堀の内側は「姫路城跡」として国の 特別史跡 に指定されている   。また、 ユネスコ の 世界遺産 リストにも登録され   、 日本100名城  などに選定されている。別名は 白鷺城 （はくろじょう・しらさぎじょう。詳細は 名称の由来と別名 を参照）という。","https://ja.wikipedia.org/wiki/姫路城","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯34度50分21.76秒東経134度41分38.75秒","","北緯34度50分21.76秒東経134度41分38.75秒﻿ / ﻿北緯34.8393778度 東経134.6940972度﻿ /34.8393778; 134.6940972座標:北緯34度50分21.76秒東経134度41分38.75秒﻿ / ﻿北緯34.8393778度 東経134.6940972度﻿ /34.8393778; 134.6940972","","","","","","","","","","姫路城","","白鷺城","","","","","渦郭式平山城"
"上高地","[上高地（長野）] 上高地 （かみこうち）とは、 長野県 西部の 飛騨山脈 南部の 梓川 上流の 景勝地 である。 中部山岳国立公園 の一部ともなっており、国の 文化財 （ 特別名勝 ・ 特別天然記念物 ）に指定されている。 標高 約1,500 m 。全域が 松本市 に属する。「かみこうち」の名称は本来「神垣内」の 漢字 表記だが、後に現在の「上高地」の漢字表記が一般的となった。「神垣内」とは、 穂高神社 の祭神・「 穂高見命 」（ほたかみのみこと）が穂高岳に降臨し、この地（穂高神社奥宮と 明神池 ）で祀られていることに由来する。","https://ja.wikipedia.org/wiki/上高地","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"函館市","[函館の夜景（北海道）] ","https://ja.wikipedia.org/wiki/函館市","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯41度46分7.2秒東経140度43分44.1秒","〒040-8666北海道函館市東雲町4-13北緯41度46分7.2秒東経140度43分44.1秒﻿ / ﻿北緯41.768667度 東経140.728917度﻿ /41.768667; 140.728917﻿ (函館市)座標:北緯41度46分7.2秒東経140度43分44.1秒﻿ / ﻿北緯41.768667度 東経140.728917度﻿ /41.768667; 140.728917﻿ (函館市)","","677.86km2","9000020012025","日本","函館市公式サイト","北海道（渡島総合振興局）","北海道地方","01202-5","250,059人（住民基本台帳人口、2021年5月31日）","北斗市亀田郡七飯町、茅部郡鹿部町（海上を隔てて隣接）青森県下北郡大間町","","369人/km2","","","おんこ（いちい）","つつじ（やまつつじ）","工藤壽樹",""
"尾瀬","[尾瀬（群馬・福島・新潟）] 尾瀬 （おぜ）は、 福島県 （ 南会津郡 檜枝岐村 ）・ 新潟県 （ 魚沼市 ）・ 群馬県 （ 利根郡 片品村 ）の3県にまたがる 高地 にある 盆地 状の 高原 であり、 阿賀野川 水系 最大の 支流 只見川 の源流域となっている。中心となる尾瀬ヶ原は約1万年前に形成されたと考えられる 湿原 である。 尾瀬国立公園 に指定され、 日本百景 に選定されている。","https://ja.wikipedia.org/wiki/尾瀬","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
