"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","起点","終点","全長","現況","道路車線数","所属路線名","位置","開通","通行対象","設計速度","管理","幅","通行料金","完成","所有","建設開始","所在地","最高部","路線延長"
"山手トンネル","[1やまて/山手トンネル13東京都しゆとこう-首都高速中央環状線大井JCT～高松入口18,597有通行不可1992年2007年全線開通は2015年3月7日。] 山手トンネル （やまてトンネル）は、 首都高速道路 中央環状線 の 大井JCT - 高松入口 間にある道路 トンネル である。","https://ja.wikipedia.org/wiki/山手トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯35度39分51.9秒東経139度41分15.5秒","東京都品川区八潮","東京都豊島区","外回り：18,597 m内回り：18,098 m","供用中","両側4車線","首都高速中央環状線","日本・ 東京都","2015年（平成27年）3月7日（全線開通）","自動車（危険物積載車両は通行禁止）","60km/h","首都高速道路","","有料","","","","","",""
"東京外環トンネル","[とうきようかいかん/東京外環トンネル[1] 東京外環トンネル （とうきょうがいかんトンネル）は、 東京都 世田谷区 の 東名JCT から同都 練馬区 の 大泉JCT 間にある 東京外環自動車道 のトンネルである。","https://ja.wikipedia.org/wiki/東京外環トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯35度41分02秒東経139度35分10秒","東京都世田谷区大蔵","東京都練馬区大泉町","16,200 m","事業中","6車線","C3東京外環自動車道（東京外かく環状道路）","日本・ 東京都","未定","自動車","80km/h","中日本高速道路（東名JCT-中央JCT）東日本高速道路（中央JCT -大泉JCT）","40 - 93m","有料","","","","","-40 m",""
"関越トンネル","[2かんえつ/関越トンネル10群馬県新潟県かんえつ-関越自動車道水上IC～湯沢IC11,055有通行不可[2] 関越トンネル （かんえつトンネル、英語表記：Kan-etsu Tunnel）は、 群馬県 利根郡 みなかみ町 と 新潟県 南魚沼郡 湯沢町 の 県境 （ 上越国境 ）間にある 関越自動車道 の トンネル 。 谷川岳 を貫通している。","https://ja.wikipedia.org/wiki/関越トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯36度49分39秒東経138度54分13秒","群馬県利根郡みなかみ町","新潟県南魚沼郡湯沢町","10,926m（下り）11,055 m（上り）","供用中","片側2車線","E17関越自動車道"," 群馬県・ 新潟県","1985年（昭和60年）10月2日（下り）1991年（平成3年）10月22日（上り）","自動車（危険物積載車両は通行禁止）","80km/h（最高速度:80 km/h）","東日本高速道路","7 m","","","日本高速道路保有・債務返済機構","","","",""
"飛騨トンネル","[3ひだ/飛騨トンネル13岐阜県とうかいほくりく-東海北陸自動車道飛騨清見IC～白川郷IC10,712有通行不可2007年2008年片側1車線のトンネルでは日本最長。] 全長は10,712  m で道路トンネルとしては 山手トンネル （ 首都高速中央環状線 ）・ 関越トンネル （ 関越自動車道 ）に次いで日本国内3位、世界でも12位の長さである。","https://ja.wikipedia.org/wiki/飛騨トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯36度14分01秒 東経136度57分16秒","岐阜県飛驒市","岐阜県大野郡白川村","10,712 m","供用中","2車線（片側1車線）","E41東海北陸自動車道","日本・ 岐阜県","2008年（平成20年）7月5日","自動車（危険物積載車両は通行禁止）","","","","","2007年（平成19年）1月13日（本坑貫通）","","","","",""
"アクアトンネル","[4あくあとんねる/アクアトンネル14神奈川県千葉県とうきようわんあくあらいん-東京湾アクアライン川崎浮島JCT～木更津金田IC9,607有通行不可1987年1987年1997年水底道路トンネルとしては世界最長] 東京湾アクアライン （とうきょうわんアクアライン）・ 東京湾アクアライン連絡道 （とうきょうわんアクアラインれんらくどう）は、 神奈川県 川崎市 から 東京湾 を横断して 千葉県 木更津市 へ至る 高速道路 である。 東京湾横断道路 ・ 東京湾横断道路連絡道 として 地域高規格道路 の計画路線に指定されている。","https://ja.wikipedia.org/wiki/アクアトンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","神奈川県川崎市川崎区","千葉県木更津市","","","","","","","","","","","","","","","","","15.1km（東京湾アクアライン）8.6 km（アクア連絡道）"
"栗子トンネル (東北中央自動車道)","[5くりこ/栗子トンネル06山形県福島県とうほくちゅうおう-東北中央自動車道福島大笹生IC～米沢八幡原IC8,972有通行不可2002年2014年2017年無料で通行できる道路トンネルとしては日本最長。] 栗子トンネル （くりこトンネル）は、 福島県 福島市 と 山形県 米沢市 の県境にある 栗子峠 の下を通る 東北中央自動車道 のトンネルである   。全長8,972 メートル (m) で、 2017年 （ 平成 29年） 11月4日 に開通した  。","https://ja.wikipedia.org/wiki/栗子トンネル_(東北中央自動車道)","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯37度51分24.69秒東経140度16分02.17秒","福島県福島市飯坂町中野","山形県米沢市万世町刈安","本坑：8,972m避難坑：8,989 m換気坑：2,609 m","供用中","片側1車線（暫定2車線）","E13東北中央自動車道"," 福島県・ 山形県","2017年（平成29年）11月4日","自動車","100km/h（規制速度：70 km/h）","国土交通省東北地方整備局福島河川国道事務所","本坑：7 m避難坑：2.9 m","無料","2015年（平成27年）3月","","2002年（平成14年）","","",""
"恵那山トンネル","[6えなさん/恵那山トンネル20長野県岐阜県ちゆうおう-中央自動車道園原IC～中津川IC8,649有通行不可1967年1974年1975年建設当時日本最長の道路トンネル。] 恵那山トンネル （えなさんトンネル）は、 中央自動車道 の 園原IC - 中津川IC 間にあり、 長野県 下伊那郡 阿智村 と 岐阜県 中津川市 とを結ぶ、 木曽山脈 を貫く長大 トンネル である  。","https://ja.wikipedia.org/wiki/恵那山トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","北緯35度28分59秒東経137度37分43秒","長野県下伊那郡阿智村","岐阜県中津川市","（上り線）8,649m（下り線）8,489m","供用中","（上り線）2車線（下り線）2車線","E19中央自動車道"," 長野県・ 岐阜県","1975年8月23日（一期）1985年3月27日（二期）","自動車（危険物積載車両は通行禁止）","80km/h（規制速度:70km/h）","","","","1974年10月23日（一期貫通）1983年3月7日（二期貫通）","中日本高速道路株式会社","1967年10月12日（一期）1978年3月21日（二期）","","",""
"阪神高速32号新神戸トンネル","[7たいにしんこうへ/第二新神戸トンネル28兵庫県はんしんこうそく32こうしんこうへとんねる-阪神高速32号新神戸トンネル8,055無通行不可1988年] 阪神高速32号新神戸トンネル （はんしんこうそく32ごうしんこうべトンネル）は、 兵庫県 神戸市 中央区 雲井通 から、同市 北区 山田町に至る 阪神高速道路 の路線である  。路線名は 主要 神戸市道生田川箕谷線。阪神高速道路株式会社が管理する高速道路の路線のひとつとされているが、後述のとおり 神戸市道路公社 から移管された経緯から、50cc超125cc以下の 小型自動二輪車 （ 原付二種 ）も通行可能であるなど、 自動車専用道路 ではない。","https://ja.wikipedia.org/wiki/阪神高速32号新神戸トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","国道2号出入口（兵庫県神戸市中央区雲井通）","箕谷JCT（兵庫県神戸市北区山田町）","","","","","","","","","","","","","","","","","8.5km"
"阪神高速32号新神戸トンネル","[8しんこうへ/新神戸トンネル28兵庫県はんしんこうそく32こうしんこうへとんねる-阪神高速32号新神戸トンネル7,900±無通行不可1971年1976年] 阪神高速32号新神戸トンネル （はんしんこうそく32ごうしんこうべトンネル）は、 兵庫県 神戸市 中央区 雲井通 から、同市 北区 山田町に至る 阪神高速道路 の路線である  。路線名は 主要 神戸市道生田川箕谷線。阪神高速道路株式会社が管理する高速道路の路線のひとつとされているが、後述のとおり 神戸市道路公社 から移管された経緯から、50cc超125cc以下の 小型自動二輪車 （ 原付二種 ）も通行可能であるなど、 自動車専用道路 ではない。","https://ja.wikipedia.org/wiki/阪神高速32号新神戸トンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","国道2号出入口（兵庫県神戸市中央区雲井通）","箕谷JCT（兵庫県神戸市北区山田町）","","","","","","","","","","","","","","","","","8.5km"
"オオヌマトンネル","[おおぬま/オオヌマトンネル01北海道とうおう-道央自動車道七飯IC～大沼公園IC7,0932016年[3] オオヌマトンネル   は、 北海道縦貫自動車道 に 建設 中の トンネル である。","https://ja.wikipedia.org/wiki/オオヌマトンネル","延長別日本の道路トンネルの一覧","https://ja.wikipedia.org/wiki/延長別日本の道路トンネルの一覧","表形式","","北海道亀田郡七飯町","同上","7,093m","事業中","片側1車線（暫定2車線）","E5北海道縦貫自動車道","日本・ 北海道","","自動車","80km/h","国土交通省","-m","","","","","","",""
