"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","面積","時代","文化財指定","分類","開園","運営者","公式サイト","管理者","駐車場","位置","形状","規模","出土品","築造時期","史跡","国","都道府県"
"江別太遺跡 (存在しないページ)","[江別太遺跡（江別市）]","https://ja.wikipedia.org/w/index.php?title=江別太遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"砂沢遺跡","[砂沢遺跡（弘前市）] 砂沢遺跡 （すなざわいせき）は、 青森県 弘前市 三和に所在する 弥生時代 前期の 本州 最北端最古の 水田 跡 遺跡 。","https://ja.wikipedia.org/wiki/砂沢遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯40度43分42.8秒 東経140度24分00.7秒","","","","","","","","","","","","","","","","","","",""
"垂柳遺跡","[垂柳遺跡（田舎館村）] 1981年 （昭和56年）の 国道102号 バイパス化工事の試掘調査に際して弥生時代の水田跡が10面程発見された。","https://ja.wikipedia.org/wiki/垂柳遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯40度37分55.8秒 東経140度33分56.7秒","","","","","","","","","","","","","","","","","","",""
"反町遺跡 (存在しないページ)","[反町遺跡（奥州市）]","https://ja.wikipedia.org/w/index.php?title=反町遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"沼津遺跡 (存在しないページ)","[沼津遺跡（石巻市）]","https://ja.wikipedia.org/w/index.php?title=沼津遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山王囲遺跡","[山王囲遺跡（栗原市）] 遺跡は、 迫川 の支流 長崎川 北岸の氾濫原で自然堤防上に立地している。1962年（昭和37年）に明治大学が、 1965年 （昭和40年）に一迫町が発掘調査を行った。","https://ja.wikipedia.org/wiki/山王囲遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯38度44分26.4秒 東経140度56分54.7秒","","","","","","","","","","","","","","","","","","",""
"青木畑遺跡 (存在しないページ)","[青木畑遺跡（栗原市）]","https://ja.wikipedia.org/w/index.php?title=青木畑遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"里浜貝塚","[里浜貝塚（東松島市）] 里浜貝塚 （さとはまかいづか）は、 宮城県 東松島市 の 松島湾 中の 宮戸島 に存在する 縄文時代 を通して継続された 貝塚 である。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/里浜貝塚","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯38度20分9.38秒 東経141度8分42.94秒","","","","","","","","","","","","","","","","","","",""
"地蔵田遺跡","[地蔵田遺跡（秋田市）] 地蔵田遺跡 （じぞうでんいせき）は、 秋田県 秋田市 四ツ小屋末戸松本字地蔵田に所在する 旧石器時代 ・ 縄文時代 ・ 弥生時代 の遺跡である。特に、 台地 上に築かれた 木柵 に囲まれた弥生時代前期の集落として知られている。国の 史跡 に指定されている。日本初の「 市民 の手づくり史跡整備」の例としても知られる。","https://ja.wikipedia.org/wiki/地蔵田遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯39度39分28.1秒東経140度9分29.7秒","秋田県秋田市四ツ小屋","遺跡","","弥生時代","国史跡（1996年指定）","","","","","秋田県","","","","","","","","",""
"宇津ノ台遺跡 (存在しないページ)","[宇津ノ台遺跡（大仙市）]","https://ja.wikipedia.org/w/index.php?title=宇津ノ台遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
