"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最新噴火","最高峰","上位山系","延長","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"礼文岳","[1礼文岳れぶんだけ490m北海道オオカサモチレブンソウ地理院地図Google Mapレブンアツモリソウ、レブンコザクラレブンウスユキソウ花の百名山、新日本百名山] 礼文岳 （れぶんだけ）は 北海道 礼文郡 礼文町 にある標高490mの山である。 花の百名山 、 新花の百名山 、 北海道百名山 、 新日本百名山 。","https://ja.wikipedia.org/wiki/礼文岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯45度22分21秒東経141度00分57秒","北海道礼文郡礼文町","北緯45度22分21秒東経141度00分57秒﻿ / ﻿北緯45.37250度 東経141.01583度﻿ /45.37250; 141.01583","490m","島","","","","","","","","","","","","","","",""
"利尻山","[2利尻山りしりざん1,721m北海道ボタンキンバイシコタンハコベ地理院地図Google Mapリシリヒナゲシ、リシリリンドウ利尻富士花の百名山日本百名山、新日本百名山] 利尻山 （りしりざん）は、 北海道 の 利尻島 に位置する 独立峰 で 標高 1,721m。 利尻町 、 利尻富士町 の2町にまたがる 成層火山 で、 利尻礼文サロベツ国立公園 内の山域は特別区域に指定され、 日本百名山  、 新日本百名山  、 花の百名山  及び 新・花の百名山  に選定されている。","https://ja.wikipedia.org/wiki/利尻岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯45度10分43秒東経141度14分31秒","日本北海道宗谷総合振興局利尻郡利尻町・利尻富士町","北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ /45.17861; 141.24194座標:北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ /45.17861; 141.24194","1,721m","独立峰","成層火山","","","","","","","","","","","","","",""
"暑寒別岳","[3暑寒別岳しょかんべつだけ1,491m北海道エゾオヤマリンドウシオガマギク地理院地図Google Map雨竜沼湿原花の百名山日本二百名山] 暑寒別岳 （しょかんべつだけ）とは、 北海道 空知総合振興局 西部と、 留萌振興局 東部の3郡4町にまたがる、標高1492mの山。","https://ja.wikipedia.org/wiki/暑寒別岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯43度43分0秒東経141度31分20秒","北海道増毛郡増毛町雨竜郡雨竜町・北竜町樺戸郡新十津川町","北緯43度43分0秒東経141度31分20秒﻿ / ﻿北緯43.71667度 東経141.52222度﻿ /43.71667; 141.52222","1,491.62m","増毛山地","","","","","","","","","","","","","","",""
"大雪山","[4大雪山たいせつざん2,291m北海道チョウノスケソウジンヨウキスミレ地理院地図Google Mapエゾコザクラ黒岳、小泉岳、大雪山国立公園花の百名山日本百名山、新日本百名山北海道の最高峰] 大雪山 （たいせつざん、だいせつざん）は、 北海道 中央部にある 旭岳 などの山々からなる巨大な山塊の名称  。大雪山系とも呼ばれ、一帯は 大雪山国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/大雪山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯43度39分48.9秒東経142度51分14.9秒","日本・北海道上川郡","北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139座標:北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139","旭岳：2,290.93m","石狩山地","複成火山","","","","","","","","","","","","","",""
"夕張岳","[5夕張岳ゆうばりだけ1,668m北海道ユウバリソウユウパリコザクラ地理院地図Google Map花の百名山日本二百名山] 夕張岳 （ゆうばりだけ）は、 北海道 の中央部を南北に走る 夕張山地 の南端に位置する 標高 1,668 m の 山 。 夕張市 と 空知郡 南富良野町 にまたがり、山域は北側の 芦別岳 と共に「 富良野芦別道立自然公園 」に指定されている  。","https://ja.wikipedia.org/wiki/夕張岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯43度05分59秒東経142度15分04秒","日本北海道夕張市・空知郡南富良野町","北緯43度05分59秒東経142度15分04秒﻿ / ﻿北緯43.09972度 東経142.25111度﻿ /43.09972; 142.25111座標:北緯43度05分59秒東経142度15分04秒﻿ / ﻿北緯43.09972度 東経142.25111度﻿ /43.09972; 142.25111","1,667.72m","夕張山地","","","","","","","","","","","","","","",""
"羅臼岳","[6羅臼岳らうすだけ1,660m北海道チシマツガザクラジムカデ地理院地図Google Mapシレトコスミレ世界遺産、知床国立公園花の百名山、日本百名山] 羅臼岳 （らうすだけ）は、 北海道 ・ 知床半島 にある 火山 群の主峰及び最高峰で 標高 1,661m   。古くは アイヌ語 で チャチャヌプリ 、また 良牛岳 と記されたこともある。1964年（昭和39年）6月1日に 知床国立公園 に指定され  、 2005年 7月にこの山域を含む知床半島が 知床 (世界遺産) に正式登録された。 日本百名山  、 花の百名山  及び 新・花の百名山  に選定されている山である。","https://ja.wikipedia.org/wiki/羅臼岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯44度04分33秒東経145度07分20秒","日本北海道目梨郡羅臼町・斜里郡斜里町","北緯44度04分33秒東経145度07分20秒﻿ / ﻿北緯44.07583度 東経145.12222度﻿ /44.07583; 145.12222座標:北緯44度04分33秒東経145度07分20秒﻿ / ﻿北緯44.07583度 東経145.12222度﻿ /44.07583; 145.12222","1,661m","知床半島","成層火山","","","","","","","","","","","","","",""
"斜里岳","[7斜里岳しゃりだけ1,547m北海道エゾゼンテイカ地理院地図Google Map花の百名山日本百名山] 斜里岳 （しゃりだけ）は 北海道 の 知床半島 にある 火山 。 標高 は1,547m。 斜里岳道立自然公園 に属し、 日本百名山 に選定されている  。 清里町 の観光スポットの一つである。","https://ja.wikipedia.org/wiki/斜里岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯43度45分56秒東経144度43分04秒","北海道斜里郡斜里町・清里町、標津郡標津町","北緯43度45分56秒東経144度43分04秒﻿ / ﻿北緯43.76556度 東経144.71778度﻿ /43.76556; 144.71778","1,547m","知床半島","成層火山","","25万年前","","","","","","","","","","","",""
"目国内岳","[8目国内岳めくんないだけ1,220m北海道イワウメ地理院地図Google Mapニセコ積丹小樽海岸国定公園ニセコ連峰] 目国内岳 （めくんないだけ）は、 ニセコ連峰 西山系にある 北海道 磯谷郡 蘭越町 と 岩内郡 岩内町 とにまたがる 火山 。 ニセコ積丹小樽海岸国定公園 内にある。 標高は1,220 mであるが、 三等三角点 （点名「四国内」）が設置されている場所の標高は1202.3 mである。","https://ja.wikipedia.org/wiki/目国内岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯42度53分59秒東経140度30分55秒","日本北海道磯谷郡蘭越町・岩内郡岩内町","北緯42度53分59秒東経140度30分55秒﻿ / ﻿北緯42.89972度 東経140.51528度﻿ /42.89972; 140.51528座標:北緯42度53分59秒東経140度30分55秒﻿ / ﻿北緯42.89972度 東経140.51528度﻿ /42.89972; 140.51528","1,220m","ニセコ連峰","成層火山","","","","","","","","","","","","","",""
"アポイ岳","[9アポイ岳アポイだけ811m北海道ミヤマハンショウヅルアポイゼキショウアポイマンテマ地理院地図Google Mapアポイアズマギクヒダカソウ日高山脈] アポイ岳 （アポイだけ）は、 北海道 様似郡 様似町 かつ 日高山脈 支稜線西南端に位置し、 一等三角点 （点名「冬島」）で標高810.5mの 山 である。","https://ja.wikipedia.org/wiki/アポイ岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯42度06分28秒東経143度01分32秒","日本北海道様似郡様似町","北緯42度06分28秒東経143度01分32秒﻿ / ﻿北緯42.10778度 東経143.02556度﻿ /42.10778; 143.02556座標:北緯42度06分28秒東経143度01分32秒﻿ / ﻿北緯42.10778度 東経143.02556度﻿ /42.10778; 143.02556","810.5m","日高山脈","","","","","","","","","","","","","","",""
"オロフレ山","[10オロフレ山オロフレやま1,230m北海道ツマトリソウ地理院地図Google Map支笏洞爺国立公園オロフレ峠] オロフレ山 （オロフレやま）は、 北海道 白老郡 白老町 と 有珠郡 壮瞥町 とにまたがる標高1,230.8mの 火山 である。","https://ja.wikipedia.org/wiki/オロフレ山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯42度33分57.5秒東経141度05分13.5秒","日本北海道白老郡白老町・有珠郡壮瞥町","北緯42度33分57.5秒東経141度05分13.5秒﻿ / ﻿北緯42.565972度 東経141.087083度﻿ /42.565972; 141.087083座標:北緯42度33分57.5秒東経141度05分13.5秒﻿ / ﻿北緯42.565972度 東経141.087083度﻿ /42.565972; 141.087083","1,230.8m","オロフレ・来馬火山","成層火山","","","","","","","","","","","","","",""
