"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","面積","標高","外部リンク","成因","淡水・汽水","湖沼型","山系","種類","周囲長","最大水深","水面の,標高","透明度","交通","最高標高","平均水深","都道府県","人口密度"
"摩周湖","[摩周湖] 摩周湖 （ましゅうこ）は、 北海道 川上郡 弟子屈町 にある 湖 。日本でもっとも、世界では バイカル湖 についで2番目に 透明度 の高い湖である。 2001年 には 北海道遺産 に選定された。急激に深くなっていることとその透明度から青以外の光の反射が少なく、よく晴れた日の湖面の色は「摩周ブルー」と呼ばれている。","https://ja.wikipedia.org/wiki/摩周湖","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯43度35分0秒東経144度32分0秒","日本北海道（釧路総合振興局）","北緯43度35分0秒東経144度32分0秒﻿ / ﻿北緯43.58333度 東経144.53333度﻿ /43.58333; 144.53333座標:北緯43度35分0秒東経144度32分0秒﻿ / ﻿北緯43.58333度 東経144.53333度﻿ /43.58333; 144.53333","19.22km2","","","カルデラ湖","淡水","極貧栄養湖","","","19.8km","211.5m","355  m","19.0 m","","","137.5 m","",""
"知床半島","[知床半島] 知床半島 （しれとこはんとう）は、 北海道 東部の 斜里郡 斜里町 と 目梨郡 羅臼町 にまたがる、 オホーツク海 の南端に突出した 半島  。長さ約70 km 、基部の幅が25kmの狭長な半島であり、西側がオホーツク海、東側が 根室海峡 に面している。また、半島東側には 国後島 が平行する形で横たわっている  。","https://ja.wikipedia.org/wiki/知床半島","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿寒湖","[阿寒湖] 阿寒湖 （あかんこ）は 北海道 東部、 釧路市 にある 湖 である。全域が 阿寒摩周国立公園 に含まれ、 道東 を代表する 観光地 となっている。淡水湖として北海道で5番目に大きい。","https://ja.wikipedia.org/wiki/阿寒湖","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯43度27分0秒東経144度6分0秒","北海道（釧路総合振興局）","北緯43度27分0秒東経144度6分0秒﻿ / ﻿北緯43.45000度 東経144.10000度﻿ /43.45000; 144.10000座標:北緯43度27分0秒東経144度6分0秒﻿ / ﻿北緯43.45000度 東経144.10000度﻿ /43.45000; 144.10000","13.25km2","","","カルデラ湖・堰止湖","淡水","富栄養湖","","","25.9km","45.0m","420  m","5.0 m","","","17.8 m","",""
"層雲峡","[層雲峡] 石狩川左岸の断崖に並んでかかる2本の滝。流星の滝は落差90メートル、標高1000メートル、直瀑  。銀河の滝は落差104メートル、分岐瀑  。流星の滝は高さのある急涯を太い1本の線となって流れ落ちる力強さから 雄滝 とも呼ばれ、銀河の滝は末広がりになって白糸を垂らしたような流身を持つ優雅さから 雌滝 と呼ばれている  。この2つの滝が仲良く寄り添って落ちている事から、 夫婦滝 の別名もある  。この2つの滝は「流星・銀河の滝」として 日本の滝百選 にも選定されている。 国道39号 銀河トンネル入口横から旧道に入ったところに駐車場が整備されており、2つの滝を間近に眺めることができる。また、駐車場から背後の斜面を20分ほど登ったところには「双瀑台」の展望台があり、流れ落ちる2つの滝を同時に眺めることができる  。層雲峡にはこの他にも、白蛇の滝、岩間の滝等大小様々な滝がある。","https://ja.wikipedia.org/wiki/層雲峡","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯43度43分8.6秒東経142度58分37.8秒","北海道上川町","北緯43度43分8.6秒東経142度58分37.8秒﻿ / ﻿北緯43.719056度 東経142.977167度﻿ /43.719056; 142.977167座標:北緯43度43分8.6秒東経142度58分37.8秒﻿ / ﻿北緯43.719056度 東経142.977167度﻿ /43.719056; 142.977167","","","","","","","","","","","","","","","","",""
"美幌町","[美幌町] ","https://ja.wikipedia.org/wiki/美幌町","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","〒092-8650北海道網走郡美幌町字東2条北2丁目25番地","","438.41km2","","美幌町","","","","","","","","","","","","","北海道（オホーツク総合振興局）","42.7人/km2"
"襟裳岬","[襟裳岬] 襟裳岬 （えりもみさき）は、 北海道 幌泉郡 えりも町 えりも岬に属し、 太平洋 に面する 岬 。北緯41度55分28秒、東経143度14分57秒。北海道の形を大きく表徴する自然地形の一つである。 日高山脈 の最南端で、太平洋に向かって南へ突き出した岬である。海上にまで岩礁群も伸びている。","https://ja.wikipedia.org/wiki/襟裳岬","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大雪山","[大雪山] 大雪山 （たいせつざん、だいせつざん）は、 北海道 中央部にある 旭岳 などの山々からなる巨大な山塊の名称  。大雪山系とも呼ばれ、一帯は 大雪山国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/大雪山","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯43度39分48.9秒東経142度51分14.9秒","日本・北海道上川郡","北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139座標:北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139","","旭岳：2,290.93m","","","","","石狩山地","複成火山","","","","","","","","",""
"登別温泉","[登別温泉] 登別温泉 （のぼりべつおんせん、 英 : Noboribetsu Onsen ）は、 北海道 登別市 にある 温泉 。 江戸時代 から温泉の存在が知られており、 明治時代 に 温泉宿 が設けられてからは保養地・ 観光地 となった。「 にっぽんの温泉100選 ・総合ランキング」では毎年上位にランクインしている日本有数の温泉地となっている  。地名の語源は アイヌ語 の「 ヌプル・ペツ 」（水色の濃い川）に由来している  。","https://ja.wikipedia.org/wiki/登別温泉","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯42度29分42.2秒東経141度8分38.6秒","北海道登別市","","","","登別国際観光コンベンション協会","","","","","","","","","","道南バス登別温泉ターミナル道央自動車道登別東IC北海道旅客鉄道（JR北海道）登別駅","","","",""
"洞爺湖","[洞爺湖] 洞爺湖 （とうやこ）は、 北海道 虻田郡 洞爺湖町 と 有珠郡 壮瞥町 にまたがる 湖 。 二級河川 長流川 水系に属する。周辺が 支笏洞爺国立公園 に指定されており  、 洞爺湖有珠山ジオパーク として「日本ジオパーク」「世界ジオパーク」に登録されている  。また、「 日本百景 」「 新日本旅行地100選 」「 美しい日本の歩きたくなるみち500選 」にも選定されている   。","https://ja.wikipedia.org/wiki/洞爺湖","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯42度35分0秒東経140度51分0秒","北海道（胆振総合振興局）北緯42度35分0秒東経140度51分0秒﻿ / ﻿北緯42.58333度 東経140.85000度﻿ /42.58333; 140.85000﻿ (洞爺湖)洞爺湖-地理院地図洞爺湖-Google マップ洞爺湖の位置北海道南部の地図を表示洞爺湖 (北海道)北海道の地図を表示洞爺湖 (日本)日本の地図を表示","","70.72km2","","","カルデラ湖","淡水","貧栄養湖","","","50km","180.0m","84  m","10.0 m","","","117.0 m","",""
"札幌市","[札幌] ","https://ja.wikipedia.org/wiki/札幌市","新日本旅行地100選","https://ja.wikipedia.org/wiki/新日本旅行地100選","箇条書き,制限あり","北緯43度3分43.5秒東経141度21分15.8秒","〒060-8611北海道札幌市中央区北1条西2丁目北緯43度3分43.5秒東経141度21分15.8秒﻿ / ﻿北緯43.062083度 東経141.354389度﻿ /43.062083; 141.354389座標:北緯43度3分43.5秒東経141度21分15.8秒﻿ / ﻿北緯43.062083度 東経141.354389度﻿ /43.062083; 141.354389札幌市役所庁舎","","1,121.26km2","","札幌市 City of Sapporo","","","","","","","","","","","","","北海道（石狩振興局）","1,751人/km2"
