"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","国","外部リンク","都道府県","地方","市町村コード","総人口","隣接自治体","法人番号","人口密度","市の花","市長","市の木","位置","郡","他のシンボル","町の花","標高"
"室蘭市","[室蘭・地球岬- ヤングカップル部門第1位] ","https://ja.wikipedia.org/wiki/室蘭市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯42度18分54.9秒東経140度58分26.5秒","〒051-8511北海道室蘭市幸町1-2北緯42度18分54.9秒東経140度58分26.5秒﻿ / ﻿北緯42.315250度 東経140.974028度﻿ /42.315250; 140.974028","80.88km2","日本","公式ウェブサイト","北海道（胆振総合振興局）","北海道地方","01205-0","80,709人（住民基本台帳人口、2021年5月31日）","胆振総合振興局:登別市、伊達市","8000020012050","998人/km2","ツツジ","青山剛","ナナカマド","","","市の鳥：ヒガラ市の魚：クロソイ","",""
"函館市","[函館] ","https://ja.wikipedia.org/wiki/函館市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯41度46分7.2秒東経140度43分44.1秒","〒040-8666北海道函館市東雲町4-13北緯41度46分7.2秒東経140度43分44.1秒﻿ / ﻿北緯41.768667度 東経140.728917度﻿ /41.768667; 140.728917﻿ (函館市)座標:北緯41度46分7.2秒東経140度43分44.1秒﻿ / ﻿北緯41.768667度 東経140.728917度﻿ /41.768667; 140.728917﻿ (函館市)","677.86km2","日本","函館市公式サイト","北海道（渡島総合振興局）","北海道地方","01202-5","250,059人（住民基本台帳人口、2021年5月31日）","北斗市亀田郡七飯町、茅部郡鹿部町（海上を隔てて隣接）青森県下北郡大間町","9000020012025","369人/km2","つつじ（やまつつじ）","工藤壽樹","おんこ（いちい）","","","市の鳥：ヤマガラ市の魚：イカ","",""
"江差町","[江差・松前] ","https://ja.wikipedia.org/wiki/江差町","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯41度52分8.9秒東経140度7分38.8秒","〒043-8560北海道檜山郡江差町字中歌町193-1北緯41度52分8.9秒東経140度7分38.8秒﻿ / ﻿北緯41.869139度 東経140.127444度﻿ /41.869139; 140.127444","109.53km2","日本","江差町","北海道（檜山振興局）","北海道地方","01361-7","7,221人（住民基本台帳人口、2021年5月31日）","檜山郡上ノ国町、厚沢部町、爾志郡乙部町","1000020013617","65.9人/km2","","","","","檜山郡","","ハマナス",""
"大沼 (七飯町)","[大沼] 大沼 （おおぬま）は、 北海道 亀田郡 七飯町 にある 湖  。大沼、小沼、蓴菜(じゅんさい)沼などの大小の湖沼群や 北海道駒ヶ岳 などの周辺の総称として「大沼」とも呼ばれている。大沼という地名は アイヌ語 の「 ポロ・ト 」に由来している  。ポロは「大いなる」を意味し、トは「湖沼」や「水溜まり」を意味している  。そこで、「大湖」または「大沼」ということになって「大沼」が採られた  。","https://ja.wikipedia.org/wiki/大沼_(七飯町)","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯41度59分51秒東経140度41分02秒","北海道（渡島総合振興局）北緯41度59分51秒東経140度41分02秒﻿ / ﻿北緯41.99750度 東経140.68389度﻿ /41.99750; 140.68389﻿ (大沼)大沼-地理院地図大沼-Google マップ大沼の位置北海道南部の地図を表示大沼 (七飯町) (北海道)北海道の地図を表示大沼 (七飯町) (日本)日本の地図を表示","5.31km2","","","","","","","","","","","","","","","","",""
"釧路市","[釧路] ","https://ja.wikipedia.org/wiki/釧路市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯42度59分5.60秒東経144度22分54.16秒","〒085-8505北海道釧路市黒金町7丁目5番地北緯42度59分5.60秒東経144度22分54.16秒﻿ / ﻿北緯42.9848889度 東経144.3817111度﻿ /42.9848889; 144.3817111﻿ (釧路市)座標:北緯42度59分5.60秒東経144度22分54.16秒﻿ / ﻿北緯42.9848889度 東経144.3817111度﻿ /42.9848889; 144.3817111﻿ (釧路市)","1,362.90km2","日本","公式ウェブサイト（日本語）","北海道（釧路総合振興局）","北海道地方","01206-8","164,400人（住民基本台帳人口、2021年5月31日）","釧路総合振興局：白糠郡白糠町、阿寒郡鶴居村、釧路郡釧路町、川上郡弟子屈町十勝総合振興局：足寄郡足寄町、十勝郡浦幌町オホーツク総合振興局：網走郡津別町","7000020012068","121人/km2","キンレンカ、スズラン、エゾリンドウ","蝦名大也","ハシドイ、エゾヤマザクラ、ナナカマド","","","","",""
"阿寒町","[阿寒] 阿寒町 （あかんちょう）は、北海道東部、 釧路支庁 管内の阿寒郡にあった町。 マリモ で有名な 阿寒湖 を有する。","https://ja.wikipedia.org/wiki/阿寒町","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯43度06分45秒東経144度07分25秒","〒085-0292北海道阿寒郡阿寒町中央1丁目4番1号","739.25km2","日本","","北海道釧路支庁","北海道地方","01666-7","6,401人（住民基本台帳、2005年9月末日）","釧路市、阿寒郡鶴居村、川上郡弟子屈町、白糠郡白糠町、網走郡津別町、足寄郡足寄町","","","","","","","阿寒郡","","すずらん",""
"十和田湖","[十和田湖・八甲田（青森県・秋田県）] 十和田湖 （とわだこ）は、 青森県 十和田市 と 秋田県 鹿角郡 小坂町 にまたがる 湖 。日本の湖沼としては、最大水深は326.8mで第3位  、面積では12番目  。東岸には、十和田湖の水が唯一流れ出る 奥入瀬川 があり、北東に約14kmにわたり 奥入瀬渓流 が延びる。約20km北には 八甲田山 が位置する。","https://ja.wikipedia.org/wiki/十和田湖","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯40度27分53秒東経140度52分38秒","日本青森県十和田市秋田県鹿角郡小坂町","61.11km2","","","","","","","","","","","","","北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722座標:北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722","","","",""
"古牧温泉","[古牧温泉祭魚洞公園（青森県）] 古牧温泉 （こまきおんせん）は、 青森県 三沢市 （旧国 陸奥国 ）にある温泉である。","https://ja.wikipedia.org/wiki/古牧温泉","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","星野リゾート青森屋","","","","","","","","","","","","","","",""
"八戸市","[八戸（青森県）] ","https://ja.wikipedia.org/wiki/八戸市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯40度30分44.2秒東経141度29分18.2秒","〒031-8686（八戸市庁）青森県八戸市内丸一丁目1番1号北緯40度30分44.2秒東経141度29分18.2秒﻿ / ﻿北緯40.512278度 東経141.488389度﻿ /40.512278; 141.488389","305.56km2","日本","公式ウェブサイト","青森県","東北地方","02203-9","219,651人（推計人口、2021年5月1日）","三戸郡階上町、五戸町、南部町、上北郡おいらせ町岩手県九戸郡軽米町","2000020022039","719人/km2","菊","小林眞","オンコ（イチイ）","","","","",""
"下北半島","[下北半島（青森県）] 下北半島 （しもきたはんとう）は、 青森県 北東部に位置する 本州 の最北端部の 半島 。半島全体が 下北半島国定公園 に指定されており、 日本三大霊場 に数えられる 恐山 などがある。","https://ja.wikipedia.org/wiki/下北半島","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
