"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","所有者","位置","運用者","グラウンド","開場","大型映像装置","照明","ピッチサイズ","設計者","建設者","修繕","建設費","起工","拡張","運営者","分類","公式サイト","設備・遊具"
"茨城県立カシマサッカースタジアム","[茨城県立カシマサッカースタジアム] 茨城県立カシマサッカースタジアム （いばらきけんりつカシマサッカースタジアム）は、 茨城県 鹿嶋市 にある サッカー 専用スタジアム。 日本プロサッカーリーグ （Jリーグ）に加盟する 鹿島アントラーズ がホームスタジアムとして使用しており、その運営会社である株式会社鹿島アントラーズ・エフ・シーが 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/茨城県立カシマサッカースタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度59分30.25秒東経140度38分25.92秒","茨城県鹿嶋市神向寺26-2","茨城県","北緯35度59分30.25秒東経140度38分25.92秒﻿ / ﻿北緯35.9917361度 東経140.6405333度﻿ /35.9917361; 140.6405333座標:北緯35度59分30.25秒東経140度38分25.92秒﻿ / ﻿北緯35.9917361度 東経140.6405333度﻿ /35.9917361; 140.6405333","株式会社鹿島アントラーズ・エフ・シー","天然芝","","オーロラビジョンおよび帯状映像装置（リボンビジョン）","1500ルクス","105 x 68m","茨城県土木部、日建設計","竹中工務店・住友・常総・JV、勝村・岡部・JV","","193億（改修費）","","","","","",""
"埼玉スタジアム2002","[埼玉スタジアム2002] 埼玉スタジアム2002 （さいたまスタジアム にまるまるに  ）は、 埼玉県 さいたま市 緑区 の 埼玉スタジアム2002公園 内にある サッカー 専用の競技スタジアム。","https://ja.wikipedia.org/wiki/埼玉スタジアム2002","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度54分11.19秒東経139度43分3.37秒","埼玉県さいたま市緑区美園二丁目1番地","埼玉県","北緯35度54分11.19秒東経139度43分3.37秒﻿ / ﻿北緯35.9031083度 東経139.7176028度﻿ /35.9031083; 139.7176028座標:北緯35度54分11.19秒東経139度43分3.37秒﻿ / ﻿北緯35.9031083度 東経139.7176028度﻿ /35.9031083; 139.7176028","公益財団法人埼玉県公園緑地協会","天然芝","2001年10月6日","オーロラビジョン2基","平均2,000ルクス(ハイビジョン放送対応)","105 m x 68 m","埼玉県県土整備部スタジアム施設課（設計・監理）、梓設計（管理）","鹿島建設（施工建築）","","約356億円（設計価格 約404億円）（用地費等含む公園整備総額766億円）","1998年5月9日","","","","",""
"御崎公園球技場","[ノエビアスタジアム神戸（御崎公園球技場）※1] 御崎公園球技場 （みさきこうえんきゅうぎじょう、Misaki Park Stadium）は、 兵庫県 神戸市 兵庫区 の 御崎公園 内にある 球技場 である。施設は神戸市が所有し、 日本プロサッカーリーグ （Jリーグ）・ ヴィッセル神戸 の運営会社であり、 楽天 の子会社である楽天ヴィッセル神戸が 都市公園法 に基づく管理許可制度により運営管理を行っている。","https://ja.wikipedia.org/wiki/御崎公園球技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度39分24.15秒東経135度10分8.27秒","兵庫県神戸市兵庫区御崎町1-2-2","神戸市","北緯34度39分24.15秒東経135度10分8.27秒﻿ / ﻿北緯34.6567083度 東経135.1689639度﻿ /34.6567083; 135.1689639座標:北緯34度39分24.15秒東経135度10分8.27秒﻿ / ﻿北緯34.6567083度 東経135.1689639度﻿ /34.6567083; 135.1689639","楽天ヴィッセル神戸","SISGrass","2001年10月（竣工）","LED方式 2面","","105 x 68 m","大林組・神戸製鋼所JV","大林組・神戸製鋼所JV","","230億円","1999年10月","","","","",""
"札幌ドーム","[札幌ドーム] 日本で唯一の完全屋内天然芝 サッカースタジアム であり  、天然芝サッカー場移動方式「ホヴァリングシステム」を世界で初めて採用した  。このシステムにより サッカー 用 天然芝 グラウンドと 野球 用 人工芝 グラウンドの併用が可能となっている。「第44回 BCS賞 」  ・平成14年度（2002年）「 赤レンガ建築賞 」受賞。","https://ja.wikipedia.org/wiki/札幌ドーム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯43度0分54.46秒東経141度24分35.18秒","北海道札幌市豊平区羊ケ丘1","札幌市","","","天然芝（サッカー）人工芝（野球）","2001年（平成13年）6月2日","","","","原広司、アトリエ・ファイ建築研究所、アトリエブンク","大成建設、竹中工務店、シャール・ボヴィス共同企業体","","約422億円","1998年（平成10年）","","","","",""
"宮城スタジアム","[ひとめぼれスタジアム宮城（宮城スタジアム）] 宮城スタジアム （みやぎスタジアム）は、 宮城県 宮城郡 利府町 の 宮城県総合運動公園 （グランディ・21）内にある 陸上競技場 兼 サッカー 球技場 。宮城県が建設・整備し、（公財）宮城県スポーツ振興財団を筆頭とする「G21指定管理グループ」が 指定管理者 として管理を行っている。","https://ja.wikipedia.org/wiki/宮城スタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯38度20分12.913秒東経140度57分11.185秒","宮城県宮城郡利府町菅谷字舘40-1","宮城県","北緯38度20分12.913秒東経140度57分11.185秒﻿ / ﻿北緯38.33692028度 東経140.95310694度﻿ /38.33692028; 140.95310694座標:北緯38度20分12.913秒東経140度57分11.185秒﻿ / ﻿北緯38.33692028度 東経140.95310694度﻿ /38.33692028; 140.95310694","G21指定管理グループ（（公財）宮城県スポーツ振興財団・同和興業・セントラルスポーツ）（指定管理者）","天然芝","2000年（平成12年）3月31日","1基","1500lx","107m× 71m","針生・阿部共同アトリエ","奥村組","","約270億円","1996年（平成8年）10月","","","","",""
"横浜国際総合競技場","[日産スタジアム（横浜国際総合競技場）] 日産自動車 （ 横浜F・マリノス の親会社）が 命名権 （ネーミングライツ）を取得しており、 2005年 3月1日 より「 日産スタジアム 」（にっさんスタジアム、略称「日産ス」）の呼称を使用している（ 後述 ）。","https://ja.wikipedia.org/wiki/横浜国際総合競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度30分37.01秒東経139度36分22.19秒","神奈川県横浜市港北区小机町3300","横浜市","北緯35度30分37.01秒東経139度36分22.19秒﻿ / ﻿北緯35.5102806度 東経139.6061639度﻿ /35.5102806; 139.6061639座標:北緯35度30分37.01秒東経139度36分22.19秒﻿ / ﻿北緯35.5102806度 東経139.6061639度﻿ /35.5102806; 139.6061639","横浜市スポーツ協会・横浜マリノス・管理JV共同事業体","天然芝 (107 m x 72 m)","1998年","2基","1500 - 2000ルクス（ゴール前）","105 m × 68 m","松田平田設計・東畑建築事務所共同企業体","竹中工務店・奈良建設共同企業体ほか","","総工費約603億円","1994年","","","","",""
"新潟スタジアム","[デンカビッグスワンスタジアム（新潟スタジアム）※2] 新潟スタジアム （にいがたスタジアム）は、 新潟県 新潟市 中央区 の 鳥屋野潟公園 のうち、 新潟県スポーツ公園 の園内に所在する 陸上競技場 。 球技場 としても使用される。 東京都 中央区 に本社を置く デンカ株式会社（旧・電気化学工業） が 施設命名権 を取得しており、 2014年 1月1日 から デンカビッグスワンスタジアム の呼称を使用している。","https://ja.wikipedia.org/wiki/新潟スタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯37度52分57.41秒東経139度03分33.01秒","新潟市中央区清五郎67番地12","新潟県","北緯37度52分57.41秒東経139度03分33.01秒﻿ / ﻿北緯37.8826139度 東経139.0591694度﻿ /37.8826139; 139.0591694座標:北緯37度52分57.41秒東経139度03分33.01秒﻿ / ﻿北緯37.8826139度 東経139.0591694度﻿ /37.8826139; 139.0591694","アルビレックス新潟・都市緑花センターグループ（指定管理者）","天然芝（107m x 72m）","2001年4月29日","2基","","105m x 68m","日建設計","鹿島建設・福田組・加賀田組JV清水建設・本間組・丸運建設JV大成建設・第一建設工業・ロッテ建設JV","","","","","","","",""
"静岡県小笠山総合運動公園スタジアム","[静岡県小笠山総合運動公園スタジアム(エコパスタジアム)] 愛称は、 エコパスタジアム や 静岡スタジアム エコパ （しずおかスタジアム エコパ、 英語 : Sports Park ECOPA ）。「エコパ (ECOPA)」は、 小笠山 に近いことから「 山彦 」を意味する「Echo」と、友達・仲間、地域・自然との共生を図るという意味合いを込めて「友」を意味する「Pal」から合成した造語である。","https://ja.wikipedia.org/wiki/静岡県小笠山総合運動公園スタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度44分35.55秒東経137度58分13.83秒","静岡県袋井市愛野2300-1","静岡県","北緯34度44分35.55秒東経137度58分13.83秒﻿ / ﻿北緯34.7432083度 東経137.9705083度﻿ /34.7432083; 137.9705083座標:北緯34度44分35.55秒東経137度58分13.83秒﻿ / ﻿北緯34.7432083度 東経137.9705083度﻿ /34.7432083; 137.9705083","静岡県サッカー協会グループ","天然芝（106 m × 72 m）","2001年3月26日","2基","","105 m × 68 m","佐藤総合計画・斎藤公男JV","鹿島・竹中・若杉・丸明JV住友・戸塚JV大林・木内・須山・川島JV銭高・石川JV大平・岡田・明管JV西原・浅岡・永井JV浅岡工業トーエネック明光・池戸JV新生・前島・川北JV","","292億5493百万円","1998年3月","","","","",""
"長居陸上競技場","[ヤンマースタジアム長居（長居陸上競技場）] 長居陸上競技場 （ながいりくじょうきょうぎじょう）は、 大阪府 大阪市 東住吉区 の 長居公園 内にある 陸上競技場 。 球技場 としても使用される。施設は大阪市が所有し、公園内の各施設共々 指定管理者 として、わくわくパーククリエイト（ ヤンマーホールディングス 100％出資の子会社）を代表企業とし、セイレイ興産、ヤンマーホールディングス、（一財）大阪スポーツみどり財団、 タイムズ24 、（公財）大阪ユースホステル協会の計6団体で構成される「わくわくパークプロジェクトチーム」が運営管理を行っている   。 日本プロサッカーリーグ （Jリーグ）の セレッソ大阪 がホームスタジアムとして使用している。","https://ja.wikipedia.org/wiki/長居陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","大阪府大阪市東住吉区長居公園1-1","大阪市","","わくわくパークプロジェクトチーム","天然芝","1964年","オーロラビジョン他","","105m × 68m（天然芝フィールドは107m × 71m","大阪市都市整備局営繕部昭和設計（全面改築時）","竹中工務店フジタ鴻池組（全面改築時）","1992年9月","401億円（改築時）","","1996年5月","","","",""
"大分スポーツ公園総合競技場","[昭和電工ドーム大分（大分スポーツ公園総合競技場）※2] 愛称は一般公募によって決まった「 ビッグアイ 」である。 2019年 3月より 東京都 に本社を置き、大分県内で 大分コンビナート を操業する 化学工業 会社の 昭和電工 が命名権を取得し、「 昭和電工ドーム大分 」（しょうわでんこうドームおおいた、 英語 : SHOWA DENKO DOME OITA 、略称: 昭和電ド）の呼称を使用している（ 後述 ）。","https://ja.wikipedia.org/wiki/大分スポーツ公園総合競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯33度12分3.2秒東経131度39分30.19秒","大分県大分市大字横尾1351番地","大分県","北緯33度12分3.2秒東経131度39分30.19秒﻿ / ﻿北緯33.200889度 東経131.6583861度﻿ /33.200889; 131.6583861座標:北緯33度12分3.2秒東経131度39分30.19秒﻿ / ﻿北緯33.200889度 東経131.6583861度﻿ /33.200889; 131.6583861","株式会社大宣","天然芝（107m × 71m）","2001年3月","1基","1,500ルクス","105m × 68m","KTグループJV(黒川紀章建築都市設計事務所・竹中工務店・さとうベネック・高山総合工業)","KTグループJV(竹中工務店・さとうベネック・高山総合工業)","","251億円","1998年4月","","","","",""
