"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","コース数","標高","標高差","索道数","公式サイト","最大傾斜","最長滑走距離","コース面積","テレインパーク","開業日","運営者","造設地形","旧名","所有者","正式名称","指定管理者","ナイター営業","面積"
"厚田村スキー場 (存在しないページ)","[厚田村スキー場（2008年廃止）]","https://ja.wikipedia.org/w/index.php?title=厚田村スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"荒井山スキー場","[荒井山スキー場（2006年廃止）] 荒井山 （あらいやま）は、 北海道 札幌市 中央区 宮の森 に位置する山  。標高は185メートル  。山名は土地の所有者だった荒井保吉に由来する  。","https://ja.wikipedia.org/wiki/荒井山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度03分6.6秒東経141度17分35.3秒","北海道札幌市中央区","","185m","","","","","","","","","","","","","","","",""
"石狩平原スキー場 (存在しないページ)","[石狩平原スキー場]","https://ja.wikipedia.org/w/index.php?title=石狩平原スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"恵庭市民スキー場 (存在しないページ)","[恵庭市民スキー場]","https://ja.wikipedia.org/w/index.php?title=恵庭市民スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"クラッセスノーパーク (存在しないページ)","[クラッセスノーパーク]","https://ja.wikipedia.org/w/index.php?title=クラッセスノーパーク&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"札幌スキー場","[札幌スキー場（廃止）] 札幌スキー場 （さっぽろスキーじょう）は 北海道 札幌市 南区 藻岩山 にかつて存在した スキー場 である。同じく藻岩山に存在する 札幌藻岩山スキー場 とは別物である。","https://ja.wikipedia.org/wiki/札幌スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度1分40秒東経141度19分38秒","北海道札幌市南区","","","","","","","","","","1946年","","藻岩山","","","","","",""
"札幌国際スキー場","[札幌国際スキー場] オープン当初から都市型の日帰りスキー場として北海道内外から集客しており  、営業期間も例年11月中旬から5月上旬までと札幌近郊のスキー場では比較的長くなっている。スキーセンター前のゲレンデにある「メルヘンの鐘」はスキー場オープンの年が「 札幌市時計台 」完成からちょうど100年に当たる年であることから、これを記念して「さっぽろ手づくり協会」が製作した  。","https://ja.wikipedia.org/wiki/札幌国際スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度04分20秒東経141度04分58秒","〒061-2301札幌市南区定山渓937先","7本","1,100 m - 630 m","470 m","5本","札幌国際スキー場","30度","3,600 m","65 ha","","","","","","","","","",""
"サッポロテイネ","[サッポロテイネ] 夏季4月末から10月初旬までの土曜・日曜・祝祭日と夏休み期間中毎日に営業。HBC・三菱マテリアル時代は入場無料・回数券方式で営業していたが  、加森観光による買収後は入場券方式によるフリーパス制とした  。2010年度より休園となり営業を終了している。","https://ja.wikipedia.org/wiki/サッポロテイネ","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度05分53秒東経141度12分37秒","〒006-0029札幌市手稲区手稲本町593","15本","1,023 m - 340 m","683 m","6本","サッポロテイネ","38度","6,000 m","76 ha","","","","","","","","","",""
"さっぽろばんけいスキー場","[さっぽろばんけいスキー場] 札幌市中心部から車で約20分の距離に位置するスキー場であり、夜は ナイター 照明によって22時まで営業している。初心者やファミリー向けのコースから上級者までのコースがあるほか、「スノーパーク」ではスノーチューブやソリを楽しむことができる。","https://ja.wikipedia.org/wiki/さっぽろばんけいスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度01分50秒東経141度16分41秒","〒064-0945札幌市中央区盤渓410","17本","483 m - 200 m","283 m","6本","さっぽろばんけいスキー場","33度","1,200 m","","","","","","","","","","",""
"札幌藻岩山スキー場","[札幌藻岩山スキー場] 1960年 （ 昭和 35年）営業開始。かつて 藻岩山 にあった「 札幌スキー場 」とは別の斜面にあり  、北海道内のスキー場では珍しくスキーヤーのみが滑走可能なゲレンデとなっている（スノーボード全面禁止）。山を挟んで北斜面と南斜面があり、それぞれの斜面へ行くには スキー か車での移動となる。","https://ja.wikipedia.org/wiki/札幌藻岩山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯43度00分45秒東経141度19分59秒","〒005-0040札幌市南区藻岩下1991","10本","531 m - 173 m","358 m","5本","札幌藻岩山スキー場","38度","2,620 m","","","","","","","","","","",""
