"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","位置","管理運営","公式サイト","所有者","専門分野","面積","アクセス","正式名称","園長","頭数","愛称","前身","種数","来園者数","主な飼育動物","分類","事業主体"
"IPCわんわん動物園","[IPCわんわん動物園] IPCわんわん動物園 （アイピーシーわんわんどうぶつえん）は、 愛知県 岡崎市 大平町 にある 動物園 。 1994年 （戌年）の 1月 に開園した   。","https://ja.wikipedia.org/wiki/IPCわんわん動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度56分18.97秒東経137度11分12.81秒","〒444-0007愛知県岡崎市大平町川田46-1","1994年（平成5年）1月","北緯34度56分18.97秒東経137度11分12.81秒﻿ / ﻿北緯34.9386028度 東経137.1868917度﻿ /34.9386028; 137.1868917","株式会社アイピーシー","IPCわんわん動物園","","犬","","","","","","","","","","","",""
"赤塚山公園","[赤塚山公園] 赤塚山公園 （あかつかやまこうえん）は、 愛知県 豊川市 にある 総合公園  。","https://ja.wikipedia.org/wiki/赤塚山公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度50分50.1秒東経137度21分28.37秒","日本愛知県豊川市市田町東堤上1-30","1993年7月","","","http://www.akatsukayama.jp/","","","25.1ha","","","","","","","","","","総合公園",""
"秋田市大森山動物園","[秋田市大森山動物園] 秋田市大森山動物園 （あきたしおおもりやまどうぶつえん）は、 秋田県 秋田市 浜田 字潟端にある秋田市立の 動物園 。愛称は「ミルヴェ」  。","https://ja.wikipedia.org/wiki/秋田市大森山動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯39度40分19.74秒東経140度04分38.58秒","〒010-1654秋田県秋田市浜田字潟端154番地","1973年（昭和48年）9月1日","北緯39度40分19.74秒東経140度04分38.58秒﻿ / ﻿北緯39.6721500度 東経140.0773833度﻿ /39.6721500; 140.0773833座標:北緯39度40分19.74秒東経140度04分38.58秒﻿ / ﻿北緯39.6721500度 東経140.0773833度﻿ /39.6721500; 140.0773833","秋田市商工部","","秋田市","総合","","JR秋田新幹線奥羽本線・羽越本線秋田駅JR羽越本線・新屋駅近くの西部SCから大森山動物園行きバス（終点下車）","秋田市大森山動物園","","","ミルヴェ","秋田市児童動物園","","","","",""
"秋吉台サファリランド","[秋吉台サファリランド] 秋吉台サファリランド （あきよしだいサファリランド）は、 山口県 美祢市 美東町 にある サファリパーク 形式の 動物園 および 遊園地 。","https://ja.wikipedia.org/wiki/秋吉台サファリランド","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度17分04秒東経131度19分58秒","〒754-0302山口県美祢市美東町赤1212","1977年","北緯34度17分04秒東経131度19分58秒﻿ / ﻿北緯34.28431度 東経131.33289度﻿ /34.28431; 131.33289座標:北緯34度17分04秒東経131度19分58秒﻿ / ﻿北緯34.28431度 東経131.33289度﻿ /34.28431; 131.33289","","www.safariland.jp","田中金属株式会社","","","絵堂ICより5分新山口駅から防長交通バスで秋芳洞を経て約1時間、東萩駅から防長交通バスで約45分","秋吉台自然動物公園","池辺祐介","","","","","","","",""
"阿蘇カドリー・ドミニオン","[阿蘇カドリー・ドミニオン] 阿蘇カドリー・ドミニオン （あそカドリー・ドミニオン、Cuddly Dominion）は、 熊本県 阿蘇市 にある クマ を中心とした 動物園 （ テーマパーク ）である。","https://ja.wikipedia.org/wiki/阿蘇カドリー・ドミニオン","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯32度55分51.6秒東経131度4分0.2秒","〒869-2225熊本県阿蘇市黒川2163","1973年7月1日","北緯32度55分51.6秒東経131度4分0.2秒﻿ / ﻿北緯32.931000度 東経131.066722度﻿ /32.931000; 131.066722座標:北緯32度55分51.6秒東経131度4分0.2秒﻿ / ﻿北緯32.931000度 東経131.066722度﻿ /32.931000; 131.066722","","www.cuddly.co.jp","株式会社阿蘇熊牧場","動物園、テーマパーク、クマ牧場","","JR豊肥本線 阿蘇駅下車。熊本方面へ約1.5km","","宮沢厚","800頭","カドリー・ドミニオン","","100種","410,857(H20)","ヒグマなどクマをはじめ多種","",""
"熱川バナナワニ園","[熱川バナナワニ園] 熱川バナナワニ園 （あたがわバナナワニえん）とは、 静岡県 賀茂郡 東伊豆町 奈良本にある ワニ や 熱帯 性 植物 を主に扱う動植物園。","https://ja.wikipedia.org/wiki/熱川バナナワニ園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度48分58秒東経139度4分4秒","〒413-0302静岡県賀茂郡東伊豆町奈良本1253-10","1958年（昭和33年）9月20日","北緯34度48分58秒東経139度4分4秒﻿ / ﻿北緯34.81611度 東経139.06778度﻿ /34.81611; 139.06778座標:北緯34度48分58秒東経139度4分4秒﻿ / ﻿北緯34.81611度 東経139.06778度﻿ /34.81611; 139.06778","株式会社熱川バナナワニ園","http://bananawani.jp/","","ワニ・レッサーパンダ・熱帯植物","","伊豆急行線伊豆熱川駅徒歩","","","","バナナワニ園","","","","ワニ、レッサーパンダ、アマゾンマナティー","",""
"足立区生物園","[足立区生物園] 足立区生物園 （あだちくせいぶつえん）は、 東京都 足立区 の 元渕江公園 内にある 生物園 （ 動物園 ・ 水族館 ）。","https://ja.wikipedia.org/wiki/足立区生物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度47分32.8秒東経139度48分26秒","〒121-0064東京都足立区保木間二丁目17番1号","1993年10月1日","北緯35度47分32.8秒東経139度48分26秒﻿ / ﻿北緯35.792444度 東経139.80722度﻿ /35.792444; 139.80722座標:北緯35度47分32.8秒東経139度48分26秒﻿ / ﻿北緯35.792444度 東経139.80722度﻿ /35.792444; 139.80722","体験型いきものパークマネジメント共同事業体（株式会社自然教育研究センター、東武緑地株式会社、株式会社松竹園）","http://www1.adachi.ne.jp/seibutu/","足立区","","7,200m2","","足立区生物園","","","生物園","","","","","",""
"アドベンチャーワールド","[アドベンチャーワールド] 広大なサファリゾーンでは、1周約1500m（約25分）の 列車型牽引バス 「ケニア号」・1人〜3人乗りの 自転車 ・ 2階建てバス ・ゴルフ用カートや ジープ などの乗物を使って周遊する。ケニア号以外はすべてオプションであり、窓口で料金を支払う必要がある。徒歩でも1.5kmほどのコースを自由に散策することができる。ただし ライオン や クマ などの猛獣ゾーンへはゲートがあり、徒歩・自転車・カートでの立ち入りができない。","https://ja.wikipedia.org/wiki/アドベンチャーワールド","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯33度40分0.16秒 東経135度22分22.49秒","","1978年","","株式会社アワーズ","","民間","サファリパーク・ジャイアントパンダの繁殖","","","","","","","","","","","",""
"阿仁熊牧場","[阿仁熊牧場] 阿仁熊牧場 （あにくまぼくじょう）は、 秋田県 北秋田市 の「阿仁マタギの里」内にある クマ の 動物園 （ テーマパーク 、 観光牧場 ）。","https://ja.wikipedia.org/wiki/阿仁熊牧場","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯39度54分47秒東経140度32分10秒","〒018-4731秋田県北秋田市阿仁打当字陳場1番地39","1990年","北緯39度54分47秒東経140度32分10秒﻿ / ﻿北緯39.91306度 東経140.53611度﻿ /39.91306; 140.53611座標:北緯39度54分47秒東経140度32分10秒﻿ / ﻿北緯39.91306度 東経140.53611度﻿ /39.91306; 140.53611","北秋田市","","北秋田市","動物園（クマ牧場）","","秋田内陸線「阿仁マタギ駅」下車2km","北秋田市阿仁熊牧場","小松武志","65頭・ツキノワグマ48頭・ヒグマ17頭","くまくま園","","2種(ツキノワグマ,ヒグマ)","1万9044人　Ｈ27","ツキノワグマ","",""
"奄美アイランド植物園","[奄美アイランド植物園] 奄美アイランド植物園 （あまみアイランドしょくぶつえん） は、 鹿児島県 奄美市 住用町 大字山間811-1にある 動物園 および 植物園 。財団法人奄美文化財団が運営している。","https://ja.wikipedia.org/wiki/奄美アイランド植物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯28度14分45.8秒東経129度24分35.2秒","〒894-1304鹿児島県奄美市住用町大字山間811-1","","北緯28度14分45.8秒東経129度24分35.2秒﻿ / ﻿北緯28.246056度 東経129.409778度﻿ /28.246056; 129.409778座標:北緯28度14分45.8秒東経129度24分35.2秒﻿ / ﻿北緯28.246056度 東経129.409778度﻿ /28.246056; 129.409778","","","","","","","奄美アイランド植物園","","","","","","","","","財団法人奄美文化財団"
