"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","専門分野","事業主体","管理運営","外部リンク","正式名称","延床面積","前身","アクセス","館長","愛称","建物設計","来館者数","収蔵作品数","閉館","公式サイト","研究職員"
"旭川市科学館 サイパル","[旭川市科学館 サイパル] 旭川市科学館 サイパル （あさひかわしかがくかん さいぱる）は、 北海道 上川支庁 管内、 旭川市 の中心部にある北海道最大級の 科学館 。 プラネタリウム などの施設を備える。","https://ja.wikipedia.org/wiki/旭川市科学館_サイパル","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度45分22.7秒東経142度22分13.8秒","〒078-8391北海道旭川市宮前1条3丁目3番32号","北緯43度45分22.7秒東経142度22分13.8秒﻿ / ﻿北緯43.756306度 東経142.370500度﻿ /43.756306; 142.370500","2005年（平成17年）7月23日","科学館","旭川市","","旭川市科学館 サイパル","","","","","","サイパル","","","","","",""
"旭川市博物館","[旭川市博物館] 旭川市大雪クリスタルホール （あさひかわしたいせつクリスタルホール）は、 北海道 旭川市 にある複合施設（ 社会教育施設 ）。旭川市博物館、旭川市音楽堂、旭川市国際会議場によって構成される。「 優良ホール100選 」選定  。","https://ja.wikipedia.org/wiki/旭川市博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度45分36.48秒東経142度21分3.71秒","〒070-0083北海道旭川市神楽3条7丁目","","","","","旭川市音楽堂等運営協議会","","","9,698.78 m²","","","","","","","","","",""
"足寄動物化石博物館","[足寄動物化石博物館] 足寄動物化石博物館 （あしょろどうぶつかせきはくぶつかん、Ashoro Museum of Paleontology）は、 北海道 足寄郡 足寄町 にある 博物館 。設置者は足寄町。","https://ja.wikipedia.org/wiki/足寄動物化石博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度13分52.03秒東経143度32分36.14秒","〒089-3727日本北海道足寄郡足寄町郊南1丁目29-25","北緯43度13分52.03秒東経143度32分36.14秒﻿ / ﻿北緯43.2311194度 東経143.5433722度﻿ /43.2311194; 143.5433722座標:北緯43度13分52.03秒東経143度32分36.14秒﻿ / ﻿北緯43.2311194度 東経143.5433722度﻿ /43.2311194; 143.5433722","1998年7月1日","動物の化石","","足寄町","http://www.museum.ashoro.hokkaido.jp/","足寄動物化石博物館","2,087m²","","","","フォストリーあしょろ","株式会社アトリエブンク株式会社丹青社","10,270人（2008年）13,596人（2009年）15,003人（2010年）","","","",""
"網走市立郷土博物館","[網走市立郷土博物館] 網走市立郷土博物館 （あばしりしりつきょうどはくぶつかん）は、 北海道 網走市 にある郷土 博物館 である。 1936年 （昭和11年）竣工の本館建物は、北海道を代表する建築家 田上義也 の設計。分館に 1966年 （昭和41年）に開館したモヨロ貝塚館（ 2013年 リニューアルオープン）がある。","https://ja.wikipedia.org/wiki/網走市立郷土博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯44度01分03.8秒東経144度16分08.8秒","〒093-0041北海道網走市桂町1丁目1番3号","北緯44度01分03.8秒東経144度16分08.8秒﻿ / ﻿北緯44.017722度 東経144.269111度﻿ /44.017722; 144.269111座標:北緯44度01分03.8秒東経144度16分08.8秒﻿ / ﻿北緯44.017722度 東経144.269111度﻿ /44.017722; 144.269111","1936年（昭和11年）11月3日","","網走市","","網走市立郷土博物館","","","北見郷土館","","","","田上義也","","","","",""
"石原裕次郎記念館","[石原裕次郎記念館] 石原裕次郎記念館 （いしはらゆうじろうきねんかん）は、かつて 北海道 小樽市 にあった 石原裕次郎 に関する記念館。","https://ja.wikipedia.org/wiki/石原裕次郎記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","","〒047-0008日本北海道小樽市築港5-10","","1991年7月22日","石原裕次郎","石原プロモーション","石原インターナショナル石原裕次郎記念館","小樽 石原裕次郎記念館","","3,857 m²","","北海道中央バス「小樽港マリーナ・石原裕次郎記念館」バス停降車北海道旅客鉄道（JR北海道）小樽築港駅から徒歩約10分","浅野謙治郎","","山下設計","","約20,000点","2017年8月31日","",""
"井上靖記念館","[井上靖記念館] 井上靖記念館 （いのうえやすしきねんかん）は、 北海道 旭川市 にある 博物館 。旭川市出身の作家、 井上靖 を記念して造られた施設である。所在地は旭川市春光5条7丁目5番41号、 中原悌二郎記念旭川市彫刻美術館 に隣接する。","https://ja.wikipedia.org/wiki/井上靖記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度48分18.8秒東経142度21分49秒","〒070-0875旭川市春光5条7丁目5-41","北緯43度48分18.8秒東経142度21分49秒﻿ / ﻿北緯43.805222度 東経142.36361度﻿ /43.805222; 142.36361座標:北緯43度48分18.8秒東経142度21分49秒﻿ / ﻿北緯43.805222度 東経142.36361度﻿ /43.805222; 142.36361","1993年(平成5年)7月24日","文学","旭川市","特定非営利活動法人 旭川文学資料友の会","井上靖記念館","井上靖記念館","445.16m2","","","","","","","470点","","",""
"岩見沢郷土科学館","[岩見沢郷土科学館] 岩見沢郷土科学館 （いわみざわきょうどかがくかん）は、 北海道 岩見沢市 にある 博物館 ・ 科学館 。 いわみざわ公園 内にある。","https://ja.wikipedia.org/wiki/岩見沢郷土科学館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯43度09分41.6秒東経141度47分1.3秒","〒068-0833日本北海道岩見沢市志文町809番地1","北緯43度09分41.6秒東経141度47分1.3秒﻿ / ﻿北緯43.161556度 東経141.783694度﻿ /43.161556; 141.783694","1992年","郷土史・自然科学","","岩見沢市","岩見沢郷土科学館","","","","","","","","","","","",""
"江差町郷土資料館","[江差町郷土資料館] 江差町郷土資料館 （えさしちょうきょうどしりょうかん）は、道指定有形文化財である「旧檜山爾志郡役所庁舎」（きゅうひやまにしぐんやくしょちょうしゃ）を活用した博物館施設である。","https://ja.wikipedia.org/wiki/江差町郷土資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯41度52分05.5秒 東経140度7分43.5秒","","","","","","","","","","","","","","","","","","",""
"エドウィン・ダン記念館","[エドウィン・ダン記念館] エドウィン・ダン記念館 （エドウィン・ダンきねんかん）は、明治時代の お雇い外国人 、 エドウィン・ダン を記念し紹介する施設で、 北海道 札幌市 南区 真駒内 泉町のエドウィン・ダン記念公園内にある。ダンの事績と札幌開拓の歴史を示す。記念館の建物は、真駒内種畜産場事務所を移築したもので、木造、白塗りで緑の屋根を持つ。","https://ja.wikipedia.org/wiki/エドウィン・ダン記念館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯42度59分20秒東経141度21分08秒","日本北海道札幌市南区真駒内泉町1丁目","北緯42度59分20秒東経141度21分08秒﻿ / ﻿北緯42.98889度 東経141.35222度﻿ /42.98889; 141.35222","1969年（昭和44年）","","","エドウィン・ダン記念館運営委員会","エドウィン・ダン記念館","","","","","","","北海道事業管理局","","","","",""
"恵庭市郷土資料館","[恵庭市郷土資料館] 恵庭市郷土資料館 （えにわしきょうどしりょうかん）は、 北海道 恵庭市 にある 郷土 博物館 である。","https://ja.wikipedia.org/wiki/恵庭市郷土資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯42度54分33秒東経141度35分59.1秒","〒061-1375北海道恵庭市南島松157-2","北緯42度54分33秒東経141度35分59.1秒﻿ / ﻿北緯42.90917度 東経141.599750度﻿ /42.90917; 141.599750座標:北緯42度54分33秒東経141度35分59.1秒﻿ / ﻿北緯42.90917度 東経141.599750度﻿ /42.90917; 141.599750","1990年11月8日","恵庭市の歴史と文化","恵庭市","恵庭市","","","1,036.74㎡","","","","","","","","","",""
