"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","築造時期","規模","形状","史跡","出土品","地図","埋葬施設","所属","被葬者","特記事項","別名","有形文化財","外部リンク","国","都道府県","面積","地方"
"言語","[言語] 利根川 は 大水上山 を水源として 関東地方 を 北 から 東 へ流れ、 太平洋 に注ぐ 河川 。 河川法 に基づく 国土交通省 政令 により 1965年 （ 昭和 40年）に指定された 一級河川 ・利根川 水系 の 本流 である。「 坂東太郎 」の異名を持つ。河川の規模としては日本最大級の規模を持ち、 東京都 を始めとした 首都圏 の水源として日本の経済活動上重要な役割を有する、日本を代表する河川の一つである。","https://ja.wikipedia.org","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"江別古墳群","[江別古墳群（江別市、末期古墳、日本最北端の古墳、国の史跡）] 古墳時代 に古墳が盛んに造られたのは 畿内 を中心として九州南部から東北南部にかけての一帯であるが、北海道内にもわずかながら古墳は現存している。ただし、それは古墳時代（3世紀-6世紀）のものではなく、 蝦夷征討 の盛んに行われた 飛鳥時代 、 奈良時代 、 平安時代 前半すなわち 律令時代 に築造され、当時この地域で栄えていたといわれる 擦文文化 前半の時期に相当する。北海道の古墳で、現在発見されているのは 恵庭市  ・ 江別市 および 札幌市  においてであり、なかでも江別古墳群は最北端に位置している。","https://ja.wikipedia.org/wiki/江別古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯43度7分1.5秒東経141度30分58.9秒","〒067-0032北海道江別市元江別858番4","北緯43度7分1.5秒東経141度30分58.9秒﻿ / ﻿北緯43.117083度 東経141.516361度﻿ /43.117083; 141.516361﻿ (江別古墳群)座標:北緯43度7分1.5秒東経141度30分58.9秒﻿ / ﻿北緯43.117083度 東経141.516361度﻿ /43.117083; 141.516361﻿ (江別古墳群)","飛鳥、奈良、平安時代前期","","末期古墳","国の史跡","","江別古墳群","","","","日本最北の古墳群","後藤遺跡","","","","","",""
"阿光坊古墳群","[阿光坊古墳群（上北郡おいらせ町、末期古墳、国の史跡）] 本古墳群は、阿光坊遺跡、天神山遺跡、十三森遺跡で構成されており、その総称である。","https://ja.wikipedia.org/wiki/阿光坊古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯40度36分34秒東経141度22分34秒","〒039-2165青森県上北郡おいらせ町105-40","北緯40度36分34秒東経141度22分34秒﻿ / ﻿北緯40.60944度 東経141.37611度﻿ /40.60944; 141.37611﻿ (阿光坊古墳群)座標:北緯40度36分34秒東経141度22分34秒﻿ / ﻿北緯40.60944度 東経141.37611度﻿ /40.60944; 141.37611﻿ (阿光坊古墳群)","飛鳥、奈良、平安時代前期","","末期古墳","国の史跡2007（平成19）年","刀、玉類、装身具、馬具、農工具など","阿光坊古墳群","","","","","","","","","","",""
"丹後平古墳群","[丹後平古墳群（八戸市、末期古墳、国の史跡）] 八戸市から南西に少し離れた標高90～100メートルの尾根に分布している。南側から丹後平三遺跡・丹後平古墳群・丹後平一遺跡があり、群集した 円墳 群。円墳以外に、周溝を伴わない 土坑墓 や地下式土坑墓があり、馬の埋葬墓もあった。","https://ja.wikipedia.org/wiki/丹後平古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯40度28分52.0秒東経141度28分1.2秒","青森県八戸市根城字丹後平","北緯40度28分52.0秒東経141度28分1.2秒﻿ / ﻿北緯40.481111度 東経141.467000度﻿ /40.481111; 141.467000","7世紀後半から9世紀後半","100基以上","末期古墳","1999年（平成11年）1月14日国指定","","丹後平古墳群青森県内の位置","","","","","","出土品195点。2018年（平成30年）10月31日国指定","","","","",""
"角塚古墳","[角塚古墳（奥州市、日本列島北端の前方後円墳、国の史跡）] 通称として「塚の山」・「一本杉」とも  。前方後円墳としては岩手県では唯一、かつ日本の最北端に位置する古墳である。","https://ja.wikipedia.org/wiki/角塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯39度8分29.42秒東経141度5分37.50秒","岩手県奥州市胆沢南都田","北緯39度8分29.42秒東経141度5分37.50秒﻿ / ﻿北緯39.1415056度 東経141.0937500度﻿ /39.1415056; 141.0937500座標:北緯39度8分29.42秒東経141度5分37.50秒﻿ / ﻿北緯39.1415056度 東経141.0937500度﻿ /39.1415056; 141.0937500","5世紀後半-6世紀初頭","墳丘長43-45m高さ4m（後円部）","前方後円墳","国の史跡「角塚古墳」","円筒埴輪・人物埴輪・馬埴輪","角塚古墳","不明","","","日本最北端の前方後円墳","","","","","","",""
"江釣子古墳群","[江釣子古墳群（北上市、末期古墳、国の史跡）] 江釣子古墳群 （えづりここふんぐん）は、 岩手県 北上市 の上江釣子・北鬼柳・和賀町長沼に所在する 古墳時代 後期後半の 古墳群 である。 蝦夷塚 とも呼ばれる。","https://ja.wikipedia.org/wiki/江釣子古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯39度17分29.1秒 東経141度4分56.5秒","","","","","","","","","","","","","","","","","","",""
"藤沢狄森古墳群 (存在しないページ)","[藤沢狄森古墳群（紫波郡矢巾町、末期古墳、県史跡）]","https://ja.wikipedia.org/w/index.php?title=藤沢狄森古墳群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浮島古墳群 (存在しないページ)","[浮島古墳群（岩手町、末期古墳、県史跡）]","https://ja.wikipedia.org/w/index.php?title=浮島古墳群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩野山古墳群","[岩野山古墳群（南秋田郡五城目町、末期古墳、県史跡）] 岩野山古墳群は、 1960年 （ 昭和 35年）に耕作者によって発見されたのち、郷土史家の分銅志静の知るところとなって、地元で注目されることとなった。 遺跡 は、 八郎潟 東岸に南北にひろがる 洪積台地 のひとつ、通称「岩野山」に立地している。「岩野山」は、 出羽丘陵 より北西方にのびた 舌状台地 で、古墳群は標高36メートル前後の台地先端部に位置している。","https://ja.wikipedia.org/wiki/岩野山古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯39度56分02.6秒東経140度07分15.8秒","秋田県南秋田郡五城目町上樋口字樽沢","北緯39度56分02.6秒東経140度07分15.8秒﻿ / ﻿北緯39.934056度 東経140.121056度﻿ /39.934056; 140.121056座標:北緯39度56分02.6秒東経140度07分15.8秒﻿ / ﻿北緯39.934056度 東経140.121056度﻿ /39.934056; 140.121056","8世紀前葉から9世紀後葉","","末期古墳","1963年（昭和38年）2月5日県指定","","岩野山古墳群秋田県内の位置","","","","","","","","","","",""
"大崎市","[古墳文化の展開が見られた北限は、宮城県大崎市付近の大崎平野までである。] 後期旧石器時代 ないし 縄文時代 草創期～ 古墳時代 の遺跡 座散乱木遺跡 の発掘により3万年前からこの地域で人々が生活していた。 古墳時代 （ 4世紀 前後）に築造された東北地方最大級の 前方後円墳 青塚古墳の存在からこの地方では既に 稲作 を営む集団組織が存在し古墳を造営する程の力を持っていたと思われる。 飛鳥時代 （ 古墳時代 終末期 ） 7世紀 末～ 8世紀 頃（ 大化の改新 時期～）に 奥州 地方 （ 陸奥国 と 出羽国 ）現在の東北六県全域を統括する重要な拠点、官庁 名生館官衙遺跡 が置かれ 大崎地方 はすでに内国化されていた。このことから 794年 の 平安京 （ 京都 ） 遷都 よりも更に古い東北地方では最古の 1300年 以上の歴史と伝統ある地域で、 古川 が中心地であったことが分かる。 南北朝時代 （ 1354年 ）に 斯波家兼 （ 大崎氏 の始祖）が 奥州管領 に任命されその後、 伊達晴宗 が 奥州探題 に任命され 伊達政宗 もこの 役職 を自称してこの地を治めた。伊達政宗が築城し居城とした 岩出山城 、その後作られた 有備館 は現存する日本最古の学問所であり「世界 かんがい施設遺産 」に登録された 内川 、岩出山 凍り豆腐 や ずんだ は伊達政宗が整備開発したものであり、この ずんだ を使った ずんだ スイーツ が近年人気がでてきており宮城県民のソウルフードとなっている。日本人技術者の手だけで造られた日本初の100ｍ級アーチ式コンクリートダム 鳴子ダム は 土木学会選奨土木遺産 に登録されおり、人口湖の荒生湖は 栗駒国定公園 に指定されている。春には鳴子ダムの「すだれ放流」が風物詩になっている。2021年の「じゃらん」の全国道の駅グランプリで大崎市岩出山の「あ・ら・伊達な道の駅」が２年連続で利用者満足度「全国1位」に選ばれた。","https://ja.wikipedia.org/wiki/大崎市","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯38度34分37.6秒東経140度57分20.1秒","〒989-6188宮城県大崎市古川七日町1番1号北緯38度34分37.6秒東経140度57分20.1秒﻿ / ﻿北緯38.577111度 東経140.955583度﻿ /38.577111; 140.955583","","","","","","","","","","","","","","公式ウェブサイト","日本","宮城県","796.76km2","東北地方"
