"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"日本","[日本]","https://ja.wikipedia.org/wiki/日本","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"史跡","[史跡]","https://ja.wikipedia.org/wiki/史跡","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"文化財保護法","[文化財保護法]","https://ja.wikipedia.org/wiki/文化財保護法","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"文部科学大臣","[文部科学大臣]","https://ja.wikipedia.org/wiki/文部科学大臣","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"日本の特別史跡一覧","[日本の特別史跡一覧]","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"北海道・東北地方の史跡一覧","[北海道・東北地方の史跡一覧]","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"関東地方の史跡一覧","[関東地方の史跡一覧]","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"中部地方の史跡一覧","[中部地方の史跡一覧]","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"近畿地方の史跡一覧","[近畿地方の史跡一覧]","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"中国地方の史跡一覧","[中国地方の史跡一覧]","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"四国地方の史跡一覧","[四国地方の史跡一覧]","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"九州・沖縄地方の史跡一覧","[九州・沖縄地方の史跡一覧]","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"日本の特別史跡一覧","[日本の特別史跡一覧]","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"節を編集: 脚注","[編集]","https://ja.wikipedia.org/w/index.php?title=日本の史跡一覧&amp;action=edit&amp;section=1","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"節を編集: 関連項目","[編集]","https://ja.wikipedia.org/w/index.php?title=日本の史跡一覧&amp;action=edit&amp;section=2","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"Category:特別史跡","[特別史跡]","https://ja.wikipedia.org/wiki/Category:特別史跡","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"日本の特別名勝一覧","[日本の特別名勝一覧]","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"節を編集: 外部リンク","[編集]","https://ja.wikipedia.org/w/index.php?title=日本の史跡一覧&amp;action=edit&amp;section=3","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"特別:カテゴリ","[カテゴリ]","https://ja.wikipedia.org/wiki/特別:カテゴリ","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"Category:日本の史跡一覧","[日本の史跡一覧]","https://ja.wikipedia.org/wiki/Category:日本の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"このIPアドレスからなされた編集についての議論 [n]","[トーク]","https://ja.wikipedia.org/wiki/特別:トークページ","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"このIPアドレスからなされた編集の一覧 [y]","[投稿記録]","https://ja.wikipedia.org/wiki/特別:自分の投稿記録","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"アカウントを作成してログインすることをお勧めしますが、必須ではありません","[アカウント作成]","https://ja.wikipedia.org/w/index.php?title=特別:アカウント作成&amp;returnto=日本の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"ログインすることを推奨します。ただし、必須ではありません。 [o]","[ログイン]","https://ja.wikipedia.org/w/index.php?title=特別:ログイン&amp;returnto=日本の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"本文を閲覧 [c]","[ページ]","https://ja.wikipedia.org/wiki/日本の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"本文ページについての議論 [t]","[ノート]","https://ja.wikipedia.org/wiki/ノート:日本の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"このページを編集 [e]","[編集]","https://ja.wikipedia.org/w/index.php?title=日本の史跡一覧&amp;action=edit","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"このページの過去の版 [h]","[履歴表示]","https://ja.wikipedia.org/w/index.php?title=日本の史跡一覧&amp;action=history","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"メインページに移動する","[</a>]","https://ja.wikipedia.org/wiki/メインページ","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"メインページに移動する [z]","[メインページ]","https://ja.wikipedia.org/wiki/メインページ","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"このプロジェクトについて、できること、情報を入手する場所","[コミュニティ・ポータル]","https://ja.wikipedia.org/wiki/Wikipedia:コミュニティ・ポータル","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"最近の出来事の背景を知る","[最近の出来事]","https://ja.wikipedia.org/wiki/Portal:最近の出来事","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"最近新規に作成されたページの一覧","[新しいページ]","https://ja.wikipedia.org/wiki/特別:新しいページ","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"このウィキにおける最近の更新の一覧 [r]","[最近の更新]","https://ja.wikipedia.org/wiki/特別:最近の更新","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"無作為に選択されたページを読み込む [x]","[おまかせ表示]","https://ja.wikipedia.org/wiki/特別:おまかせ表示","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"練習用のページ","[練習用ページ]","https://ja.wikipedia.org/wiki/Wikipedia:サンドボックス","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"画像やメディアファイルをウィキメディア・コモンズにアップロード","[アップロード (ウィキメディア・コモンズ)]","https://ja.wikipedia.org//commons.wikimedia.org/wiki/Special:UploadWizard?uselang=ja","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"情報を得る場所","[ヘルプ]","https://ja.wikipedia.org/wiki/Help:目次","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"プロジェクトについての意見交換","[井戸端]","https://ja.wikipedia.org/wiki/Wikipedia:井戸端","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"プロジェクトについてのお知らせ","[お知らせ]","https://ja.wikipedia.org/wiki/Wikipedia:お知らせ","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"ウィキペディア・ソフトウェアのバグ報告","[バグの報告]","https://ja.wikipedia.org/wiki/Wikipedia:バグの報告","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"ご支援ください","[寄付]","https://ja.wikipedia.org//donate.wikimedia.org/wiki/Special:FundraiserRedirector?utm_source=donate&amp;utm_medium=sidebar&amp;utm_campaign=C13_ja.wikipedia.org&amp;uselang=ja","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"ウィキペディアやウィキメディア財団に関する連絡先","[ウィキペディアに関するお問い合わせ]","https://ja.wikipedia.org/wiki/Wikipedia:連絡先","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"ここにリンクしている全ウィキページの一覧 [j]","[リンク元]","https://ja.wikipedia.org/wiki/特別:リンク元/日本の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"このページからリンクしているページの最近の更新 [k]","[関連ページの更新状況]","https://ja.wikipedia.org/wiki/特別:関連ページの更新状況/日本の史跡一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"ファイルをアップロードする [u]","[ファイルをアップロード]","https://ja.wikipedia.org/wiki/Wikipedia:ファイルのアップロード","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"特別ページの一覧 [q]","[特別ページ]","https://ja.wikipedia.org/wiki/特別:特別ページ一覧","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"このページのこの版への固定リンク","[この版への固定リンク]","https://ja.wikipedia.org/w/index.php?title=日本の史跡一覧&amp;oldid=84115003","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"このページについての詳細情報","[ページ情報]","https://ja.wikipedia.org/w/index.php?title=日本の史跡一覧&amp;action=info","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"このページの引用方法","[このページを引用]","https://ja.wikipedia.org/w/index.php?title=特別:このページを引用&amp;page=日本の史跡一覧&amp;id=84115003&amp;wpFormIdentifier=titleform","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"関連付けられたデータリポジトリ項目へのリンク [g]","[ウィキデータ項目]","https://ja.wikipedia.orghttps://www.wikidata.org/wiki/Special:EntityPage/Q11505811","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"このページの印刷用ページ [p]","[印刷用バージョン]","https://ja.wikipedia.org/w/index.php?title=日本の史跡一覧&amp;printable=yes","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"言語間リンクを追加する","[リンクを追加]","https://ja.wikipedia.orghttps://www.wikidata.org/wiki/Special:EntityPage/Q11505811#sitelinks-wikipedia","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"特別:個人設定","[個人設定]","https://ja.wikipedia.org/wiki/特別:個人設定#mw-prefsection-rendering","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"協定世界時","[UTC]","https://ja.wikipedia.org/wiki/協定世界時","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"m:Privacy policy/ja","[プライバシー・ポリシー]","https://ja.wikipedia.orghttps://meta.wikimedia.org/wiki/Privacy_policy/ja","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"Wikipedia:ウィキペディアについて","[ウィキペディアについて]","https://ja.wikipedia.org/wiki/Wikipedia:ウィキペディアについて","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
"Wikipedia:免責事項","[免責事項]","https://ja.wikipedia.org/wiki/Wikipedia:免責事項","日本の史跡一覧","https://ja.wikipedia.org/wiki/日本の史跡一覧","参照","","","","","","","","","","","","","","","","","","","",""
