"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","指定区域","分類","面積","指定日","運営者","公式サイト","事務所","事務所所在地","年来園者数","施設","前身","告示","備考","現況","Hidden","Hidden","Hidden","Hidden","Hidden"
"阿寒摩周国立公園","[阿寒摩周国立公園北海道1934年12月4日北海道2017年8月8日付で阿寒国立公園より改称[9] 阿寒摩周国立公園 （あかんましゅうこくりつこうえん、 英称 : Akan-Mashu National Park  ）は、 北海道 にある 国立公園 。2017年の「阿寒国立公園」からの名称変更に伴い、摩周湖・神の子池周辺まで区域が拡がり、1市10町に跨る総面積9万1000ヘクタールとなった   。国立公園内のほぼ9割以上が未開発地域として手つかずの自然保護地域として保全された。","https://ja.wikipedia.org/wiki/阿寒摩周国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","","日本釧路総合振興局：釧路市、川上郡標茶町、川上郡弟子屈町、白糠郡白糠町オホーツク総合振興局：網走郡大空町、網走郡美幌町、網走郡津別町、斜里郡清里町、斜里郡小清水町十勝総合振興局：足寄郡足寄町根室振興局：標津郡中標津町","国立公園","91,413ヘクタール","1934年12月4日","環境省","阿寒摩周国立公園","釧路自然環境事務所","北海道釧路市幸町10-3 釧路地方合同庁舎4階","3,530,000人（平成25年）","阿寒湖畔エコミュージアムセンター、阿寒湖のマリモ展示観察センター、川湯エコミュージアムセンター、和琴フィールドハウス","","昭和9年内務省告示第567号平成29年環境省告示第61号","","","","","","",""
"大雪山国立公園","[大雪山国立公園1934年12月4日226,76436,807] 大雪山国立公園 （だいせつざんこくりつこうえん）は、 北海道 にある 国立公園 。総面積 (226,764ha) は日本の国立公園の中で最も広い  。","https://ja.wikipedia.org/wiki/大雪山国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯43度39分49秒東経142度51分15秒","日本上川総合振興局：富良野市、上川郡上川町、上川郡東川町、上川郡美瑛町、空知郡上富良野町、空知郡南富良野町十勝総合振興局：河東郡士幌町、河東郡上士幌町、河東郡鹿追町、上川郡新得町北緯43度39分49秒東経142度51分15秒﻿ / ﻿北緯43.66361度 東経142.85417度﻿ /43.66361; 142.85417座標:北緯43度39分49秒東経142度51分15秒﻿ / ﻿北緯43.66361度 東経142.85417度﻿ /43.66361; 142.85417","国立公園","226,764ヘクタール","1934年12月4日","環境省","環境省_大雪山国立公園","北海道地方環境事務所","札幌市北区北8条西2丁目札幌第1合同庁舎3F","4,870,000人（平成25年）","層雲峡ビジターセンター、ヒグマ情報センター、旭岳ビジターセンター、ひがし大雪自然館","","","","","","","","",""
"支笏洞爺国立公園","[支笏洞爺国立公園1949年5月16日99,4732,706] 支笏洞爺国立公園 （しこつとうやこくりつこうえん）は、 北海道 にある 国立公園 。","https://ja.wikipedia.org/wiki/支笏洞爺国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","","日本石狩振興局：札幌市、千歳市、恵庭市胆振総合振興局：苫小牧市、登別市、伊達市、虻田郡洞爺湖町、有珠郡壮瞥町、白老郡白老町後志総合振興局：虻田郡倶知安町、虻田郡ニセコ町、虻田郡真狩村、虻田郡喜茂別町、虻田郡京極町","国立公園","99,473ヘクタール","1949年（昭和24年）5月16日","環境省","環境省_支笏洞爺国立公園","北海道地方環境事務所","札幌市北区北8条西2丁目札幌第1合同庁舎3階","9,900,000人（平成25年）","支笏湖ビジターセンター、登別パークサービスセンター、洞爺湖ビジターセンター、洞爺財田自然体験ハウス、昭和新山パークサービスセンター","","","","","","","","",""
"知床国立公園","[知床国立公園1964年6月1日38,95423,526] 知床国立公園 （しれとここくりつこうえん）は、 北海道 知床半島 にある 国立公園 。","https://ja.wikipedia.org/wiki/知床国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯44度04分33秒東経145度07分20秒","日本オホーツク総合振興局：斜里郡斜里町根室振興局：目梨郡羅臼町北緯44度04分33秒東経145度07分20秒﻿ / ﻿北緯44.07583度 東経145.12222度﻿ /44.07583; 145.12222座標:北緯44度04分33秒東経145度07分20秒﻿ / ﻿北緯44.07583度 東経145.12222度﻿ /44.07583; 145.12222","国立公園","38,636ha（陸域のみ）","1964年6月1日","環境省","環境省_知床国立公園","釧路自然環境事務所","北海道釧路市幸町10-3","1,740,000人（平成25年）","知床世界遺産センター、知床自然センター、知床五湖フィールドハウス、知床五湖パークサービスセンター、知床世界遺産・知床国立公園羅臼ビジターセンター、知床世界遺産ルサフィールドハウス","","昭和39年厚生省告示第235号昭和55年環境庁告示第1号（変更）平成17年環境省告示第140号（変更）平成22年環境省告示第120号（変更）","","","","","","",""
"利尻礼文サロベツ国立公園","[利尻礼文サロベツ国立公園1974年9月20日利尻礼文国定公園から昇格24,1669,720] 利尻礼文サロベツ国立公園 （りしりれぶんサロベツこくりつこうえん）は、 北海道 にある 国立公園 。","https://ja.wikipedia.org/wiki/利尻礼文サロベツ国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯45度10分43秒東経141度14分31秒","日本宗谷総合振興局：稚内市、天塩郡幌延町、天塩郡豊富町、礼文郡礼文町、利尻郡利尻町、利尻郡利尻富士町北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ /45.17861; 141.24194座標:北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ /45.17861; 141.24194","国立公園","24,166ヘクタール","1974年9月20日","環境省","環境省_利尻礼文サロベツ国立公園","北海道地方環境事務所","札幌市北区北8条西2丁目札幌第1合同庁舎3F","730,000人（平成25年）","サロベツ湿原センター、幌延ビジターセンター","利尻礼文国定公園","","","","","","","",""
"釧路湿原国立公園","[釧路湿原国立公園1987年7月31日28,7886,490] 釧路湿原国立公園 （くしろしつげんこくりつこうえん）は、 北海道 にある 国立公園 。","https://ja.wikipedia.org/wiki/釧路湿原国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯43度06分05秒東経144度22分22秒","日本釧路総合振興局：釧路市、釧路郡釧路町、川上郡標茶町、阿寒郡鶴居村北緯43度06分05秒東経144度22分22秒﻿ / ﻿北緯43.10139度 東経144.37278度﻿ /43.10139; 144.37278座標:北緯43度06分05秒東経144度22分22秒﻿ / ﻿北緯43.10139度 東経144.37278度﻿ /43.10139; 144.37278","国立公園","28,788ha","1987年7月31日","環境省","環境省_釧路湿原国立公園","釧路自然環境事務所","北海道釧路市幸町10-3","460,000人","温根内ビジターセンター、塘路湖エコミュージアムセンター、釧路湿原野生生物保護センター、シラルトロ自然情報館","","昭和62年環境庁告示第29号","","","","","","",""
"十和田八幡平国立公園","[十和田八幡平国立公園青森県、岩手県、秋田県1936年2月1日東北指定時は十和田国立公園、後に改称85,53413,288] 十和田八幡平国立公園 （とわだはちまんたいこくりつこうえん）は、北 東北 に位置する 国立公園 。 青森県 ・ 岩手県 ・ 秋田県 にまたがり、 十和田湖 周辺と 八幡平 周辺の 火山 群を包括する。 1936年 （ 昭和 11年） 2月1日 に十和田地区だけが 十和田国立公園 として、 吉野熊野国立公園 、富士箱根国立公園（現・ 富士箱根伊豆国立公園 ）、大山国立公園（現・ 大山隠岐国立公園 ）とともに指定されたのが始まり。 1956年 （昭和31年） 7月10日 に八幡平地域が追加されたことにより、現在の十和田八幡平国立公園に改称された。","https://ja.wikipedia.org/wiki/十和田八幡平国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯39度51分09秒東経141度00分04秒","日本青森県、岩手県、秋田県にまたがる湖沼、渓流および山岳地北緯39度51分09秒東経141度00分04秒﻿ / ﻿北緯39.85250度 東経141.00111度﻿ /39.85250; 141.00111座標:北緯39度51分09秒東経141度00分04秒﻿ / ﻿北緯39.85250度 東経141.00111度﻿ /39.85250; 141.00111","国立公園","85,551ha","1956年7月10日","環境省","十和田八幡平国立公園（環境省）","東北地方環境事務所","〒980-0014宮城県仙台市青葉区本町3-2-3仙台第二合同庁舎6階","589万人（2010年）","","","","","","","","","",""
"磐梯朝日国立公園","[磐梯朝日国立公園山形県、福島県、新潟県1950年9月5日186,37518,338] 磐梯朝日国立公園 （ばんだいあさひこくりつこうえん）は、 福島 、 山形 、 新潟 の三県にまたがる 国立公園 。 1950年 （昭和25年） 9月5日 指定。総面積(186,404ha)は日本の国立公園では 大雪山国立公園 に次いで、2番目に広い。","https://ja.wikipedia.org/wiki/磐梯朝日国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯37度51分17秒東経139度42分26秒","日本山形県、福島県、新潟県にまたがる山岳地北緯37度51分17秒東経139度42分26秒﻿ / ﻿北緯37.85472度 東経139.70722度﻿ /37.85472; 139.70722座標:北緯37度51分17秒東経139度42分26秒﻿ / ﻿北緯37.85472度 東経139.70722度﻿ /37.85472; 139.70722","国立公園","186,404ha","1950年9月5日","環境省","磐梯朝日国立公園（環境省）","東北地方環境事務所","〒980-0014宮城県仙台市青葉区本町3-2-3仙台第二合同庁舎6階","758万人（2010年）","","","","","","","","","",""
"三陸復興国立公園","[三陸復興国立公園青森県、岩手県、宮城県1955年5月2日指定時は陸中海岸国立公園、2013年5月24日に青森県部分を追加して改称28,539848] 三陸復興国立公園 （さんりくふっこうこくりつこうえん）は 青森県 南部から 宮城県 の 牡鹿半島 に至る 三陸海岸 一帯を占める 国立公園 。東日本の国立公園では唯一ともいえる本格的な海岸公園である。管理上では北部の八戸・宮古地区と南部の大船渡地区に分割される。面積は12,212 ha である。","https://ja.wikipedia.org/wiki/三陸復興国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯39度39分00秒東経141度58分53秒","日本青森県、岩手県、宮城県にまたがる太平洋沿岸部北緯39度39分00秒東経141度58分53秒﻿ / ﻿北緯39.65000度 東経141.98139度﻿ /39.65000; 141.98139座標:北緯39度39分00秒東経141度58分53秒﻿ / ﻿北緯39.65000度 東経141.98139度﻿ /39.65000; 141.98139","国立公園","28,537ha","1955年5月2日","環境省","三陸復興国立公園（環境省）","東北地方環境事務所","〒980-0014宮城県仙台市青葉区本町3-2-3仙台第二合同庁舎6階","407万人（2010年）","","","","","","","","","",""
"日光国立公園","[日光国立公園福島県、栃木県、群馬県1934年12月4日関東114,9081,187] 日光国立公園 （にっこうこくりつこうえん）は、 日光市 を中心とする 栃木県 に、隣接する 群馬県 、 福島県 の3県にまたがる 国立公園 である。日光地域、 鬼怒川 ・ 栗山 地域、 那須 甲子 ・ 塩原 地域の三地域に分けられる。","https://ja.wikipedia.org/wiki/日光国立公園","日本の国立公園","https://ja.wikipedia.org/wiki/日本の国立公園","表形式","北緯36度58分43秒東経139度23分42秒","日本栃木県、群馬県、福島県にまたがる那須火山帯に属する山岳地北緯36度58分43秒東経139度23分42秒﻿ / ﻿北緯36.97861度 東経139.39500度﻿ /36.97861; 139.39500座標:北緯36度58分43秒東経139度23分42秒﻿ / ﻿北緯36.97861度 東経139.39500度﻿ /36.97861; 139.39500","国立公園","114,908ha","1934年12月4日","環境省","日光国立公園（環境省）","関東地方環境事務所","〒330-6018埼玉県さいたま市中央区新都心11-2明治安田生命さいたま新都心ビル18階","1,770万人（2010年）","","","","","","","","","",""
