"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","地方","都道府県","面積","総人口","人口密度","所在地","市町村コード","隣接自治体","外部リンク","法人番号","市長","市の花","市の木","市の鳥","特記事項","他のシンボル","区の木","区の花"
"札幌市","[札幌市：中央区-北区-東区-白石区-豊平区-南区-西区-厚別区-手稲区-清田区] 札幌市 （さっぽろし）は、 北海道 の 道央地方 に位置し、 石狩振興局 に属する 市 。 道庁所在地 にして石狩振興局所在地であり、道庁所在地であることから「道都」とも呼ばれ  、 政治 ・ 経済 ・ 文化 の中心地。北海道最大の人口（196万人）を有する 政令指定都市 である。","https://ja.wikipedia.org/wiki/札幌市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度3分43.5秒東経141度21分15.8秒","日本","北海道地方","北海道（石狩振興局）","1,121.26km2","1,963,401人（住民基本台帳人口、2021年5月31日）","1,751人/km2","〒060-8611北海道札幌市中央区北1条西2丁目北緯43度3分43.5秒東経141度21分15.8秒﻿ / ﻿北緯43.062083度 東経141.354389度﻿ /43.062083; 141.354389座標:北緯43度3分43.5秒東経141度21分15.8秒﻿ / ﻿北緯43.062083度 東経141.354389度﻿ /43.062083; 141.354389札幌市役所庁舎","01100-2","石狩振興局：江別市、北広島市、石狩市、恵庭市、千歳市、石狩郡当別町後志総合振興局：小樽市、虻田郡喜茂別町、虻田郡京極町、余市郡赤井川村胆振総合振興局：伊達市","札幌市 City of Sapporo","9000020011002","秋元克広","スズラン","ライラック","カッコウ","","","",""
"江別市","[江別市] 江別市 （えべつし）は、 北海道 中部（ 道央地方 ）にある 石狩振興局 の市。","https://ja.wikipedia.org/wiki/江別市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度6分13.4秒東経141度32分10.3秒","日本","北海道地方","北海道（石狩振興局）","187.38km2","119,739人（住民基本台帳人口、2021年5月31日）","639人/km2","〒067-8674北海道江別市高砂町6番地北緯43度6分13.4秒東経141度32分10.3秒﻿ / ﻿北緯43.103722度 東経141.536194度﻿ /43.103722; 141.536194","01217-3","石狩振興局：札幌市、北広島市、石狩郡当別町、石狩郡新篠津村空知総合振興局：岩見沢市、空知郡南幌町","公式ウェブサイト","9000020012173","三好昇","キク","ナナカマド","","","","",""
"千歳市","[千歳市] 千歳市 （ちとせし）は、 北海道 中部（ 道央地方 ）に位置し、 石狩振興局 に属する 市 。","https://ja.wikipedia.org/wiki/千歳市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯42度49分15.5秒東経141度39分3.2秒","日本","北海道地方","北海道（石狩振興局）","594.50km2（境界未定部分あり）","97,749人（住民基本台帳人口、2021年5月31日）","164人/km2","〒066-8686北海道千歳市東雲町2丁目34北緯42度49分15.5秒東経141度39分3.2秒﻿ / ﻿北緯42.820972度 東経141.650889度﻿ /42.820972; 141.650889座標:北緯42度49分15.5秒東経141度39分3.2秒﻿ / ﻿北緯42.820972度 東経141.650889度﻿ /42.820972; 141.650889","01224-6","石狩振興局：札幌市、恵庭市胆振総合振興局：苫小牧市、伊達市、勇払郡安平町、白老郡白老町空知総合振興局：夕張郡長沼町、夕張郡由仁町","公式ウェブサイト","2000020012246","山口幸太郎","ツツジハナショウブ","シラカバカツラ","","^昭和43年4月1日制定^abcd昭和61年4月1日制定^平成8年11月1日制定","","",""
"恵庭市","[恵庭市] 恵庭市 （えにわし）は、 北海道 中部（ 道央地方 ）に位置し、 石狩振興局 に属する 市 。","https://ja.wikipedia.org/wiki/恵庭市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯42度52分57.2秒東経141度34分40秒","日本","北海道地方","北海道（石狩振興局）","294.65km2（境界未定部分あり）","70,045人（住民基本台帳人口、2021年5月31日）","238人/km2","〒061-1498北海道恵庭市京町1北緯42度52分57.2秒東経141度34分40秒﻿ / ﻿北緯42.882556度 東経141.57778度﻿ /42.882556; 141.57778","01231-9","石狩振興局:札幌市、北広島市、千歳市空知総合振興局:夕張郡長沼町","公式ウェブサイト","4000020012319","原田裕","スズラン","イチイ（オンコ）","カワセミ","","","",""
"北広島市","[北広島市] 北広島市 （きたひろしまし）は、 北海道 中部（ 道央地方 ）に位置し、 石狩振興局 に属する 市 。 札幌市 と 新千歳空港 の間に広がるなだらかな丘陵地帯に位置する。","https://ja.wikipedia.org/wiki/北広島市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯42度59分8.5秒東経141度33分49.1秒","日本","北海道地方","北海道（石狩振興局）","119.05km2","57,926人（住民基本台帳人口、2021年5月31日）","487人/km2","〒061-1192北海道北広島市中央4丁目2-1北緯42度59分8.5秒東経141度33分49.1秒﻿ / ﻿北緯42.985694度 東経141.563639度﻿ /42.985694; 141.563639","01234-3","札幌市、江別市、恵庭市、空知郡南幌町、夕張郡長沼町","公式ウェブサイト","4000020012343","上野正三","つつじ","かえで","","","","",""
"石狩市","[石狩市] 石狩市 （いしかりし）は、 北海道 中央西部（ 道央地方 ）に位置し、 石狩振興局 管内に属する 市 。 札幌市 の北郊に隣接している。","https://ja.wikipedia.org/wiki/石狩市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度10分16.9秒東経141度18分55.8秒","日本","北海道地方","北海道（石狩振興局）","722.42km2","58,160人（住民基本台帳人口、2021年5月31日）","80.5人/km2","〒061-3292北海道石狩市花川北6条1丁目30-2北緯43度10分16.9秒東経141度18分55.8秒﻿ / ﻿北緯43.171361度 東経141.315500度﻿ /43.171361; 141.315500石狩市役所庁舎（2006年8月27日撮影）","01235-1","石狩振興局:札幌市、石狩郡当別町後志総合振興局:小樽市空知総合振興局:樺戸郡新十津川町留萌振興局:増毛郡増毛町","北海道石狩市公式ホームページ（日本語）","4000020012351","加藤龍幸","ハマナス","カシワ","カモメ","","","",""
"石狩郡","[石狩郡：当別町-新篠津村] 石狩郡 （いしかりぐん）は、 北海道 （ 石狩国 ） 石狩振興局 管内の 郡 。","https://ja.wikipedia.org/wiki/石狩郡","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩見沢市","[岩見沢市] 岩見沢市 （いわみざわし）は、 北海道 中部（ 道央地方 ）の 市 。 空知総合振興局 の振興局所在地。","https://ja.wikipedia.org/wiki/岩見沢市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度11分46.2秒東経141度46分33.2秒","日本","北海道地方","北海道（空知総合振興局）","481.02km2","78,832人（住民基本台帳人口、2021年5月31日）","164人/km2","〒068-8686北海道岩見沢市鳩が丘1丁目1番1号北緯43度11分46.2秒東経141度46分33.2秒﻿ / ﻿北緯43.196167度 東経141.775889度﻿ /43.196167; 141.775889","01210-6","空知総合振興局:三笠市、美唄市、夕張市、夕張郡栗山町･長沼町、樺戸郡月形町、空知郡南幌町石狩振興局:江別市、石狩郡新篠津村","公式ウェブサイト","2000020012106","松野哲","バラ","コブシ","ハト","開基記念日 :10月6日","","",""
"夕張市","[夕張市] 夕張市 （ゆうばりし）は、 北海道 中部の 道央地方 に位置し、 空知総合振興局 に所属する 市 。","https://ja.wikipedia.org/wiki/夕張市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度3分24.3秒東経141度58分26秒","日本","北海道地方","北海道（空知総合振興局）","763.07km2","7,248人（住民基本台帳人口、2021年5月31日）","9.5人/km2","〒068-0492北海道夕張市本町4丁目2番地北緯43度3分24.3秒東経141度58分26秒﻿ / ﻿北緯43.056750度 東経141.97389度﻿ /43.056750; 141.97389","01209-2","空知総合振興局:芦別市、三笠市、岩見沢市、夕張郡栗山町・由仁町胆振総合振興局:勇払郡厚真町・むかわ町上川総合振興局:勇払郡占冠村、空知郡南富良野町","公式ウェブサイト","7000020012092","厚谷司","ツツジ","サクラ","","財政再生団体に指定中","なし","",""
"美唄市","[美唄市] 美唄市 （びばいし）は、 北海道 中部（ 道央地方 ）に位置し、 空知総合振興局 に属する市。","https://ja.wikipedia.org/wiki/美唄市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度19分58.6秒東経141度51分13.6秒","日本","北海道地方","北海道（空知総合振興局）","277.69km2","20,249人（住民基本台帳人口、2021年5月31日）","72.9人/km2","〒072-8660北海道美唄市西3条南1丁目1番1号北緯43度19分58.6秒東経141度51分13.6秒﻿ / ﻿北緯43.332944度 東経141.853778度﻿ /43.332944; 141.853778座標:北緯43度19分58.6秒東経141度51分13.6秒﻿ / ﻿北緯43.332944度 東経141.853778度﻿ /43.332944; 141.853778","01215-7","岩見沢市、三笠市、芦別市、樺戸郡浦臼町、月形町、空知郡奈井江町","公式ウェブサイト","9000020012157","板東知文","ツツジ","ポプラ","","","市の鳥 :マガン","",""
"芦別市","[芦別市] 芦別市 （あしべつし）は、 北海道 中部（ 道央地方 ）に位置し、 空知総合振興局 に属する市。","https://ja.wikipedia.org/wiki/芦別市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度31分5.6秒東経142度11分22.6秒","日本","北海道地方","北海道（空知総合振興局）","865.04km2","12,594人（住民基本台帳人口、2021年5月31日）","14.6人/km2","〒075-8711北海道芦別市北1条東1丁目3番地北緯43度31分5.6秒東経142度11分22.6秒﻿ / ﻿北緯43.518222度 東経142.189611度﻿ /43.518222; 142.189611","01216-5","深川市、赤平市、歌志内市、美唄市、三笠市、夕張市、旭川市、富良野市、上川郡美瑛町、空知郡上砂川町、奈井江町、南富良野町、中富良野町","公式ウェブサイト","9000020012165","荻原貢","ユリ","ミズナラ","シジュウカラ","","","",""
"赤平市","[赤平市] 赤平市 （あかびらし）は、 北海道 中部（ 道央地方 ）に位置し、 空知総合振興局 に属する 市 。","https://ja.wikipedia.org/wiki/赤平市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度33分29秒東経142度2分39秒","日本","北海道地方","北海道（空知総合振興局）","129.88km2","9,504人（住民基本台帳人口、2021年5月31日）","73.2人/km2","〒079-1192北海道赤平市泉町4丁目1番地北緯43度33分29秒東経142度2分39秒﻿ / ﻿北緯43.55806度 東経142.04417度﻿ /43.55806; 142.04417","01218-1","滝川市、砂川市、芦別市、深川市、歌志内市","公式ウェブサイト","9000020012181","畠山渉","菊","カエデ","ヤマガラ","","","",""
"三笠市","[三笠市] 三笠市 （みかさし）は、 北海道 中部（ 道央地方 ）に位置し、 空知総合振興局 に属する市。","https://ja.wikipedia.org/wiki/三笠市","日本の地方公共団体一覧","https://ja.wikipedia.org/wiki/日本の地方公共団体一覧","箇条書き,制限あり","北緯43度14分44.4秒東経141度52分30.9秒","日本","北海道地方","北海道（空知総合振興局）","302.52km2","8,039人（住民基本台帳人口、2021年5月31日）","26.6人/km2","〒068-2192北海道三笠市幸町2番地北緯43度14分44.4秒東経141度52分30.9秒﻿ / ﻿北緯43.245667度 東経141.875250度﻿ /43.245667; 141.875250","01222-0","美唄市、芦別市、岩見沢市、夕張市","公式ウェブサイト","3000020012220","西城賢策","菊","ナナカマド","ハクセキレイ","","","",""
