"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","種類","山系","面積","最高峰","最高標高","所在海域","事業主体","海岸線長","開館","外部リンク","開山","国","閉山","水系","場所","延長"
"知床半島","[001知床半島北海道] 知床半島 （しれとこはんとう）は、 北海道 東部の 斜里郡 斜里町 と 目梨郡 羅臼町 にまたがる、 オホーツク海 の南端に突出した 半島  。長さ約70 km 、基部の幅が25kmの狭長な半島であり、西側がオホーツク海、東側が 根室海峡 に面している。また、半島東側には 国後島 が平行する形で横たわっている  。","https://ja.wikipedia.org/wiki/知床半島","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯44度18分14秒 東経145度19分21秒","","","","","","","","","","","","","","","","","","",""
"白滝ジオパーク","[002白滝黒曜石北海道] 白滝ジオパーク （しらたきジオパーク）は、 北海道 紋別郡 遠軽町 にある ジオパーク である。","https://ja.wikipedia.org/wiki/白滝ジオパーク","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"神居古潭","[003神居古潭渓谷の変成岩北海道] ","https://ja.wikipedia.org/wiki/神居古潭","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯43度43分54.6秒 東経142度12分9秒","","","","","","","","","","","","","","","","","","",""
"夕張岳","[004夕張岳と蛇紋岩メランジュ北海道] 夕張岳 （ゆうばりだけ）は、 北海道 の中央部を南北に走る 夕張山地 の南端に位置する 標高 1,668 m の 山 。 夕張市 と 空知郡 南富良野町 にまたがり、山域は北側の 芦別岳 と共に「 富良野芦別道立自然公園 」に指定されている  。","https://ja.wikipedia.org/wiki/夕張岳","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯43度05分59秒東経142度15分04秒","日本北海道夕張市・空知郡南富良野町","北緯43度05分59秒東経142度15分04秒﻿ / ﻿北緯43.09972度 東経142.25111度﻿ /43.09972; 142.25111座標:北緯43度05分59秒東経142度15分04秒﻿ / ﻿北緯43.09972度 東経142.25111度﻿ /43.09972; 142.25111","1,667.72m","","夕張山地","","","","","","","","","","","","","",""
"夕張市石炭博物館","[005夕張の石炭大露頭北海道] 夕張市石炭博物館 （ゆうばりしせきたんはくぶつかん）は、 北海道 夕張市 高松7番1号にある 博物館 。","https://ja.wikipedia.org/wiki/夕張市石炭博物館#施設概要","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯43度4分6.2秒東経141度59分21秒","〒068−0401北海道夕張市高松7番1号","北緯43度4分6.2秒東経141度59分21秒﻿ / ﻿北緯43.068389度 東経141.98917度﻿ /43.068389; 141.98917座標:北緯43度4分6.2秒東経141度59分21秒﻿ / ﻿北緯43.068389度 東経141.98917度﻿ /43.068389; 141.98917","","","","","","","","夕張市","","1980年（昭和55年）7月","夕張市石炭博物館","","","","","",""
"幌尻岳","[006幌尻岳の七つ沼カール北海道] 幌尻岳 （ぽろしりだけ）は、 北海道 日高振興局 の 沙流郡 平取町 と 新冠郡 新冠町 にまたがる 標高 2,052 m   の 山 。 日高山脈 の主峰であり、 日本百名山 に選定されている  。 日高山脈襟裳国定公園 に含まれ、山頂には 二等三角点 （点名「幌尻」）  がある。山名は アイヌ語 で「Poro（大きい）sir（山）」を意味する  。","https://ja.wikipedia.org/wiki/幌尻岳","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯42度43分10秒東経142度40分58秒","日本北海道日高振興局沙流郡平取町・新冠郡新冠町","北緯42度43分10秒東経142度40分58秒﻿ / ﻿北緯42.71944度 東経142.68278度﻿ /42.71944; 142.68278座標:北緯42度43分10秒東経142度40分58秒﻿ / ﻿北緯42.71944度 東経142.68278度﻿ /42.71944; 142.68278","2,052.80m","褶曲山脈","日高山脈","","","","","","","","","","","","","",""
"有珠山","[007有珠山・昭和新山北海道] 有珠山 （うすざん）は、 北海道 ・ 洞爺湖 の南に位置する 標高 737mの 活火山 。 山頂 は 有珠郡 壮瞥町 にあり、山体は 虻田郡 洞爺湖町 、 伊達市 にまたがっている。 支笏洞爺国立公園 内にあり  、 昭和新山 とともに「 日本の地質百選 」に選定され  、周辺地域が 洞爺湖有珠山ジオパーク として「日本ジオパーク」「世界ジオパーク」に認定されている。","https://ja.wikipedia.org/wiki/有珠山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯42度32分38秒東経140度50分21秒","日本北海道有珠郡壮瞥町・虻田郡洞爺湖町・伊達市","北緯42度32分38秒東経140度50分21秒﻿ / ﻿北緯42.54389度 東経140.83917度﻿ /42.54389; 140.83917座標:北緯42度32分38秒東経140度50分21秒﻿ / ﻿北緯42.54389度 東経140.83917度﻿ /42.54389; 140.83917","大有珠：737m","成層火山と溶岩ドーム群(活火山ランクA)","","","","","","","","","","","","","","",""
"恐山","[008恐山の金鉱床青森] 恐山 （おそれざん、おそれやま）は、 下北半島（青森県） の中央部に位置する 活火山 である  。 カルデラ湖 である 宇曽利山湖 の湖畔には、日本三大霊場の一つである 恐山菩提寺 が存在する   。 霊場 内に 温泉 が湧き、共同浴場としても利用されている  。恐山を中心にした地域は 下北半島国定公園 に指定されている  。本記事では、恐山と同霊場について詳述する。なお、 恐山山地 は下北半島の北部を占める山地を指すので  、本記事で詳述するいわゆる 霊場恐山 とは区別される。","https://ja.wikipedia.org/wiki/恐山","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯41度19分37.39秒東経141度5分24.97秒","青森県むつ市田名部字宇曽利山3-2","北緯41度19分37.39秒東経141度5分24.97秒﻿ / ﻿北緯41.3270528度 東経141.0902694度﻿ /41.3270528; 141.0902694﻿ (恐山)座標:北緯41度19分37.39秒東経141度5分24.97秒﻿ / ﻿北緯41.3270528度 東経141.0902694度﻿ /41.3270528; 141.0902694﻿ (恐山)","","","","","","","","","","","","","","","","",""
"仏ヶ浦","[009仏ヶ浦青森] 仏ヶ浦 （ほとけがうら）は、 青森県 下北半島 西岸の 下北郡 佐井村 南部に所在する 景勝地 。古くは 仏宇陀 （ほとけうた、ほとけうだ）と称した。","https://ja.wikipedia.org/wiki/仏ヶ浦","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯41度18分43.9秒 東経140度48分18.4秒","","","","","","","","","","","","","","","","","","",""
"龍泉洞","[010龍泉洞岩手] 龍泉洞 （りゅうせんどう）は、 日本 の 岩手県 下閉伊郡 岩泉町 にある 鍾乳洞 。 岩泉湧窟 （いわいずみわっくつ）とも言う。総延長約1,200 m （日本の 洞窟 中第62位  ）。高低差約249mは日本の洞窟中第5位  。","https://ja.wikipedia.org/wiki/龍泉洞","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯39度51分38秒 東経141度47分50秒","","","","","","","","","","","","","","","","","","",""
