"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","築城主","城郭構造","築城年","遺構","主な城主","指定文化財","廃城年","位置","地図","別名","天守構造","主な改修者","再建造物","所在地","登録文化財","埋蔵文化財,包蔵地番号","宗派","本尊","創建年"
"松前城","[松前城] 松前城 （まつまえじょう）は、 西蝦夷地 （ 渡島国 津軽郡 、のち福島郡の一部を編入で 松前郡  ）福山（現・ 北海道 松前町 松城）にあった 日本の城 （ 平山城 ）。 江戸時代 、公式には 福山城 （ふくやまじょう）と記されたが、当時から 備後福山城 との混同を避けるため松前城とも呼ばれていた  。","https://ja.wikipedia.org/wiki/松前城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯41度25分49.17秒東経140度6分30.96秒","松前崇広","平山城","安政元年（1855年）","本丸御門、御殿玄関、石垣、土塁堀","松前氏","国の重要文化財（本丸御門）国の史跡北海道有形文化財（御殿玄関）","1874年","北緯41度25分49.17秒東経140度6分30.96秒﻿ / ﻿北緯41.4303250度 東経140.1086000度﻿ /41.4303250; 140.1086000","松前城","福山城","独立式層塔型3重3階（1855年（安政元年）築 非現存）（1960年RC造外観復元）","","天守","","","","","",""
"館城","[館城] 館城 （たて じょう）は、 明治元年 （ 1868年 ）、 箱館戦争 の直前に 松前藩 により 渡島国 檜山郡 の館（現在の 厚沢部町 ）に建造された 日本の城 である。従来の本拠である 松前城 に対し、 新城 とも言う。完成直後に旧幕府軍の攻撃を受け、落城した。国の 史跡 に指定されている  。　","https://ja.wikipedia.org/wiki/館城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯41度52分46.3秒 東経140度20分35.7秒","","","","","","","","","","","","","","","","","","",""
"五稜郭","[五稜郭（亀田御役所土塁）] 五稜郭 （ごりょうかく）は、 江戸時代 末期に 江戸幕府 が 蝦夷地 の 箱館 （現在の 北海道 函館市 ）郊外に築造した 稜堡式 の 城郭 である  。","https://ja.wikipedia.org/wiki/五稜郭","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯41度47分48.84秒東経140度45分25.06秒","江戸幕府","稜堡式","1866年","土塁、石垣、堀、兵糧庫","なし","特別史跡","1869年","北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ /41.7969000; 140.7569611﻿ (五稜郭)座標:北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ /41.7969000; 140.7569611﻿ (五稜郭)","五稜郭","亀田（御）役所土塁、柳野城","なし","なし","奉行所、板庫、土蔵","","","","","",""
"志苔館","[志苔館] 志苔館 （しのりたて）は、 北海道 函館市 に所在する中世城館跡（ 日本の城 ）。 小林氏 によって築かれたとされる 道南十二館 のひとつ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/志苔館","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯41度45分56.6秒東経140度49分20.6秒","小林氏","山城","不明","曲輪、土塁、堀","小林氏","国の史跡","1457年（長禄元年）か","北緯41度45分56.6秒東経140度49分20.6秒﻿ / ﻿北緯41.765722度 東経140.822389度﻿ /41.765722; 140.822389","志苔館","","なし","不明","なし","","","","","",""
"四稜郭","[四稜郭] 四稜郭 （しりょうかく）は、 箱館戦争 の際に 蝦夷共和国 （箱館政権）が、 1869年 （ 明治 2年）に現在の 北海道 函館市 陣川町に築城した 堡塁 。 新台場 、 神山台場 、 新五稜郭 などとも呼ばれる。国の 史跡  。","https://ja.wikipedia.org/wiki/四稜郭","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯41度49分32.09秒東経140度46分14.86秒","蝦夷共和国","稜堡式","明治2年（1869年）","土塁","蝦夷共和国","国の史跡","1869年","北緯41度49分32.09秒東経140度46分14.86秒﻿ / ﻿北緯41.8255806度 東経140.7707944度﻿ /41.8255806; 140.7707944","四稜郭","新台場、神山台場、新五稜郭","なし","なし","","","","","","",""
"弁天台場","[弁天台場] 弁天台場 （べんてんだいば）は、 江戸時代 末期（ 幕末 ）に 北海道 函館市 に設営された 台場 。 弁天岬台場 、 弁天砲台 とも。設計者は 武田斐三郎 。","https://ja.wikipedia.org/wiki/弁天台場","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯41度46分27.2秒 東経140度42分14.7秒","","","","","","","","","","","","","","","","","","",""
"千代ヶ岱陣屋","[千代ヶ岱陣屋（千代ヶ岡陣屋・津軽陣屋）] 千代ヶ岱陣屋 （ちよがだいじんや）は、幕末の亀田村(現・ 函館市 )に築かれた陣屋である。「 千代ヶ岡陣屋 」「 津軽陣屋 」とも呼ばれた。 明治 2年（ 1869年 ）5月16日、 中島三郎助 が率いる旧幕府軍と新政府軍との間に、 戊辰戦争 ・ 箱館戦争 最後の戦闘が行われた場所である。","https://ja.wikipedia.org/wiki/千代ヶ岱陣屋","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"戸切地陣屋","[松前藩戸切地陣屋] 戸切地陣屋跡史跡公園 （へきりちじんやあとしせきこうえん）は、北海道北斗市にある 公園 。1977年（昭和52年）に町有地となり  、1979年（昭和54年）から国、道の補助を受けて環境整備を行い、2001年（平成13年）に完成した  。「 日本の歴史公園100選 」選定  。","https://ja.wikipedia.org/wiki/戸切地陣屋","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯41度51分15.2秒 東経140度37分9.8秒","","","","","","","","","","","","","","日本北海道北斗市野崎","","","","",""
"シベチャリチャシ (存在しないページ)","[シベチャリチャシアイヌ民族の古城]","https://ja.wikipedia.org/w/index.php?title=シベチャリチャシ&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"モシリヤチャシ","[モシリヤチャシアイヌ民族の古城] ","https://ja.wikipedia.org/wiki/モシリヤチャシ","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯42度59分01秒 東経144度23分45秒","トミカラアヤノ…伝承による","","1751年（寛延4年）…伝承による","内郭、外郭、空堀、土塁","","国の史跡","","","","お供え山","","","","","","","","",""
