"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","用途","竣工","山系","施工","延床面積","階数","構造形式","種類","敷地面積","着工","管理運営","高さ","分類","建築面積","駐車台数","状態"
"函館山","[函館山] 函館山 （はこだてやま）は、 北海道 函館市 の市街地西端にある 山 であり 陸繋島 でもある。陸繋島として表す場合でも「函館島」「函館山島」といった表現をすることは稀である。 標高 334m、周囲約9km。牛が寝そべるような外観から 臥牛山 （がぎゅうざん）とも呼ばれる  。","https://ja.wikipedia.org/wiki/函館山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯41度45分33秒東経140度42分16秒","日本北海道函館市","北緯41度45分33秒東経140度42分16秒﻿ / ﻿北緯41.75917度 東経140.70444度﻿ /41.75917; 140.70444﻿ (函館山)座標:北緯41度45分33秒東経140度42分16秒﻿ / ﻿北緯41.75917度 東経140.70444度﻿ /41.75917; 140.70444﻿ (函館山)","334m","","","","","","","","成層火山","","","","","","","",""
"藻岩山","[藻岩山] 藻岩山 （もいわやま）は、 北海道 札幌市 の中心部から南西約5 キロメートル （ 札幌駅 の南西6km  ）に位置する  標高531 メートル (530.9m   〈531.03m  〉) の山  。藻岩山には ロープウェイ や 自動車道 が通り  、 展望台 や冬季は スキー場 により、札幌市民や観光客の行楽地となっている  。","https://ja.wikipedia.org/wiki/藻岩山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯43度01分21秒東経141度19分20秒","日本北海道札幌市南区","北緯43度01分21秒東経141度19分20秒﻿ / ﻿北緯43.02250度 東経141.32222度﻿ /43.02250; 141.32222座標:北緯43度01分21秒東経141度19分20秒﻿ / ﻿北緯43.02250度 東経141.32222度﻿ /43.02250; 141.32222","531m","","","後志山地","","","","","複成火山","","","","","","","",""
"JRタワー","[JRタワー] JRタワー ( JR TOWER ) は、 札幌市 中央区 にある複合施設（ 駅ビル 、 複合商業施設 、 超高層建築物 ）  。本項目では、運営企業の「札幌駅総合開発」（さっぽろえきそうごうかいはつ）についても記載する。","https://ja.wikipedia.org/wiki/JRタワー","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯43度04分06秒東経141度21分04秒","〒060-0005札幌市中央区北5条西2丁目・3丁目・4丁目","","","駅関連施設、店舗、ホテル、オフィス、シネマコンプレックス、展望室、駐車場施設、地域冷暖房施設","2003年","","東工区：鹿島建設、熊谷組、札建工業JVセンター工区：清水建設、大成建設、伊藤組土建、大林組、フルーア・ダニエル・ジャパンJV大丸工区：竹中工務店、大林組、熊谷組、伊藤組土建、鹿島建設、清水建設、戸田建設、札建工業JV","初期約276,000 ㎡　改訂後350,644 m²※駅関連施設3,000 m²、商業施設（札幌ステラプレイス）58,000 m²、ホテル21,000 m²、シネマコンプレックス10,000 m²、オフィス31,000 m²、展望室1,000 m²、百貨店68,000 m²、駐車場45,000 m²、地域冷暖房施設5,000 m²、その他34,000 m²、パセオ 59,633m²、アピア29,810.8m²、エスタ不明","地下4階 - 地上38階","鉄筋コンクリート造、鉄骨鉄筋コンクリート造、鉄骨造","","約65,500 m²","2000年","","173 m","","","約1,100台",""
"天狗山","[天狗山] 天狗山 （てんぐやま）","https://ja.wikipedia.org/wiki/天狗山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"測量山","[測量山] 測量山 （そくりょうざん）は、 北海道 室蘭市 清水町にある 標高 199.63mの 山 である。","https://ja.wikipedia.org/wiki/測量山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯42度19分19秒東経140度57分29秒","北海道室蘭市清水町","北緯42度19分19秒東経140度57分29秒﻿ / ﻿北緯42.32194度 東経140.95806度﻿ /42.32194; 140.95806","199.63m","","","","","","","","","","","","","","","",""
"釜臥山","[釜臥山] 釜臥山 （かまふせやま、かまぶせやま）は、 青森県 むつ市 にある山である。 下北半島 中央部に位置する 恐山山地 の最高峰であり 標高 は878.2m。 恐火山 の先カルデラ火山である  。","https://ja.wikipedia.org/wiki/釜臥山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯41度16分43秒東経141度07分12秒","日本青森県むつ市","北緯41度16分43秒東経141度07分12秒﻿ / ﻿北緯41.27861度 東経141.12000度﻿ /41.27861; 141.12000座標:北緯41度16分43秒東経141度07分12秒﻿ / ﻿北緯41.27861度 東経141.12000度﻿ /41.27861; 141.12000","878.2m","","","恐山山地","","","","","火山（恐火山の一部）","","","","","","","",""
"岩山公園 (存在しないページ)","[岩山公園]","https://ja.wikipedia.org/w/index.php?title=岩山公園&amp;action=edit&amp;redlink=1","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"住友生命仙台中央ビル","[住友生命仙台中央ビル] 住友生命仙台中央ビル （すみともせいめいせんだいちゅうおうビル）は、 宮城県 仙台市 青葉区 中央 4丁目にある 住友生命保険相互会社 （ 大阪府 ）が所有する オフィスビル 。 愛称 は SS30  。","https://ja.wikipedia.org/wiki/住友生命仙台中央ビル","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯38度15分22.8秒東経140度52分41秒","宮城県仙台市青葉区中央4丁目6番1号","","","オフィス・商業施設","1989年（平成元年）2月","","熊谷組、東海興業","79,392.01m²※24,016.08坪","地下3階・地上31階","鉄骨造一部鉄筋コンクリート造","","15,542.84m²※4,701.71坪","1987年（昭和62年）1月","","","","","地下駐車場324台（平面234台、機械90台。時間貸82台、月極242台）","完成"
"安波山","[安波山] 安波山 （あんばさん、あんばやま）は、 宮城県 気仙沼市 の 標高 239 m の山。市街地の北に位置し市民に親しまれている。","https://ja.wikipedia.org/wiki/安波山","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","北緯38度54分54秒東経141度34分9秒","宮城県気仙沼市","北緯38度54分54秒東経141度34分9秒﻿ / ﻿北緯38.91500度 東経141.56917度﻿ /38.91500; 141.56917","239m","","","北上山地","","","","","","","","","","","","",""
"セリオン","[セリオン] セリオン","https://ja.wikipedia.org/wiki/セリオン","日本の夜景100選","https://ja.wikipedia.org/wiki/日本の夜景100選","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
