"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","本部所在地","学校種別","設置者","学部","ウェブサイト","研究科","大学設置","創立","キャンパス","大学設置/創立","学生数","廃止","学校設置/創立","大学校種別","学部相当","学長","大学校設置/創立","大学校設置","設立"
"愛国学園大学","[愛国学園大学] 大日本帝国陸軍 野戦重砲兵第四連隊と 陸軍野戦砲兵学校 の跡地にあり、正門は 野戦重砲兵第四連隊 時代からのものが用いられている  。","https://ja.wikipedia.org/wiki/愛国学園大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度39分58.23秒東経140度09分33.92秒","千葉県四街道市四街道1532北緯35度39分58.23秒東経140度09分33.92秒﻿ / ﻿北緯35.6661750度 東経140.1594222度﻿ /35.6661750; 140.1594222座標:北緯35度39分58.23秒東経140度09分33.92秒﻿ / ﻿北緯35.6661750度 東経140.1594222度﻿ /35.6661750; 140.1594222","私立","学校法人愛国学園","人間文化学部","https://www.aikoku-u.ac.jp/jp","なし","1998年","1938年","","","","","","","","","","",""
"愛知大学","[愛知大学] 第二次世界大戦 の終結に伴い、 東亜同文会 が創立した 東亜同文書院大学 が 中華民国 に接収されることになった。その際に学長を務めていた 本間喜一 （後に初代 最高裁判所 事務総長 ）が中心となり、学生・教職員を受け入れる大学として、 1946年 、 愛知県 豊橋市 に設立された  中部地区唯一の旧制法文系大学である   。初代学長は東亜同文会理事で 慶應義塾 塾長 などを歴任した 歴史家 、 法学者 （ 法学博士 ）、 政治家 の 林毅陸 。","https://ja.wikipedia.org/wiki/愛知大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度10分28.96秒東経136度55分39.29秒","愛知県名古屋市東区筒井2-10-31北緯35度10分28.96秒東経136度55分39.29秒﻿ / ﻿北緯35.1747111度 東経136.9275806度﻿ /35.1747111; 136.9275806座標:北緯35度10分28.96秒東経136度55分39.29秒﻿ / ﻿北緯35.1747111度 東経136.9275806度﻿ /35.1747111; 136.9275806","私立","学校法人愛知大学","法学部経済学部経営学部現代中国学部国際コミュニケーション学部文学部地域政策学部短期大学部","http://www.aichi-u.ac.jp/","法学研究科経済学研究科経営学研究科中国研究科国際コミュニケーション研究科法務研究科（法科大学院）文学研究科","","","名古屋（愛知県名古屋市中村区）豊橋（愛知県豊橋市）車道（愛知県名古屋市東区）","1946年","9,677","","","","","","","",""
"愛知医科大学","[愛知医科大学] 附属病院については 愛知医科大学病院 を参照。","https://ja.wikipedia.org/wiki/愛知医科大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度11分35.01秒東経137度02分58.61秒","愛知県長久手市岩作雁又1-1北緯35度11分35.01秒東経137度02分58.61秒﻿ / ﻿北緯35.1930583度 東経137.0496139度﻿ /35.1930583; 137.0496139座標:北緯35度11分35.01秒東経137度02分58.61秒﻿ / ﻿北緯35.1930583度 東経137.0496139度﻿ /35.1930583; 137.0496139","私立","学校法人愛知医科大学","医学部看護学部","https://www.aichi-med-u.ac.jp/","医学研究科看護学研究科","","","","1971年","","","","","","","","",""
"愛知学院大学","[愛知学院大学] 1876年 （ 明治9年 ）5月、 曹洞宗 により曹洞宗専門支校として創立された。そのため、同じ曹洞宗が創設した 駒澤大学 や 東北福祉大学 、 鶴見大学 とは姉妹校である。","https://ja.wikipedia.org/wiki/愛知学院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度9分40.04秒東経137度2分49.18秒","愛知県日進市岩崎町阿良池12北緯35度9分40.04秒東経137度2分49.18秒﻿ / ﻿北緯35.1611222度 東経137.0469944度﻿ /35.1611222; 137.0469944座標:北緯35度9分40.04秒東経137度2分49.18秒﻿ / ﻿北緯35.1611222度 東経137.0469944度﻿ /35.1611222; 137.0469944","私立","学校法人愛知学院","文学部心身科学部商学部経営学部経済学部法学部総合政策学部歯学部薬学部","https://www.agu.ac.jp/","文学研究科心身科学研究科商学研究科経営学研究科法学研究科総合政策研究科薬学研究科歯学研究科","1953年","1876年","日進（愛知県日進市）楠元（名古屋市千種区）末盛（名古屋市千種区）名城公園（名古屋市北区）","","","","","","","","","",""
"愛知学泉大学","[愛知学泉大学] 大学としての出発は 女子大 であったが、現在は家政学部を含め男女共学である。中部地方では、家政学部を男女共学にしたのはこの大学が最初であった。","https://ja.wikipedia.org/wiki/愛知学泉大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度58分22.20秒東経137度08分38.60秒","愛知県岡崎市舳越町上川成28北緯34度58分22.20秒東経137度08分38.60秒﻿ / ﻿北緯34.9728333度 東経137.1440556度﻿ /34.9728333; 137.1440556座標:北緯34度58分22.20秒東経137度08分38.60秒﻿ / ﻿北緯34.9728333度 東経137.1440556度﻿ /34.9728333; 137.1440556","私立","学校法人安城学園","家政学部現代マネジメント学部","https://www.gakusen.ac.jp/u/","","","","岡崎（愛知県岡崎市）豊田（愛知県豊田市)","1966年","","","","","","","","",""
"愛知教育大学","[愛知教育大学　国] （沿革節の主要な出典は公式サイト  ）","https://ja.wikipedia.org/wiki/愛知教育大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度3分10.94秒東経137度2分58.87秒","愛知県刈谷市井ヶ谷町広沢1北緯35度3分10.94秒東経137度2分58.87秒﻿ / ﻿北緯35.0530389度 東経137.0496861度﻿ /35.0530389; 137.0496861座標:北緯35度3分10.94秒東経137度2分58.87秒﻿ / ﻿北緯35.0530389度 東経137.0496861度﻿ /35.0530389; 137.0496861","国立","国立大学法人愛知教育大学","教育学部","https://www.aichi-edu.ac.jp/","教育学研究科教育実践研究科","1949年","1873年","","","3,844","","","","","","","",""
"愛知県立大学","[愛知県立大学　公] 愛知県立女子大学 を母体として 1966年 に設置された。 1998年 には 名古屋市 瑞穂区 高田町  から長久手町（当時）にキャンパスを移転し、大規模な学部・学科の増設を行った。また、 愛知県 の公立大学改革によって、 2007年 4月1日 に 公立大学法人 化された  。 2009年 には 愛知県立看護大学 との統合や学部・学科の再編成が実施された  。","https://ja.wikipedia.org/wiki/愛知県立大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度10分55.35秒東経137度5分12.46秒","愛知県長久手市茨ケ廻間1522-3北緯35度10分55.35秒東経137度5分12.46秒﻿ / ﻿北緯35.1820417度 東経137.0867944度﻿ /35.1820417; 137.0867944座標:北緯35度10分55.35秒東経137度5分12.46秒﻿ / ﻿北緯35.1820417度 東経137.0867944度﻿ /35.1820417; 137.0867944","公立","愛知県公立大学法人","外国語学部日本文化学部教育福祉学部情報科学部看護学部","https://www.aichi-pu.ac.jp/","国際文化研究科人間発達学研究科情報科学研究科看護学研究科","1966年","1947年","長久手（愛知県長久手市）守山（愛知県名古屋市守山区）サテライトキャンパス（愛知県名古屋市）","","","","","","","","","",""
"愛知県立芸術大学","[愛知県立芸術大学　公] 日本で初めて、美術学部と音楽学部を備えた公立芸術大学として誕生する。同じく両学部を備えた公立芸術大学の 京都市立芸術大学 の誕生は、それより3年後である。 キャンパスは名古屋市郊外の長久手市岩作三ケ峯に所在し  、山と森、湿原に囲まれ、豊かな自然に恵まれている。その自然環境の良さは、 環境省 指定指標昆虫である ハッチョウトンボ 、環境省指定の 絶滅危惧種 である シラタマホシクサ などが学内にて確認されているほどである。また、敷地は 愛・地球博記念公園 とほぼ隣接している。","https://ja.wikipedia.org/wiki/愛知県立芸術大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度10分10秒東経137度04分10.65秒","愛知県長久手市岩作三ケ峯1-114北緯35度10分10秒東経137度04分10.65秒﻿ / ﻿北緯35.16944度 東経137.0696250度﻿ /35.16944; 137.0696250座標:北緯35度10分10秒東経137度04分10.65秒﻿ / ﻿北緯35.16944度 東経137.0696250度﻿ /35.16944; 137.0696250","公立","愛知県公立大学法人","美術学部、音楽学部","https://www.aichi-fam-u.ac.jp/","大学院美術研究科、大学院音楽研究科","","","長久手（愛知県長久手市）","1966年","","","","","","","","",""
"愛知工科大学","[愛知工科大学] 1987年 （ 昭和 62年）設置の 愛知技術短期大学 を前身として 2000年 （ 平成 12年）に設置された。","https://ja.wikipedia.org/wiki/愛知工科大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度49分56.75秒東経137度11分36.7秒","愛知県蒲郡市西迫町馬乗50-2北緯34度49分56.75秒東経137度11分36.7秒﻿ / ﻿北緯34.8324306度 東経137.193528度﻿ /34.8324306; 137.193528座標:北緯34度49分56.75秒東経137度11分36.7秒﻿ / ﻿北緯34.8324306度 東経137.193528度﻿ /34.8324306; 137.193528","私立","学校法人電波学園","工学部","https://www.aut.ac.jp/","工学研究科","2000年","1987年","","","","","","","","","","",""
"愛知工業大学","[愛知工業大学] ","https://ja.wikipedia.org/wiki/愛知工業大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度10分58.8秒東経137度6分43.8秒","愛知県豊田市八草町八千草1247北緯35度10分58.8秒東経137度6分43.8秒﻿ / ﻿北緯35.183000度 東経137.112167度﻿ /35.183000; 137.112167座標:北緯35度10分58.8秒東経137度6分43.8秒﻿ / ﻿北緯35.183000度 東経137.112167度﻿ /35.183000; 137.112167","私立","学校法人名古屋電気学園","工学部経営学部情報科学部","https://www.ait.ac.jp/","工学研究科経営情報科学研究科","1959年","1912年","八草（愛知県豊田市）本山（名古屋市千種区）自由ヶ丘（名古屋市千種区）","","","","","","","","","",""
"愛知産業大学","[愛知産業大学] 愛知産業大学は 1992年 に 造形学部 （産業デザイン学科・建築学科）の1学部体制で創設された大学。現在、造形学部デザイン学科、造形学部建築学科、造形学部スマートデザイン学科、経営学部総合経営学科の2学部4学科体制で運営されている。 比較的小規模な大学であるが、文系と理系の学部を設置する大学であり、資格や実学を重視した教育が特徴。 2005年 に 大学院 造形学研究科（建築学専攻）、2007年に同研究科デザイン学専攻を開設。","https://ja.wikipedia.org/wiki/愛知産業大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度55分13.7秒東経137度13分19.78秒","愛知県岡崎市岡町原山12-5北緯34度55分13.7秒東経137度13分19.78秒﻿ / ﻿北緯34.920472度 東経137.2221611度﻿ /34.920472; 137.2221611座標:北緯34度55分13.7秒東経137度13分19.78秒﻿ / ﻿北緯34.920472度 東経137.2221611度﻿ /34.920472; 137.2221611","私立","学校法人愛知産業大学","造形学部経営学部","http://www.asu.ac.jp/","造形学研究科","1992年","1948年","","","","","","","","","","",""
"愛知淑徳大学","[愛知淑徳大学] 学校法人愛知淑徳学園 が運営する 女子大学 として1975年に設置されたが、開学20周年の1995年より男女 共学 化した  。通称は淑徳、淑徳大、愛知淑徳。","https://ja.wikipedia.org/wiki/愛知淑徳大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度9分27.23秒東経137度1分55.8秒","愛知県長久手市片平2丁目9番地北緯35度9分27.23秒東経137度1分55.8秒﻿ / ﻿北緯35.1575639度 東経137.032167度﻿ /35.1575639; 137.032167座標:北緯35度9分27.23秒東経137度1分55.8秒﻿ / ﻿北緯35.1575639度 東経137.032167度﻿ /35.1575639; 137.032167","私立","学校法人愛知淑徳学園","文学部人間情報学部心理学部創造表現学部健康医療科学部福祉貢献学部交流文化学部ビジネス学部グローバル・コミュニケーション学部","https://www.aasa.ac.jp/","文化創造研究科教育学研究科心理医療科学研究科グローバルカルチャー・コミュニケーション研究科ビジネス研究科","1975年","1905年","長久手キャンパス（愛知県長久手市）星が丘キャンパス（愛知県名古屋市千種区）","","","","","","","","","",""
