"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開業","公式サイト","運営","部屋数","最寄駅","階数","位置","正式名称","最寄IC","法人番号","外部リンク","ホテルチェーン","種類","設立","業種","代表者","資本金","前身"
"品川プリンスホテル","[1品川プリンスホテル東京都品川区3,679メイン39階、アネックス32階。日本最大の客室数。] 品川プリンスホテル （しながわプリンスホテル、 Shinagawa Prince Hotel ）は、 東京都 港区 に所在する日本最大級の客室数3,679室を誇る シティホテル である。「 プリンスホテル 」グレードの筆頭格でもある。","https://ja.wikipedia.org/wiki/品川プリンスホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度37分40.7秒東経139度44分7.1秒","〒108-8611東京都港区高輪四丁目10番30号","1978年7月11日","公式サイト","プリンスホテル","3,679室","JR・京急品川駅","イースト：地下1階 - 地上17階N：地上1階 - 17階メイン：地下2階 - 地上40階アネックス：地上1階 - 32階","北緯35度37分40.7秒東経139度44分7.1秒﻿ / ﻿北緯35.627972度 東経139.735306度﻿ /35.627972; 139.735306座標:北緯35度37分40.7秒東経139度44分7.1秒﻿ / ﻿北緯35.627972度 東経139.735306度﻿ /35.627972; 139.735306","品川プリンスホテル","首都高速2号目黒線目黒出入口","","","プリンスホテル","","","","","",""
"アパホテル&amp;リゾート 横浜ベイタワー (存在しないページ)","[2アパホテル＆リゾート〈横浜ベイタワー〉神奈川県横浜市2,31135階。ホテル1棟としては日本最多[1] アパグループ （APA Group）は、 ビジネスホテル チェーン アパホテル の開発・運営、 マンション の開発・分譲を中心とした 不動産デベロッパー 。代表の 元谷外志雄 一族が株式を保有する アパ株式会社 、 アパグループ株式会社 、 アパホールディングス株式会社 、 アパホテル株式会社 などの 同族会社 で 企業集団 を形成しているが、資本構成の細部は非公表である。本社は 東京都 港区 赤坂 、本店は 石川県 金沢市 。","https://ja.wikipedia.org/w/index.php?title=アパホテル&リゾート_横浜ベイタワー&amp;action=edit&amp;redlink=1","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","","","","","","","","","","","","8010401047441","http://www.apa.co.jp/","","株式会社","1988年4月1日","サービス業","代表取締役社長 元谷一志","1000万円（グループ合算で18億1,200万円）",""
"アパホテル&amp;リゾート 東京ベイ幕張","[3アパホテル&リゾート〈東京ベイ幕張〉千葉県千葉市2,00750階　ホテル単体の建物として日本最高層] アパホテル&リゾート〈東京ベイ幕張〉 （アパホテルアンドリゾート とうきょうベイまくはり）は、 千葉県 千葉市 美浜区 の 幕張新都心 にある客室数2000以上の 大規模ホテル 。 幕張メッセ オフィシャルホテルの一つ  。セントラルタワーは 丹下健三 が設計を行い、ホテル単体としては日本最高層である  。","https://ja.wikipedia.org/wiki/アパホテル&リゾート_東京ベイ幕張","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度38分37.9秒東経140度2分12.7秒","〒261-0021千葉県千葉市美浜区ひび野2-3","1993年4月1日（前身）2006年7月1日","公式サイト","株式会社アパグループ","2007室","JR海浜幕張駅","地下2階 - 地上50階","北緯35度38分37.9秒東経140度2分12.7秒﻿ / ﻿北緯35.643861度 東経140.036861度﻿ /35.643861; 140.036861座標:北緯35度38分37.9秒東経140度2分12.7秒﻿ / ﻿北緯35.643861度 東経140.036861度﻿ /35.643861; 140.036861","アパホテル&リゾート〈東京ベイ幕張〉","E51東関東道湾岸千葉IC","","","","","","","","","幕張プリンスホテル（建築物）"
"新宿ワシントンホテル","[4新宿ワシントンホテル東京都新宿区1,63325階] 新宿ワシントンホテル （しんじゅくワシントンホテル、Shinjuku Washington Hotel）は、 東京都 新宿区 西新宿 にある ビジネスホテル である。","https://ja.wikipedia.org/wiki/新宿ワシントンホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度41分13秒東経139度41分35.4秒","〒160-8336東京都新宿区西新宿3-2-9","1983年（昭和58年）12月12日","公式サイト","藤田観光","1,633室*本館1,296室*新館337室","新宿駅","地下4階 - 地上25階","北緯35度41分13秒東経139度41分35.4秒﻿ / ﻿北緯35.68694度 東経139.693167度﻿ /35.68694; 139.693167座標:北緯35度41分13秒東経139度41分35.4秒﻿ / ﻿北緯35.68694度 東経139.693167度﻿ /35.68694; 139.693167","新宿ワシントンホテル","首都高速4号新宿線新宿出入口","","","","","","","","",""
"ホテルニューオータニ","[5ホテルニューオータニ東京都新宿区1,47940階] ホテルニューオータニ （Hotel New Otani）は、 東京都 千代田区 紀尾井町 にあるホテルである。日本の 高層ビル 時代を拓いた歴史的建築物であり、ブランド品などの店舗を館内に擁したプラザ型ホテルというコンセプトで知られている。","https://ja.wikipedia.org/wiki/ホテルニューオータニ","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度40分51.132秒東経139度44分2.821秒","〒102-8578東京都千代田区紀尾井町4番1号","1964年（昭和39年）9月1日","公式サイト","株式会社ニューオータニ","1479室","JR四ツ谷駅、東京メトロ赤坂見附駅、永田町駅、麴町駅","","北緯35度40分51.132秒東経139度44分2.821秒﻿ / ﻿北緯35.68087000度 東経139.73411694度﻿ /35.68087000; 139.73411694座標:北緯35度40分51.132秒東経139度44分2.821秒﻿ / ﻿北緯35.68087000度 東経139.73411694度﻿ /35.68087000; 139.73411694","ホテルニューオータニ","首都高速都心環状線霞が関出入口","","","ニューオータニ","","","","","",""
"京王プラザホテル","[6京王プラザホテル東京都新宿区1,44147階] 1968年 11月、 京王帝都電鉄 （現：京王電鉄）は、「新宿副都心建設計画」に基づき、 西新宿 の 淀橋浄水場 跡地に造成された新都心6号地に超高層ホテルを建設することを発表。翌年4月10日、運営会社となる京王プラザホテルを設立した後、ホテル建設に着手し、2年7か月の工期を経て、 1971年 6月5日 に開業した  。","https://ja.wikipedia.org/wiki/京王プラザホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度41分24秒東経139度41分40秒","〒160-8330東京都新宿区西新宿2-2-1","1971年6月5日","公式サイト","株式会社京王プラザホテル","1,438室","都庁前駅","地下3階 - 地上47（本館）階","北緯35度41分24秒東経139度41分40秒﻿ / ﻿北緯35.68989度 東経139.69444度﻿ /35.68989; 139.69444座標:北緯35度41分24秒東経139度41分40秒﻿ / ﻿北緯35.68989度 東経139.69444度﻿ /35.68989; 139.69444","京王プラザホテル","首都高速道路新宿出入口","","","","","","","","",""
"アワーズイン阪急 (存在しないページ)","[7アワーズイン阪急東京都品川区1,38830階]","https://ja.wikipedia.org/w/index.php?title=アワーズイン阪急&amp;action=edit&amp;redlink=1","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"苗場プリンスホテル","[8苗場プリンスホテル新潟県湯沢町1,29924階] 苗場プリンスホテル （なえばプリンスホテル 英文： Naeba Prince Hotel ）は、 新潟県 南魚沼郡 湯沢町 三国にある 苗場スキー場 内に立地する国内最大級の リゾートホテル である。","https://ja.wikipedia.org/wiki/苗場プリンスホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯36度47分30秒東経138度47分4.6秒","〒949-6292　新潟県南魚沼郡湯沢町三国","1962年（昭和37年）12月23日","公式サイト","プリンスホテル","1,299室","上越新幹線越後湯沢駅","- 24階","北緯36度47分30秒東経138度47分4.6秒﻿ / ﻿北緯36.79167度 東経138.784611度﻿ /36.79167; 138.784611座標:北緯36度47分30秒東経138度47分4.6秒﻿ / ﻿北緯36.79167度 東経138.784611度﻿ /36.79167; 138.784611","","E17関越道湯沢IC","","","","","","","","","国土計画株式会社"
"東横イン","[9東横INN中部国際空港II愛知県常滑市1,287] ","https://ja.wikipedia.org/wiki/東横イン","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","","","","","","","","","","","","8010801008365","https://www.toyoko-inn.com/","","株式会社","1986年（昭和61年）1月23日","サービス業","渡辺憲二（取締役兼代表執行役会長）黒田麻衣子（取締役兼代表執行役社長）","5000万円",""
"サンシャインシティプリンスホテル","[10サンシャインシティプリンスホテル東京都豊島区1,14660階] 248店","https://ja.wikipedia.org/wiki/サンシャインシティプリンスホテル","日本の大規模ホテル一覧","https://ja.wikipedia.org/wiki/日本の大規模ホテル一覧","表形式","北緯35度43分45秒 東経139度43分5秒","〒170-0013東京都豊島区東池袋3-1-3","","","","","","地上60階、地下4階（ワールドインポートマートビルのみ地下5階）","","","","","","","","","","","",""
