"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","形状","規模","築造時期","特記事項","地図","被葬者","出土品","所属","陵墓","埋葬施設","史跡","別名","陪塚","有形文化財","Hidden","Hidden","Hidden"
"大仙陵古墳","[1大仙陵古墳（大山古墳）大阪府堺市和泉中期5C前・中652539.8仁徳天皇百舌鳥古墳群] 大仙陵古墳 （だいせんりょうこふん）または 大山古墳 （だいせんこふん）は、 大阪府 堺市 堺区 大仙町にある 古墳 、 天皇陵 。形状は 前方後円墳 。 百舌鳥古墳群 を構成する古墳の1つで、日本最大の古墳にして、世界最大級の墳墓である。","https://ja.wikipedia.org/wiki/大仙陵古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度33分50.15秒東経135度29分14.31秒","大阪府堺市堺区大仙町","北緯34度33分50.15秒東経135度29分14.31秒﻿ / ﻿北緯34.5639306度 東経135.4873083度﻿ /34.5639306; 135.4873083座標:北緯34度33分50.15秒東経135度29分14.31秒﻿ / ﻿北緯34.5639306度 東経135.4873083度﻿ /34.5639306; 135.4873083","前方後円墳","墳丘長525m高さ39.8m（後円部）","5世紀前期-中期","日本全国第1位の規模","大仙陵古墳","（宮内庁治定）第16代仁徳天皇","埴輪・須恵器、（伝）甲冑・鏡・環刀","百舌鳥古墳群","宮内庁治定「百舌鳥耳原中陵」","後円部：不明（内部に長持型石棺）前方部中段：竪穴式石室（内部に長持型石棺）","","大仙古墳/仁徳天皇陵古墳など","","","","",""
"誉田御廟山古墳","[2誉田御廟山古墳（誉田山古墳）大阪府羽曳野市河内中期5C初642536応神天皇古市古墳群] 誉田御廟山古墳 （こんだごびょうやまこふん）または 誉田山古墳 （こんだやまこふん）は、 大阪府 羽曳野市 誉田にある 古墳 。形状は 前方後円墳 。 古市古墳群 を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/誉田御廟山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度33分45.37秒東経135度36分33.16秒","大阪府羽曳野市誉田","北緯34度33分45.37秒東経135度36分33.16秒﻿ / ﻿北緯34.5626028度 東経135.6092111度﻿ /34.5626028; 135.6092111座標:北緯34度33分45.37秒東経135度36分33.16秒﻿ / ﻿北緯34.5626028度 東経135.6092111度﻿ /34.5626028; 135.6092111","前方後円墳","墳丘長約425m","5世紀初頭","全国第2位の規模","誉田御廟山古墳 / 誉田山古墳","（宮内庁治定）第15代応神天皇","埴輪","古市古墳群","宮内庁治定「惠我藻伏崗陵」","","国の史跡「応神天皇陵古墳外濠外堤」（「古市古墳群」に包含）","","","","","",""
"上石津ミサンザイ古墳","[3上石津ミサンザイ古墳（石津ヶ丘古墳）（百舌鳥陵山古墳）大阪府堺市和泉中期5C前536527.6履中天皇百舌鳥古墳群] 上石津ミサンザイ古墳 （かみいしづみさんざいこふん）は、 大阪府 堺市 西区 石津ヶ丘にあり 百舌鳥古墳群 の南部に位置する 古墳 である。形状は 前方後円墳 で、 百舌鳥古墳群 を構成する古墳の1つである。","https://ja.wikipedia.org/wiki/上石津ミサンザイ古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度33分14.38秒東経135度28分38.84秒","大阪府堺市西区石津ヶ丘","北緯34度33分14.38秒東経135度28分38.84秒﻿ / ﻿北緯34.5539944度 東経135.4774556度﻿ /34.5539944; 135.4774556座標:北緯34度33分14.38秒東経135度28分38.84秒﻿ / ﻿北緯34.5539944度 東経135.4774556度﻿ /34.5539944; 135.4774556","前方後円墳","墳丘長365m高さ27.6m（後円部）","5世紀初頭","全国第3位の規模","上石津ミサンザイ古墳","（宮内庁治定）第17代履中天皇","","百舌鳥古墳群","宮内庁治定「百舌鳥耳原南陵」","不明","","石津ヶ丘古墳","","","","",""
"造山古墳 (岡山市)","[4造山古墳岡山県岡山市備前中期5C前36029吉備政権] 造山古墳 （つくりやまこふん）は、 岡山県 岡山市 北区 新庄下にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/造山古墳_(岡山市)","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度40分25.63秒東経133度48分13.35秒","岡山県岡山市北区新庄下","北緯34度40分25.63秒東経133度48分13.35秒﻿ / ﻿北緯34.6737861度 東経133.8037083度﻿ /34.6737861; 133.8037083座標:北緯34度40分25.63秒東経133度48分13.35秒﻿ / ﻿北緯34.6737861度 東経133.8037083度﻿ /34.6737861; 133.8037083","前方後円墳","墳丘長350m高さ29m（後円部）","5世紀前半","全国第4位/岡山県第1位の規模上石津ミサンザイ古墳（大阪府堺市）の96%相似形","造山古墳","（推定）下道臣の祖・御友別命（推定）吉備政権首長","","","","","国の史跡「造山古墳 第一、二、三、四、五、六古墳」","","","","","",""
"河内大塚山古墳","[5河内大塚山古墳大阪府松原市・羽曳野市河内後期?6C後933520古市古墳群（異説あり）] 大塚山古墳 （おおつかやまこふん）は、 大阪府 羽曳野市 ・ 松原市 にある 古墳 。形状は 前方後円墳 。","https://ja.wikipedia.org/wiki/河内大塚山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度34分21.15秒東経135度34分4.27秒","大阪府松原市西大塚・羽曳野市南恵我之荘","北緯34度34分21.15秒東経135度34分4.27秒﻿ / ﻿北緯34.5725417度 東経135.5678528度﻿ /34.5725417; 135.5678528座標:北緯34度34分21.15秒東経135度34分4.27秒﻿ / ﻿北緯34.5725417度 東経135.5678528度﻿ /34.5725417; 135.5678528","前方後円墳（剣菱型）","墳丘長335m高さ20m","6世紀後半","全国第5位の規模","河内大塚山古墳","（宮内庁推定）第21代雄略天皇","埴輪・勾玉","古市古墳群（異説あり）","宮内庁治定「大塚陵墓参考地」","","","","","","","",""
"見瀬丸山古墳","[6見瀬丸山古墳奈良県橿原市大和後期6C後1031821欽明天皇・堅塩媛陵説が有力] 丸山古墳 （まるやまこふん、五条野丸山古墳/大軽丸山古墳/見瀬丸山古墳）は、 奈良県 橿原市 見瀬町・五条野町・大軽町にある 古墳 。形状は 前方後円墳 。","https://ja.wikipedia.org/wiki/見瀬丸山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度28分33.12秒東経135度47分53.98秒","奈良県橿原市見瀬町・五条野町・大軽町","北緯34度28分33.12秒東経135度47分53.98秒﻿ / ﻿北緯34.4758667度 東経135.7983278度﻿ /34.4758667; 135.7983278座標:北緯34度28分33.12秒東経135度47分53.98秒﻿ / ﻿北緯34.4758667度 東経135.7983278度﻿ /34.4758667; 135.7983278","前方後円墳（剣菱型）","墳丘長318m高さ21m","6世紀後半","全国第6位/奈良県第1位の規模大王墓としては最後の前方後円墳","丸山古墳","（宮内庁推定）天武天皇・持統天皇（推定）欽明天皇・堅塩媛","須恵器","","宮内庁治定「畝傍陵墓参考地」","","国の史跡「丸山古墳」","五条野丸山古墳/大軽丸山古墳/見瀬丸山古墳","","","","",""
"渋谷向山古墳","[7渋谷向山古墳奈良県天理市大和前期4C後330225景行天皇柳本古墳群（オオヤマト古墳集団）] 渋谷向山古墳 （しぶたにむかいやまこふん）は、 奈良県 天理市 渋谷町にある 古墳 。形状は 前方後円墳 。 柳本古墳群 を構成する古墳の1つ。実際の被葬者は明らかでないが、 宮内庁 により「 山辺道上陵 （やまのべのみちのえのみささぎ、山邊道上陵）」として第12代 景行天皇 の 陵 に治定されている。","https://ja.wikipedia.org/wiki/渋谷向山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度33分3.00秒東経135度50分56.28秒","奈良県天理市渋谷町向山","北緯34度33分3.00秒東経135度50分56.28秒﻿ / ﻿北緯34.5508333度 東経135.8489667度﻿ /34.5508333; 135.8489667座標:北緯34度33分3.00秒東経135度50分56.28秒﻿ / ﻿北緯34.5508333度 東経135.8489667度﻿ /34.5508333; 135.8489667","前方後円墳","墳丘長300m高さ25m（後円部）","4世紀後半","全国第8位/奈良県第2位の規模古墳時代前期では最大規模","渋谷向山古墳","（宮内庁治定）第12代景行天皇","埴輪・（伝）石枕","柳本古墳群","宮内庁治定「山辺道上陵」","不明","","","","","","",""
"土師ニサンザイ古墳","[8土師ニサンザイ古墳大阪府堺市和泉中期5C後7288?百舌鳥古墳群] 土師ニサンザイ古墳 （はぜにさんざいこふん）は、 大阪府 堺市 北区 百舌鳥西之町にある 古墳 。形状は 前方後円墳 。 百舌鳥古墳群 を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/土師ニサンザイ古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度32分48.91秒東経135度29分54.77秒","大阪府堺市北区百舌鳥西之町3丁","北緯34度32分48.91秒東経135度29分54.77秒﻿ / ﻿北緯34.5469194度 東経135.4985472度﻿ /34.5469194; 135.4985472座標:北緯34度32分48.91秒東経135度29分54.77秒﻿ / ﻿北緯34.5469194度 東経135.4985472度﻿ /34.5469194; 135.4985472","前方後円墳","墳丘長290m（推定復元300m以上）","5世紀後半","全国第7位の規模（墳丘長300m以上とする場合）","土師ニサンザイ古墳","（宮内庁推定）第18代反正天皇の空墓","","百舌鳥古墳群","宮内庁治定「東百舌鳥陵墓参考地」","不明","国の史跡「ニサンザイ古墳内濠」","","","","","",""
"仲津山古墳","[9仲津山古墳大阪府藤井寺市河内中期5C前528626.2仲姫命古市古墳群] 仲ツ山古墳 （なかつやまこふん、 仲津山古墳 ）は、 大阪府 藤井寺市 沢田にある 古墳 。形状は 前方後円墳 。 古市古墳群 （ 世界文化遺産 ）を構成する古墳の1つ。","https://ja.wikipedia.org/wiki/仲津山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度34分12.24秒東経135度36分44.60秒","大阪府藤井寺市沢田4丁目","北緯34度34分12.24秒東経135度36分44.60秒﻿ / ﻿北緯34.5700667度 東経135.6123889度﻿ /34.5700667; 135.6123889座標:北緯34度34分12.24秒東経135度36分44.60秒﻿ / ﻿北緯34.5700667度 東経135.6123889度﻿ /34.5700667; 135.6123889","前方後円墳","墳丘長290m高さ26.2m","5世紀前半","全国第9位の規模","仲ツ山古墳","（宮内庁治定）仲姫命","埴輪・勾玉","古市古墳群","宮内庁治定「仲津山陵」","","国の史跡「仲姫命陵古墳周堤」（「古市古墳群」に包含）","仲津山古墳","","","","",""
"作山古墳","[9作山古墳岡山県総社市備前中期5C中28624吉備政権] 作山古墳 （つくりやまこふん、三須作山古墳）は、 岡山県 総社市 三須（みす）にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/作山古墳","日本の大規模古墳一覧","https://ja.wikipedia.org/wiki/日本の大規模古墳一覧","表形式","北緯34度39分51.18秒東経133度46分8.52秒","岡山県総社市三須","北緯34度39分51.18秒東経133度46分8.52秒﻿ / ﻿北緯34.6642167度 東経133.7690333度﻿ /34.6642167; 133.7690333座標:北緯34度39分51.18秒東経133度46分8.52秒﻿ / ﻿北緯34.6642167度 東経133.7690333度﻿ /34.6642167; 133.7690333","前方後円墳","墳丘長282m高さ24m（後円部）","5世紀中頃","全国第10位/岡山県第2位の規模","作山古墳","（推定）下道臣の祖・稲速別命","円筒埴輪・朝顔形埴輪","","","不明","国の史跡「作山古墳 第一古墳」","三須作山古墳","","","","",""
