"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","法人番号","位置","創建年","山号","本尊","宗派","文化財","開基","札所等","正式名","別称","公式HP","寺格","開山","宗旨","院号","中興","中興年"
"秋篠寺","[秋篠寺（あきしのでら）（奈良県奈良市）] 秋篠寺 （あきしのでら）は、 奈良県 奈良市 秋篠町 にある 単立 の 寺院 。本尊は 薬師如来 。 伎芸天 像と 国宝 の本堂で知られる。","https://ja.wikipedia.org/wiki/秋篠寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度42分11.38秒東経135度46分32.32秒","奈良県奈良市秋篠町757","9150005000039","北緯34度42分11.38秒東経135度46分32.32秒﻿ / ﻿北緯34.7031611度 東経135.7756444度﻿ /34.7031611; 135.7756444﻿ (秋篠寺)座標:北緯34度42分11.38秒東経135度46分32.32秒﻿ / ﻿北緯34.7031611度 東経135.7756444度﻿ /34.7031611; 135.7756444﻿ (秋篠寺)","伝・宝亀7年（776年）","なし","薬師如来","単立","本堂（国宝）伎芸天立像、薬師三尊像ほか（重要文化財）","光仁天皇（勅願）","","","","","","伝・善珠","","","",""
"飛鳥寺","[飛鳥寺（あすかでら）（安居院、奈良県高市郡明日香村）] 飛鳥寺 （あすかでら）は、 奈良県 高市郡 明日香村 にある 寺院 。現在は安居院という。 蘇我氏 の 氏寺 である法興寺（仏法が興隆する寺の意）の後身である。 本尊 は「飛鳥大仏」と通称される 釈迦如来 、 開基 （創立者）は 蘇我馬子 である。 山号 を鳥形山（とりがたやま）と称する  。現在の宗派は 真言宗豊山派 。 新西国三十三箇所 第9番札所。","https://ja.wikipedia.org/wiki/飛鳥寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度28分43.14秒東経135度49分12.64秒","奈良県高市郡明日香村飛鳥682","5150005004836","北緯34度28分43.14秒東経135度49分12.64秒﻿ / ﻿北緯34.4786500度 東経135.8201778度﻿ /34.4786500; 135.8201778座標:北緯34度28分43.14秒東経135度49分12.64秒﻿ / ﻿北緯34.4786500度 東経135.8201778度﻿ /34.4786500; 135.8201778","6世紀末頃","鳥形山","釈迦如来（飛鳥大仏、重要文化財）","真言宗豊山派","銅造釈迦如来坐像（重要文化財）","蘇我馬子","新西国三十三箇所第9番聖徳太子霊跡第11番","鳥形山 安居院（現在の公称）","法興寺、元興寺（共に旧法号）","","","","","","",""
"穴太寺","[穴太寺（あなおじ）（京都府亀岡市）] 穴太寺 （あなおじ）は、 京都府 亀岡市 にある 天台宗 の 寺院 。 山号 は菩提山（ぼだいさん）、 本尊 は 薬師如来 、札所本尊は聖観世音菩薩（ 聖観音 ）。 西国三十三所 第21番札所。「あなおおじ」「あのうじ」「あなおうじ」と読まれることもあり、「穴穂寺」「穴生寺」とも表記された。","https://ja.wikipedia.org/wiki/穴太寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度0分24.03秒東経135度32分57.09秒","京都府亀岡市曽我部町穴太東辻46","7130005008036","北緯35度0分24.03秒東経135度32分57.09秒﻿ / ﻿北緯35.0066750度 東経135.5491917度﻿ /35.0066750; 135.5491917座標:北緯35度0分24.03秒東経135度32分57.09秒﻿ / ﻿北緯35.0066750度 東経135.5491917度﻿ /35.0066750; 135.5491917","伝・慶雲2年（705年）","菩提山","薬師如来","天台宗","木造聖観音立像（重要文化財）本堂・多宝塔ほか（府指定文化財）庭園（府の名勝）","伝・大伴古麻呂、文武天皇（勅願）","西国三十三所第21番神仏霊場巡拝の道第130番（京都第50番）","菩提山 穴太寺","","","","","","","行廣",""
"安倍文殊院","[安倍文殊院（あべもんじゅいん）（奈良県桜井市）] 安倍文殊院 （あべもんじゅいん）は、 奈良県 桜井市 阿部にある 華厳宗 の 寺院 。 山号 は安倍山。 本尊 は 文殊菩薩 。開基は 安倍倉梯麻呂 （あべのくらはしまろ）とされる。 切戸文殊 （ 京都府 ）・ 亀岡文殊 （ 山形県 ）とともに日本三文殊に数えられる。宗教法人名は 文殊院 。","https://ja.wikipedia.org/wiki/安倍文殊院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度30分13.0秒東経135度50分30.7秒","奈良県桜井市阿部645","9150005004064","北緯34度30分13.0秒東経135度50分30.7秒﻿ / ﻿北緯34.503611度 東経135.841861度﻿ /34.503611; 135.841861座標:北緯34度30分13.0秒東経135度50分30.7秒﻿ / ﻿北緯34.503611度 東経135.841861度﻿ /34.503611; 135.841861","伝・大化元年（645年）","安倍山","文殊菩薩","華厳宗","木造騎獅文殊菩薩及脇侍像（国宝）白山神社本殿（重要文化財）文殊院西古墳（特別史跡）","安倍倉梯麻呂","大和十三仏霊場第3番大和七福八宝めぐり（弁財天）神仏霊場巡拝の道第34番（奈良第21番）大和北部八十八ヶ所霊場第82番大和ぼけ封じ霊場","","安倍文殊院","安倍文殊院","","","","","",""
"安国寺 (高山市)","[安国寺（あんこくじ）（岐阜県高山市）] 安国寺 （あんこくじ）は、 岐阜県 高山市 にある 臨済宗妙心寺派 の 寺院 。 山号 は太平山。本尊は釈迦牟尼仏（ 釈迦如来 ）。 飛騨三十三観音霊場 11番札所。 経蔵 は 国宝 に指定されている  。同じく経蔵が2016年に 日本遺産 「飛騨匠の技・こころ / 国府盆地 の中世社寺建築群」の一つとして認定された  。","https://ja.wikipedia.org/wiki/安国寺_(高山市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯36度13分28.55秒東経137度14分42.15秒","岐阜県高山市国府町西門前474","2200005010237","北緯36度13分28.55秒東経137度14分42.15秒﻿ / ﻿北緯36.2245972度 東経137.2450417度﻿ /36.2245972; 137.2450417座標:北緯36度13分28.55秒東経137度14分42.15秒﻿ / ﻿北緯36.2245972度 東経137.2450417度﻿ /36.2245972; 137.2450417","正平2年（1347年）","太平山","釈迦牟尼仏","臨済宗妙心寺派","経蔵（国宝）瑞巌和尚坐像（重要文化財）","瑞厳和尚","飛騨三十三観音霊場11番","","飛騨安国寺","","","","","","",""
"安楽寺 (上田市)","[安楽寺（あんらくじ）（長野県上田市）] 安楽寺 （あんらくじ）は 長野県 上田市 別所温泉 にある 曹洞宗 の 寺院 。山号を崇福山と称する。院号は護国院。開山は樵谷惟仙（しょうこくいせん）。本尊は 釈迦如来 。 国宝 の八角三重塔があること、また長野県で最古の禅寺であることで知られる。","https://ja.wikipedia.org/wiki/安楽寺_(上田市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯36度21分08秒東経138度09分12秒","長野県上田市別所温泉2361","7100005003989","北緯36度21分08秒東経138度09分12秒﻿ / ﻿北緯36.35222度 東経138.15333度﻿ /36.35222; 138.15333座標:北緯36度21分08秒東経138度09分12秒﻿ / ﻿北緯36.35222度 東経138.15333度﻿ /36.35222; 138.15333","不詳","崇福山","釈迦如来","","八角三重塔（国宝）木造惟仙和尚坐像、木造恵仁和尚坐像（重要文化財）","不詳","","","","","","","曹洞宗","","",""
"安楽寺 (徳島県上板町)","[安楽寺（あんらくじ）（徳島県板野郡上板町）] 安楽寺 （あんらくじ）は 徳島県 板野郡 上板町 にある 高野山真言宗 の寺院。 四国八十八箇所 霊場 の第六番 札所 。温泉山（おんせんざん）瑠璃光院（るりこういん）と号する。本尊は 薬師如来 。大師堂前から湧き出る宿坊の温泉とラジウム鉱泉入りの薬湯も有名である。2015年4月24日、「四国遍路」-回遊型巡礼路と独自の巡礼文化- の構成文化財として、日本遺産に認定されている。","https://ja.wikipedia.org/wiki/安楽寺_(徳島県上板町)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度7分5秒東経134度23分18.2秒","徳島県板野郡上板町引野字寺ノ西北8","3480005003724","北緯34度7分5秒東経134度23分18.2秒﻿ / ﻿北緯34.11806度 東経134.388389度﻿ /34.11806; 134.388389﻿ (安楽寺)座標:北緯34度7分5秒東経134度23分18.2秒﻿ / ﻿北緯34.11806度 東経134.388389度﻿ /34.11806; 134.388389﻿ (安楽寺)","（伝）弘仁6年（815年）","温泉山","薬師如来、胎内仏・薬師如来","高野山真言宗","安楽寺方丈（国の登録有形文化財）","（伝）空海（弘法大師）","四国八十八箇所6番阿波北嶺薬師霊場2番","温泉山 瑠璃光院 安楽寺","","四国霊場 第六番札所 温泉山 安楽寺","","","","","",""
"安楽寺 (高知市)","[安楽寺（あんらくじ）（高知県高知市）] 安楽寺 （あんらくじ）は 高知県 高知市 にある 真言宗豊山派 の 仏教 寺院 。山号は妙色山（みょうしきざん）。 妙色山 金性院 安楽寺と号する。本尊は 阿弥陀如来 。","https://ja.wikipedia.org/wiki/安楽寺_(高知市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯33度34分0.38秒東経133度31分59.12秒","高知県高知市洞ヶ島町5-3","7490005000782","北緯33度34分0.38秒東経133度31分59.12秒﻿ / ﻿北緯33.5667722度 東経133.5330889度﻿ /33.5667722; 133.5330889座標:北緯33度34分0.38秒東経133度31分59.12秒﻿ / ﻿北緯33.5667722度 東経133.5330889度﻿ /33.5667722; 133.5330889","（伝）延喜年間（901年-923年）","妙色山(百々山)","阿弥陀如来","真言宗豊山派","木造阿弥陀如来坐像（国の重要文化財）","菅原高視","四国八十八箇所第30番札所奥の院","妙色山(百々山) 金性院 安楽寺","","","","","","","",""
"池上本門寺","[池上本門寺（いけがみほんもんじ）（東京都大田区）] 池上本門寺 （いけがみほんもんじ）は、 東京都 大田区 池上 にある 日蓮宗 の大本山。","https://ja.wikipedia.org/wiki/池上本門寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度34分44秒東経139度42分18.6秒","東京都大田区池上一丁目1番1号","1010805000093","北緯35度34分44秒東経139度42分18.6秒﻿ / ﻿北緯35.57889度 東経139.705167度﻿ /35.57889; 139.705167﻿ (池上本門寺)座標:北緯35度34分44秒東経139度42分18.6秒﻿ / ﻿北緯35.57889度 東経139.705167度﻿ /35.57889; 139.705167﻿ (池上本門寺)","1282年（弘安5年）","長栄山","三宝尊","日蓮宗","木造日蓮聖人坐像（重要文化財）ほか","池上宗仲","日蓮聖人霊跡東国花の寺百ヶ寺東京4番京浜四大本山","長栄山大国院本門寺","","","大本山","日蓮","","","",""
"石手寺","[石手寺（いしてじ）（愛媛県松山市）] 石手寺 （いしてじ）は、 愛媛県 松山市 にある 真言宗豊山派 の寺院。本尊は 薬師如来 。 四国八十八箇所 第51番札所。遍路の元祖とされる 衛門三郎 の再来伝説ゆかりの寺でもある。","https://ja.wikipedia.org/wiki/石手寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯33度50分52.3秒東経132度47分47.3秒","日本愛媛県松山市石手2丁目9-21","5500005000139","北緯33度50分52.3秒東経132度47分47.3秒﻿ / ﻿北緯33.847861度 東経132.796472度﻿ /33.847861; 132.796472座標:北緯33度50分52.3秒東経132度47分47.3秒﻿ / ﻿北緯33.847861度 東経132.796472度﻿ /33.847861; 132.796472","（伝）天平元年（729年）","熊野山","薬師如来","真言宗豊山派","二王門（国宝）本堂・鐘楼・三重塔ほか（重要文化財）","（伝）行基、聖武天皇（勅願）","四国八十八箇所第51番","熊野山 虚空蔵院 石手寺","","石手寺","","","","虚空蔵院","",""
