"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最新噴火","最高峰","上位山系","山号","宗派","本尊","創建年","正式名","札所等","延長","幅","開基","寺格"
"礼文岳","[礼文岳] 礼文岳 （れぶんだけ）は 北海道 礼文郡 礼文町 にある標高490mの山である。 花の百名山 、 新花の百名山 、 北海道百名山 、 新日本百名山 。","https://ja.wikipedia.org/wiki/礼文岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯45度22分21秒東経141度00分57秒","北海道礼文郡礼文町","北緯45度22分21秒東経141度00分57秒﻿ / ﻿北緯45.37250度 東経141.01583度﻿ /45.37250; 141.01583","490m","島","","","","","","","","","","","","","","",""
"利尻岳","[▲利尻岳-日本百名山] 利尻山 （りしりざん）は、 北海道 の 利尻島 に位置する 独立峰 で 標高 1,721m。 利尻町 、 利尻富士町 の2町にまたがる 成層火山 で、 利尻礼文サロベツ国立公園 内の山域は特別区域に指定され、 日本百名山  、 新日本百名山  、 花の百名山  及び 新・花の百名山  に選定されている。","https://ja.wikipedia.org/wiki/利尻岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯45度10分43秒東経141度14分31秒","日本北海道宗谷総合振興局利尻郡利尻町・利尻富士町","北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ /45.17861; 141.24194座標:北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ /45.17861; 141.24194","1,721m","独立峰","成層火山","","","","","","","","","","","","","",""
"知床岳","[▲知床岳] 知床岳 （しれとこだけ）は、 北海道 羅臼町 、 斜里町 にまたがる 知床半島 の中の第四紀 火山 である。標高は1254.2m。山体は両町にまたがるが、ピークは斜里町に属する。その原始のままの自然は常人を近づけない。","https://ja.wikipedia.org/wiki/知床岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯44度14分09秒東経145度16分26秒","日本北海道羅臼町・斜里町","北緯44度14分09秒東経145度16分26秒﻿ / ﻿北緯44.23583度 東経145.27389度﻿ /44.23583; 145.27389座標:北緯44度14分09秒東経145度16分26秒﻿ / ﻿北緯44.23583度 東経145.27389度﻿ /44.23583; 145.27389","1253.9m","","成層火山","","","","","","","","","","","","","",""
"知床硫黄山","[▲硫黄山] 知床硫黄山 （しれとこいおうざん）は、 北海道 羅臼町 と 斜里町 にまたがる 知床国立公園 の 知床半島 に位置する 活火山 である。山頂部は斜里町に属していて、 一等三角点 に指定されており、そこの 標高 は1,562.5 m である  。","https://ja.wikipedia.org/wiki/知床硫黄山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯44度08分00秒東経145度09分41秒","日本北海道斜里郡斜里町・目梨郡羅臼町","北緯44度08分00秒東経145度09分41秒﻿ / ﻿北緯44.13333度 東経145.16139度﻿ /44.13333; 145.16139座標:北緯44度08分00秒東経145度09分41秒﻿ / ﻿北緯44.13333度 東経145.16139度﻿ /44.13333; 145.16139","1,561.95m","知床半島","成層火山","","","","","","","","","","","","","",""
"羅臼岳","[▲羅臼岳- 日本百名山] 羅臼岳 （らうすだけ）は、 北海道 ・ 知床半島 にある 火山 群の主峰及び最高峰で 標高 1,661m   。古くは アイヌ語 で チャチャヌプリ 、また 良牛岳 と記されたこともある。1964年（昭和39年）6月1日に 知床国立公園 に指定され  、 2005年 7月にこの山域を含む知床半島が 知床 (世界遺産) に正式登録された。 日本百名山  、 花の百名山  及び 新・花の百名山  に選定されている山である。","https://ja.wikipedia.org/wiki/羅臼岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯44度04分33秒東経145度07分20秒","日本北海道目梨郡羅臼町・斜里郡斜里町","北緯44度04分33秒東経145度07分20秒﻿ / ﻿北緯44.07583度 東経145.12222度﻿ /44.07583; 145.12222座標:北緯44度04分33秒東経145度07分20秒﻿ / ﻿北緯44.07583度 東経145.12222度﻿ /44.07583; 145.12222","1,661m","知床半島","成層火山","","","","","","","","","","","","","",""
"海別岳","[▲海別岳] 海別岳 （うなべつだけ）は、 北海道 斜里町 、 羅臼町 、 標津町 にまたがる 知床半島 の付け根に位置する 第四紀 火山 である。標高は1419.3m。山体は3町にまたがる。","https://ja.wikipedia.org/wiki/海別岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度52分37秒東経144度52分36秒","北海道斜里町・羅臼町・標津町","北緯43度52分37秒東経144度52分36秒﻿ / ﻿北緯43.87694度 東経144.87667度﻿ /43.87694; 144.87667座標:北緯43度52分37秒東経144度52分36秒﻿ / ﻿北緯43.87694度 東経144.87667度﻿ /43.87694; 144.87667","1419.3m","","","","","","","","","","","","","","","",""
"斜里岳","[▲斜里岳- 日本百名山] 斜里岳 （しゃりだけ）は 北海道 の 知床半島 にある 火山 。 標高 は1,547m。 斜里岳道立自然公園 に属し、 日本百名山 に選定されている  。 清里町 の観光スポットの一つである。","https://ja.wikipedia.org/wiki/斜里岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度45分56秒東経144度43分04秒","北海道斜里郡斜里町・清里町、標津郡標津町","北緯43度45分56秒東経144度43分04秒﻿ / ﻿北緯43.76556度 東経144.71778度﻿ /43.76556; 144.71778","1,547m","知床半島","成層火山","","25万年前","","","","","","","","","","","",""
"武佐岳","[▲武佐岳] 武佐岳 （むさだけ）は、 北海道 中標津町 と 標津町 とにまたがる第四紀火山である。 標高 は1005.2m。","https://ja.wikipedia.org/wiki/武佐岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度40分40秒東経144度52分55秒","日本北海道中標津町・標津町","北緯43度40分40秒東経144度52分55秒﻿ / ﻿北緯43.67778度 東経144.88194度﻿ /43.67778; 144.88194座標:北緯43度40分40秒東経144度52分55秒﻿ / ﻿北緯43.67778度 東経144.88194度﻿ /43.67778; 144.88194","1005.2m","成層火山","","","","","","","","","","","","","","",""
"サマッケヌプリ山","[▲サマッケヌプリ山] サマッケヌプリ山 （サマッケヌプリやま）は、 北海道 清里町 、 中標津町 、 標津町 にまたがる 第四紀 火山である。 標高 は1,062.3m。山体は3町にまたがるが、山頂は清里町と中標津町の境になる。山の名は、 アイヌ語 のサマッキヌプリ（横になった山）に由来する。","https://ja.wikipedia.org/wiki/サマッケヌプリ山","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度41分01秒東経144度43分52秒","日本北海道清里町・中標津町・標津町","北緯43度41分01秒東経144度43分52秒﻿ / ﻿北緯43.68361度 東経144.73111度﻿ /43.68361; 144.73111座標:北緯43度41分01秒東経144度43分52秒﻿ / ﻿北緯43.68361度 東経144.73111度﻿ /43.68361; 144.73111","1,062.3m","","成層火山","","","","","","","","","","","","","",""
"標津岳","[▲標津岳] 標津岳 （しべつだけ）は、 北海道 中標津町 と 清里町 との境界にある 山 。山頂からは、知床山系や 屈斜路湖 ・ 斜里岳 が眺望できる。標高は1,061m。","https://ja.wikipedia.org/wiki/標津岳","日本の山一覧","https://ja.wikipedia.org/wiki/日本の山一覧","箇条書き,制限あり","北緯43度40分05秒東経144度42分18秒","日本北海道中標津町・清里町","北緯43度40分05秒東経144度42分18秒﻿ / ﻿北緯43.66806度 東経144.70500度﻿ /43.66806; 144.70500座標:北緯43度40分05秒東経144度42分18秒﻿ / ﻿北緯43.66806度 東経144.70500度﻿ /43.66806; 144.70500","1,061m","","","","","","","","","","","","","","","",""
