"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","所在海域","海岸線長","所属諸島","最高峰","人口","都道府県","場所","最大都市","主要な島","時間帯","市町村","諸島","島数","人口密度","言語","郡"
"択捉島","[択捉島- 3,166.64km2[11] 択捉島 （えとろふとう）は、 千島列島 南部に位置する同列島内で 面積 が最大の 島 。複数の 活火山 が存在する 火山島 である。 ロシア による 実効支配 が続く 北方領土 の1つである。","https://ja.wikipedia.org/wiki/択捉島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯45度13分30秒東経147度52分30秒","日本北海道根室振興局（領有権主張）ロシアサハリン州クリル管区（実効支配）","3,186.64km²","1,634m","オホーツク海","","","西単冠山（ストカプ）","6,485 (2019)","","","紗那村（クリリスク）","","","","","","","",""
"国後島","[国後島- 1,489.27km2[11] 島の名前の由来は、 アイヌ語 の「クンネ・シㇼ/ㇽ（kunne-sir, 黒い・島）」  または「キナ・シㇼ/ㇽ（kina-sir, 草の・島）」  からであるが、どちらが本当の由来かははっきりとしていない。日本語名もロシア語名も国際標記もこのアイヌ語に起源を持つ。","https://ja.wikipedia.org/wiki/国後島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯44度01分35.3秒東経145度51分45.1秒","日本（領有権主張）ロシア（実効支配）","1489.27km²","1772m","オホーツク海","","","爺爺岳","","","","国後郡泊村古釜布（サハリン州南クリル管区ユジノクリリスク）","","","","","","","",""
"色丹島","[色丹島- 247.65km2[11] 納沙布岬 の北東約75kmの地点にあり、413mの斜古丹山を中心に島全体が比較的なだらかな 丘陵 になっている  。 カラマツ の近縁種であるグイマツや、ウルップソウなどの 高山植物 に恵まれた自然の宝庫でもあり、湖沼も多い。地質構造的には 歯舞群島 とともに 根室半島 の延長が部分的に陥没したものとされ、地形や 植生 なども 根室半島 に似ている。海岸線は西北岸は断崖であるのに対し、東南岸は変化に富み、船の接岸が可能な場所は20ヶ所以上に及ぶが、松が浜を除いては、港としては機能しなかった。村役場が置かれた場所は北東部の斜古丹湾岸で、学校や駅逓、郵便取扱所も設けられ、斜古丹という名の集落をなしていた。島の南北両岸には天然の良港が多く、 捕鯨 や コンブ 、 サケ 漁などの 漁業 が主産業であった  。","https://ja.wikipedia.org/wiki/色丹島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯43度47分37秒東経146度44分50秒","日本（北海道）（領有権主張）ロシア（サハリン州）（実効支配）","255km²","412.6m","オホーツク海","","","斜古丹山","","","","色丹郡色丹村（マロクリリスク）","","","","","","","",""
"利尻島","[利尻島- 182.09km2[11] 利尻島 （りしりとう）は、 北海道 の北部、 日本海 上に存在するほぼ円形の 島 である。面積182.11 km 2 。 日本の島嶼部 で18番目に広い面積を有している  。島内には 利尻富士町 と 利尻町 の自治体があり、『平成22年住民台帳人口・世帯数』における島の総人口は約5,400人である  。北には 礼文水道 を挟み 礼文島 を望む。","https://ja.wikipedia.org/wiki/利尻島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯45度10分東経141度15分","日本(北海道)","182.11km²","1,721m","日本海","","","利尻山","","","","利尻富士町","","","","","","","",""
"奥尻島","[奥尻島- 142.69km2[11] 奥尻島 （おくしりとう）は、 北海道 南西部の日本海上に浮かぶ 島 。面積は142.97 km 2 であり北海道では5番めに面積の広い島である（北方領土を除くと2位）。島全体で北海道 奥尻郡 奥尻町 をなす。人口2,578人（ 2020年 （ 令和 2年）2月末現在）。","https://ja.wikipedia.org/wiki/奥尻島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯42度08分57秒東経139度28分02秒","日本北海道","142.97km²","584m","日本海","","","神威山","","","","","","","","","","","",""
"礼文島","[礼文島- 81.25km2[11] 礼文島 （れぶんとう）は、 北海道 の北部、 稚内 の西方60kmの 日本海 上に位置する島。 礼文郡 礼文町 に属する。","https://ja.wikipedia.org/wiki/礼文島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯45度26分14秒東経141度02分16秒","日本北海道","81.33km²","489.8m","日本海","72.0km","","礼文岳","","","","","","","","","","","",""
"志発島","[志発島- 58.33km2[11] 納沙布岬 に建立された 望郷の塔 の展望台から 水晶島 の彼方にその姿を確認することが可能である。近海には、 昆布 など豊富な水産資源がある。","https://ja.wikipedia.org/wiki/志発島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯43度29分40秒東経146度9分0秒","ロシア（実効支配）日本（領有権主張）","58.3km²","45m","太平洋（北海道）","41.6km","歯舞群島","","","","","","","","","","","","",""
"水晶島","[水晶島- 12.13km2[11] 島名の由来は、 アイヌ語 の「シ・ショウ（大きい・裸岩）」が「シイショウ」に変化したことから。","https://ja.wikipedia.org/wiki/水晶島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯43度26分19.1秒東経145度55分3秒","ロシア（実効支配）日本（領有権主張）","21km²","15m","太平洋（北海道）","32.2km","歯舞群島","","","","","","","","","","","","",""
"多楽島","[多楽島- 10.91km2[11] 地名の由来は、 アイヌ語 の「トララ・ウク（皮紐・取る→皮紐を取る島）」が「トラク」に変化したことから。","https://ja.wikipedia.org/wiki/多楽島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯43度37分40秒東経146度19分20秒","ロシア（実効支配）日本（領有権主張）","11.69km²","25m","太平洋（北海道）","21.5km","歯舞群島","","","","","","","","","","","","",""
"勇留島","[勇留島- 9.90km2[11] 島の名前の由来は、 アイヌ語 の「ユウロ（それの鵜がたくさんいる→鵜の島）」あるいは「ウリル（鵜の島）」から。","https://ja.wikipedia.org/wiki/勇留島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯43度25分11秒東経146度4分11秒","ロシア（実効支配）日本（領有権主張）","10km²","","太平洋（北海道）","2.3km","歯舞群島","","","","","","","","","","","","",""
