"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","面積","総人口","人口密度","地方","都道府県","市町村コード","法人番号","隣接自治体","市長","所在地","外部リンク","市の花","市の木","市の鳥","特記事項","他のシンボル","市の歌","市の花木"
"高山市","[1岐阜県21203高山市2,177.641268.012.3%3331,896.087.1%] 高山市 （たかやまし）は、 岐阜県 北部（ 飛騨地方 ）に位置する 市 。旧高山市時代から飛騨の中心都市  であり、 平成の市町村合併 の一環として2005年に近隣9町村と合併  。新しい高山市は面積2177.61平方キロメートルと、 東京都 全体にほぼ匹敵する日本で最も広い市となった  。","https://ja.wikipedia.org/wiki/高山市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度8分45.7秒東経137度15分7.8秒","日本","2,177.61km2","83,580人（推計人口、2021年6月1日）","38.4人/km2","中部地方、東海地方","岐阜県","21203-2","6000020212032","飛騨市、郡上市、下呂市、大野郡白川村長野県：大町市、松本市、木曽郡木曽町富山県富山市石川県白山市福井県大野市","國島芳明","〒506-8555岐阜県高山市花岡町二丁目18番地北緯36度8分45.7秒東経137度15分7.8秒﻿ / ﻿北緯36.146028度 東経137.252167度﻿ /36.146028; 137.252167座標:北緯36度8分45.7秒東経137度15分7.8秒﻿ / ﻿北緯36.146028度 東経137.252167度﻿ /36.146028; 137.252167","公式ウェブサイト","こばのみつばつつじ","いちい","","","","",""
"浜松市","[2静岡県22130浜松市1,558.1512486.231.2%1,6411,015.365.2%] 浜松市 （はままつし）は、 静岡県 西部、 遠州 地方に位置する 市 。 政令指定都市 と 国際会議観光都市 に指定されている。 中部地方 では 名古屋市 に次ぐ  、静岡県最大の都市である   。","https://ja.wikipedia.org/wiki/浜松市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度42分39秒東経137度43分39秒","日本","1,558.06km2（境界未定部分あり）","787,963人（推計人口、2021年6月1日）","506人/km2","中部地方、東海地方","静岡県","22130-9","3000020221309","磐田市、湖西市、島田市、周智郡森町、榛原郡川根本町愛知県豊橋市、新城市、北設楽郡東栄町、豊根村長野県飯田市、下伊那郡天龍村","鈴木康友","〒430-0946静岡県浜松市中区元城町103番地の2北緯34度42分39秒東経137度43分39秒﻿ / ﻿北緯34.71083度 東経137.72750度﻿ /34.71083; 137.72750座標:北緯34度42分39秒東経137度43分39秒﻿ / ﻿北緯34.71083度 東経137.72750度﻿ /34.71083; 137.72750市庁舎位置","公式ウェブサイト","ミカン","マツ","ウグイス","","","",""
"日光市","[3栃木県09206日光市1,449.858231.716.0%3601,211.283.5%] 日光市 （にっこうし）は、 栃木県 の北西部に位置する 市 。 関東地方 の市町村では最も面積が広い。","https://ja.wikipedia.org/wiki/日光市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度43分11.4秒東経139度41分53.4秒","日本","1,449.83km2","76,800人（推計人口、2021年6月1日）","53人/km2","関東地方","栃木県","09206-1","6000020092061","宇都宮市、鹿沼市、那須塩原市、塩谷郡塩谷町群馬県：沼田市、みどり市、利根郡片品村福島県：南会津郡南会津町、檜枝岐村","粉川昭一","〒321-1292栃木県日光市今市本町1番地北緯36度43分11.4秒東経139度41分53.4秒﻿ / ﻿北緯36.719833度 東経139.698167度﻿ /36.719833; 139.698167","公式ウェブサイト","ニッコウキスゲ・ヤシオツツジ","もみじ・シラカンバ","","","市の鳥：カワセミ・ウグイス市の魚：ヒメマス・イワナ","",""
"北見市","[4北海道01208北見市1,427.485420.629.5%288932.065.3%] 北見市 （きたみし）は、 北海道 東部に位置する市。 オホーツク総合振興局 の中核都市。 オホーツク海 沿岸から 石北峠 まで東西約110 キロメートル (km) に広がっており、北海道（ただし、北方領土である 択捉島 などを除いた場合）で一番広い 地方公共団体 （日本国内では 高山市 、 浜松市 、 日光市 に続く4番目の広さ）である  。","https://ja.wikipedia.org/wiki/北見市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯43度48分10秒東経143度53分40秒","日本","1,427.41km2","114,800人（住民基本台帳人口、2021年5月31日）","80.4人/km2","北海道地方","北海道（オホーツク総合振興局）","01208-4","7000020012084","オホーツク総合振興局網走市常呂郡訓子府町置戸町佐呂間町網走郡大空町津別町美幌町紋別郡遠軽町湧別町上川総合振興局上川郡上川町十勝総合振興局河東郡上士幌町","辻直孝","〒090-8501北海道北見市大通西3丁目1番地1北緯43度48分10秒東経143度53分40秒﻿ / ﻿北緯43.80278度 東経143.89444度﻿ /43.80278; 143.89444","公式ウェブサイト","ハマナス","カシワ","","","","",""
"静岡市","[5静岡県22100静岡市1,411.9499341.424.2%2,0651,087.877.0%] 静岡市 （しずおかし）は、 静岡県 の中部に位置する 市 。静岡県の 県庁所在地 で、 政令指定都市 である。","https://ja.wikipedia.org/wiki/静岡市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度58分32秒東経138度22分57秒","日本","1,411.90km2（境界未定部分あり）","690,580人（推計人口、2021年6月1日）","489人/km2","中部地方、東海地方","静岡県","22100-7","8000020221007","富士市富士宮市藤枝市焼津市島田市榛原郡川根本町山梨県南アルプス市南巨摩郡早川町身延町南部町長野県飯田市伊那市下伊那郡大鹿村","田辺信宏","〒420-8602静岡県静岡市葵区追手町5番1号北緯34度58分32秒東経138度22分57秒﻿ / ﻿北緯34.97556度 東経138.38250度﻿ /34.97556; 138.38250市庁舎位置","https://www.city.shizuoka.lg.jp/","タチアオイ","ハナミズキ","","市役所所在地の欄は静岡庁舎について。それ以外は#市庁舎に記載。","","",""
"釧路市","[6北海道01206釧路市1,362.9128293.221.5%596977.771.7%] 釧路市 （くしろし）は、 北海道 東部（ 道東地方 ）の 太平洋 沿岸にある 市 。 釧路総合振興局 の振興局所在地。","https://ja.wikipedia.org/wiki/釧路市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯42度59分5.60秒東経144度22分54.16秒","日本","1,362.90km2","164,400人（住民基本台帳人口、2021年5月31日）","121人/km2","北海道地方","北海道（釧路総合振興局）","01206-8","7000020012068","釧路総合振興局：白糠郡白糠町、阿寒郡鶴居村、釧路郡釧路町、川上郡弟子屈町十勝総合振興局：足寄郡足寄町、十勝郡浦幌町オホーツク総合振興局：網走郡津別町","蝦名大也","〒085-8505北海道釧路市黒金町7丁目5番地北緯42度59分5.60秒東経144度22分54.16秒﻿ / ﻿北緯42.9848889度 東経144.3817111度﻿ /42.9848889; 144.3817111﻿ (釧路市)座標:北緯42度59分5.60秒東経144度22分54.16秒﻿ / ﻿北緯42.9848889度 東経144.3817111度﻿ /42.9848889; 144.3817111﻿ (釧路市)","公式ウェブサイト（日本語）","キンレンカ、スズラン、エゾリンドウ","ハシドイ、エゾヤマザクラ、ナナカマド","","","","",""
"鶴岡市","[7山形県06203鶴岡市1,311.599402.830.7%322910.369.4%] 鶴岡市 （つるおかし）は、 山形県 の 庄内地方 南部に位置する人口約12万人の 都市 である。市街地規模は山形市、酒田市に次ぐ県内3位である。2005年の 市町村合併 により県内人口が第2位となり、市の面積は 東北地方 で最も広く全国第7位となった。","https://ja.wikipedia.org/wiki/鶴岡市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯38度43分38秒東経139度49分36秒","日本","1,311.53km2（境界未定部分あり）","121,106人（推計人口、2021年6月1日）","92.3人/km2","東北地方","山形県","06203-1","6000020062031","酒田市、東田川郡庄内町、三川町、西村山郡西川町新潟県村上市","皆川治","〒997-8601山形県鶴岡市馬場町9番25号北緯38度43分38秒東経139度49分36秒﻿ / ﻿北緯38.72722度 東経139.82667度﻿ /38.72722; 139.82667","公式ウェブサイト","さくら","ブナ","","新設合併前（旧 鶴岡市）のデータは#旧 鶴岡市に掲載。","","",""
"宮古市","[8岩手県03202宮古市1,259.245118.29.4%4791,135.490.2%] 宮古市 （みやこし）は、 岩手県 の 三陸海岸 に面する 市 。 本州 最東端の地である 魹ヶ崎 を擁する。","https://ja.wikipedia.org/wiki/宮古市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯39度38分23秒東経141度56分46秒","日本","1,259.15km2","49,444人（推計人口、2021年6月1日）","39.3人/km2","東北地方","岩手県","03202-6","6000020032026","盛岡市、花巻市、遠野市、下閉伊郡岩泉町、山田町、上閉伊郡大槌町","山本正徳","〒027-8501岩手県宮古市宮町1丁目1番30号北緯39度38分23秒東経141度56分46秒﻿ / ﻿北緯39.63972度 東経141.94611度﻿ /39.63972; 141.94611座標:北緯39度38分23秒東経141度56分46秒﻿ / ﻿北緯39.63972度 東経141.94611度﻿ /39.63972; 141.94611市庁舎位置","公式ウェブサイト","ハマギク","アカマツ","","","","",""
"一関市","[9岩手県03209一関市1,256.497476.837.9%255777.461.9%] 一関市 （いちのせきし）は、 岩手県 の最南端に位置する 市 。","https://ja.wikipedia.org/wiki/一関市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯38度56分5秒東経141度7分35.7秒","日本","1,256.42km2","110,572人（推計人口、2021年6月1日）","88人/km2","東北地方","岩手県","03209-3","4000020032093","陸前高田市、奥州市、西磐井郡平泉町、気仙郡住田町宮城県：栗原市、登米市、気仙沼市秋田県雄勝郡東成瀬村","勝部修","〒021-8501岩手県一関市竹山町7番2号北緯38度56分5秒東経141度7分35.7秒﻿ / ﻿北緯38.93472度 東経141.126583度﻿ /38.93472; 141.126583市庁舎位置","公式ウェブサイト","ナノハナ","ブナ","ウグイス","","","",""
"庄原市","[10広島県34210庄原市1,246.530185.814.9%1991,048.284.1%] 庄原市 （しょうばらし）は、 広島県 北東部に位置する 市 。2019年10月現在、全国の市町村で13番目の面積を有しており、近畿以西では最も広い  。","https://ja.wikipedia.org/wiki/庄原市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度51分27.9秒東経133度1分2.2秒","日本","1,246.49km2","32,993人（推計人口、2021年6月1日）","26.5人/km2","中国地方、山陽地方中国・四国地方","広島県","34210-6","2000020342106","三次市、府中市、神石郡神石高原町鳥取県日野郡日南町島根県：雲南市、仁多郡奥出雲町、飯石郡飯南町岡山県：新見市、高梁市","木山耕三","〒727-8501広島県庄原市中本町一丁目10番1号北緯34度51分27.9秒東経133度1分2.2秒﻿ / ﻿北緯34.857750度 東経133.017278度﻿ /34.857750; 133.017278﻿ (庄原市)座標:北緯34度51分27.9秒東経133度1分2.2秒﻿ / ﻿北緯34.857750度 東経133.017278度﻿ /34.857750; 133.017278﻿ (庄原市)市庁舎位置","公式ウェブサイト","サクラ","ブナ","","","","",""
"富山市","[11富山県16201富山市1,241.8337474.438.2%883771.062.1%] 富山市 （とやまし）は、 富山県 の中央部から南東部にかけて位置する 市 。富山県の 県庁所在地 かつ最大都市であり、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/富山市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度41分45.3秒東経137度12分49.3秒","日本","1,241.77km2（境界未定部分あり）","412,581人（推計人口、2021年6月1日）","332人/km2","中部地方、北陸地方","富山県","16201-9","9000020162019","射水市、滑川市、砺波市、南砺市、中新川郡上市町、立山町、舟橋村岐阜県：飛騨市、高山市長野県大町市","藤井裕久","〒930-8510富山県富山市新桜町7番38号北緯36度41分45.3秒東経137度12分49.3秒﻿ / ﻿北緯36.695917度 東経137.213694度﻿ /36.695917; 137.213694座標:北緯36度41分45.3秒東経137度12分49.3秒﻿ / ﻿北緯36.695917度 東経137.213694度﻿ /36.695917; 137.213694","公式ウェブサイト","ヒマワリ","ケヤキ","","ここでのデータは2005年4月発足の新市制のものである。旧市制のデータは#平成（旧・富山市）に掲載する。","","","ツバキ"
"いわき市","[12福島県07204いわき市1,232.0284350.528.4%999868.170.5%] いわき市 （いわきし）は、 福島県 浜通り の南部に位置する 市 。","https://ja.wikipedia.org/wiki/いわき市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯37度3分1.8秒東経140度53分15.8秒","日本","1,232.02km2","334,593人（推計人口、2021年6月1日）","272人/km2","東北地方","福島県","07204-4","9000020072044","田村市、田村郡小野町、双葉郡広野町、楢葉町、川内村、石川郡古殿町、平田村、東白川郡鮫川村茨城県北茨城市","清水敏男","〒970-8686福島県いわき市平字梅本21番地北緯37度3分1.8秒東経140度53分15.8秒﻿ / ﻿北緯37.050500度 東経140.887722度﻿ /37.050500; 140.887722","公式ウェブサイト","ツツジ（1973年3月20日制定）","クロマツ（1971年10月1日制定）","","","","",""
"由利本荘市","[13秋田県05210由利本荘市1,209.666296.224.5%270893.873.9%] 由利本荘市 （ゆりほんじょうし）は、 秋田県 南部に位置する 日本海 に面した 市 。","https://ja.wikipedia.org/wiki/由利本荘市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯39度23分9.1秒東経140度2分55.8秒","日本","1,209.59km2","73,368人（推計人口、2021年6月1日）","60.7人/km2","東北地方","秋田県","05210-8","5000020052108","秋田市、大仙市、湯沢市、横手市、にかほ市、雄勝郡羽後町山形県：酒田市、飽海郡遊佐町、最上郡真室川町","湊貴信","〒015-8501秋田県由利本荘市尾崎17番地北緯39度23分9.1秒東経140度2分55.8秒﻿ / ﻿北緯39.385861度 東経140.048833度﻿ /39.385861; 140.048833座標:北緯39度23分9.1秒東経140度2分55.8秒﻿ / ﻿北緯39.385861度 東経140.048833度﻿ /39.385861; 140.048833","公式ウェブサイト","さくら-","ケヤキ-","","","","",""
"村上市","[14新潟県15212村上市1,174.353270.823.1%231932.379.4%] 村上市 （むらかみし）は、 新潟県 北部、 日本海 に面した 市 である。","https://ja.wikipedia.org/wiki/村上市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯38度13分26.4秒東経139度28分48秒","日本","1,174.26km2（境界未定部分あり）","56,599人（推計人口、2021年6月1日）","48.2人/km2","中部地方、北陸地方甲信越地方、信越地方北信越地方、上信越地方広域関東圏","新潟県","15212-9","7000020152129","胎内市、岩船郡関川村、粟島浦村（海を隔てて隣接）山形県：鶴岡市、西村山郡西川町、西置賜郡小国町","高橋邦芳","〒958-8501新潟県村上市三之町1番1号北緯38度13分26.4秒東経139度28分48秒﻿ / ﻿北緯38.224000度 東経139.48000度﻿ /38.224000; 139.48000座標:北緯38度13分26.4秒東経139度28分48秒﻿ / ﻿北緯38.224000度 東経139.48000度﻿ /38.224000; 139.48000","公式ウェブサイト","ハマナス","ブナ","","","クマタカ","",""
"北秋田市","[15秋田県05213北秋田市1,152.829190.316.5%175963.483.6%] 北秋田市 （きたあきたし）は、 秋田県 の北部に位置する 市 である。秋田県内では 由利本荘市 に次いで2番目に面積が広い。","https://ja.wikipedia.org/wiki/北秋田市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯40度13分33.7秒東経140度22分14.6秒","日本","1,152.76km2","29,423人（推計人口、2021年6月1日）","25.5人/km2","東北地方","秋田県","05213-2","5000020052132","秋田市、大館市、能代市、鹿角市、仙北市、山本郡藤里町、北秋田郡上小阿仁村","津谷永光","〒018-3392秋田県北秋田市花園町19番1号北緯40度13分33.7秒東経140度22分14.6秒﻿ / ﻿北緯40.226028度 東経140.370722度﻿ /40.226028; 140.370722座標:北緯40度13分33.7秒東経140度22分14.6秒﻿ / ﻿北緯40.226028度 東経140.370722度﻿ /40.226028; 140.370722","公式ウェブサイト","アジサイ","ブナ","クマゲラ","","","",""
"札幌市","[16北海道01100札幌市1,121.31,741440.439.3%4,434676.960.4%] 札幌市 （さっぽろし）は、 北海道 の 道央地方 に位置し、 石狩振興局 に属する 市 。 道庁所在地 にして石狩振興局所在地であり、道庁所在地であることから「道都」とも呼ばれ  、 政治 ・ 経済 ・ 文化 の中心地。北海道最大の人口（196万人）を有する 政令指定都市 である。","https://ja.wikipedia.org/wiki/札幌市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯43度3分43.5秒東経141度21分15.8秒","日本","1,121.26km2","1,963,401人（住民基本台帳人口、2021年5月31日）","1,751人/km2","北海道地方","北海道（石狩振興局）","01100-2","9000020011002","石狩振興局：江別市、北広島市、石狩市、恵庭市、千歳市、石狩郡当別町後志総合振興局：小樽市、虻田郡喜茂別町、虻田郡京極町、余市郡赤井川村胆振総合振興局：伊達市","秋元克広","〒060-8611北海道札幌市中央区北1条西2丁目北緯43度3分43.5秒東経141度21分15.8秒﻿ / ﻿北緯43.062083度 東経141.354389度﻿ /43.062083; 141.354389座標:北緯43度3分43.5秒東経141度21分15.8秒﻿ / ﻿北緯43.062083度 東経141.354389度﻿ /43.062083; 141.354389札幌市役所庁舎","札幌市 City of Sapporo","スズラン","ライラック","カッコウ","","","",""
"士別市","[17北海道01220士別市1,119.218295.926.4%67813.172.6%] 士別市 （しべつし）は、 北海道 上川地方 北部にある 市 。","https://ja.wikipedia.org/wiki/士別市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯44度10分43.0秒東経142度24分0.3秒","日本","1,119.22km2","17,886人（住民基本台帳人口、2021年5月31日）","16人/km2","北海道地方","北海道（上川総合振興局）","01220-3","4000020012203","上川総合振興局名寄市天塩国上川郡：和寒町、剣淵町、下川町石狩国上川郡：比布町、上川町、愛別町雨竜郡：幌加内町オホーツク総合振興局紋別郡：滝上町","牧野勇司","〒095-8686北海道士別市東6条4丁目1番地北緯44度10分43.0秒東経142度24分0.3秒﻿ / ﻿北緯44.178611度 東経142.400083度﻿ /44.178611; 142.400083座標:北緯44度10分43.0秒東経142度24分0.3秒﻿ / ﻿北緯44.178611度 東経142.400083度﻿ /44.178611; 142.400083","公式ウェブサイト","エゾノリュウキンカ、コスモス、エゾムラサキツツジ","ナナカマド、アカエゾマツ","","","","",""
"仙北市","[18秋田県05215仙北市1,093.625151.213.8%182890.781.4%] 仙北市 （せんぼくし）は、 秋田県 の東部に位置する 市 である。","https://ja.wikipedia.org/wiki/仙北市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯39度42分0.3秒東経140度43分50.1秒","日本","1,093.56km2","24,337人（推計人口、2021年6月1日）","22.3人/km2","東北地方","秋田県","05215-9","3000020052159","秋田市鹿角市北秋田市大仙市岩手県八幡平市岩手郡雫石町和賀郡西和賀町","門脇光浩","〒014-1298秋田県仙北市田沢湖生保内字宮ノ後30北緯39度42分0.3秒東経140度43分50.1秒﻿ / ﻿北緯39.700083度 東経140.730583度﻿ /39.700083; 140.730583座標:北緯39度42分0.3秒東経140度43分50.1秒﻿ / ﻿北緯39.700083度 東経140.730583度﻿ /39.700083; 140.730583","公式ウェブサイト","","","","","","",""
"郡上市","[19岐阜県21219郡上市1,030.841106.510.3%395924.689.7%] 郡上市 （ぐじょうし）は、 岐阜県 中濃 地域に位置する 市 。 郡上八幡 の街並みや 郡上おどり 、 白山信仰 の地として知られている。","https://ja.wikipedia.org/wiki/郡上市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度44分54.8秒東経136度57分51.6秒","日本","1,030.75km2","38,440人（推計人口、2021年6月1日）","37.3人/km2","中部地方、東海地方","岐阜県","21219-9","4000020212199","高山市、関市、美濃市、下呂市福井県大野市","日置敏明","〒501-4297岐阜県郡上市八幡町島谷228番地北緯35度44分54.8秒東経136度57分51.6秒﻿ / ﻿北緯35.748556度 東経136.964333度﻿ /35.748556; 136.964333","公式ウェブサイト","こぶし","もみじ","","","","",""
"田辺市","[20和歌山県30206田辺市1,026.973110.510.8%677903.288.0%] 田辺市 （たなべし）は、 和歌山県 中南部に位置する 市 。","https://ja.wikipedia.org/wiki/田辺市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度43分40.7秒東経135度22分39.8秒","日本","1,026.91km2","69,090人（推計人口、2021年6月1日）","67.3人/km2","近畿地方","和歌山県","30206-6","4000020302066","新宮市、日高郡みなべ町、印南町、日高川町、西牟婁郡白浜町、上富田町、有田郡有田川町、東牟婁郡古座川町奈良県吉野郡十津川村、野迫川村","真砂充敏","〒646-8545和歌山県田辺市新屋敷町1番地北緯33度43分40.7秒東経135度22分39.8秒﻿ / ﻿北緯33.727972度 東経135.377722度﻿ /33.727972; 135.377722﻿ (田辺市)座標:北緯33度43分40.7秒東経135度22分39.8秒﻿ / ﻿北緯33.727972度 東経135.377722度﻿ /33.727972; 135.377722﻿ (田辺市)","公式ウェブサイト","ウメ","ウバメガシ","メジロ","ここでのデータは新制の物。旧制のデータは本文中を参照。","","",""
