"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","公式サイト","事業主体","位置","専門分野","管理運営","学校種別","設置者","本部所在地","学部","ウェブサイト","面積","研究科","正式名称","前身","キャンパス","分類","運営者"
"札幌市百合が原緑のセンター","[札幌市百合が原緑のセンター（北海道札幌市北区）] 百合が原 （ゆりがはら）は 札幌市 北区 の地名。 学園都市線 の東側に広がる地域で、 百合が原公園 に隣接する。","https://ja.wikipedia.org/wiki/札幌市百合が原緑のセンター","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯43度7分51.8秒 東経141度21分40.9秒","","","","","","","","","","","","","","","","","","",""
"札幌市豊平公園緑のセンター","[札幌市豊平公園緑のセンター（北海道札幌市豊平区）] 豊平公園 （とよひらこうえん）は、 札幌市 豊平区 にある 公園 。","https://ja.wikipedia.org/wiki/札幌市豊平公園緑のセンター","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯43度02分35秒東経141度22分42秒","日本札幌市豊平区豊平5条13丁目、美園5・6条1丁目","1977年","豊平公園","","","","","","","","","","7.4ヘクタール","","","農林省林業試験場","","地区公園","札幌市公園緑化協会（指定管理者）"
"平岡樹芸センター","[札幌市平岡樹芸センター（北海道札幌市清田区）] 平岡樹芸センター （ひらおかじゅげいセンター）は、 北海道 札幌市 清田区 に位置する 植物公園 （ 特殊公園  ）である。","https://ja.wikipedia.org/wiki/平岡樹芸センター","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯43度0分8.8秒東経141度27分5.4秒","〒004-0874札幌市清田区平岡4条3丁目","1984年","","札幌市","北緯43度0分8.8秒東経141度27分5.4秒﻿ / ﻿北緯43.002444度 東経141.451500度﻿ /43.002444; 141.451500座標:北緯43度0分8.8秒東経141度27分5.4秒﻿ / ﻿北緯43.002444度 東経141.451500度﻿ /43.002444; 141.451500","庭木","公益財団法人札幌市公園緑化協会","","","","","","","","札幌市緑化植物園平岡樹芸センター","竹澤養樹園","","",""
"北邦野草園","[北邦野草園（北海道旭川市）] 北邦野草園 （ほっぽうやそうえん）は、北海道 上川郡 鷹栖町 にある 植物園 である。鷹栖町域にあるが、運営管理は 旭川市 が行っている。","https://ja.wikipedia.org/wiki/北邦野草園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"函館市熱帯植物園 (存在しないページ)","[函館市熱帯植物園（北海道函館市）]","https://ja.wikipedia.org/w/index.php?title=函館市熱帯植物園&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"能代火力発電所","[能代エナジアムパーク（秋田県能代市）] 能代火力発電所 （のしろかりょくはつでんしょ）は、 秋田県 能代市 字大森山1-6にある 東北電力 の 石炭 火力発電所 。","https://ja.wikipedia.org/wiki/能代火力発電所","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯40度11分29秒 東経139度59分37秒","日本秋田県能代市字大森山1-6","","","","","","","","","","","","","","","","","",""
"仙台市野草園","[仙台市野草園（宮城県仙台市太白区）] 仙台市野草園 （せんだいしやそうえん）は、 仙台市 太白区 の 大年寺山公園 内に位置する 植物園 で、 東北地方 に生える 野草 を中心に植栽されている。仙台市からの委託により、（公財）仙台市公園緑地協会が管理している。 日本植物園協会 加盟園。","https://ja.wikipedia.org/wiki/仙台市野草園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯38度14分20.6秒東経140度52分26.1秒","〒982-0843宮城県仙台市太白区茂ヶ崎二丁目1-1","1954年（昭和29年）7月21日","","仙台市","北緯38度14分20.6秒東経140度52分26.1秒﻿ / ﻿北緯38.239056度 東経140.873917度﻿ /38.239056; 140.873917","植物","公益財団法人仙台市公園緑地協会（指定管理者）","","","","","","","","大年寺山公園 仙台市野草園","","","",""
"山形市野草園","[山形市野草園（山形県山形市）] 山形市野草園 （やまがたしやそうえん）は、 山形県 山形市 にある 植物園 。一般財団法人山形市都市振興公社が 指定管理者 として運営する。","https://ja.wikipedia.org/wiki/山形市野草園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","〒990-2406山形県山形市大字神尾字清水澤832-3","1993年（平成5年）4月","","山形県山形市","","植物","一般財団法人山形市都市振興公社","","","","","","","","","","","",""
"とちぎ花センター (存在しないページ)","[とちぎ花センター（栃木県栃木市）]","https://ja.wikipedia.org/w/index.php?title=とちぎ花センター&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ぐんまフラワーパーク","[ぐんまフラワーパーク（群馬県前橋市）] ぐんまフラワーパーク は、 群馬県 前橋市 柏倉町 にある群馬県立の 植物園 。赤城山の裾野に広がる。年7回の花まつりがあり、5棟の温室で、年間を通じて花が咲いている。花と緑の学習館では、体験教室が行われる。","https://ja.wikipedia.org/wiki/ぐんまフラワーパーク","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度27分27秒東経139度10分33秒","〒371-0246群馬県前橋市柏倉町2471-7","平成4年4月","ぐんまフラワーパーク","群馬県","北緯36度27分27秒東経139度10分33秒﻿ / ﻿北緯36.45750度 東経139.17583度﻿ /36.45750; 139.17583座標:北緯36度27分27秒東経139度10分33秒﻿ / ﻿北緯36.45750度 東経139.17583度﻿ /36.45750; 139.17583","植物","株式会社ぐんまフラワー管理（指定管理者）","","","","","","","","ぐんまフラワーパーク","","","",""
"水戸市植物公園","[水戸市植物公園（茨城県水戸市）] 水戸市植物公園 （みとししょくぶつこうえん）は、 茨城県 水戸市 にある植物公園。面積約80,000平方メートル。主要施設はテラスガーデン、観賞大温室、熱帯果樹温室、植物館、芝生園、ロックガーデン  。","https://ja.wikipedia.org/wiki/水戸市植物公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度20分32秒東経140度25分9秒","〒310-0914茨城県水戸市小吹町504","1987年（昭和62年）4月29日","http://www.mito-botanical-park.com/","水戸市","北緯36度20分32秒東経140度25分9秒﻿ / ﻿北緯36.34222度 東経140.41917度﻿ /36.34222; 140.41917座標:北緯36度20分32秒東経140度25分9秒﻿ / ﻿北緯36.34222度 東経140.41917度﻿ /36.34222; 140.41917","","","","","","","","","","","","","",""
"森林総合研究所","[森林総合研究所樹木園（茨城県つくば市）] 国立研究開発法人森林研究・整備機構 （しんりんけんきゅう・せいびきこう）は、 林野庁 所管の 国立研究開発法人 。2017年（平成29年）4月1日までの名称は 国立研究開発法人森林総合研究所 （しんりんそうごうけんきゅうじょ、 英 ：Forestry and Forest Products Research Institute、 FFPRI ）、 略称 は 森林総研 。本所は 茨城県 つくば市 松の里 1番地（ 筑波研究学園都市 内）に置く。","https://ja.wikipedia.org/wiki/森林総合研究所","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度0分29.9秒 東経140度7分54.6秒","","","","","","","","","","","","","","","","","","",""
"筑波実験植物園","[筑波実験植物園（茨城県つくば市）] 国立科学博物館 筑波実験植物園 （こくりつかがくはくぶつかん つくばじっけんしょくぶつえん）は、 日本 茨城県 つくば市 天久保 四丁目1番地1にある 植物 の 研究機関 である。通称、 つくば植物園  。敷地面積14 ヘクタール 。","https://ja.wikipedia.org/wiki/筑波実験植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度6分5秒東経140度6分42秒","〒305-0005茨城県つくば市天久保四丁目1番地1","1983年10月","筑波実験植物園","独立行政法人国立科学博物館","北緯36度6分5秒東経140度6分42秒﻿ / ﻿北緯36.10139度 東経140.11167度﻿ /36.10139; 140.11167","植物研究・教育","","","","","","","","","","","","",""
