"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","交差物件","全長","形式","幅","建設","最大支間長","材料","路線名","用途","高さ","管理者","開通","竣工","着工","施工者","起点","終点"
"幣舞橋","[北海道三大名橋 4代目幣舞橋（釧路市）、現在の旭橋（旭川市）、4代目豊平橋（札幌市）] 幣舞橋 （ぬさまいばし、英語：Nusamai Bridge  ）は、 北海道 釧路市 の 釧路川 に架かる 橋 。幣舞の名前は アイヌ語 の「ヌサ・オ・マイ」（nusa-o-mai 幣場の・ある・ところ）が由来とされている   。","https://ja.wikipedia.org/wiki/幣舞橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯42度58分51.72秒東経144度23分8.03秒","北海道釧路市","日本","釧路川","124.0m","3径間連続鋼床版箱桁橋","33.8m","","54.0m","","","","","","","","","","",""
"白鳥大橋","[白鳥大橋（室蘭市東日本最大の吊橋）] 白鳥大橋 （はくちょうおおはし）は、 北海道 室蘭市 にある 国道37号 （ 白鳥新道 ）の 橋 。通行無料の 自動車専用道路 になっている。橋の名称は、 室蘭港 の別名「白鳥湾」から名づけられた   。","https://ja.wikipedia.org/wiki/白鳥大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯42度21分11.8秒東経140度57分0.7秒","北海道（胆振総合振興局）室蘭市","日本","室蘭港","1,380m","3径間2ヒンジ補剛吊橋","14.25 m","1985年-1998年","720 m","剛床版箱桁","","","140 m","","","","","","",""
"長流川橋","[長流川橋（洞爺湖町高速道路の橋、日本最長）] 長流川橋 （おさるがわばし）は、 日本 の 北海道 伊達市 長和町の 長流川 に架かる、 東日本高速道路 （NEXCO東日本） 道央自動車道 の 橋梁 。","https://ja.wikipedia.org/wiki/長流川橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯42度29分58秒東経140度51分15秒","北海道伊達市長和町","日本","二級河川長流川","1,772.5 m","鉄筋コンクリート道路橋","10 m","1991-1994年","40 m","","","","40 m","","","","","","",""
"ミュンヘン大橋","[ミュンヘン大橋（札幌市 橋梁上にローゼ風の展望台がある）] ミュンヘン大橋 （ミュンヘンおおはし）は、 札幌市 の 豊平川 にかかる 橋 。","https://ja.wikipedia.org/wiki/ミュンヘン大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯43度1分1.3秒東経141度21分10.8秒","札幌市（豊平区-南区）","日本","豊平川","172m","2径間連続PC斜張橋","22.0m","","","","","","53.6m（主塔）","","","","","","",""
"士狩大橋","[士狩大橋（帯広市 4径間連続エクストラドーズド橋）石狩川#橋梁、釧路川#橋梁、十勝川#主な橋梁、道東自動車道#主なトンネルと橋なども参照] 士狩大橋 （しかりおおはし）は、 北海道 河西郡 芽室町 の 十勝川 に架かる 橋 。","https://ja.wikipedia.org/wiki/士狩大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯42度56分12.3秒東経143度6分26.2秒","北海道河西郡芽室町","日本","十勝川","610m","5径間連続箱桁エクストラドーズド橋","23m","1996年-2000年","140m","","","","","","","","","","",""
"石狩川","[石狩川#橋梁、釧路川#橋梁、十勝川#主な橋梁、道東自動車道#主なトンネルと橋なども参照] 石狩川 （いしかりがわ）は、 北海道 中西部を流れ 日本海 へ注ぐ石狩川 水系 本流の 一級河川 である。 流域面積 は 14,330 km 2 で 利根川 に次いで全国2位、長さ268km は 信濃川 、利根川に次いで3位で、 日本三大河川 のうちの1つに数えられている。 北海道遺産 に選定されている。","https://ja.wikipedia.org/wiki/石狩川#橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"青岩橋","[青岩橋（青森県三戸町-岩手県二戸市）余部橋梁の架け替えにより、日本最長のトレッスル橋になった。阿武隈川#橋梁、北上川#主な橋梁、最上川#平行する交通#橋梁、も参照] 青岩橋 （せいがんばし）は、日本の 青森県 三戸町 と 岩手県 二戸市 の境で 馬淵川 にかかる橋である。道路橋としては珍しい トレッスル橋 で、橋面は鉄筋コンクリート。橋長189メートル、幅6メートル  。 1935年 （ 昭和 10年）に架けられ、 国道4号 を通したが、後に 青岩バイパス の青岩大橋に役割が交代した。","https://ja.wikipedia.org/wiki/青岩橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯40度20分42秒 東経141度16分28.8秒","","","","","","","","","","","","","","","","","","",""
"阿武隈川","[阿武隈川#橋梁、北上川#主な橋梁、最上川#平行する交通#橋梁、も参照] 阿武隈川 （あぶくまがわ）は、 福島県 および 宮城県 を流れる阿武隈川 水系 の本流で、 一級河川  である。水系としての流路延長239 km は、 東北地方 で 北上川 に次ぐ長さの川である。","https://ja.wikipedia.org/wiki/阿武隈川#橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯38度02分47秒東経140度55分20秒","","","","","","","","","","","","","","","","","","",""
"青森中央大橋","[青森中央大橋（青森市）] 青森中央大橋 （あおもりちゅうおうおおはし）とは、 青森県 青森市 中心部の 青い森鉄道  および 青森信号場 を跨ぐ 橋梁 。","https://ja.wikipedia.org/wiki/青森中央大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯40度48分50秒東経140度44分32秒","青森県青森市","日本","","1.0km","","22.0m","","","","","","","","","","","","",""
"青森ベイブリッジ","[青森ベイブリッジ（青森市）] 青森ベイブリッジ （あおもりベイブリッジ）は、 青森県 青森市 にある 橋梁 である。 青森港 の貨物運搬の渋滞緩和を目的として建てられた。青森市の名景の1つとなっている。","https://ja.wikipedia.org/wiki/青森ベイブリッジ","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯40度49分48.9秒東経140度44分10.9秒","青森県青森市","日本","青森湾（青森港）","1219.0m","PC斜張橋（主径間部）","25.0m","1985-1994年","240m","","","","","","","","","","",""
"津軽りんご大橋","[津軽りんご大橋（弘前市、北津軽郡板柳町）] 津軽りんご大橋 （つがるりんごおおはし）は、 青森県 弘前市 種市と 北津軽郡 板柳町 掛落林を結び、 岩木川 を跨ぐ橋である。 青森県道125号小友板柳停車場線 の一部をなす。 2003年 11月7日 開通   。7径間連続非合成鈑桁橋で、全長は305.3 m、幅員は車道9.5 m、歩道2 mである  。","https://ja.wikipedia.org/wiki/津軽りんご大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯40度42分35秒東経140度26分4.65秒","弘前市-板柳町間","日本","岩木川","305.3m","桁橋","","2002年","","","","","","","","","","","",""
