"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","公式サイト","外部リンク","法人番号","国","地方","総人口","人口密度","駐車場","開園","都道府県","市町村コード","隣接自治体","設備・遊具","市長","事務所"
"函館公園","[1函館公園市立総合公園北海道函館市函館公園] 函館公園 （はこだてこうえん）は、 北海道 函館市 にある 都市公園 （総合公園）。近代日本における代表的な 都市公園 の1つであり、 文化財保護法 に基づく 登録記念物 （ 名勝 地関係）に登録されている  。また、「 日本の歴史公園100選 」や「北の造園遺産」にも選定されている   。なお、函館公園の敷地は 財務省 所管の 国有財産 であり、函館市が無償貸与を受けている  。","https://ja.wikipedia.org/wiki/函館公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯41度45分24秒東経140度42分58秒","日本北海道函館市青柳町","4.8ヘクタール","都市公園（総合公園）","函館市（指定管理者：函館市公園管理コンソーシアム）","","","","","","","","障がい者用4台","1879年11月3日","","","","ビジターセンター、動物園、博物館、遊園地、噴水、池、花壇","","函館公園ビジターセンター"
"歴史公園","[2五稜郭公園市立歴史公園北海道函館市五稜郭] 歴史公園 （れきしこうえん）とは、 文化遺産 ・ 史跡 の保護維持と 歴史 継承を目的として設置される 公園 。また、公園として設置されたものでなく、 古墳 や 古民家 などの文化遺産の公開されている敷地を「歴史公園」と呼ぶ場合もある。","https://ja.wikipedia.org/wiki/歴史公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"春採公園","[3春採公園市立総合公園北海道釧路市春採台地竪穴群・鶴ヶ岱チャランケ砦] 春採公園 （はるとりこうえん）は、 北海道 釧路市 にある 公園 。 1962年 に旧釧路公園から分離した。園内に 春採湖 や 釧路市立博物館 、 史跡 「春採台地竪穴群」「鶴ヶ岱チャランケ砦（チャシ）跡」、 天然記念物 「春採湖のヒブナ生息地」などを有する。「 日本の歴史公園100選 」や「北の造園遺産」にも認定されている。釧路の代表的公園の一つ  。","https://ja.wikipedia.org/wiki/春採公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯42度58分24秒東経144度24分15秒","日本北海道釧路市春湖台、千歳町、柏木町、春採","68.6ヘクタール（うち湖水面積36.1ヘクタール）","総合公園","釧路市公園緑化協会（指定管理者）","","","","","","","","","1956年10月15日","","","","博物館、ネイチャーセンター、野草園、ロックガーデン、散策路、バーベキューコーナー、池、湖、遺跡","",""
"明治公園 (根室市)","[4明治公園市立総合公園北海道根室市根室牧畜場] 明治公園 （めいじこうえん）は、 北海道 根室市 にある 公園 。「 日本の歴史公園100選 」選定  。","https://ja.wikipedia.org/wiki/明治公園_(根室市)","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯43度20分05秒東経145度35分55秒","日本北海道根室市牧の内","11.4ヘクタール","総合公園","","","","","","","","","100台","1979年8月1日（一部供用）1982年12月1日（全面供用）","","","","遊具、広場、噴水、サイロ、池、園路","",""
"青森県総合運動公園","[5青森県総合運動公園（遺跡区域）県立広域公園青森県青森市三内丸山遺跡] 青森県総合運動公園 （あおもりけんそうごううんどうこうえん）は 青森県 青森市 安田近野にある青森県立の 都市公園 （広域公園）である。公園内には、運動施設のほか、美術館、遺跡などもある。 新青森県総合運動公園 とは別の施設であり、 指定管理者制度 に基づき、スポルト青い森グループが 指定管理者 として管理・運営を行っている。","https://ja.wikipedia.org/wiki/青森県総合運動公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯40度48分22.9秒東経140度42分22.2秒","日本青森県青森市安田字近野","66.0 ha","都市公園（広域公園）","青森県（指定管理者：スポルト青い森グループ）","青森県のサイト","","","","","","","","","","","","","",""
"合浦公園","[6合浦公園市立総合公園青森県青森市三譽の松ほか奥州街道松並木] 合浦公園 （がっぽこうえん）は、 青森県 青森市 中心部から東部に位置する青森市立の 都市公園 （総合公園）で、 青森湾 に面している。園内には 青森市営野球場 がある。","https://ja.wikipedia.org/wiki/合浦公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯40度49分47.7秒東経140度46分44.5秒","日本青森県青森市合浦2丁目86外北緯40度49分47.7秒東経140度46分44.5秒﻿ / ﻿北緯40.829917度 東経140.779028度﻿ /40.829917; 140.779028","17.0ha","都市公園（総合公園）","青森市（指定管理者：パークメンテ青い森グループ）","指定管理者のサイト","","","","","","","","1894年","","","","C11 167、動物舎など","","パークメンテ青い森グループ"
"鷹揚公園","[7鷹揚公園市立総合公園青森県弘前市弘前城] 弘前公園 （ひろさきこうえん）は、 青森県 弘前市 にある 公園 。別名は、 鷹揚公園 （おうようこうえん）、 鷹揚園 （おうようえん）。弘前市都市公園条例での名称は「鷹揚園」  。","https://ja.wikipedia.org/wiki/鷹揚公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯40度36分28.93秒東経140度27分49.7秒","日本青森県弘前市大字下白銀町1","約48.9ha","都市公園（総合公園）","弘前市","弘前市のサイト","","","","","","","","1895年","","","","弘前城天守（史料館）、弘前市立博物館、弘前市民会館、弘前城植物園、弘前市緑の相談所、西濠ボート","",""
"三戸町","[8城山公園町立総合公園青森県三戸町三戸城] 三戸町 （さんのへまち）は、 青森県 三戸郡 の南端、 岩手県 との境に位置する 町 である。","https://ja.wikipedia.org/wiki/三戸町","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯40度22分42.2秒東経141度15分31.6秒","〒039-0198青森県三戸郡三戸町大字在府小路町43北緯40度22分42.2秒東経141度15分31.6秒﻿ / ﻿北緯40.378389度 東経141.258778度﻿ /40.378389; 141.258778","151.79km2","","","","公式ウェブサイト","3000020024414","日本","東北地方","8,792人（推計人口、2021年5月1日）","57.9人/km2","","","青森県","02441-4","三戸郡南部町、田子町、新郷村秋田県鹿角市岩手県二戸市","","",""
"岩手県","[9岩手公園市立総合公園岩手県盛岡市盛岡城] 東北地方 の北部（北東北）に所在し、北は 青森県 、西は 秋田県 、南は 宮城県 と境界を接している。面積は15,275.01 km 2 で  、日本の 都道府県 としては、 北海道 に次いで2番目に広い。県の人口およそ125万人のうち、100万人以上（7割強）は、内陸部の 北上盆地 に集中している。盆地と海岸部以外は山地や丘陵地が多く、緑豊かな県である。","https://ja.wikipedia.org/wiki/岩手県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯39度42分12.6秒東経141度9分9.8秒","〒020-8570岩手県盛岡市内丸10番1号北緯39度42分12.6秒東経141度9分9.8秒﻿ / ﻿北緯39.703500度 東経141.152722度﻿ /39.703500; 141.152722﻿ (岩手県庁)座標:北緯39度42分12.6秒東経141度9分9.8秒﻿ / ﻿北緯39.703500度 東経141.152722度﻿ /39.703500; 141.152722﻿ (岩手県庁)","15,275.01km2","","","","公式ウェブサイト","4000020030007","日本","東北地方","1,200,357人（推計人口、2021年6月1日）","78.6人/km2","","","","","","","",""
"高田松原公園 (存在しないページ)","[10高田松原公園市立総合公園岩手県陸前高田市高田松原]","https://ja.wikipedia.org/w/index.php?title=高田松原公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"青葉山公園","[11青葉山公園市立総合公園宮城県仙台市仙台城] 青葉山公園 （あおばやまこうえん）は、 宮城県 仙台市 青葉区 にある 都市公園 である。仙台市が管理している。 青葉山 の東端から 広瀬川 右岸にかけての部分を敷地とし、 仙台城 （青葉城）の跡地の一部やその堀である 五色沼 、長沼を園内に含んでいる。また、 仙台市博物館 や 仙台国際センター といった公共施設が園内に立地している。仙台城の本丸跡からは仙台の街並みや、遠く 太平洋 を眺めることができる。","https://ja.wikipedia.org/wiki/青葉山公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯38度15分21.5秒東経140度50分83秒","日本宮城県仙台市青葉区川内1-2 ほか","40.5ha","都市公園 > 基幹公園 > 都市基幹公園 > 総合公園","","","","","","","","","有料","","","","","仙台城址、仙台市博物館、仙台国際センター、テニスコート、四阿（あづまや）、彫像、ベンチ、水飲み場、植栽、照明灯","",""
"千秋公園","[12千秋公園市立総合公園秋田県秋田市久保田城] 千秋公園 （せんしゅうこうえん）は、 秋田県 秋田市 の 久保田城 跡にある 都市公園 （総合公園）である  。「千秋公園（久保田城跡）」として秋田市指定 名勝 に指定されている   。","https://ja.wikipedia.org/wiki/千秋公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯39度43分20秒東経140度7分26秒","日本秋田県秋田市千秋公園","16.29ヘクタール","都市公園（総合公園）","秋田市","秋田市のサイト","","","","","","","14台（30分100円のコインパーキング）","","","","","","",""
"中央公園","[13中央公園町立地区公園秋田県小坂町明治百年通りの小坂鉱山関連施設] 中央公園 （ちゅうおうこうえん）は、 日本 などに見ることができる 公園 の名称の一つ。","https://ja.wikipedia.org/wiki/中央公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"霞城公園","[14霞城公園市立総合公園山形県山形市山形城] 霞城公園 （かじょうこうえん）は、 山形市 の中心部にある城址 公園 。","https://ja.wikipedia.org/wiki/霞城公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯38度15分19.5秒 東経140度19分41秒","","","","","","","","","","","","","","","","","","",""
"南湖公園","[15南湖公園市立風致公園福島県白河市南湖] 南湖公園 （なんここうえん）は、 福島県 白河市 にある 都市公園 （風致公園）である  。日本最古の公園といわれており、 1924年 （ 大正 13年）12月9日、国の 史跡 および 名勝 に指定されている。","https://ja.wikipedia.org/wiki/南湖公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯37度6分35秒 東経140度13分11秒","日本福島県白河市南湖白河市南湖-地理院地図南湖公園-Google マップ","44.4 ha","都市公園（風致公園）","白河市","白河市のサイト","","","","","","","","","","","","","",""
"偕楽園","[16偕楽園県立広域公園茨城県水戸市偕楽園] 偕楽園 （かいらくえん）は、 日本 の 茨城県 水戸市 にある 日本庭園 である。国の 史跡 及び 名勝 に指定されている（指定名称は「常磐公園」  ）。 伝統 的に、 後楽園 （ 岡山県 岡山市 ）や 兼六園 （ 石川県 金沢市 ）と並んで 日本三名園 の一つに数えられている。","https://ja.wikipedia.org/wiki/偕楽園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯36度22分23秒東経140度27分22秒","日本茨城県水戸市見川","13ha（拡張部を合わせると300ha）","都市公園（広域公園）","茨城県","公式ウェブサイト","","","","","","","","1842年（天保13年）7月1日","","","","","",""
