"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","管理運営","事業主体","専門分野","公式サイト","正式名称","アクセス","面積","愛称","種数","館長","前身","頭数","主な飼育動物","水槽総容量","最大水槽容量","来園者数"
"サンピアザ水族館","[サンピアザ水族館（北海道札幌市、サンピアザ内）★] サンピアザ水族館 （サンピアザすいぞくかん）は、 札幌市 厚別区 の 新札幌副都心 にある 水族館 。財団法人さっぽろ副都心社会文化財団の解散に伴い、2009年（平成21年）1月1日から札幌副都心開発公社が運営している  。","https://ja.wikipedia.org/wiki/サンピアザ水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯43度02分13秒東経141度28分18秒","〒004-0052札幌市厚別区厚別中央2条5丁目7-5","北緯43度02分13秒東経141度28分18秒﻿ / ﻿北緯43.03694度 東経141.47167度﻿ /43.03694; 141.47167座標:北緯43度02分13秒東経141度28分18秒﻿ / ﻿北緯43.03694度 東経141.47167度﻿ /43.03694; 141.47167","1982年","札幌副都心開発公社","","","新札幌「サンピアザ水族館」","","北海道旅客鉄道（JR北海道）新札幌駅から徒歩約3分札幌市営地下鉄東西線新さっぽろ駅から徒歩約5分道央自動車道大谷地IC・札幌南ICから車で約8〜10分","","","約200","大滝文生","","","","","",""
"札幌市豊平川さけ科学館","[札幌市豊平川さけ科学館（北海道札幌市）] 札幌市豊平川さけ科学館 （さっぽろしとよひらがわさけかがくかん）は、 北海道 札幌市 南区 真駒内公園 内にある、 サケ 回帰事業と自然知識普及を目的とする 博物館 、 科学館 。「 さけ科学館 」と略されることが多い。建物は、北海道を代表する建築家の 田上義也 の設計による。","https://ja.wikipedia.org/wiki/札幌市豊平川さけ科学館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯43度0分4秒東経141度20分36秒","〒005-0017北海道札幌市南区真駒内公園内","北緯43度0分4秒東経141度20分36秒﻿ / ﻿北緯43.00111度 東経141.34333度﻿ /43.00111; 141.34333","1984年10月6日","公益財団法人札幌市公園緑化協会（指定管理者）","札幌市","サケ回帰事業","","","","","さけ科学館","","","","","","","",""
"おたる水族館","[おたる水族館（北海道小樽市）★] おたる水族館 （おたるすいぞくかん）は、小樽水族館公社（ 第三セクター ）が 北海道 小樽市 で運営する 水族館 である。","https://ja.wikipedia.org/wiki/おたる水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯43度14分12.5秒東経141度0分40.5秒","〒047-0047北海道小樽市祝津3丁目303番地","北緯43度14分12.5秒東経141度0分40.5秒﻿ / ﻿北緯43.236806度 東経141.011250度﻿ /43.236806; 141.011250座標:北緯43度14分12.5秒東経141度0分40.5秒﻿ / ﻿北緯43.236806度 東経141.011250度﻿ /43.236806; 141.011250","1959年1月","株式会社小樽水族館公社","小樽市（第三セクター）","総合","otaru-aq.jp","おたる水族館","小樽駅より「おたる水族館」行バスで終点下車徒歩1分","107,000㎡","","約260種","伊勢伸哉","小樽市立水族館","5,000頭","ネズミイルカ・アザラシ・ペンギンなど","","","32万840人（2006年）"
"稚内市立ノシャップ寒流水族館","[稚内市立ノシャップ寒流水族館（北海道稚内市）] 稚内市立ノシャップ寒流水族館 （わっかないしりつノシャップかんりゅうすいぞくかん）は、 北海道 稚内市 にある 水族館 。 稚内市青少年科学館 が隣接しており、どちらも水族館・科学館施設としては日本最北端に所在する。","https://ja.wikipedia.org/wiki/稚内市立ノシャップ寒流水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯45度26分57.6秒東経141度38分41.7秒","〒097-0026北海道稚内市ノシャップ2-2-17","北緯45度26分57.6秒東経141度38分41.7秒﻿ / ﻿北緯45.449333度 東経141.644917度﻿ /45.449333; 141.644917","1968年(昭和43年)7月21日","稚内市教育委員会科学振興課","稚内市","","稚内市立ノシャップ寒流水族館","","","","","","","","","","","",""
"美深チョウザメ館 (存在しないページ)","[美深チョウザメ館（北海道中川郡美深町）]","https://ja.wikipedia.org/w/index.php?title=美深チョウザメ館&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"オホーツクとっかりセンター","[オホーツクとっかりセンター（北海道紋別市）] オホーツクとっかりセンター は 北海道 紋別市 海洋公園2番地にある日本で唯一の 海獣 専門保護施設。名前の「とっかり」は「 アザラシ 」を意味する アイヌ語 「トゥカラ（tukar）」に由来する北海道方言。愛称は ゴマちゃんランド 。","https://ja.wikipedia.org/wiki/オホーツクとっかりセンター","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯44度20分0.9秒東経143度22分24.7秒","北海道紋別市海洋公園2番地","北緯44度20分0.9秒東経143度22分24.7秒﻿ / ﻿北緯44.333583度 東経143.373528度﻿ /44.333583; 143.373528座標:北緯44度20分0.9秒東経143度22分24.7秒﻿ / ﻿北緯44.333583度 東経143.373528度﻿ /44.333583; 143.373528","1987年","","北海道紋別市","海獣専門保護","","","","","ゴマちゃんランド","","","","","","","",""
"オホーツクタワー (存在しないページ)","[オホーツクタワー（北海道紋別市）]","https://ja.wikipedia.org/w/index.php?title=オホーツクタワー&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"標津サーモン科学館","[標津サーモン科学館（北海道標津郡標津町）] 標津サーモン科学館 （しべつサーモンかがくかん）は、 北海道 標津町 にある 鮭 、 鱒 の生態系を扱う標津町立の 科学館 である。","https://ja.wikipedia.org/wiki/標津サーモン科学館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯43度39分36.3秒東経145度06分58.1秒","〒086-1631日本北海道標津郡標津町北1条西6丁目1-1","北緯43度39分36.3秒東経145度06分58.1秒﻿ / ﻿北緯43.660083度 東経145.116139度﻿ /43.660083; 145.116139座標:北緯43度39分36.3秒東経145度06分58.1秒﻿ / ﻿北緯43.660083度 東経145.116139度﻿ /43.660083; 145.116139","1991年（平成3年）9月15日","標津町","標津町","サケ・マス","","標津サーモン科学館","","","","","市村政樹","","","","","",""
"山の水族館","[おんねゆ温泉 北の大地の水族館 -山の水族館-（北海道北見市留辺蘂町・温根湯温泉）] 山の水族館 （やまのすいぞくかん　YAMA NO Aquarium）は 北海道 北見市 留辺蘂町 （るべしべちょう）の 温根湯温泉 （おんねゆおんせん）にある 淡水魚 の 水族館 。 北の大地の水族館 とも呼称される  。","https://ja.wikipedia.org/wiki/山の水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯43度45分15.4秒東経143度30分1秒","〒091-0153北海道北見市留辺蘂町松山1番地4","北緯43度45分15.4秒東経143度30分1秒﻿ / ﻿北緯43.754278度 東経143.50028度﻿ /43.754278; 143.50028座標:北緯43度45分15.4秒東経143度30分1秒﻿ / ﻿北緯43.754278度 東経143.50028度﻿ /43.754278; 143.50028","1978年(昭和53年)4月29日 - 2011年11月6日移築・2012年7月7日 -","果夢林（かむりん）ショップ運営協議会（指定管理者）","北見市","水族館（淡水魚）","onneyu-aq.com","山の水族館","JR留辺蕊駅から道の駅おんねゆ温泉行きバス約20分、終点下車徒歩2分","約600m2","","約50種","","山の水族館・郷土館","約3000点","イトウなど北海道の魚、ピラルクーなど熱帯魚","","50t",""
"サケのふるさと 千歳水族館","[サケのふるさと　千歳水族館（北海道千歳市、道の駅サーモンパーク千歳併設）★] サケのふるさと 千歳水族館 （さけのふるさと ちとせすいぞくかん）は、 北海道 千歳市 にある 水族館 。","https://ja.wikipedia.org/wiki/サケのふるさと_千歳水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯42度49分58秒東経141度39分33秒","〒066-0028北海道千歳市花園2丁目312","北緯42度49分58秒東経141度39分33秒﻿ / ﻿北緯42.83278度 東経141.65917度﻿ /42.83278; 141.65917座標:北緯42度49分58秒東経141度39分33秒﻿ / ﻿北緯42.83278度 東経141.65917度﻿ /42.83278; 141.65917","1994年9月10日2015年7月25日（リニューアル）","千歳青少年教育財団","","淡水魚","サケのふるさと 千歳水族館","","千歳駅から徒歩約10分新千歳空港から車で約10分千歳相互観光バス「千歳水族館入口」停留所","","","","菊池基弘","千歳サケのふるさと館","","","","",""
