"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","位置","アクセス","周囲長","最大水深","貯水量","成因","淡水・汽水","所在海域","最高標高","全長","駐車場","平均水深","水面の,標高","湖沼型","透明度","海岸線長"," • 合計"
"島武意海岸","[島武意海岸北海道積丹郡積丹町] 島武意海岸 （しまむいかいがん）は、 北海道 積丹町 出岬町にある 日本海 に面した 海岸 である。","https://ja.wikipedia.org/wiki/島武意海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"江ノ島海岸 (存在しないページ)","[江ノ島海岸島牧郡島牧村]","https://ja.wikipedia.org/w/index.php?title=江ノ島海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"百人浜 (存在しないページ)","[百人浜・襟裳岬幌泉郡えりも町]","https://ja.wikipedia.org/w/index.php?title=百人浜&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"トド原","[トド原野付郡別海町] トドワラ は、 北海道 東部の 根室振興局 野付郡 別海町 の 野付半島 にある、立ち枯れた トドマツ 林の跡である。","https://ja.wikipedia.org/wiki/トド原","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"イタンキ浜","[イタンキ浜室蘭市] イタンキ浜 （イタンキはま）は、 北海道 室蘭市 みゆき町にある 砂浜 及びその地名。 チキウ岬 の北東に位置し、 太平洋 に面して約1.7kmの砂浜 海岸 を形成している。 鳴き砂 があることで知られ、 日本の渚百選 に指定されている。","https://ja.wikipedia.org/wiki/イタンキ浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"都道府県","[都道府県自治体] 都道府県 （とどうふけん）は、 日本 の 広域的地方公共団体 である「 都 」「 道 」「 府 」「 県 」の総称。","https://ja.wikipedia.org/wiki/都道府県","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"岡崎海岸 (青森県) (存在しないページ)","[岡崎海岸青森県西津軽郡深浦町]","https://ja.wikipedia.org/w/index.php?title=岡崎海岸_(青森県)&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"椿山海岸 (存在しないページ)","[椿山海岸東津軽郡平内町]","https://ja.wikipedia.org/w/index.php?title=椿山海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"大須賀海岸","[大須賀海岸八戸市] 大須賀海岸 （おおすかかいがん）は 青森県 八戸市 にある 海岸 。 三陸復興国立公園 の区域内にある。","https://ja.wikipedia.org/wiki/大須賀海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"高田松原","[高田松原岩手県陸前高田市] 高田松原 （たかたまつばら）は、 岩手県 陸前高田市 気仙町 の 太平洋 岸にある 松原 で、かつては約7万本が2キロメートルの 砂浜 に茂っていたが、 東日本大震災 （2011年）による 津波 で 奇跡の一本松 を残して倒壊した。その後、4万本を目指して 植樹 による再生が進められ  、2021年5月18日に完了した  。このうち600本は、震災前年に クリスマス の飾り物用に地元の女性が高田松原で拾い集めて保管していた 松ぼっくり を 森林総合研究所 材木育種センター 東北 育種場に寄託し、その種から育てた苗木が使われた  。","https://ja.wikipedia.org/wiki/高田松原","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"浄土ヶ浜","[浄土ヶ浜宮古市] 浄土ヶ浜 （じょうどがはま）は、 岩手県 宮古市 にある 海岸 。国の 名勝 に指定されている。 三陸復興国立公園 に属し、 三陸 を代表する景勝地の1つである。","https://ja.wikipedia.org/wiki/浄土ヶ浜","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"碁石海岸","[碁石海岸大船渡市] 碁石海岸 （ごいしかいがん）は、 岩手県 大船渡市 末崎半島にある  、 碁石 のような扁平な石（黒色の 泥岩 による円礫）を主体とする 海岸 、および、周辺の観光エリアの総称。 三陸復興国立公園 に属する。","https://ja.wikipedia.org/wiki/碁石海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"奥松島","[奥松島宮城県東松島市] 松島 （まつしま）は、 宮城県 の松島湾内外にある 諸島 のこと。または、それら諸島と湾周囲を囲む 松島丘陵 も含めた修景地区のことである。 日本三景 の1つに数えられている。2018年の観光入込客数は600万人  。","https://ja.wikipedia.org/wiki/奥松島","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"大島 (宮城県気仙沼市)","[十八鳴浜気仙沼市] 大島 （おおしま）は、 日本 の 東北地方 の 三陸海岸 に位置する、 面積 8.50平方キロメートルの 島 。 行政 上は 宮城県 気仙沼市 に属する有人島の一つ。この島は通常「 大島 」と呼ばれるが、全国各地にある他の「 大島 」と区別するために「 気仙沼大島 」（けせんぬま おおしま）と呼ばれることもある  。","https://ja.wikipedia.org/wiki/大島_(宮城県気仙沼市)","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","北緯38度51分42秒東経141度37分44秒","日本（宮城県）","8.50km²","","","","","","","","太平洋","235m","","","","","","","22km",""
"象潟海岸 (存在しないページ)","[象潟海岸秋田県にかほ市]","https://ja.wikipedia.org/w/index.php?title=象潟海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"鵜ノ崎海岸 (存在しないページ)","[鵜ノ崎海岸男鹿市]","https://ja.wikipedia.org/w/index.php?title=鵜ノ崎海岸&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"荒崎","[荒崎山形県酒田市] 荒崎 、 荒埼 （あらさき）","https://ja.wikipedia.org/wiki/荒崎","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"由良海岸 (山形県) (存在しないページ)","[由良海岸鶴岡市]","https://ja.wikipedia.org/w/index.php?title=由良海岸_(山形県)&amp;action=edit&amp;redlink=1","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"薄磯海水浴場","[薄磯海岸福島県いわき市] 薄磯海水浴場 （うすいそかいすいよくじょう）は、 福島県 いわき市 平 薄磯にある 海水浴場 。 日本の渚百選 に選ばれている。","https://ja.wikipedia.org/wiki/薄磯海水浴場","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"大洲海岸","[大洲海岸相馬市] 大洲海岸 （おおすかいがん）は、 福島県 相馬市 にある 海岸 、景勝地。 日本の渚百選 に選ばれている。","https://ja.wikipedia.org/wiki/大洲海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"都道府県","[都道府県自治体] 都道府県 （とどうふけん）は、 日本 の 広域的地方公共団体 である「 都 」「 道 」「 府 」「 県 」の総称。","https://ja.wikipedia.org/wiki/都道府県","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"大洗海岸","[大洗海岸茨城県東茨城郡大洗町] 大洗海岸 （おおあらいかいがん）は、 茨城県 東茨城郡 大洗町 にある 海岸 、景勝地。大洗 県立自然公園 に含まれる。かつては潮湯治の場として 群馬県 出身の 詩人 の 山村暮鳥 が 結核 療養のために晩年を過ごした。 ひたちなか市 にある平磯海岸と同じく県内初の 海水浴場 である。","https://ja.wikipedia.org/wiki/大洗海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"五浦海岸","[五浦海岸北茨城市] 五浦海岸 （いづらかいがん  ）は、 茨城県 北茨城市 大津町五浦にある 海岸 、 景勝地 。 花園花貫県立自然公園 に属する。「 関東 の 松島 」の異名を持つ  。 岡倉天心旧宅・庭園及び大五浦・小五浦 の一部として 国 の 登録記念物 に登録されている  。","https://ja.wikipedia.org/wiki/五浦海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
"高戸海岸","[高戸海岸高萩市] 高戸海岸 （たかどかいがん）は、 茨城県 高萩市 にある 海岸 。高萩市内の複数に分けられる海岸地域の1つであり、「高戸小浜海岸」ともよばれる。同海岸は茨城県立の海岸公園にも指定され、 日本の渚百選 にも選定されている。","https://ja.wikipedia.org/wiki/高戸海岸","日本の渚百選","https://ja.wikipedia.org/wiki/日本の渚百選","表形式","","","","","","","","","","","","","","","","","","","",""
