"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","泉質","交通","泉温（,摂氏,）","外部リンク","宿泊施設数","液性の分類","pH","湧出量","浸透圧の分類","総収容人員数","特記事項","年間浴客数","統計年","営業時間","温泉施設数","登録路線","登録回","登録日"
"礼文島温泉","[礼文島温泉] 礼文島温泉 （れぶんとうおんせん）は、 北海道 礼文郡 礼文町 にある 温泉 。","https://ja.wikipedia.org/wiki/礼文島温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯45度18分0.5秒東経141度2分51.1秒","北海道礼文郡礼文町大字香深村礼文島温泉北海道地図","ナトリウム－塩化物・硫酸塩泉","礼文町香深港から徒歩5分ほど","50.2°C","","","アルカリ性","8.6","毎分200ℓ （動力揚湯）","低張性","","温泉分析書","","","","","","",""
"利尻ふれあい温泉","[利尻ふれあい温泉] 利尻ふれあい温泉 （りしりふれあいおんせん）は 北海道 利尻郡 利尻町 沓形にある 温泉 。","https://ja.wikipedia.org/wiki/利尻ふれあい温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯45度11分5.4秒東経141度8分0.9秒","北海道利尻郡利尻町沓形字富士見町利尻ふれあい温泉北海道地図","含二酸化炭素 - ナトリウム・マグネシウム -塩化物・炭酸水素塩泉","沓形フェリーターミナルから徒歩5分","33.8°C","ホテル利尻","1","中性","6.75","毎分600Ｌ（掘削自噴）","高張性","","","","","","","","",""
"利尻富士温泉","[利尻富士温泉] 利尻富士温泉 （りしりふじおんせん）は、 北海道 利尻郡 利尻富士町 鴛泊にある 温泉 。","https://ja.wikipedia.org/wiki/利尻富士温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯45度14分24.1秒東経141度12分58.5秒","北海道利尻郡利尻富士町鴛泊字栄町利尻富士温泉北海道地図","ナトリウム塩化物・炭酸水塩泉","ハートランドフェリー鴛泊港フェリーターミナルより車で約3分","40.0°C","利尻富士温泉","","弱アルカリ性","7.5","190L/min","低張性","","","","","","","","",""
"稚内温泉","[稚内温泉] 稚内温泉 （わっかないおんせん）は、 北海道 稚内市 富士見地区にある日本最北端の 温泉 。","https://ja.wikipedia.org/wiki/稚内温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯45度25分17.1秒東経141度38分16.4秒","北海道稚内市富士見4丁目1487稚内温泉北海道地図","ナトリウム - 塩化物・炭酸水素塩泉（含重曹強食塩泉）","JR北海道宗谷本線稚内駅よりバスでおよそ15分","34.4°C","稚内温泉童夢","2","弱アルカリ性","7.6","51L（自噴）","","","","","","","","","",""
"豊富温泉","[豊富温泉] 豊富温泉 （とよとみおんせん）は、 北海道 天塩郡 豊富町 にある温泉。 日本 の 温泉郷 としては最北に位置する  。","https://ja.wikipedia.org/wiki/豊富温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯45度4分25秒東経141度50分23秒","北海道天塩郡豊富町字温泉豊富温泉 (北海道)","ナトリウム塩化物泉","鉄道：JR北海道宗谷本線豊富駅詳細は#アクセス参照","41 - 42°C","豊富町観光協会","6件","","","","","","","","","","","","",""
"さるふつ温泉","[さるふつ温泉] さるふつ温泉 （さるふつおんせん）は、 北海道 宗谷郡 猿払村 にあった 温泉 。","https://ja.wikipedia.org/wiki/さるふつ温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯45度19分45.6秒東経142度10分34.7秒","北海道宗谷郡猿払村浜鬼志別214さるふつ温泉北海道地図","ナトリウム - 塩化物泉","JR北海道宗谷本線音威子府駅よりバスで約2時間30分または、宗谷本線南稚内駅よりバスで約1時間40分","31.9°C","さるふつ憩いの湯","1","アルカリ性","9.9","","","","源泉枯渇により廃湯","","","","","","",""
"浜頓別温泉","[浜頓別温泉] 浜頓別温泉 （はまとんべつおんせん）は、 北海道 枝幸郡 浜頓別町 にある 温泉 。","https://ja.wikipedia.org/wiki/浜頓別温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯45度7分30.7秒東経142度20分53.5秒","北海道枝幸郡浜頓別町クッチャロ湖畔浜頓別温泉北海道地図","ナトリウム・塩化物・炭酸水素塩泉","JR北海道宗谷本線音威子府駅下車バス約1時間30分または宗谷本線南稚内駅下車バス約2時間10分","45.8°C","はまとんべつ温泉ウイング","1","弱アルカリ性","8.1","130L（動力揚湯）","","","","","","","","","",""
"枝幸温泉","[枝幸温泉] 枝幸温泉 （えさしおんせん）は、 北海道 枝幸郡 枝幸町 北幸町にある 温泉 。","https://ja.wikipedia.org/wiki/枝幸温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度56分5.1秒東経142度33分59.2秒","北海道枝幸郡枝幸町北幸町枝幸温泉北海道地図","カルシウム・ナトリウム - 硫酸塩泉","JR北海道宗谷本線音威子府駅よりバスで約1時間","47.3°C","枝幸温泉 ホテルニュー幸林","1","アルカリ性","","","","92 人/日","","","","","","","",""
"歌登温泉","[歌登温泉] 歌登温泉 （うたのぼりおんせん）は、 北海道 枝幸郡 枝幸町 歌登 辺毛内にある 温泉 。","https://ja.wikipedia.org/wiki/歌登温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度47分2.4秒東経142度30分56.8秒","北海道枝幸郡枝幸町歌登辺毛内歌登温泉北海道地図","含炭酸・土類－重曹泉","JR北海道宗谷本線音威子府駅より車で約50分","12.2°C","","１","弱酸性","5.9","100L/min（自然湧出）","低張性","","","","","","","","",""
"ピンネシリ温泉","[ピンネシリ温泉] ピンネシリ温泉 （ピンネシリおんせん）は、 北海道枝幸郡中頓別町 敏音知 （ ぴんねしり ） に作られた 温泉施設 である。","https://ja.wikipedia.org/wiki/ピンネシリ温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯44度52分35.3秒東経142度12分42.4秒","北海道枝幸郡中頓別町敏音知148ピンネシリ温泉北海道地図","ナトリウム・マグネシウム－炭酸水素塩・塩化物泉","JR北海道宗谷本線音威子府駅よりバスで約50分","4.8°C","","1","中性","7.0","","低張性","30 人/日","","","","","","","",""
