"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","種類","管理者","統計年度","発着数","面積","開港","公式サイト","旅客数","貨物取扱量","最高標高","所在海域","海岸線長","所属諸島","都道府県","係留施設数","最高峰","コンテナ数"
"日本","[日本] 国土の大部分が 温帯 に属すが、北部や島嶼部では 亜寒帯 や 熱帯 の地域がある   。地形は起伏に富み、火山地・丘陵を含む 山地 の面積は国土の約75%を占め  、沿岸の 平野 部に人口が集中している。国内には 行政区分 として47の 都道府県 があり、 日本民族  ・ アイヌ  ・外国人系の人々  が居住し、 日本語 を通用する  。","https://ja.wikipedia.org/wiki/日本","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"港湾","[港湾] 船の運航のために 古代 より、河川の 河口 、 湾 、 入り江 といった天然の地形が、 波浪 や 嵐 といった 自然災害 からの船舶の避難場所が泊となったり、補給のための飲料水や 薪 などの確保も必要になり、これらの条件が停泊する上では都合が良いため時代が進むにつれて、これらの場所が泊や港・湊として使われるようになり、海運の発達ともに船の規模が拡大するなど港の陸上部分に 桟橋 や 岸壁 が作られ、施設も拡充され、 防波堤 などの突堤も突き出すようになる。","https://ja.wikipedia.org/wiki/港湾","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"一覧","[一覧] 一覧の一覧 （いちらんのいちらん）では、各分野の主要な一覧記事を総覧する。また、記事の分類は基本的に 日本十進分類法 (NDC) に拠った。","https://ja.wikipedia.org/wiki/一覧","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"室蘭港","[室蘭港] 室蘭港 （むろらんこう）は、 北海道 室蘭市 にある 港湾 。港湾管理者は室蘭市、 港湾法 上の「 国際拠点港湾 」および 港則法 上の「 特定港 」に指定されている。","https://ja.wikipedia.org/wiki/室蘭港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯42度20分58.0秒東経140度57分50.0秒","北海道室蘭市","日本","国際拠点港湾","室蘭市","平成30年（1月〜12月）","5,331隻","1,610 ha","1872年","","","22,856,000トン","","","","","","","","5,687TEU"
"苫小牧港","[苫小牧港] 苫小牧港 （とまこまいこう）は、 北海道 苫小牧市 から 勇払郡 厚真町 にかけてある 港湾 。 港湾法 上の「 国際拠点港湾 」、 港則法 上の「 特定港 」であり、日本国内に8ヵ所ある「 中核国際港湾 」の1つに指定されている。港湾管理者（ ポート・オーソリティ ）は、北海道と苫小牧市によって設立した 特別地方公共団体 （ 一部事務組合 ）「苫小牧港管理組合」である  。","https://ja.wikipedia.org/wiki/苫小牧港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","北海道苫小牧市","日本","中核国際港湾","苫小牧港管理組合","平成28年（1月〜12月）","14,655隻","14,300ヘクタール","1963年4月25日","苫小牧港管理組合","870,461人（内フェリー870,436人）","105,602,779トン","","","","","","63バース（うち公共38バース）","","201,286TEU（外国貿易）115,671TEU（内国貿易）"
"石狩湾新港","[石狩湾新港] 石狩湾新港 （いしかりわんしんこう）は、 北海道 小樽市 と 石狩市 にまたがる 港湾 。港湾管理者（ ポート・オーソリティ ）は 一部事務組合 の石狩湾新港管理組合。 港湾法 上の「 重要港湾 」、 港則法 上の「 特定港 」に指定されている。港は5つの地区（東地区・中央地区・花畔地区・樽川地区・西地区）に分かれており、 リサイクル 関連、 エネルギー 供給、 コンテナ船 航路、各種貨物の 物流 基地といった役割を担っている国際貿易港。","https://ja.wikipedia.org/wiki/石狩湾新港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯43度12分15秒東経141度17分09秒","北海道小樽市・石狩市","日本","重点港湾","石狩湾新港管理組合","2015年度","1,655（内航 1,057、外航 265、漁船 162、その他 168）","","","石狩湾新港管理組合","","5,624,655 トン","","","","","","20","","45,802TEU"
"稚内港","[稚内港] 稚内港 （わっかないこう）は、 北海道 稚内市 にある 港湾 。港湾管理者（ ポート・オーソリティ ）は稚内市。 日本国 の 実効支配 が及ぶ 領域 では最北にある 港湾法 上の「 重要港湾 」、 港則法 上の「 特定港 」である。","https://ja.wikipedia.org/wiki/稚内港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯45度24分41秒東経141度41分34秒","北海道稚内市","日本","重要港湾","稚内市","平成27年","6,260","1,800 ha","1948年","","333,716人","1,577,538トン","","","","","","","",""
"函館港","[函館港] 函館港 （はこだてこう）は、 北海道 函館市 に位置している 港湾 。港湾管理者は函館市。 港湾法 上の 重要港湾 、 港則法 上の 特定港 に指定されている。","https://ja.wikipedia.org/wiki/函館港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯41度48分26.0秒東経140度42分38.0秒","北海道函館市","日本","重点港湾（重要港湾）","函館市港湾空港部","2017年","12,458（内航：12,240、外航：218）","2,293ha","1859年","港湾空港部 | 函館市","512,337人","42,657トン","","","","","","","",""
"小樽港","[小樽港] 小樽港 （おたるこう）は、 北海道 小樽市 にある 港湾 。港湾管理者は小樽市。 港湾法 上の「 重要港湾 」、 港則法 上の「 特定港 」に指定されている。","https://ja.wikipedia.org/wiki/小樽港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯43度12分09秒東経141度00分47秒","北海道小樽市","日本","重要港湾","小樽市産業港湾部","2014年","3,518（外航 478、内航 3,040）","5,704 km²","1899年","小樽市：小樽港について","","10,058,856 トン","","","","","","","","14,654TEU"
"釧路港","[釧路港] 釧路港 （くしろこう）は、 北海道 釧路市 にある24時間運用の国際 港湾 。港湾管理者は釧路市。国土交通省より、穀物の 国際バルク戦略港湾 に選定されている  、 港湾法 上の 重要港湾 。国土交通大臣指定の 重点港湾 、特定貨物輸入拠点港湾（穀物）  、 港則法 上の 特定港 である  。臨海部産業エリア形成促進港の指定を受けている  。","https://ja.wikipedia.org/wiki/釧路港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯42度59分9.0秒東経144度21分8.0秒","北海道釧路市","日本","重点港湾","釧路市水産港湾空港部","平成24年","","2,695ha","1899年(明治32年)","","9,207人","15,538,674トン","","","","","","公共49バース","","40082 (R1)　外貿のみ32204（R2）"
"留萌港","[留萌港] 留萌港 （るもいこう）は、 北海道 留萌市 にある 港湾 。 港湾法 上の「 重要港湾 」、 港則法 上の「 特定港 」に指定されている。","https://ja.wikipedia.org/wiki/留萌港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯43度57分21秒東経141度38分15秒","北海道留萌市","日本","重要港湾","留萌市","平成27年","815隻","","","留萌港","","1,274,501トン","","","","","","","",""
"十勝港","[十勝港] 十勝港 （とかちこう）は、 北海道 広尾郡 広尾町 にある 港湾 。港湾管理者は広尾町。 港湾法 上の「 重要港湾 」に指定されている。","https://ja.wikipedia.org/wiki/十勝港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯42度17分55秒東経143度20分05秒","北海道広尾郡広尾町","日本","重要港湾","広尾町","平成27年","5,568隻","","","重要港湾十勝港","","1,232,770トン","","","","","","","",""
"紋別港","[紋別港] 紋別港 （もんべつこう）は、 北海道 紋別市 にある 港湾 。港湾管理者は紋別市。 港湾法 上の「 重要港湾 」に指定されている。","https://ja.wikipedia.org/wiki/紋別港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯44度21分16秒東経143度21分27秒","北海道紋別市","日本","重要港湾","紋別市","平成27年","8,028隻","","","紋別港","54,228人","234,120トン","","","","","","","",""
"網走港","[網走港] 網走港 （あばしりこう）は、 北海道 網走市 にある 港湾 。港湾管理者は網走市。 港湾法 上の「 重要港湾 」に指定されている。","https://ja.wikipedia.org/wiki/網走港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯44度01分27秒東経144度17分04秒","北海道網走市","日本","重要港湾","網走市","平成27年","16,629隻","","","網走港","176,668人","380,649トン","","","","","","","",""
"根室港","[根室港] 根室港 （ねむろこう）は、 北海道 根室市 にある 港湾 。港湾管理者は根室市。 港湾法 上の「 重要港湾 」、 港則法 上の「 特定港 」に指定されている。","https://ja.wikipedia.org/wiki/根室港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","北海道根室市","日本","重要港湾","根室市","平成26年","36,029隻","","","","","811,713トン","","","","","","","",""
